CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
31	59	1	0.7166	192.027
76	77	1	0.9758	94.060
31	56	1	0.8419	94.049
42	97	1	0.9113	-21.982
31	71	1	0.9886	-0.000
59	102	1	0.9164	116.031
67	71	1	0.8499	-94.050
59	76	1	0.9053	21.982
59	61	1	0.9166	116.032
42	76	1	0.9904	0.000
42	59	1	0.9164	-21.982
42	77	1	0.9777	94.060
42	61	1	0.9777	94.050
42	102	1	0.9737	94.050
61	77	1	1.0	0.010
76	102	1	0.974	94.050
59	97	1	0.9501	0.000
56	67	1	0.9642	0.000
59	77	1	0.9166	116.042
77	102	1	0.9984	-0.010
61	76	1	0.9758	-94.050
56	71	1	0.8421	-94.050
61	102	1	0.9984	-0.000
31	67	1	0.8415	94.049
362	404	2	0.7109	-256.049
362	370	2	0.7665	-64.012
378	397	2	0.8206	-64.012
378	389	2	0.78	64.012
362	395	2	0.8879	-128.025
395	397	2	0.821	-64.012
389	395	2	0.8183	-64.012
362	397	2	0.802	-192.037
370	397	2	0.7066	-128.025
378	395	2	0.9493	0.000
362	389	2	0.8447	-64.012
395	404	2	0.7314	-128.025
397	404	2	0.7706	-64.012
370	389	2	0.8121	0.000
370	404	2	0.7487	-192.037
370	378	2	0.7935	-64.012
370	395	2	0.7552	-64.012
362	378	2	0.8525	-128.025
378	404	2	0.811	-128.025
176	193	3	0.8377	33.984
176	202	3	0.9335	-0.000
193	202	3	0.8717	-33.984
144	177	3	0.8188	-48.000
144	160	3	0.7712	18.011
160	193	3	0.8905	-14.016
177	202	3	0.7693	18.011
144	161	3	0.8905	-14.016
161	193	3	0.78	18.010
200	202	3	0.8242	-62.001
192	193	3	0.8944	-62.000
141	177	3	0.8666	-16.028
176	177	3	0.8165	-18.011
161	177	3	0.81	-33.984
141	144	3	0.7144	31.972
52	107	4	0.7032	-305.068
52	87	4	0.9401	0.000
52	135	4	0.8916	-72.057
418	425	5	0.9519	-2.015
425	551	5	0.9707	-0.001
418	551	5	0.9589	-2.015
330	442	6	0.9757	0.000
34	55	7	0.9601	94.051
