ATTRIBUTE_GROUP	Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSGROUP:CTRL	GNPSGROUP:EXP	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
EXP,CTRL	 	 	50.0	0.0	0.0	0.0	0.0	0.0	0.0	2049260.5333333332	2444761.8000000003	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3c2c211bcec94d23960122e2cea8efc4&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1514","main.cluster index_upperinput":"1514"}	This Node is a Singleton	N/A	N/A	N/A	 	10.6024	10.6024	0	N/A	N/A	13482067.0	6	1514	-1	 	6	81.5205	1	81.5205	13482067.0
EXP,CTRL	7.0	[M-H2O+NH4]+	43.0	0.0	0.0	0.0	0.0	0.0	0.0	2353049.6666666665	4497841.833333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3c2c211bcec94d23960122e2cea8efc4&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"88","main.cluster index_upperinput":"88"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3699	0.3699	0	N/A	N/A	20552674.5	6	88	-1	86.03671999999997	6	86.0600	1	86.0600	20552674.5
EXP,CTRL	 	 	71.0	0.0	0.0	0.0	0.0	0.0	0.0	32740270.666666668	31833521.333333332	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3c2c211bcec94d23960122e2cea8efc4&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"326","main.cluster index_upperinput":"326"}	This Node is a Singleton	N/A	N/A	N/A	 	0.7578	0.7578	0	N/A	N/A	193721376.0	6	326	-1	 	6	86.0964	1	86.0964	193721376.0
EXP,CTRL	 	 	6.0	0.0	0.0	0.0	0.0	0.0	0.0	2055213.7333333334	1914755.8666666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3c2c211bcec94d23960122e2cea8efc4&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"15","main.cluster index_upperinput":"15"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3075	0.3075	0	N/A	N/A	11909908.8	6	15	-1	 	6	86.9927	1	86.9927	11909908.8
EXP,CTRL	7.0	[M+H]+	43.0	0.0	0.0	0.0	0.0	0.0	0.0	3311892.9	5203940.933333334	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3c2c211bcec94d23960122e2cea8efc4&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"89","main.cluster index_upperinput":"89"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3699	0.3699	0	N/A	N/A	25547501.5	6	89	-1	86.03671999999997	6	87.0440	1	87.0440	25547501.5
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	988360.0333333333	1089828.2000000002	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3c2c211bcec94d23960122e2cea8efc4&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"333","main.cluster index_upperinput":"333"}	This Node is a Singleton	N/A	N/A	N/A	 	0.7506	0.7506	0	N/A	N/A	6234564.699999999	6	333	-1	 	6	87.0997	1	87.0997	6234564.699999999
EXP,CTRL	 	 	6.0	0.0	0.0	0.0	0.0	0.0	0.0	257367.69333333333	265792.62333333335	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3c2c211bcec94d23960122e2cea8efc4&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"12","main.cluster index_upperinput":"12"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3067	0.3067	0	N/A	N/A	1569480.95	6	12	-1	 	6	88.9902	1	88.9902	1569480.95
EXP,CTRL	 	 	12.0	0.0	0.0	0.0	0.0	0.0	0.0	3840917.6333333333	3184959.2666666666	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3c2c211bcec94d23960122e2cea8efc4&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1510","main.cluster index_upperinput":"1510"}	This Node is a Singleton	N/A	N/A	N/A	 	10.4537	10.4537	0	N/A	N/A	21077630.7	6	1510	-1	 	6	89.5067	1	89.5067	21077630.7
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	1830475.0133333332	833857.7133333334	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3c2c211bcec94d23960122e2cea8efc4&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1516","main.cluster index_upperinput":"1516"}	This Node is a Singleton	N/A	N/A	N/A	 	11.2518	11.2518	0	N/A	N/A	7992998.18	6	1516	-1	 	6	89.5067	1	89.5067	7992998.18
EXP,CTRL	 	 	43.0	0.0	0.0	0.0	0.0	0.0	0.0	2414612.6666666665	5230270.733333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3c2c211bcec94d23960122e2cea8efc4&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"121","main.cluster index_upperinput":"121"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3821	0.3821	0	N/A	N/A	22934650.2	6	121	-1	 	6	90.0549	1	90.0549	22934650.2
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	225793.05333333332	175071.885	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3c2c211bcec94d23960122e2cea8efc4&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1387","main.cluster index_upperinput":"1387"}	This Node is a Singleton	N/A	N/A	N/A	 	9.9845	9.9845	0	N/A	N/A	1202594.815	6	1387	-1	 	6	90.9766	1	90.9766	1202594.815
EXP,CTRL	 	 	21.0	0.0	0.0	0.0	0.0	0.0	0.0	689154.5466666666	406135.0366666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3c2c211bcec94d23960122e2cea8efc4&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1443","main.cluster index_upperinput":"1443"}	This Node is a Singleton	N/A	N/A	N/A	 	10.2719	10.2719	0	N/A	N/A	3285868.75	6	1443	-1	 	6	90.9766	1	90.9766	3285868.75
EXP,CTRL	 	 	53.0	0.0	0.0	0.0	0.0	0.0	0.0	677444.6	610831.35	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3c2c211bcec94d23960122e2cea8efc4&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"49","main.cluster index_upperinput":"49"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3455	0.3455	0	N/A	N/A	3864827.85	6	49	-1	 	6	90.9766	1	90.9766	3864827.85
