row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_POS_Y-EV_1_CTRL_Run88.mzML Peak area,2024_POS_Y-p9_3_Run155.mzML Peak area,2024_POS_Y-p9_1_Run100.mzML Peak area,2024_POS_Y-EV_2_CTRL_Run117.mzML Peak area,2024_POS_Y-p9_2_Run120.mzML Peak area,2024_POS_Y-EV_3_CTRL_Run138.mzML Peak area,Unnamed: 19
1514,81.52053357796692,10.602446,,,,50.0,,,,,,,1298430.9,2543603.0,2235448.2,2048135.9,2555234.2,2801214.8,
88,86.0599888407988,0.3699461,,,,43.0,7.0,[M-H2O+NH4]+,,2.0,89;88,86.03671999999999,2535565.2,5138337.5,2178900.5,2146844.8,6176287.5,2376739.0,
326,86.09637676949569,0.75783783,,,,71.0,,,,,,,29222214.0,31076148.0,28946486.0,31438838.0,35477930.0,37559760.0,
15,86.99266964140689,0.30749026,,,,6.0,,,,,,,2191176.2,1827618.0,1888733.6,2075990.8,2027916.0,1898474.2,
89,87.04400663165295,0.3699461,,,,43.0,7.0,[M+H]+,,3.0,90;89;88,86.03671999999999,4662048.0,4889644.5,3700002.8,3150667.2,7022175.5,2122963.5,
333,87.09972439396259,0.7506089,,,,,,,,,,,823995.3,1161242.6,424126.4,906020.9,1684115.6,1235063.9,
12,88.99020258495287,0.3066685,,,,6.0,,,,,,,284126.22,258838.28,261659.39,257233.16,276880.2,230743.7,
1510,89.50666576622288,10.453652,,,,12.0,,,,,,,3121094.2,2932636.8,2510887.0,4038837.2,4111354.0,4362821.5,
1516,89.50668056398182,11.251761,,,,,,,,,,,824199.3,775562.1,385436.44,782090.94,1340574.6,3885134.8,
121,90.05489602059065,0.38214934,,,,43.0,,,,,,,1768891.8,5795507.0,4108118.2,3453285.0,5787187.0,2021661.2,
1387,90.97657551659096,9.984498,,,,,,,,,,,415365.56,503587.03,14756.249,251695.27,6872.376,10318.33,
1443,90.97658398821034,10.271889999999999,,,,21.0,,,,,,,1107538.2,636996.8,318984.97,677817.06,262423.34,282108.38,
49,90.97658507743284,0.3455373,,,,53.0,,,,,,,665725.7,511650.4,745940.4,614941.9,574903.25,751666.2,
526,92.04937707137665,2.824262,,,,1.0,,,,,,,983452.44,518120.88,324867.03,1039924.25,645769.3,1323065.5,
324,92.11016272494095,0.75679755,,,,71.0,19.0,[M-H2O+H]+,,2.0,328;324,109.11307,3373048.2,3395513.5,3505045.2,3355009.5,3151973.5,2930042.2,
400,99.51213711768757,2.0904214,,,,,,,,,,,604648.75,267275.28,122521.99,186223.0,114211.53,371107.56,
293,101.02324100180029,0.6554248,,,,,,,,,,,192005.78,2195109.5,1710007.8,429475.06,2400470.0,344160.4,
1513,102.03376766362229,10.600778,,,,50.0,,,,,,,2721007.0,4467443.0,5272682.5,3663893.2,4505793.0,5065212.0,
90,104.07052303570757,0.3699461,,,,43.0,7.0,[M+NH4]+,,2.0,90;89,86.03671999999999,25588516.0,37314856.0,17679320.0,21944868.0,35606444.0,12695111.0,
71,104.10690888638372,0.3593696,,,,43.0,,,,,,,11136255.0,4809144.0,2714166.0,9964729.0,4432695.0,8563206.0,
17,105.0032124973728,0.30830225,,,,6.0,,,,,,,3790231.0,3262495.0,3022704.8,3840637.2,3401294.0,3004909.2,
10,110.00862541636309,0.3050119,,,,6.0,,,,,,,692179.25,568944.9,690936.7,567547.2,700745.25,622955.7,
1075,110.01995687627304,8.121791,,,,,,,,,,,7271506.5,1747212.9,799243.0,7289523.0,379021.62,928183.75,
1499,110.01996775092344,10.414549000000001,,,,12.0,,,,,,,8090847.5,6977655.0,10169254.0,8484945.0,10599448.0,11015573.0,
1189,111.02014542159664,8.670364999999999,,,,,,,,,,,2129466.5,167277.33,100169.23,532977.94,46713.234000000004,114679.836,
1503,111.0201597220414,10.437377,,,,12.0,,,,,,,8019495.5,7921252.5,8585124.0,7834245.0,8732850.0,8275968.0,
1502,112.01786712040968,10.435346000000001,,,,12.0,,,,,,,3091126.5,3062381.0,3330115.8,3062900.0,3391704.8,3176359.8,
1071,112.01786738241941,8.09088,,,,,,,,,,,352391.4,180794.78,53779.92,525682.5,45135.585999999996,83759.61,
1190,112.0178718528578,8.662971,,,,,,,,,,,814643.44,159827.61,28956.44,32639.832000000002,21325.16,41970.78,
405,112.07561769298141,2.131943,,,,,,,,,,,293251.7,201027.5,130661.61,386460.12,199968.72,334832.03,
1508,113.96361475216491,10.434269,,,,,,,,,,,266728.03,907564.56,285285.6,435534.66,985404.6,325871.12,
1,113.96364251741936,0.03270528,,,,,,,,,,,366060.0,418545.03,379066.38,381924.66,450856.44,412180.97,
466,114.09128449209406,2.484137,,,,,,,,,,,1272100.5,1527905.8,1505733.9,1308511.4,1395157.9,2045529.2,
82,115.03651911791269,0.36750564,,,,43.0,,,,,,,940564.8,2827465.2,4994406.0,1076824.2,3188643.8,1984607.1,
94,115.04790166371131,0.37075964,,,,43.0,,,,,,,3213370.5,5026352.5,3792349.8,3015107.5,4027297.8,3110078.0,
