"MetaboAnalyst_ID","Fold.Change","log2.FC.","shared_name"
"1710/251.1289mz/5.43min",9866.4,13.268,"1710"
"1994/373.1292mz/6.06min",5452.5,12.413,"1994"
"1708/207.139mz/5.4min",1465.9,10.518,"1708"
"1134/241.1446mz/4.51min",890.8,9.799,"1134"
"1192/393.1554mz/4.61min",810.95,9.6635,"1192"
"1245/265.1081mz/4.72min",275.95,8.1083,"1245"
"1168/559.218mz/4.56min",269.95,8.0766,"1168"
"1102/331.0843mz/4.46min",175.01,7.4513,"1102"
"2133/389.1595mz/6.37min",56.642,5.8238,"2133"
"2400/828.5718mz/7.69min",0.028628,-5.1264,"2400"
"1646/195.139mz/5.39min",33.615,5.071,"1646"
"1460/267.1238mz/5.04min",28.456,4.8306,"1460"
"1843/295.1187mz/5.74min",24.909,4.6386,"1843"
"1131/483.2963mz/4.55min",21.986,4.4585,"1131"
"2049/236.1292mz/6.16min",20.871,4.3834,"2049"
"1986/515.1923mz/6.05min",19.796,4.3072,"1986"
"1580/375.1447mz/5.26min",19.259,4.2674,"1580"
"2371/716.5237mz/7.57min",18.597,4.217,"2371"
"1827/471.2023mz/5.63min",17.542,4.1328,"1827"
"1617/323.1137mz/5.3min",15.978,3.998,"1617"
"1911/479.1711mz/5.84min",14.942,3.9013,"1911"
"492/221.0455mz/3.34min",0.071858,-3.7987,"492"
"1790/211.1339mz/5.58min",12.86,3.6849,"1790"
"2340/826.5607mz/7.29min",12.786,3.6765,"2340"
"2287/803.564mz/6.95min",0.079097,-3.6602,"2287"
"2143/279.1238mz/6.43min",11.209,3.4866,"2143"
"1913/265.1479mz/5.86min",11.068,3.4684,"1913"
"1374/671.3077mz/4.91min",9.902,3.3077,"1374"
"2138/390.1638mz/6.41min",9.5088,3.2493,"2138"
"1866/507.1661mz/5.75min",9.2698,3.2125,"1866"
"1133/242.1478mz/4.55min",8.9365,3.1597,"1133"
"1498/249.1132mz/5.12min",8.7462,3.1287,"1498"
"1485/250.1166mz/5.1min",8.7215,3.1246,"1485"
"1364/215.1289mz/4.9min",8.6729,3.1165,"1364"
"1526/389.1604mz/5.17min",8.5537,3.0966,"1526"
"2014/279.1602mz/6.08min",8.5074,3.0887,"2014"
"1220/259.1551mz/4.69min",8.4835,3.0847,"1220"
"1733/294.1429mz/5.48min",8.3628,3.064,"1733"
"1735/293.1395mz/5.47min",8.2221,3.0395,"1735"
"1870/285.0899mz/5.75min",7.9503,2.991,"1870"
"861/265.1081mz/4.01min",7.794,2.9624,"861"
"1407/283.0248mz/4.93min",0.1294,-2.9501,"1407"
"1762/308.1504mz/5.51min",7.717,2.948,"1762"
"1242/224.1009mz/4.72min",7.7142,2.9475,"1242"
"1596/249.1132mz/5.27min",7.6005,2.9261,"1596"
"1241/223.0976mz/4.72min",7.5707,2.9204,"1241"
"1751/479.1711mz/5.5min",7.5248,2.9117,"1751"
"1135/304.1402mz/4.55min",7.493,2.9056,"1135"
"1219/322.1508mz/4.69min",7.4826,2.9035,"1219"
"1905/503.3087mz/5.82min",7.4675,2.9006,"1905"
"1074/309.1344mz/4.44min",7.3121,2.8703,"1074"
"2010/567.3904mz/6.08min",7.2283,2.8537,"2010"
"1187/205.0504mz/4.59min",0.13891,-2.8478,"1187"
"1715/254.1365mz/5.43min",7.1441,2.8368,"1715"
"965/237.1132mz/4.24min",0.14077,-2.8285,"965"
"1745/336.1065mz/5.49min",6.9303,2.7929,"1745"
"1701/525.2472mz/5.43min",6.8879,2.7841,"1701"
"1709/208.1423mz/5.43min",6.6025,2.723,"1709"
"1941/377.0253mz/5.93min",6.4498,2.6893,"1941"
"243/461.214mz/2.62min",0.15807,-2.6614,"243"
"1702/503.2651mz/5.43min",6.3134,2.6584,"1702"
"1690/992.6655mz/5.42min",6.3117,2.658,"1690"
"2620/802.5605mz/10.43min",0.16127,-2.6325,"2620"
"2214/714.5083mz/6.64min",0.1621,-2.6251,"2214"
"339/315.1562mz/2.92min",0.16222,-2.624,"339"
"823/317.0303mz/3.94min",0.16421,-2.6064,"823"
"1878/377.0253mz/5.77min",5.9909,2.5828,"1878"
"1721/431.1921mz/5.44min",5.6965,2.5101,"1721"
"843/267.1237mz/3.95min",5.6443,2.4968,"843"
"2286/826.5607mz/6.95min",0.17812,-2.4891,"2286"
"408/195.0662mz/3.12min",0.18177,-2.4598,"408"
"2479/671.466mz/8.24min",0.19668,-2.3461,"2479"
"2404/802.5606mz/7.76min",4.9979,2.3213,"2404"
"2609/833.5189mz/10.27min",0.20073,-2.3167,"2609"
"888/261.0768mz/4.06min",4.9195,2.2985,"888"
"2354/165.0404mz/7.37min",4.6216,2.2084,"2354"
"1713/786.5348mz/5.42min",0.21811,-2.1969,"1713"
"1687/740.5289mz/5.42min",0.23289,-2.1023,"1687"
"2460/671.466mz/8.14min",0.2358,-2.0844,"2460"
"2206/325.1844mz/6.66min",0.23609,-2.0826,"2206"
"1995/595.2891mz/6.05min",0.24169,-2.0488,"1995"
"1058/515.0983mz/4.41min",4.0831,2.0297,"1058"
"573/599.2937mz/3.46min",0.25413,-1.9763,"573"
"579/662.2894mz/3.5min",0.25442,-1.9747,"579"
"1815/643.3676mz/5.63min",3.8355,1.9394,"1815"
"1100/205.0504mz/4.5min",0.26351,-1.9241,"1100"
"2524/827.7348mz/8.74min",0.26731,-1.9034,"2524"
"1660/239.1289mz/5.39min",3.7393,1.9028,"1660"
"2541/767.7137mz/8.95min",0.2676,-1.9018,"2541"
"718/387.1083mz/3.78min",0.27019,-1.8879,"718"
"2332/339.1996mz/7.22min",0.27056,-1.886,"2332"
"999/285.0405mz/4.31min",0.27796,-1.8471,"999"
"340/378.1516mz/2.92min",0.2814,-1.8293,"340"
"196/309.119mz/2.56min",0.28428,-1.8146,"196"
"1334/273.0768mz/4.86min",0.28646,-1.8036,"1334"
"873/432.1016mz/4.06min",0.29782,-1.7475,"873"
"624/517.0988mz/3.59min",0.2997,-1.7384,"624"
"1780/269.0456mz/5.54min",0.30024,-1.7358,"1780"
"2249/833.5191mz/6.75min",3.2669,1.7079,"2249"
"650/165.0556mz/3.65min",0.31174,-1.6816,"650"
"342/447.2347mz/2.92min",0.31485,-1.6672,"342"
