"Log2_FoldChange","MetaboAnalyst_ID"
-0.54878,"534/423.1971mz/2.02min"
-0.54632,"538/182.0786mz/2.03min"
-0.49091,"539/100.0756mz/2.03min"
-0.56386,"540/160.0968mz/2.03min"
-0.91816,"543/261.1444mz/2.04min"
-0.019294,"547/328.139mz/2.05min"
-0.57378,"550/285.1444mz/2.06min"
-1.29,"551/427.1279mz/2.07min"
-0.38427,"552/113.0596mz/2.08min"
-0.31768,"553/248.0528mz/2.08min"
0.81941,"554/243.1338mz/2.09min"
-0.41904,"555/226.071mz/2.08min"
-0.14102,"556/215.139mz/2.08min"
-0.77107,"557/456.2338mz/2.08min"
-0.31631,"558/203.1389mz/2.08min"
-1.1978,"561/241.1182mz/2.1min"
-1.0998,"562/233.1131mz/2.1min"
-0.10369,"563/222.0794mz/2.1min"
0.01609,"564/244.0613mz/2.1min"
-1.0914,"565/255.0952mz/2.1min"
-0.34321,"572/244.1907mz/2.12min"
-0.32878,"573/204.123mz/2.13min"
-0.27437,"576/229.1546mz/2.13min"
-0.49073,"577/146.1175mz/2.14min"
-1.2531,"578/323.1386mz/2.14min"
-0.66177,"579/169.0496mz/2.14min"
0.35456,"581/186.1124mz/2.16min"
-0.069924,"584/324.1917mz/2.16min"
-0.56595,"585/227.1026mz/2.14min"
-0.058951,"586/325.1953mz/2.16min"
-0.32619,"592/221.1212mz/2.18min"
-0.30141,"593/220.1179mz/2.18min"
-0.10001,"594/242.0998mz/2.18min"
0.48322,"596/283.1286mz/2.18min"
-0.31468,"599/232.1543mz/2.2min"
-0.31626,"600/233.1576mz/2.2min"
-1.3092,"604/206.0811mz/2.23min"
-0.34348,"609/181.0497mz/2.21min"
-0.58703,"612/285.1444mz/2.22min"
0.19938,"613/307.9777mz/2.22min"
-0.64401,"614/286.148mz/2.22min"
-2.5625,"616/426.2229mz/2.22min"
-1.0108,"617/352.1864mz/2.23min"
0.056535,"618/102.0912mz/2.23min"
-0.28151,"619/184.1695mz/2.24min"
-0.47284,"621/185.0783mz/2.24min"
-0.18152,"622/158.0811mz/2.24min"
-1.4203,"624/323.1386mz/2.25min"
-0.64477,"625/127.0753mz/2.25min"
0.30746,"627/214.0508mz/2.25min"
0.11625,"628/192.0689mz/2.25min"
-0.32981,"633/127.0389mz/2.24min"
-0.44354,"634/289.1393mz/2.26min"
-1.2371,"635/358.1971mz/2.27min"
0.043415,"636/200.1045mz/2.27min"
-0.22662,"637/205.0971mz/2.27min"
-0.24432,"638/188.0705mz/2.27min"
0.061297,"639/218.1281mz/2.27min"
0.059329,"640/217.1247mz/2.27min"
-0.29691,"642/189.0739mz/2.27min"
-0.99177,"645/340.1865mz/2.28min"
-0.1288,"647/195.1227mz/2.28min"
0.13304,"648/184.0968mz/2.29min"
0.46366,"649/224.0895mz/2.28min"
0.0075152,"650/202.1072mz/2.29min"
-0.25707,"651/217.1046mz/2.29min"
-1.14,"653/292.1655mz/2.29min"
-0.58984,"654/196.0969mz/2.28min"
-1.3292,"656/135.0416mz/2.3min"
0.25495,"659/229.1546mz/2.3min"
0.50091,"661/408.2127mz/2.3min"
-2.5727,"663/208.0968mz/2.31min"
0.51119,"664/202.1436mz/2.32min"
-2.1014,"668/190.0861mz/2.32min"
-1.1933,"669/298.0896mz/2.32min"
0.10705,"670/197.0444mz/2.33min"
-1.4494,"671/113.0596mz/2.33min"
-1.2779,"673/276.1076mz/2.33min"
0.37086,"674/269.1125mz/2.33min"
1.1494,"676/213.0756mz/2.33min"
0.55561,"681/244.2011mz/2.38min"
0.03765,"682/284.1105mz/2.34min"
-0.5755,"685/231.1703mz/2.37min"
-0.33823,"686/262.1284mz/2.34min"
-0.35907,"687/131.0702mz/2.34min"
-0.10521,"692/240.0863mz/2.36min"
-0.76552,"695/202.1073mz/2.37min"
-0.90197,"697/263.1202mz/2.38min"
-1.1019,"699/131.0532mz/2.38min"
-1.0881,"700/201.0702mz/2.37min"
0.78555,"701/563.1821mz/2.37min"
-0.8665,"706/559.2104mz/2.38min"
-0.93721,"711/130.0498mz/2.38min"
-0.5907,"712/298.0686mz/2.38min"
-0.89018,"713/278.1233mz/2.38min"
-0.56835,"715/282.0947mz/2.38min"
-0.94304,"716/148.0604mz/2.38min"
-0.88706,"717/242.1023mz/2.38min"
-0.65897,"718/300.1049mz/2.38min"
-0.60225,"721/541.2mz/2.38min"
-0.87934,"722/260.1129mz/2.38min"
-0.898,"723/262.1178mz/2.38min"
0.67173,"724/187.1076mz/2.38min"
0.19874,"726/257.1492mz/2.39min"
-0.87138,"727/261.1162mz/2.38min"
-0.39558,"728/572.1292mz/2.38min"
-0.88622,"730/279.1268mz/2.38min"
-1.0194,"732/831.2347mz/2.38min"
-0.68346,"734/543.2056mz/2.38min"
-0.47027,"735/557.1705mz/2.38min"
-0.27564,"736/200.062mz/2.38min"
-0.55168,"737/283.0981mz/2.38min"
-2.5219,"740/176.0706mz/2.39min"
-0.33542,"741/167.0703mz/2.39min"
0.087596,"742/195.1127mz/2.4min"
-0.67681,"745/232.1181mz/2.4min"
-0.25197,"746/146.06mz/2.41min"
-0.23647,"749/218.1388mz/2.41min"
-0.051203,"752/140.1434mz/2.41min"
-1.1635,"756/336.1916mz/2.41min"
-0.54779,"759/238.1072mz/2.42min"
0.14087,"760/244.2012mz/2.42min"
-0.044004,"764/418.1971mz/2.43min"
-0.048766,"774/420.2029mz/2.43min"
-0.35813,"776/287.1601mz/2.44min"
-0.091349,"777/298.0968mz/2.45min"
-0.3225,"780/206.0448mz/2.45min"
-0.14567,"782/231.1703mz/2.45min"
0.024377,"785/449.2122mz/2.45min"
0.16872,"789/190.0498mz/2.46min"
0.13476,"793/296.1352mz/2.46min"
-0.30102,"794/246.1335mz/2.47min"
-0.40486,"795/229.1546mz/2.47min"
-0.20428,"800/283.1264mz/2.47min"
-0.30902,"801/262.1476mz/2.47min"
-0.30699,"803/261.1444mz/2.48min"
-0.7324,"804/262.1284mz/2.48min"
-0.68905,"807/165.0546mz/2.48min"
-0.13806,"808/114.0913mz/2.48min"
-0.38395,"812/214.1073mz/2.49min"
-0.45759,"813/718.3361mz/2.49min"
-0.34397,"814/740.318mz/2.49min"
-0.88807,"815/244.118mz/2.51min"
0.17148,"820/210.076mz/2.5min"
-0.52221,"821/372.1916mz/2.5min"
-0.1763,"825/459.2446mz/2.51min"
-1.0098,"826/184.0684mz/2.51min"
-1.0043,"827/183.0651mz/2.51min"
-0.77154,"829/205.0471mz/2.51min"
-1.29,"831/463.1821mz/2.51min"
-0.18665,"833/759.3206mz/2.51min"
-0.21467,"835/742.2932mz/2.52min"
-0.0084149,"836/261.1308mz/2.52min"
0.00046436,"837/764.2757mz/2.52min"
0.023942,"839/239.1489mz/2.52min"
0.16179,"840/263.1391mz/2.52min"
0.15868,"843/141.0546mz/2.53min"
0.67265,"844/400.1534mz/2.52min"
-0.34156,"845/244.1543mz/2.53min"
0.17912,"848/142.058mz/2.53min"
-0.18461,"851/413.1413mz/2.53min"
-0.054723,"858/244.2012mz/2.52min"
-0.84878,"861/320.1815mz/2.54min"
0.010353,"862/327.1527mz/2.54min"
1.3569,"865/263.1026mz/2.54min"
-0.11057,"866/305.1707mz/2.54min"
-0.10607,"867/231.1703mz/2.54min"
