"MetaboAnalyst_ID","Fold.Change","log2.FC.","shared_name"
"3399/253.1434mz/5.43min",20575,14.329,"3399"
"4990/781.5549mz/7.61min",0.010348,-6.5945,"4990"
"3477/498.2121mz/5.5min",95.485,6.5772,"3477"
"5008/780.5522mz/7.62min",0.010769,-6.537,"5008"
"5653/716.522mz/8.44min",0.02225,-5.4901,"5653"
"1966/885.444mz/3.74min",0.022349,-5.4837,"1966"
"6015/758.5673mz/10.35min",0.022874,-5.4501,"6015"
"5114/405.1888mz/7.81min",30.107,4.912,"5114"
"4993/768.551mz/7.61min",0.036256,-4.7856,"4993"
"5117/404.1854mz/7.82min",26.8,4.7442,"5117"
"2587/243.1591mz/4.51min",24.951,4.641,"2587"
"5484/730.5371mz/8.14min",0.042513,-4.556,"5484"
"5606/714.5063mz/8.27min",22.906,4.5176,"5606"
"1567/205.0495mz/3.33min",0.05052,-4.307,"1567"
"4946/788.6152mz/7.6min",16.707,4.0624,"4946"
"5282/768.5526mz/7.96min",0.060748,-4.041,"5282"
"2405/265.107mz/4.23min",0.063264,-3.9825,"2405"
"2406/283.1175mz/4.23min",0.069039,-3.8565,"2406"
"2404/221.1171mz/4.23min",0.070257,-3.8312,"2404"
"5285/769.5561mz/7.97min",0.078569,-3.6699,"5285"
"2242/179.0702mz/3.98min",0.07866,-3.6682,"2242"
"5409/768.5528mz/8.05min",0.079835,-3.6468,"5409"
"2142/720.3487mz/3.89min",0.080602,-3.633,"2142"
"3042/443.2062mz/5.12min",12.304,3.6211,"3042"
"1129/435.1047mz/2.84min",0.083637,-3.5797,"1129"
"4555/754.5373mz/6.97min",0.085766,-3.5434,"4555"
"3259/457.2211mz/5.36min",11.48,3.521,"3259"
"6006/756.5533mz/10.36min",11.166,3.4811,"6006"
"4262/491.2327mz/6.51min",0.090233,-3.4702,"4262"
"2257/720.3487mz/4.0min",0.090462,-3.4665,"2257"
"5550/782.5687mz/8.19min",0.093121,-3.4247,"5550"
"5971/760.484mz/10.28min",10.642,3.4117,"5971"
"3971/281.1747mz/6.08min",10.604,3.4065,"3971"
"4256/492.2371mz/6.5min",0.094336,-3.406,"4256"
"5571/786.5967mz/8.19min",10.182,3.3479,"5571"
"5607/768.5524mz/8.23min",10.009,3.3233,"5607"
"4402/754.5377mz/6.73min",0.10112,-3.3059,"4402"
"5974/781.5549mz/10.28min",0.11395,-3.1335,"5974"
"3476/481.1855mz/5.5min",8.6769,3.1172,"3476"
"2688/243.159mz/4.69min",8.2499,3.0444,"2688"
"3922/452.303mz/6.09min",7.9182,2.9852,"3922"
"3396/255.1493mz/5.43min",7.8864,2.9794,"3396"
"3398/235.1328mz/5.43min",7.8494,2.9726,"3398"
"3415/518.2144mz/5.46min",7.6698,2.9392,"3415"
"4587/756.5524mz/7.02min",7.6324,2.9321,"4587"
"3202/251.1277mz/5.28min",7.571,2.9205,"3202"
"1516/253.0706mz/3.29min",0.1335,-2.9051,"1516"
"3445/277.1434mz/5.47min",7.4894,2.9049,"3445"
"2699/225.1121mz/4.71min",7.4187,2.8912,"2699"
"5580/770.567mz/8.24min",0.13704,-2.8673,"5580"
"1517/235.06mz/3.29min",0.13712,-2.8665,"1517"
"6045/757.557mz/10.37min",7.2585,2.8597,"6045"
"3344/446.1937mz/5.41min",7.2389,2.8558,"3344"
