"","filter","2024_POS_Anid-EV-SA-OA_CTRL_1_Run173.mzML","2024_POS_Anid-EV-SA-OA_CTRL_2_Run217.mzML","2024_POS_Anid-EV-SA-OA_CTRL_3_Run244.mzML","2024_POS_Anid-SA-OA_1_Run170.mzML","2024_POS_Anid-SA-OA_2_Run191.mzML","2024_POS_Anid-SA-OA_3_Run235.mzML"
"534/423.1971mz/2.02min",832053.9,1239412.8,1676624.1,413873.62,1806451.9,216236.94,424695
"538/182.0786mz/2.03min",3422974.9,3337555.8,3792855,6221402.5,3508394,3315290,2834883.8
"539/100.0756mz/2.03min",3148513.65,3086812.5,3606199.8,5238860,3210214.8,2779915.8,2898210.2
"540/160.0968mz/2.03min",2637573.5,2597328,3282323.5,5211949.5,2600778.2,2541452.8,2674368.8
"542/277.1393mz/2.04min",164889.39,681284.25,338221.75,62189.266,194507.94,8390.04,135270.84
"543/261.1444mz/2.04min",2347098.35,6254490.5,3528379,719410.25,3179816.8,1514379.9,1385595.2
"546/283.1265mz/2.03min",50987.51,464030.84,160537.44,7517.0672,57766.375,44208.645,37585.336
"547/328.139mz/2.05min",518378.95,340382.12,349217.28,1164361.8,878200.6,411356.4,625401.5
"548/310.1284mz/2.05min",39100.466,26097.502,20294.092,178938.4,32472.762,45728.17,80970.9
"550/285.1444mz/2.06min",1383321.55,2192954.8,1621080.2,1030783.75,1667080.2,618572.94,1145562.9
"551/427.1279mz/2.07min",237690.32,237690.32,237690.32,1188451.6,237690.32,237690.32,237690.32
"552/113.0596mz/2.08min",1503592.6,1918914.1,1560996.8,1446188.4,1690349.2,987980.8,1299749.5
"553/248.0528mz/2.08min",1039245.875,1109896.5,1601965.5,578900.2,631191.25,1028225.25,1050266.5
"554/243.1338mz/2.09min",809591.03,1258842.2,533760.06,71034.57,1958206.2,510232.44,1085422
"555/226.071mz/2.08min",2596725.8,2857434.8,4961418,1934058.9,2296826.8,2489991.8,2703459.8
"556/215.139mz/2.08min",1109259.93,1298263.2,1198627.8,1019892.06,1516160.9,942965.25,935785.8
"557/456.2338mz/2.08min",2707202.8,3054073.8,10774255,2309603.8,5745640.5,2360331.8,1823485.6
"558/203.1389mz/2.08min",1030417.85,1341406,973058.9,1087776.8,1141133.6,888260.2,878263.4
"560/194.0813mz/2.09min",28555.97515,258262.19,4117.3003,52994.65,823.46006,823.46006,65608.984
"561/241.1182mz/2.1min",468540.585,1981046.6,395451.47,541629.7,854456.75,214548.2,341142.8
"562/233.1131mz/2.1min",413637.135,845191.3,969137.06,300460.56,472222.3,197629.62,355051.97
"563/222.0794mz/2.1min",1299045.75,1371383,1614695,1005043.06,1532378.8,1226708.5,1155341.9
"564/244.0613mz/2.1min",931155.78,948685.5,935209.56,693140.6,1015566.94,927102,816965.25
"565/255.0952mz/2.1min",497960.58,1072304.5,1016885.56,338523.16,657398,254188.97,306414.53
"567/128.0706mz/2.11min",164920.995,45027.85,837529.5,201328.19,195276.77,23943.52,134565.22
"572/244.1907mz/2.12min",623616.375,896829.56,666415.5,565844.2,580817.25,503932.6,667527.3
"573/204.123mz/2.13min",231960.59,243861.7,388593.8,220059.48,337138.62,183490.14,192705.4
"576/229.1546mz/2.13min",227393.79,262675.56,234838.11,221610.75,194699.14,233176.83,200226.33
"577/146.1175mz/2.14min",433093.2,445241.06,420945.34,743017.3,573846.6,307552.88,335351.78
"578/323.1386mz/2.14min",331278.985,282941.75,478524.38,1379276.1,277048.22,362332.44,300225.53
"579/169.0496mz/2.14min",1156788.9,2658754.8,1233020.1,510158.97,1144614.2,618403.25,1168963.6
"580/323.6402mz/2.14min",99455.51,66156.64,149306.11,459616.25,55843.062,110856.93,88054.09
"581/186.1124mz/2.16min",324792.76,232380.14,359191.4,325155.4,613465.1,298169.28,324430.12
"584/324.1917mz/2.16min",4795476.75,5352770,4804082.5,3887518,4387491,4786871,4859458.5
"585/227.1026mz/2.14min",597427.72,611123.94,867844,648679.1,582380.4,583731.5,365272
"586/325.1953mz/2.16min",806910.9,889886.1,811433.9,640417.44,745295.6,805901.9,807919.9
"587/473.2239mz/2.17min",127416.912,127416.912,127416.912,637084.56,127416.912,127416.912,127416.912
"590/202.1072mz/2.2min",153744.51,153680.69,165070.28,171726.8,152291.89,153808.33,111446.484
"591/461.2103mz/2.18min",134072.9875,141471.42,83240.54,186081,169918.58,126674.555,102704.34
"592/221.1212mz/2.18min",380362.7,396955.6,363769.8,448745.38,437683.84,301986.34,286481.4
"593/220.1179mz/2.18min",4204235,4365965.5,4042504.5,4868310.5,4823047,3386802.5,3237755.8
"594/242.0998mz/2.18min",1466208.2,1472055.9,1141940.1,2062366,2073467.8,1460360.5,1158591.5
"596/283.1286mz/2.18min",371237.43,431209.2,292201.25,245491.58,311265.66,557293.56,549962.06
"599/232.1543mz/2.2min",19036865,19276680,23131990,18797050,25397702,11646595,14819038
"600/233.1576mz/2.2min",2263676.4,2285087,2774339.2,2242265.8,3040436,1380549.8,1759119.9
"601/281.1495mz/2.2min",89770.92,206214.17,79169.79,100372.05,198074.34,51155.855,32327.43
"604/206.0811mz/2.23min",356604.445,469149.62,108740.266,3165807.8,72762.805,1370214.5,244059.27
"605/240.0865mz/2.21min",170583.32,300097.56,86837.05,325784.34,240238.66,80576.234,100927.98
"606/221.042mz/2.21min",162492.615,157032.38,135188.98,348949.78,244872.08,164563.9,160421.33
"609/181.0497mz/2.21min",274261.36,337392.47,170940.3,504653.2,450062.3,211130.25,203900.06
"612/285.1444mz/2.22min",2782054,3910781.2,3673347.2,2222224.2,3290931.5,1276441.4,2273176.5
"613/307.9777mz/2.22min",363865.82,341639.06,393644.56,265811.53,485678.12,375466.94,352264.7
"614/286.148mz/2.22min",361631.675,522571.44,484663.34,301457.75,421805.6,153880.47,299816.78
"616/426.2229mz/2.22min",336311.5525,983004,2816228.8,4028.8682,563514.8,3610.79,109108.305
"617/352.1864mz/2.23min",354936.435,758010.4,527109.44,80216.805,505269.75,13351.321,204603.12
"618/102.0912mz/2.23min",907780.06,911060.06,788481,854516.44,927515,971342.4,904500.06
"619/184.1695mz/2.24min",2635727,3068449.8,2730316.8,2592686.8,2233828.8,2280179.8,2678767.2
"621/185.0783mz/2.24min",970697,1751947.2,963064.75,831578.56,978329.25,634438.94,1063175.8
"622/158.0811mz/2.24min",1208308.85,1175301.2,1241316.5,1256525.4,1299107.6,1045812.25,1063548.9
"623/214.1073mz/2.24min",72492.129,100136.63,177000.42,97238.055,47746.203,4258.5264,43578.266
"624/323.1386mz/2.25min",302565.855,140224.42,1123569.8,618186.3,452160.94,124764.12,152970.77
"625/127.0753mz/2.25min",381293.815,717830.5,394170.88,320496.44,368416.75,190707.58,395900.6
"627/214.0508mz/2.25min",642563.38,608626.56,439356.2,582534.25,678972,786756.56,676500.2
"628/192.0689mz/2.25min",536198.8,526426.5,459963.06,492906.28,563800.44,582063.94,545971.1
"630/490.164mz/2.25min",23592.422,797668.1,2525.8234,16685.428,30499.416,12629.117,228679.62
"633/127.0389mz/2.24min",4932842.75,5750681,6642636.5,3729245,4851468,3375711.8,5014217.5
"634/289.1393mz/2.26min",576420.45,558030,796992.1,582892.8,656447.75,229926.72,569948.1
"635/358.1971mz/2.27min",439454.66,978686.3,1335274.5,324919.97,242388.7,330761.88,548147.44
"636/200.1045mz/2.27min",3448216.8,3319680.8,3576752.8,3249252.5,4097063,3796936.5,3179082.2
"637/205.0971mz/2.27min",2739888.9,2878609,3780145,2225965.5,3036677.5,2273246.8,2601168.8
"638/188.0705mz/2.27min",3583132.7,3859624.2,4658250.5,2881023,3989962,2747182,3306641.2
"639/218.1281mz/2.27min",4575433.5,4036124.8,4769328.5,4381538.5,5018709.5,5125616.5,4353816.5
"640/217.1247mz/2.27min",323784.185,289877.22,335207.4,304144.56,338125.56,368926.66,312360.97
"642/189.0739mz/2.27min",416127.405,463207.1,563963.94,333616.53,457982.53,325373.62,374272.28
"645/340.1865mz/2.28min",218902.05,341215.38,685437.6,135840.1,135513.11,135790.12,301964
"647/195.1227mz/2.28min",530519.65,416442.9,642348.1,536843.3,524196,548773.8,456410.88
"648/184.0968mz/2.29min",429179.435,273559.53,576554.56,421437.34,626612.1,436921.53,395579.84
"649/224.0895mz/2.28min",293743.525,229109.14,303883.25,280537,563558.5,348443.9,283603.8
"650/202.1072mz/2.29min",244699.435,193004.67,347982.22,242549.56,349592,223721.34,246849.31
"651/217.1046mz/2.29min",962711.3,874990.7,1605596.4,827423.25,1163000.8,1050431.9,710996
"652/332.1128mz/2.29min",20571.5335,102250.32,17645.713,155842.23,23497.354,3529.1426,3529.1426
"653/292.1655mz/2.29min",1293128,1967209.6,3663807,631690.9,1826393,381738.47,759863
"654/196.0969mz/2.28min",200058.145,190806.73,169848.34,546617.9,144882.75,280808.16,209309.56
"655/267.0975mz/2.29min",93170.82,93170.82,93170.82,465854.1,93170.82,93170.82,93170.82
"656/135.0416mz/2.3min",365912.36,528683.6,1494167,85602.31,513234.53,134457.1,218590.19
"657/322.1763mz/2.3min",87719.241,246154.11,685008.56,11377.029,163482.03,3836.776,11956.452
"659/229.1546mz/2.3min",750268.73,643549.4,578472.1,755296.56,745240.9,965847.4,783670.25
"661/408.2127mz/2.3min",1000462.23,1315045.6,1237850.9,130389.98,3151971,197854.11,763073.56
"662/220.1542mz/2.32min",154310.79,135145.56,41189.66,184894.7,62280.324,400196,173476.02
"663/208.0968mz/2.31min",1632145.6,10032987,2946375.8,1941660.1,1148835.8,121348.55,1322631.1
"664/202.1436mz/2.32min",197069.525,144511.52,131427.28,306789.16,103114.72,535765.75,249627.53
