"","PC1","PC2","PC3","PC4","PC5","PC6"
"534/423.1971mz/2.02min",0.014204,-0.016986,0.032923,0.022905,0.0056683,-0.10121
"538/182.0786mz/2.03min",-0.0015022,0.0066207,0.0092142,-0.011127,0.0059957,-0.33477
"539/100.0756mz/2.03min",-0.0016036,0.0046643,0.009362,-0.0085983,0.011287,0.10859
"540/160.0968mz/2.03min",-0.0031097,0.0054123,0.0092354,-0.012673,0.013209,0.86663
"543/261.1444mz/2.04min",0.0030525,-0.015193,0.017423,0.045425,-0.021811,0.00091155
"547/328.139mz/2.05min",0.0068763,0.013602,0.0013768,-0.013845,0.033547,-0.0085141
"550/285.1444mz/2.06min",0.0026228,-0.0044622,0.019808,0.021483,0.014177,0.01187
"551/427.1279mz/2.07min",-0.0039384,0.019711,0.014365,-0.027999,0.020263,-0.0093088
"552/113.0596mz/2.08min",0.000897,0.00014755,0.012077,0.010966,0.010416,0.0055005
"553/248.0528mz/2.08min",-0.0088632,-0.01233,0.0022784,0.0093934,0.00019776,-0.0083749
"554/243.1338mz/2.09min",0.013441,-0.022132,-0.013376,0.073995,0.0086305,0.0028681
"555/226.071mz/2.08min",-0.004534,-0.012026,0.006372,0.0038027,0.00277,-0.00012455
"556/215.139mz/2.08min",0.0031561,-0.000721,0.0069631,0.0087903,0.002918,0.0053766
"557/456.2338mz/2.08min",0.007942,-0.019942,0.018249,-0.0057736,-0.013847,0.011731
"558/203.1389mz/2.08min",-0.00020772,0.0032231,0.0080094,0.0094711,0.0037147,-0.011289
"561/241.1182mz/2.1min",0.0050152,0.0092715,0.030797,0.041777,0.0040037,-0.0010586
"562/233.1131mz/2.1min",-0.0006295,-0.013888,0.026912,0.019869,0.0066373,0.0038865
"563/222.0794mz/2.1min",0.00094847,-0.0050974,0.003792,0.0072717,0.00086316,0.0054185
"564/244.0613mz/2.1min",0.00029412,-0.0024603,0.0006802,0.0090187,0.00031028,0.011308
"565/255.0952mz/2.1min",0.0025026,-0.011487,0.027564,0.022187,-0.0072662,0.0056972
"572/244.1907mz/2.12min",-0.0036062,-0.00074367,0.0080941,0.014504,0.010581,0.01113
"573/204.123mz/2.13min",0.0038979,-0.0071571,0.011083,0.00082651,0.0030569,0.0086792
"576/229.1546mz/2.13min",-0.004076,0.00079368,0.004232,0.0054713,0.0003233,-0.005678
"577/146.1175mz/2.14min",0.0034579,0.007636,0.013368,-0.0052664,0.011686,-0.0028532
"578/323.1386mz/2.14min",-0.0061653,0.012101,0.01422,-0.034397,0.012372,0.0020081
"579/169.0496mz/2.14min",-0.0019548,-0.0082162,0.014288,0.041773,0.0089422,0.0071746
"581/186.1124mz/2.16min",0.008492,-0.0020538,-0.00058899,-0.0032108,0.012575,-9.6452e-06
"584/324.1917mz/2.16min",-0.0031344,-0.0014843,0.0011714,0.0098744,0.005119,-0.0057733
"585/227.1026mz/2.14min",-0.0010842,-0.0023975,0.010745,-0.0053258,-0.011275,-0.011068
"586/325.1953mz/2.16min",-0.002893,-0.0017982,0.00099971,0.0099012,0.0046119,0.00017978
"592/221.1212mz/2.18min",0.0017104,0.0037697,0.009116,0.0013706,0.0046685,0.00016985
"593/220.1179mz/2.18min",0.0015739,0.0034211,0.0085277,0.0016226,0.0049409,0.01089
"594/242.0998mz/2.18min",0.0039082,0.0089799,0.0039287,-0.00039608,0.0032988,0.0056942
"596/283.1286mz/2.18min",-0.0065316,-0.00053232,-0.012051,0.01811,0.0070761,-0.0021438
"599/232.1543mz/2.2min",0.0044577,-0.0024664,0.013094,0.0031833,0.010301,0.016975
