"MetaboAnalyst_ID","Fold.Change","log2.FC.","shared_name"
"4502/650.4387mz/7.62min",0.036863,-4.7617,"4502"
"6420/610.1835mz/9.64min",0.0792,-3.6584,"6420"
"6671/785.5845mz/10.26min",11.129,3.4763,"6671"
"6018/427.3203mz/8.91min",0.090811,-3.461,"6018"
"3439/375.2509mz/6.8min",0.095609,-3.3867,"3439"
"5502/629.6168mz/8.27min",10.21,3.3519,"5502"
"3438/370.295mz/6.8min",0.098231,-3.3477,"3438"
"3062/405.1693mz/6.43min",0.11124,-3.1682,"3062"
"5270/758.5693mz/8.14min",8.4275,3.0751,"5270"
"5019/389.1744mz/8.0min",0.12192,-3.036,"5019"
"5845/776.2319mz/8.67min",0.12685,-2.9788,"5845"
"6448/144.982mz/9.76min",0.12854,-2.9597,"6448"
"3763/407.185mz/7.12min",0.13475,-2.8916,"3763"
"6608/758.5685mz/10.24min",6.5531,2.7122,"6608"
"3215/371.1009mz/6.59min",0.15292,-2.7092,"3215"
"6401/708.5919mz/9.62min",6.4715,2.6941,"6401"
"4820/389.1744mz/7.86min",0.15838,-2.6585,"4820"
"4815/390.1777mz/7.86min",0.16046,-2.6397,"4815"
"5446/628.6135mz/8.29min",6.2173,2.6363,"5446"
"5126/371.1009mz/8.11min",0.16157,-2.6298,"5126"
"4933/449.3023mz/7.95min",0.16228,-2.6235,"4933"
"4612/389.1744mz/7.7min",0.16505,-2.5991,"4612"
"4768/410.2042mz/7.81min",0.17254,-2.535,"4768"
"4776/341.1379mz/7.81min",0.17667,-2.5009,"4776"
"3086/399.2504mz/6.48min",0.18018,-2.4725,"3086"
"4773/409.2008mz/7.81min",0.18369,-2.4447,"4773"
"4770/323.1273mz/7.81min",0.18418,-2.4408,"4770"
"6670/784.5813mz/10.27min",5.3933,2.4312,"6670"
"5146/223.0635mz/8.11min",0.18594,-2.4271,"5146"
"5599/703.2141mz/8.43min",0.18639,-2.4236,"5599"
"4772/392.1934mz/7.81min",0.18655,-2.4224,"4772"
"5592/445.1198mz/8.43min",0.18886,-2.4046,"5592"
"5593/702.2134mz/8.43min",0.19065,-2.391,"5593"
"4769/391.1901mz/7.81min",0.1908,-2.3899,"4769"
"1751/458.2248mz/5.21min",5.1718,2.3707,"1751"
"436/267.1801mz/3.27min",0.19538,-2.3557,"436"
"4782/431.1823mz/7.82min",0.19724,-2.342,"4782"
"438/289.162mz/3.27min",0.20206,-2.3071,"438"
"5287/470.4564mz/8.22min",0.20213,-2.3067,"5287"
"6445/146.9802mz/9.75min",0.20242,-2.3046,"6445"
"5128/629.1949mz/8.11min",0.20516,-2.2852,"5128"
"5129/630.1924mz/8.11min",0.20517,-2.2851,"5129"
"4980/531.3654mz/7.99min",0.20624,-2.2776,"4980"
"4858/310.31mz/7.88min",0.21169,-2.2399,"4858"
"4977/481.3286mz/7.99min",0.21808,-2.197,"4977"
"5123/628.1942mz/8.11min",0.21991,-2.185,"5123"
"433/284.2067mz/3.27min",0.22014,-2.1835,"433"
"1728/457.221mz/5.21min",4.494,2.168,"1728"
"4424/740.5221mz/7.63min",0.22482,-2.1532,"4424"
"3088/421.2322mz/6.48min",0.22855,-2.1294,"3088"
"5117/563.3914mz/8.09min",0.22967,-2.1224,"5117"
"2291/439.1743mz/5.55min",0.23404,-2.0952,"2291"
"3898/149.0448mz/7.21min",0.23463,-2.0915,"3898"
"3901/297.0822mz/7.21min",0.23619,-2.082,"3901"
"6759/457.1851mz/10.78min",4.2084,2.0733,"6759"
"3891/371.1009mz/7.21min",0.23855,-2.0676,"3891"
"4901/284.2945mz/7.88min",0.23876,-2.0664,"4901"
"4657/557.1734mz/7.72min",0.23928,-2.0632,"4657"
"6338/144.9821mz/9.44min",4.1747,2.0617,"6338"
"3890/190.0713mz/7.21min",0.24181,-2.048,"3890"
"4649/556.1735mz/7.72min",0.24425,-2.0336,"4649"
"4661/537.1491mz/7.72min",0.24497,-2.0293,"4661"
"3816/804.5504mz/7.14min",4.0538,2.0193,"3816"
"5324/502.4098mz/8.18min",0.24702,-2.0173,"5324"
"5601/371.101mz/8.43min",0.24757,-2.0141,"5601"
"3889/463.1302mz/7.21min",0.24793,-2.012,"3889"
"4665/555.1762mz/7.72min",0.24965,-2.002,"4665"
"3887/446.1202mz/7.21min",0.25218,-1.9875,"3887"
"4645/371.1009mz/7.72min",0.25519,-1.9704,"4645"
"4660/355.0695mz/7.72min",0.25689,-1.9608,"4660"
"4650/554.1756mz/7.72min",0.25705,-1.9599,"4650"
"3895/486.1127mz/7.21min",0.25837,-1.9525,"3895"
"3886/445.1197mz/7.21min",0.26183,-1.9333,"3886"
"4783/756.5535mz/7.78min",0.26217,-1.9314,"4783"
"6638/757.5569mz/10.23min",3.805,1.9279,"6638"
"4180/465.2972mz/7.44min",0.26459,-1.9182,"4180"
"5328/467.3727mz/8.18min",0.26522,-1.9147,"5328"
"5284/760.5805mz/8.15min",0.26668,-1.9068,"5284"
"5102/500.4669mz/8.12min",0.26824,-1.8984,"5102"
"4387/547.3602mz/7.61min",0.26843,-1.8974,"4387"
"4094/282.2789mz/7.39min",0.26948,-1.8918,"4094"
"4656/521.1362mz/7.72min",0.26961,-1.8911,"4656"
"5326/507.3654mz/8.18min",0.27157,-1.8806,"5326"
"3888/485.1122mz/7.21min",0.27493,-1.8629,"3888"
"4644/520.1391mz/7.72min",0.27662,-1.854,"4644"
"5219/744.5534mz/8.14min",3.6114,1.8526,"5219"
"4925/391.2991mz/7.94min",0.28004,-1.8363,"4925"
"4257/481.2921mz/7.49min",0.28027,-1.8351,"4257"
"4771/523.3601mz/7.81min",0.28095,-1.8316,"4771"
"3564/483.3076mz/6.97min",0.28247,-1.8238,"3564"
"4648/519.1385mz/7.72min",0.28503,-1.8108,"4648"
"4662/561.1288mz/7.72min",0.28647,-1.8035,"4662"
"4027/467.3128mz/7.33min",0.2881,-1.7954,"4027"
"4641/560.1315mz/7.72min",0.28877,-1.792,"4641"
"4208/796.5483mz/7.42min",0.28918,-1.7899,"4208"
"2039/773.4929mz/5.36min",0.292,-1.776,"2039"
"4659/559.1309mz/7.72min",0.29644,-1.7542,"4659"
"6181/629.4743mz/8.97min",0.2982,-1.7457,"6181"
"486/229.1429mz/3.54min",3.3189,1.7307,"486"
"4666/223.0635mz/7.72min",0.30258,-1.7246,"4666"
"5332/792.5587mz/8.18min",0.30533,-1.7116,"5332"
"6335/146.9802mz/9.43min",3.22,1.687,"6335"
"3727/441.2996mz/7.03min",3.1995,1.6779,"3727"
"3914/223.0636mz/7.21min",0.31365,-1.6728,"3914"
"3072/407.185mz/6.46min",0.31948,-1.6462,"3072"
"2038/393.2857mz/5.36min",0.32553,-1.6191,"2038"
"4765/518.4046mz/7.81min",0.32617,-1.6163,"4765"
"6652/806.5618mz/10.29min",3.0556,1.6114,"6652"
"5106/523.3988mz/8.09min",0.3294,-1.6021,"5106"
"4936/410.3132mz/7.93min",0.33463,-1.5794,"4936"
"3498/313.2734mz/6.88min",2.9775,1.5741,"3498"
"2868/284.3308mz/6.14min",0.3367,-1.5705,"2868"
"3140/514.4463mz/6.53min",0.34255,-1.5456,"3140"
"3228/428.4094mz/6.6min",0.34255,-1.5456,"3228"
"3553/368.4249mz/6.92min",0.34255,-1.5456,"3553"
"3846/470.4563mz/7.17min",0.34255,-1.5456,"3846"
"5056/575.2831mz/8.04min",0.34255,-1.5456,"5056"
"5091/619.3092mz/8.08min",0.34255,-1.5456,"5091"
"5112/522.5967mz/8.1min",0.34255,-1.5456,"5112"
"5626/550.6284mz/8.44min",0.34255,-1.5456,"5626"
"4581/467.3131mz/7.69min",0.34303,-1.5436,"4581"
"5552/672.5044mz/8.38min",0.34474,-1.5364,"5552"
