"","FC","log2(FC)","raw.pval","-log10(p)"
"1002/519.2231mz/5.2min",0.024032,-5.3789,9.9439e-07,6.0024
"447/549.1976mz/4.46min",0.38844,-1.3642,3.5962e-06,5.4442
"1000/473.2177mz/5.2min",0.053956,-4.2121,4.9517e-06,5.3053
"146/261.1344mz/3.36min",3.2359,1.6942,8.9033e-06,5.0505
"1396/684.419mz/5.87min",2.4199,1.275,9.3213e-06,5.0305
"1047/401.1604mz/5.25min",0.41747,-1.2603,1.0973e-05,4.9597
"1045/357.1707mz/5.25min",0.38797,-1.366,1.3121e-05,4.882
"187/199.0976mz/3.69min",2.8956,1.5339,1.3452e-05,4.8712
"134/261.1343mz/3.27min",3.2686,1.7087,1.6448e-05,4.7839
"368/549.1976mz/4.29min",0.27973,-1.8379,1.7191e-05,4.7647
"951/293.1757mz/5.12min",4.9709,2.3135,1.8465e-05,4.7336
"505/413.1968mz/4.56min",0.40793,-1.2936,2.4063e-05,4.6187
"1063/429.2284mz/5.26min",0.36199,-1.466,2.496e-05,4.6028
"521/444.2002mz/4.57min",0.35161,-1.508,2.547e-05,4.594
"872/897.3698mz/5.01min",0.37187,-1.4271,3.1179e-05,4.5061
"533/195.0661mz/4.58min",0.38829,-1.3648,3.2057e-05,4.4941
"477/315.0146mz/4.5min",9.3844,3.2303,3.3351e-05,4.4769
"519/285.1131mz/4.57min",0.38884,-1.3628,3.4075e-05,4.4676
"1257/313.2384mz/5.52min",2.3353,1.2236,3.4883e-05,4.4574
"285/947.3702mz/4.13min",0.23236,-2.1056,3.6817e-05,4.434
"277/301.1657mz/4.08min",3.1877,1.6725,3.7729e-05,4.4233
"1023/493.2442mz/5.22min",0.4968,-1.0093,4.1541e-05,4.3815
"330/549.1976mz/4.18min",0.38865,-1.3635,4.4322e-05,4.3534
"472/423.2388mz/4.5min",5.2366,2.3886,4.5941e-05,4.3378
"1252/475.2335mz/5.52min",0.24278,-2.0423,4.6623e-05,4.3314
"892/843.3594mz/5.05min",0.36584,-1.4507,4.7648e-05,4.322
"1449/620.4026mz/5.97min",2.3245,1.2169,5.1345e-05,4.2895
"295/473.1816mz/4.13min",0.46356,-1.1092,5.1601e-05,4.2873
"888/883.3901mz/5.04min",0.38182,-1.389,5.3604e-05,4.2708
"537/151.0763mz/4.58min",0.31917,-1.6476,5.5866e-05,4.2529
