"Log2_FoldChange","MetaboAnalyst_ID"
0.123,"83/158.0822mz/2.03min"
0.42626,"84/259.1299mz/2.05min"
-0.052558,"85/287.0521mz/2.08min"
-0.32201,"86/129.0557mz/2.08min"
0.1491,"87/224.0564mz/2.08min"
-0.57915,"88/220.0649mz/2.1min"
-0.33006,"89/231.0986mz/2.1min"
-0.46061,"91/117.0558mz/2.13min"
1.3967,"93/153.0194mz/2.14min"
-0.57997,"94/167.035mz/2.15min"
0.11388,"97/218.1034mz/2.18min"
0.083956,"98/281.099mz/2.18min"
1.6121,"102/145.0507mz/2.22min"
0.86448,"109/125.0245mz/2.27min"
1.2465,"110/420.151mz/2.27min"
-0.30245,"111/287.1249mz/2.27min"
-0.46175,"112/181.0507mz/2.28min"
0.086416,"113/245.1142mz/2.28min"
0.52258,"114/277.0387mz/2.3min"
-0.14457,"115/131.0714mz/2.3min"
0.13997,"120/213.0404mz/2.33min"
-0.87245,"121/212.0645mz/2.34min"
1.9284,"123/274.0933mz/2.34min"
-0.56616,"125/211.0612mz/2.34min"
1.0225,"129/260.1139mz/2.36min"
1.8993,"131/153.0193mz/2.38min"
0.9303,"132/497.1775mz/2.37min"
1.2513,"133/196.0979mz/2.38min"
0.28408,"134/343.0756mz/2.38min"
1.1955,"135/259.1017mz/2.38min"
1.4268,"136/102.056mz/2.38min"
0.6229,"137/326.0859mz/2.38min"
1.8586,"138/517.2039mz/2.38min"
1.1909,"139/258.0983mz/2.39min"
1.5779,"140/539.1859mz/2.39min"
0.041399,"141/129.0557mz/2.39min"
1.9325,"142/535.2146mz/2.38min"
1.2584,"143/214.1085mz/2.39min"
1.3397,"144/184.0979mz/2.39min"
1.2546,"145/260.1033mz/2.39min"
0.72159,"147/230.1034mz/2.43min"
2.046,"148/675.2884mz/2.42min"
1.8553,"149/175.0612mz/2.47min"
0.99771,"150/224.0644mz/2.43min"
0.93019,"151/223.0612mz/2.43min"
-0.57198,"153/607.2412mz/2.43min"
0.087854,"154/416.1825mz/2.43min"
-0.079119,"156/479.1783mz/2.44min"
1.4257,"157/204.0302mz/2.45min"
-0.013047,"158/188.0353mz/2.46min"
2.1447,"160/228.0877mz/2.45min"
-0.41292,"162/158.0822mz/2.46min"
0.078946,"165/194.0458mz/2.47min"
-0.61126,"166/259.1299mz/2.47min"
-0.61456,"167/260.1331mz/2.47min"
-0.52688,"168/322.1256mz/2.47min"
0.24129,"170/260.114mz/2.48min"
-0.2413,"172/144.0455mz/2.48min"
0.82308,"173/230.1034mz/2.48min"
0.24175,"174/779.318mz/2.49min"
0.017772,"175/752.299mz/2.49min"
0.21613,"176/716.3225mz/2.49min"
-0.33037,"178/907.3803mz/2.49min"
1.7011,"179/167.0349mz/2.5min"
-0.73339,"180/190.0509mz/2.5min"
-0.35,"181/146.0611mz/2.5min"
0.088388,"183/181.0506mz/2.51min"
0.064595,"184/182.0539mz/2.51min"
-0.2799,"186/786.2858mz/2.52min"
0.54468,"187/175.0612mz/2.53min"
-0.31636,"188/139.0401mz/2.53min"
-0.20723,"190/95.0502mz/2.53min"
0.13096,"191/303.1562mz/2.54min"
0.62531,"192/153.0193mz/2.53min"
-0.53724,"194/286.1492mz/2.55min"
-0.49649,"197/285.1456mz/2.55min"
-0.64885,"201/587.2935mz/2.56min"
-0.16381,"202/171.0775mz/2.57min"
-0.17349,"203/301.1406mz/2.57min"
-0.31068,"204/364.1359mz/2.57min"
-0.20364,"205/399.1075mz/2.57min"
-0.5459,"206/605.2945mz/2.57min"
-0.20416,"207/625.2704mz/2.57min"
-0.17481,"208/303.1458mz/2.57min"
-0.169,"209/302.1441mz/2.57min"
-0.53422,"210/603.2887mz/2.57min"
0.17704,"215/548.2462mz/2.59min"
0.67668,"216/246.0983mz/2.59min"
-0.044923,"217/386.1179mz/2.6min"
0.1236,"218/214.1085mz/2.6min"
0.92015,"219/247.1016mz/2.6min"
0.12945,"220/196.9761mz/2.59min"
0.2643,"222/183.0662mz/2.61min"
-0.70261,"224/295.1147mz/2.61min"
0.20896,"228/233.1223mz/2.61min"
0.43986,"229/131.0714mz/2.61min"
0.24745,"230/232.119mz/2.61min"
1.2523,"233/463.2302mz/2.62min"
1.7179,"236/118.051mz/2.62min"
1.7739,"238/100.0404mz/2.62min"
0.79304,"239/129.0557mz/2.62min"
2.6653,"240/461.214mz/2.62min"
1.7166,"241/230.1034mz/2.62min"
1.7596,"242/231.1067mz/2.62min"
1.8278,"245/232.108mz/2.62min"
1.8065,"246/258.0982mz/2.61min"
2.1491,"249/483.196mz/2.63min"
1.1277,"251/293.0991mz/2.63min"
1.0469,"253/315.081mz/2.63min"
0.77206,"258/211.0612mz/2.65min"
1.1052,"260/298.0908mz/2.65min"
-0.95429,"261/167.0713mz/2.67min"
-0.24,"263/159.0662mz/2.68min"
-0.16628,"265/178.051mz/2.68min"
-0.013794,"267/373.0055mz/2.7min"
0.60524,"268/247.0724mz/2.71min"
0.25692,"271/179.0713mz/2.71min"
0.65525,"272/181.0507mz/2.71min"
-2.2382,"273/449.1088mz/2.71min"
-0.59515,"283/188.0928mz/2.76min"
-0.095738,"287/420.1598mz/2.79min"
1.3162,"288/239.056mz/2.78min"
0.0074361,"290/163.0434mz/2.79min"
0.054131,"291/157.0506mz/2.79min"
0.057461,"293/315.1562mz/2.81min"
0.035918,"299/265.0176mz/2.83min"
