"","FC","log2(FC)","raw.pval","-log10(p)"
"2048/425.1568mz/5.25min",0.21727,-2.2024,7.5417e-08,7.1225
"1990/517.2405mz/5.23min",0.18058,-2.4693,2.31e-06,5.6364
"1901/529.2405mz/5.17min",0.21485,-2.2186,5.7367e-06,5.2413
"717/277.5883mz/4.13min",0.43104,-1.2141,7.7603e-06,5.1101
"1725/531.2564mz/5.06min",0.31991,-1.6443,1.0627e-05,4.9736
"1435/499.2297mz/4.87min",0.38313,-1.3841,1.1012e-05,4.9581
"1619/514.3135mz/4.99min",0.12892,-2.9554,1.2216e-05,4.9131
"2334/489.2468mz/5.41min",0.10897,-3.1981,1.237e-05,4.9076
"1031/465.1878mz/4.57min",0.026287,-5.2495,1.2945e-05,4.8879
"1996/497.2139mz/5.24min",0.029862,-5.0655,3.3319e-05,4.4773
"1054/282.1066mz/4.58min",0.45238,-1.1444,3.3692e-05,4.4725
"597/162.0994mz/3.69min",0.38836,-1.3645,3.6781e-05,4.4344
"2836/469.2556mz/5.84min",0.1347,-2.8921,4.2335e-05,4.3733
"3253/331.6933mz/6.3min",0.42601,-1.231,4.3263e-05,4.3639
"1693/506.215mz/5.04min",0.19774,-2.3383,4.8122e-05,4.3177
"525/164.1071mz/3.45min",0.36029,-1.4728,4.9928e-05,4.3017
"2033/885.4045mz/5.25min",0.11109,-3.1703,5.0953e-05,4.2928
"524/105.0699mz/3.45min",0.38321,-1.3838,5.9584e-05,4.2249
"1696/907.3867mz/5.05min",0.17343,-2.5276,6.4348e-05,4.1915
"595/161.0962mz/3.69min",0.3915,-1.3529,6.4579e-05,4.1899
"1695/465.1877mz/5.04min",0.217,-2.2042,6.5948e-05,4.1808
"4271/485.1122mz/7.21min",0.014089,-6.1493,7.045e-05,4.1521
"3758/375.251mz/6.79min",0.042304,-4.5631,7.3674e-05,4.1327
"1476/975.4703mz/4.88min",0.42374,-1.2387,8.0316e-05,4.0952
"3098/482.3238mz/6.07min",2.5734,1.3637,9.4319e-05,4.0254
"982/473.1803mz/4.52min",0.21851,-2.1942,0.00011477,3.9402
"2704/507.2586mz/5.74min",0.19157,-2.384,0.00011717,3.9312
"5042/519.1385mz/7.72min",0.018263,-5.7749,0.00012745,3.8947
"2495/457.2215mz/5.55min",0.043589,-4.5199,0.00013497,3.8698
"1200/497.2128mz/4.72min",0.14869,-2.7496,0.00013589,3.8668
"2699/489.2476mz/5.74min",0.16855,-2.5688,0.00014428,3.8408
"1763/499.23mz/5.08min",0.019991,-5.6445,0.00016766,3.7756
"869/497.2141mz/4.36min",0.1239,-3.0127,0.00017595,3.7546
"1714/425.1567mz/5.05min",0.28742,-1.7988,0.0001807,3.743
"1899/411.2161mz/5.17min",0.14036,-2.8328,0.00018295,3.7377
"5052/559.1309mz/7.72min",0.014207,-6.1372,0.00019845,3.7024
"2081/479.2035mz/5.27min",0.27374,-1.8691,0.00020047,3.698
"934/473.1803mz/4.46min",0.195,-2.3584,0.00020221,3.6942
"1925/457.2212mz/5.23min",3.7637,1.9122,0.00020627,3.6856
"1595/431.2421mz/4.97min",0.19557,-2.3542,0.00021607,3.6654
"1150/481.1825mz/4.67min",0.19819,-2.3351,0.00024277,3.6148
"2509/469.2556mz/5.56min",0.15826,-2.6596,0.00026592,3.5753
"2614/441.2267mz/5.62min",0.19094,-2.3888,0.0002764,3.5585
"1528/231.1378mz/4.93min",0.26695,-1.9054,0.00027704,3.5575
"2303/391.1899mz/5.38min",0.30684,-1.7044,0.00028206,3.5497
"860/471.1988mz/4.34min",0.16158,-2.6297,0.00029112,3.5359
"738/949.3844mz/4.13min",0.1393,-2.8437,0.00029113,3.5359
"493/199.0941mz/3.3min",0.017563,-5.8313,0.00029456,3.5308
"579/177.1274mz/3.65min",0.46497,-1.1048,0.00029566,3.5292
"411/155.0703mz/2.98min",0.16849,-2.5693,0.00031865,3.4967
"478/267.1801mz/3.27min",0.14505,-2.7854,0.00032037,3.4944
"2388/387.1798mz/5.44min",0.3178,-1.6538,0.00032753,3.4847
"4057/181.0494mz/7.06min",3.0933,1.6291,0.00033196,3.4789
"1131/939.376mz/4.67min",0.17997,-2.4742,0.00033337,3.4771
"2189/499.2298mz/5.33min",0.38827,-1.3649,0.00039731,3.4009
"669/720.349mz/3.92min",4.9755,2.3148,0.00041252,3.3846
"1136/917.3943mz/4.67min",0.30972,-1.6909,0.00042022,3.3765
"3335/991.6717mz/6.41min",3.5654,1.8341,0.00042452,3.3721
"944/487.2663mz/4.48min",0.11859,-3.0759,0.00044072,3.3558
"2304/405.2055mz/5.38min",0.31363,-1.6729,0.00044339,3.3532
"1537/421.2004mz/4.93min",0.28593,-1.8063,0.00044674,3.3499
"1146/522.2093mz/4.67min",0.26477,-1.9172,0.00047374,3.3245
"4266/445.1197mz/7.21min",0.020548,-5.6048,0.0004744,3.3239
"1071/622.3344mz/4.61min",0.1894,-2.4005,0.00049701,3.3036
"2305/423.2161mz/5.38min",0.32502,-1.6214,0.00049817,3.3026
"700/702.3381mz/4.03min",5.108,2.3528,0.00052206,3.2823
"1536/411.2162mz/4.93min",0.3075,-1.7013,0.00053598,3.2709
"2739/443.2423mz/5.76min",0.26399,-1.9215,0.00054278,3.2654
"728/538.2045mz/4.13min",0.048254,-4.3732,0.0005437,3.2646
"1519/933.4601mz/4.92min",0.31772,-1.6542,0.00054608,3.2627
"866/266.1725mz/4.36min",0.080414,-3.6364,0.00054637,3.2625
"760/497.192mz/4.16min",606.62,9.2446,0.00054723,3.2618
"3517/371.1009mz/6.6min",0.0025264,-8.6287,0.00056167,3.2505
"2300/441.2266mz/5.38min",0.3338,-1.583,0.00058574,3.2323
"658/752.375mz/3.89min",5.5001,2.4594,0.00059145,3.2281
"438/147.1016mz/3.08min",0.22216,-2.1704,0.00059372,3.2264
"2297/409.2005mz/5.38min",0.33642,-1.5717,0.00060114,3.221
"1195/586.2515mz/4.71min",4.9742,2.3145,0.00061568,3.2106
"662/526.2547mz/3.92min",4.4807,2.1637,0.00062006,3.2076
"691/508.244mz/4.01min",5.5536,2.4734,0.00062998,3.2007
"874/222.0761mz/4.35min",569.79,9.1543,0.00064327,3.1916
"603/316.1153mz/3.69min",6.338,2.664,0.0006524,3.1855
"1421/465.1875mz/4.87min",0.18058,-2.4693,0.00065638,3.1828
"440/103.0754mz/3.08min",0.23707,-2.0766,0.00065892,3.1812
"1530/440.2146mz/4.93min",0.25111,-1.9936,0.00065949,3.1808
"1251/499.2302mz/4.75min",0.29985,-1.7377,0.00067436,3.1711
"2375/428.2143mz/5.41min",0.27809,-1.8464,0.00068803,3.1624
"2417/241.1772mz/5.47min",0.48887,-1.0325,0.0006933,3.1591
"551/179.0703mz/3.53min",0.3624,-1.4643,0.00070079,3.1544
"1531/393.2056mz/4.93min",0.2995,-1.7394,0.00071461,3.1459
"4552/558.4149mz/7.44min",2.7901,1.4803,0.00071951,3.143
"1916/439.2112mz/5.19min",0.10038,-3.3164,0.00072031,3.1425
"2646/458.2254mz/5.67min",0.17317,-2.5297,0.00072054,3.1423
"850/464.1912mz/4.32min",369.45,8.5292,0.00073774,3.1321
"417/179.0704mz/3.04min",11.552,3.5301,0.00074619,3.1271
"1159/472.1957mz/4.68min",6.1265,2.6151,0.00075609,3.1214
"4337/592.3993mz/7.27min",3.0923,1.6287,0.00075636,3.1213
"1269/485.1912mz/4.77min",6.163,2.6236,0.00077264,3.112
"1058/357.1692mz/4.59min",0.36749,-1.4442,0.00077465,3.1109
"1257/460.2403mz/4.76min",0.22425,-2.1568,0.00078327,3.1061
"601/294.1333mz/3.69min",6.2576,2.6456,0.00078631,3.1044
"1050/397.2005mz/4.58min",0.20722,-2.2708,0.00080357,3.095
"343/141.0546mz/2.45min",0.1855,-2.4305,0.00081245,3.0902
"701/203.1179mz/4.04min",0.1859,-2.4274,0.00082513,3.0835
"2157/531.2561mz/5.31min",0.27713,-1.8513,0.0008302,3.0808
"747/385.1642mz/4.15min",0.36542,-1.4524,0.00083091,3.0804
"2136/446.2615mz/5.29min",0.26833,-1.8979,0.00084349,3.0739
"1772/459.2372mz/5.05min",0.15887,-2.654,0.00084446,3.0734
"1533/439.2112mz/4.93min",0.305,-1.7131,0.00085747,3.0668
"1263/575.2358mz/4.76min",6.3297,2.6621,0.0008883,3.0514
"1791/477.2484mz/5.09min",0.10803,-3.2105,0.00091633,3.0379
"1797/390.2716mz/5.09min",4.7369,2.244,0.00091758,3.0374
"2959/482.3246mz/5.94min",3.4046,1.7675,0.00092877,3.0321
"4850/327.2677mz/7.66min",0.32997,-1.5996,0.00095233,3.0212
"2340/427.2111mz/5.41min",0.33597,-1.5736,0.00098202,3.0079
"1040/425.1954mz/4.57min",0.20072,-2.3167,0.00098963,3.0045
"1180/562.2406mz/4.69min",6.5817,2.7185,0.0010032,2.9986
"1044/443.2062mz/4.57min",0.25131,-1.9925,0.0010071,2.9969
"2736/467.2397mz/5.77min",0.025941,-5.2686,0.0010125,2.9946
"2080/442.1942mz/5.27min",0.33672,-1.5704,0.0010217,2.9907
"331/157.0835mz/2.37min",0.056252,-4.152,0.001043,2.9817
"1045/444.2094mz/4.57min",0.2433,-2.0392,0.00106,2.9747
"589/510.2598mz/3.67min",6.2067,2.6338,0.001105,2.9567
"614/540.2704mz/3.77min",4.348,2.1204,0.0011092,2.955
"2302/459.2373mz/5.38min",0.34071,-1.5534,0.0011104,2.9545
"3076/489.2169mz/6.05min",3.0775,1.6218,0.0011171,2.9519
"2126/439.2104mz/5.29min",0.31501,-1.6665,0.0011177,2.9517
"1034/301.143mz/4.58min",0.20702,-2.2722,0.0011815,2.9276
"919/425.1955mz/4.45min",0.30963,-1.6914,0.0012077,2.9181
"2280/329.1743mz/5.37min",0.35736,-1.4846,0.0012147,2.9155
"2036/443.2062mz/5.25min",0.26474,-1.9174,0.001281,2.8924
"5156/315.2314mz/7.86min",0.20253,-2.3038,0.0013078,2.8835
"1849/165.1273mz/5.14min",2.0084,1.0061,0.0013392,2.8731
"5293/310.3099mz/7.89min",0.045743,-4.4503,0.0013436,2.8717
"2808/494.3235mz/5.82min",2.1502,1.1045,0.001354,2.8684
"657/389.0865mz/3.89min",5.4807,2.4543,0.0013737,2.8621
"332/418.1969mz/2.37min",62.078,5.956,0.0013782,2.8607
"641/720.3491mz/3.84min",140.28,7.1321,0.0013824,2.8594
"647/319.0447mz/3.87min",179.35,7.4866,0.0013882,2.8576
"2131/445.2584mz/5.29min",0.30065,-1.7338,0.0014239,2.8465
"449/194.0813mz/3.13min",33.274,5.0563,0.0014242,2.8464
"2427/536.2864mz/5.48min",0.45505,-1.1359,0.0014267,2.8457
"1260/459.2362mz/4.76min",0.20574,-2.2811,0.0014321,2.844
"2871/506.3238mz/5.88min",2.8203,1.4958,0.0014989,2.8242
"635/584.2966mz/3.82min",7.2292,2.8538,0.0015031,2.823
"2438/443.2426mz/5.48min",0.03208,-4.9622,0.0015247,2.8168
"2201/428.17mz/5.34min",125.76,6.9745,0.0015279,2.8159
"491/87.0442mz/3.3min",0.012799,-6.2878,0.0015381,2.813
"2557/515.2613mz/5.59min",0.34066,-1.5536,0.0015606,2.8067
"2983/269.6615mz/5.97min",0.31843,-1.651,0.0015628,2.8061
"2094/441.1906mz/5.28min",0.41973,-1.2525,0.0015809,2.8011
"2647/457.2213mz/5.67min",0.24344,-2.0383,0.001607,2.794
"1795/389.2682mz/5.09min",4.2221,2.078,0.0016194,2.7907
"2175/430.2303mz/5.32min",0.26801,-1.8996,0.0016266,2.7887
"1961/458.2248mz/5.23min",5.4061,2.4346,0.0016315,2.7874
"1467/515.2039mz/4.88min",0.4196,-1.2529,0.0016714,2.7769
"722/357.1692mz/4.13min",0.26881,-1.8953,0.0016821,2.7741
"1270/915.3703mz/4.78min",0.29189,-1.7765,0.001712,2.7665
"5040/371.1009mz/7.72min",0.026051,-5.2625,0.0017263,2.7629
"1538/475.2321mz/4.93min",0.34148,-1.5501,0.0017266,2.7628
"1708/885.4047mz/5.05min",0.18593,-2.4271,0.0017602,2.7544
