"","PC1","PC2","PC3","PC4","PC5","PC6"
"405/182.0786mz/2.03min",-0.011501,-0.0048751,-0.014233,0.004222,0.00010456,-0.51543
"406/341.1682mz/2.03min",-0.025791,-0.023455,-0.027144,0.0093228,-0.033586,-0.31208
"407/160.0968mz/2.03min",-0.010661,-0.0059618,-0.010802,0.0031068,-0.0045044,0.4267
"408/100.0756mz/2.03min",-0.011908,-0.0098553,-0.025438,0.0032203,-0.012629,-0.30437
"412/261.1444mz/2.04min",0.0011046,0.0095688,-0.027476,0.010592,0.0050034,-0.36217
"415/285.1445mz/2.06min",0.013776,0.0152,0.002957,0.017906,0.013985,0.010642
"418/215.139mz/2.06min",-0.0039132,0.0067448,-0.016946,-0.0053749,0.0029421,0.00061029
"419/348.1916mz/2.06min",-0.031365,0.015998,-0.0030989,0.0072606,-0.0060217,-0.0027294
"421/188.0376mz/2.07min",-0.042762,-0.043572,-0.032449,0.0069142,-0.019556,0.0029657
"422/113.0596mz/2.08min",0.0010324,0.0024071,0.0041692,0.0075934,0.009991,-0.0073199
"424/226.071mz/2.08min",-0.038052,-0.012237,0.0013526,0.008868,0.0014608,0.02071
"425/248.0528mz/2.08min",-0.037089,-0.0082351,-0.00365,0.018605,-0.010859,-0.0088232
"428/244.0613mz/2.1min",-0.014795,-0.017799,-0.0008182,0.0045616,-0.0039852,-0.0060167
"429/233.1131mz/2.1min",0.017429,0.026509,-0.015258,0.015476,-0.004,-0.02076
"431/255.0951mz/2.1min",0.017453,0.030648,-0.016268,0.0052386,-0.0046485,0.013525
"432/222.0794mz/2.1min",-0.010007,-0.016572,-0.0087664,0.004264,-0.0061408,0.0084219
"435/170.0812mz/2.11min",0.011615,-0.00051295,-0.011573,0.015003,0.0021993,-0.007282
"436/203.1023mz/2.11min",0.015058,-0.0011202,-0.02002,0.019356,0.012635,-0.0024838
"437/128.0706mz/2.11min",0.013608,0.0012525,-0.014182,0.017185,0.026104,0.0078161
"438/225.0845mz/2.12min",0.014261,0.005625,-0.015752,0.019874,0.019445,0.020912
"440/244.1907mz/2.12min",-0.0014998,-0.00078629,0.0025747,-0.008964,0.00087962,0.021322
"444/323.1386mz/2.14min",-0.014801,0.0030905,0.018211,-0.0059324,0.010214,-0.0024687
"446/146.1175mz/2.14min",0.0042525,0.0065218,-0.0083141,-0.00064707,-0.0031296,-0.0034281
"449/254.1386mz/2.15min",0.013889,-0.013984,-0.0025536,0.0059112,0.033729,-0.00052186
"451/324.1917mz/2.15min",-0.033692,-0.01057,0.013755,-0.01265,0.011147,0.018065
"453/233.1576mz/2.19min",-0.0025142,0.0011591,0.0065836,0.017167,0.0081852,-0.021193
"455/220.1179mz/2.19min",-0.0077446,-0.0063692,-0.012254,-0.010912,0.01123,-0.0072358
"456/242.0999mz/2.19min",-0.0064839,-0.0032224,-0.0072404,-0.013482,0.014787,-0.00067805
"457/232.1543mz/2.19min",-0.0029039,0.0012528,0.0048647,0.015774,0.0098758,-0.0060751
"459/221.1212mz/2.18min",-0.010583,-0.0073181,-0.0084945,-0.01087,0.031468,-0.0039082
"461/243.0839mz/2.2min",0.037172,-0.052705,0.0091216,0.078328,0.094976,-0.011529
"464/296.0877mz/2.21min",-0.059365,-0.015287,0.013377,-0.0068013,0.03582,0.0094267
"470/212.0892mz/2.21min",-0.033703,-0.019517,-0.0139,-0.0048332,-0.0026222,0.0069392
"474/285.1444mz/2.22min",0.013429,0.014686,-0.0052408,0.01328,0.0098906,-0.0001028
"475/426.2232mz/2.22min",-0.046138,-0.012932,0.024448,-0.011873,0.02409,7.0631e-05
"476/419.2287mz/2.21min",-0.021057,0.0041141,0.0081898,0.0098298,0.014079,0.0038596
"477/210.0735mz/2.21min",0.017971,0.0089779,-0.01341,0.0064651,0.013366,-7.569e-05
"479/101.0596mz/2.22min",0.0054496,0.025345,0.01439,0.019194,0.012359,0.0062326
"480/129.0546mz/2.22min",0.0022124,0.0089411,0.01084,-0.00083605,0.023963,-0.0079911
"482/184.1695mz/2.23min",0.0017891,-0.0013762,0.00070653,-0.007659,0.0031308,-0.014668
"484/185.1728mz/2.23min",0.0016194,-0.0012114,0.00039437,-0.0089767,0.0047002,0.0035573
"485/214.1074mz/2.24min",-0.017249,0.013958,-0.012968,0.012962,-0.00020174,0.0039097
"486/202.1072mz/2.26min",0.0081997,0.00092119,-0.0042888,0.021377,0.0047287,-0.0099043
"487/323.1386mz/2.24min",-0.02163,0.0090634,0.034616,-0.012837,0.035378,-0.016682
"489/214.0508mz/2.24min",-0.01931,-0.0203,-0.0093477,-0.0041293,0.0021806,0.0035223
"490/645.2699mz/2.24min",-0.03419,0.012872,0.063481,-0.014207,0.055806,-0.0037667
"492/174.0583mz/2.24min",-0.029786,-0.035419,-0.035878,-0.00014997,-0.019766,0.0099187
"493/192.0689mz/2.25min",-0.023211,-0.027432,-0.022878,-0.0014664,-0.010422,-0.013877
"494/323.6402mz/2.24min",-0.022023,0.0081284,0.037663,-0.012754,0.0382,-0.0068476
"495/289.1393mz/2.26min",0.028048,0.047108,-0.011149,0.020042,-0.0062947,-0.0016833
"496/188.0705mz/2.26min",-0.011425,-0.0010589,-0.0049141,0.0015957,0.0089407,0.00027453
"497/422.1654mz/2.27min",-0.011622,0.022477,-0.026721,0.04888,-0.033734,-0.0070292
"498/205.0971mz/2.27min",-0.010896,-0.0017459,-0.003962,0.0007479,0.0061188,-0.0064427
"499/218.1281mz/2.27min",0.0011699,-0.00011006,-0.00050885,-0.0016656,-0.0019645,0.0069487
"500/217.1247mz/2.27min",0.0010058,-0.00072425,-0.0019901,-0.00055601,-0.0063448,0.0036299
"503/200.1045mz/2.27min",0.00085423,0.00023525,-0.0017501,-0.0014908,0.0017373,-0.02135
"504/206.1005mz/2.26min",-0.0131,-0.0016052,-0.0054479,0.0024893,0.010511,-0.0020737
"506/189.0739mz/2.27min",-0.010262,-0.001111,-0.0067075,0.0023272,0.0064995,-0.010647
"507/127.0389mz/2.26min",-0.0095432,0.0030293,-0.00015198,0.0027379,0.01089,0.0072827
"508/340.1864mz/2.27min",-0.040629,-0.011489,-0.0026085,-0.005761,-0.02798,-0.0014233
"509/358.1972mz/2.26min",-0.048156,-0.0056877,0.025249,-0.0085095,-0.0057619,0.0031261
"511/247.1288mz/2.31min",-0.022525,-0.015172,-0.044388,0.016287,-0.023952,0.0066589
"512/292.1655mz/2.28min",-0.05501,-0.014765,0.024468,-0.017908,0.019224,-0.00034851
"513/195.1227mz/2.28min",-6.2682e-05,-0.0033083,-0.00012176,-0.0061284,0.0019885,-4.4625e-05
"514/218.1081mz/2.28min",0.0016271,-0.00077572,-0.0052295,-0.0010548,0.0038869,0.00052557
"515/217.1046mz/2.29min",0.0014984,-0.00055333,-0.0053194,-0.0011574,0.0029176,0.00015208
"516/322.176mz/2.29min",-0.0424,-0.024853,-0.0021301,-0.015367,0.0014957,0.00066555
"517/202.1072mz/2.37min",0.010649,0.017805,-0.022262,0.017509,-0.0060391,-0.0074389
"520/115.0753mz/2.3min",0.019335,0.016371,-0.00054074,0.010784,0.0033546,-0.0016827
"522/245.1495mz/2.31min",0.022577,0.017169,-0.012508,-0.0048249,-0.022576,-0.0095226
"523/135.0416mz/2.31min",0.0050581,0.011076,-0.015883,0.012645,-0.0043388,-0.020687
"524/408.2127mz/2.31min",-0.061443,-0.031169,-0.019275,-0.0029583,-0.015763,0.0078782
"525/95.0491mz/2.31min",0.0083892,0.029391,-0.02307,0.042771,-0.01561,-0.01287
"526/113.0597mz/2.31min",0.0077253,0.014779,-0.014855,0.016411,-0.0028638,0.029179
"528/114.063mz/2.31min",0.0090872,0.014302,-0.017445,0.016587,-0.0047117,-0.0054365
"530/225.1121mz/2.31min",0.017709,0.020587,-0.032688,0.027755,-0.020768,0.00034151
"532/231.1703mz/2.32min",-0.0059058,-0.00049877,-0.018154,0.0032297,-0.00060656,0.007839
"533/267.1315mz/2.32min",0.020734,0.019024,-0.018829,0.019939,-0.0065069,0.0042292
"539/244.2012mz/2.33min",0.0029673,-0.0014863,-0.0020718,-0.00079317,-0.0068439,-0.010287
"541/190.0861mz/2.33min",-0.023602,0.013799,-0.014168,-0.031538,-0.00046083,0.006834
"548/213.0756mz/2.34min",0.022148,-0.00068492,0.018519,0.021584,-0.0099686,-0.0074825
"552/131.0703mz/2.35min",0.0086829,0.010183,-0.0085479,0.01083,-0.0040745,0.0071684
"553/262.1284mz/2.36min",0.0053034,0.022468,0.00093805,0.014651,0.002361,-0.00018764
"558/220.1184mz/2.32min",0.007972,-0.0085453,-0.018938,-0.022388,0.078815,0.011729
"559/327.1549mz/2.36min",-0.021144,-0.023737,-0.014419,-0.006348,0.0080432,0.0015187
"561/240.0864mz/2.35min",-0.03966,-0.02344,-0.024735,0.0046789,-0.013527,0.014881
"564/330.2387mz/2.38min",-0.016569,-0.0061142,-0.0071411,0.0094383,0.0015874,-0.013839
"565/187.1077mz/2.38min",0.0011822,0.0023926,-0.0079436,0.0052692,0.0035987,0.015234
"566/262.1179mz/2.38min",-0.0048573,0.021407,-0.0057421,0.017959,-0.0086514,-0.0025212
"567/242.1023mz/2.38min",-0.0043363,0.01332,-0.0088177,0.016851,-0.0017107,0.0089329
"569/541.2mz/2.38min",-0.0049854,0.037107,-0.0013304,0.036816,-0.018754,-0.0026411
"571/260.1128mz/2.38min",-0.0048465,0.021168,-0.0053205,0.017671,-0.0072051,0.00029308
"572/282.0947mz/2.38min",-0.0037346,0.019015,-0.0055118,0.015575,-0.0050856,-0.013389
