row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGIp1_3_Run186.mzML Peak area,NEG_TJGIp1_2_Run100.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML Peak area,NEG_TJGIp1_1_Run35.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML Peak area,
54,89.02430886625706,0.49225736,,,,,,,,,,,2056341.8,1129147.0,398051.66,1145473.8,1317736.0,694794.6,
4,92.9279590486827,0.34371433,,,,4,,,,,,,1022924.06,1028006.4,894798.6,1133578.5,1063920.2,1000870.56,
5,94.92503291057362,0.34371433,,,,4,,,,,,,690371.7,702202.94,583884.56,751079.75,697151.94,659705.4,
701,96.96004798767689,5.9011426,,,,,,,,,,,120203.875,245048.53,320663.62,629007.06,177821.38,1251070.6,
2108,96.96006949661567,11.01961,,,,,,,,,,,4050417.8,3710812.0,3910449.2,3316665.5,3948840.0,3078400.2,
3,96.96014490696662,0.32820123,,,,,,,,,,,2392139.8,8105709.0,1.05207E7,1.1701953E7,3073985.5,1.3735668E7,
35,96.96949957737172,0.39651632,,,,4,,,,,,,7055410.0,7602993.5,8238824.0,8420960.0,5932888.5,7692605.0,
2015,99.92575065461672,10.197379,,,,,,,,,,,1854793.9,2995903.2,2590366.8,3258736.0,2331302.0,2707960.8,
1888,99.925779178413,8.456452,,,,164,,,,,,,4669840.0,3.5269036E7,6086673.5,3.3277572E7,4864153.0,4.312617E7,
1716,99.92579623427645,8.153499,,,,44,,,,,,,2.805153E7,6447426.0,3.4104164E7,6077469.0,3.1503694E7,8149373.5,
1873,100.9259498179576,8.439643,,,,,,,,,,,528866.2,425145.66,451309.8,945194.06,545988.06,4942311.0,
1564,100.93359442912146,7.7225785,,,,68,,,,,,,1.3110532E7,2800546.0,4052828.0,4189384.5,4212288.0,5677018.5,
1757,100.93362036657699,8.135979,,,,44,,,,,,,3211216.2,1.4671536E7,1.4243608E7,2523654.8,1.6547613E7,1.1269412E7,
31,103.00367889156796,0.3869692,,,,4,,,,,,,1306629.9,1042408.94,1058081.2,1044952.6,1361157.9,1063521.4,
1870,106.04100805613284,8.434771,,,,,,,,,,,83719.73,111606.69,404567.88,17006.754,22998.25,0,
1985,106.04103346108575,9.693126,,,,,,,,,,,58244.3,44584.574,374948.34,23327.664,32517.996,9931.633,
1991,106.04103465700939,9.896321,,,,,,,,,,,221809.8,180931.7,1434502.8,13153.432,54827.957,28956.605,
