"Log2_FoldChange","MetaboAnalyst_ID"
0.30854,"236/232.1543mz/2.1min"
0.34231,"237/242.0998mz/2.11min"
0.10642,"238/220.118mz/2.11min"
-0.37048,"239/184.1697mz/2.16min"
0.24782,"243/185.0785mz/2.16min"
-0.058026,"245/205.0973mz/2.2min"
-0.035738,"246/188.0706mz/2.2min"
-0.035523,"247/171.1129mz/2.2min"
0.075138,"249/217.1047mz/2.21min"
-0.85761,"250/113.0597mz/2.21min"
-0.32894,"252/231.1703mz/2.26min"
0.18674,"257/146.1176mz/2.34min"
-0.81599,"258/146.0601mz/2.35min"
0.53437,"260/116.0706mz/2.35min"
0.49294,"261/229.1548mz/2.36min"
0.2364,"264/114.0914mz/2.4min"
-0.6983,"266/190.05mz/2.4min"
0.092759,"267/138.0551mz/2.41min"
-0.099155,"272/231.1703mz/2.45min"
-0.78771,"273/141.0547mz/2.46min"
-0.24173,"275/102.0914mz/2.5min"
-0.28643,"278/216.1231mz/2.52min"
0.36426,"279/167.0816mz/2.54min"
0.42104,"283/246.17mz/2.56min"
-0.061394,"285/200.0918mz/2.6min"
-0.025617,"287/245.186mz/2.61min"
0.046631,"288/197.1286mz/2.61min"
0.24254,"290/190.1438mz/2.64min"
-0.23897,"293/180.0656mz/2.62min"
-0.13511,"297/183.1017mz/2.64min"
-0.3519,"298/130.1591mz/2.64min"
0.39927,"303/263.139mz/2.69min"
0.21482,"305/193.0973mz/2.7min"
-0.17654,"308/245.186mz/2.74min"
-0.33873,"309/120.0445mz/2.73min"
-0.47769,"311/114.0914mz/2.73min"
-0.38425,"312/138.055mz/2.73min"
0.34205,"314/255.1703mz/2.75min"
-0.31364,"317/275.16mz/2.77min"
0.0012012,"318/272.1855mz/2.77min"
-0.1932,"323/245.186mz/2.81min"
0.35117,"329/295.1288mz/2.84min"
0.39786,"330/203.1392mz/2.85min"
-0.12027,"336/279.1702mz/2.92min"
-0.2382,"341/170.1176mz/2.95min"
-0.29325,"343/210.1102mz/2.95min"
0.30228,"345/428.2042mz/2.97min"
-0.057799,"347/215.1391mz/2.98min"
0.041773,"355/231.1704mz/3.01min"
-0.084673,"356/279.1702mz/3.03min"
0.1083,"359/246.17mz/3.02min"
-0.03967,"363/211.1442mz/3.05min"
-0.50696,"367/148.0394mz/3.05min"
-0.61375,"370/289.1756mz/3.06min"
-0.17702,"371/223.1541mz/3.09min"
-0.060832,"372/240.1805mz/3.09min"
-0.1478,"373/245.1359mz/3.09min"
0.1837,"374/259.1764mz/3.12min"
0.39688,"375/412.2092mz/3.1min"
0.19089,"376/173.1286mz/3.12min"
0.72333,"381/194.0813mz/3.13min"
-0.044606,"384/109.1013mz/3.15min"
-0.338,"386/194.1152mz/3.14min"
-0.34571,"387/172.1333mz/3.15min"
0.03241,"389/265.1158mz/3.15min"
-0.040635,"394/162.055mz/3.2min"
-0.12119,"399/247.1077mz/3.2min"
0.10574,"401/202.1438mz/3.22min"
-0.19777,"404/118.0651mz/3.24min"
-0.29209,"405/164.0707mz/3.24min"
-0.32489,"406/182.0813mz/3.24min"
-0.22948,"411/284.2067mz/3.27min"
-0.39916,"412/289.1621mz/3.27min"
-0.17769,"414/146.0601mz/3.27min"
-0.060029,"417/245.186mz/3.28min"
0.22491,"418/217.1548mz/3.28min"
-0.60283,"423/303.1914mz/3.34min"
-0.37434,"428/227.1278mz/3.36min"
-0.41791,"430/285.1308mz/3.36min"
-0.43558,"435/155.0598mz/3.45min"
-0.16387,"438/243.0877mz/3.45min"
-0.0091589,"439/105.0699mz/3.45min"
-0.008161,"440/164.1071mz/3.45min"
-0.43575,"443/125.0962mz/3.45min"
-0.50052,"444/171.1016mz/3.45min"
-0.085704,"445/279.1703mz/3.36min"
0.12878,"448/230.1176mz/3.47min"
-0.40769,"456/328.2481mz/3.61min"
0.11482,"459/187.1442mz/3.59min"
-0.54702,"460/273.1808mz/3.6min"
-0.39403,"461/269.1359mz/3.6min"
-0.36836,"462/229.1435mz/3.6min"
0.31668,"464/167.1067mz/3.62min"
0.29496,"468/231.1703mz/3.66min"
0.35877,"470/232.1736mz/3.66min"
-0.82621,"472/161.0961mz/3.68min"
-0.063337,"473/132.1019mz/3.69min"
-0.041914,"474/287.1964mz/3.69min"
-0.087959,"475/309.1782mz/3.69min"
-0.15035,"476/86.0965mz/3.69min"
0.005018,"477/161.0598mz/3.69min"
-0.18796,"480/155.1067mz/3.69min"
0.024975,"481/183.1016mz/3.69min"
0.054423,"482/95.0856mz/3.69min"
-0.042538,"483/119.0856mz/3.69min"
0.027798,"484/165.0911mz/3.69min"
0.018915,"485/137.0962mz/3.69min"
-0.14435,"489/233.0784mz/3.72min"
-0.31321,"495/109.1012mz/3.74min"
-0.67115,"500/147.0623mz/3.76min"
1.0524,"501/483.2786mz/3.76min"
0.50509,"502/174.1853mz/3.77min"
