"","PC1","PC2","PC3","PC4","PC5","PC6"
"236/232.1543mz/2.1min",-0.0049185,0.0020976,0.0091193,-0.014328,-0.018773,0.080348
"237/242.0998mz/2.11min",-0.007543,0.0015329,0.0082355,-0.015435,-0.024965,-0.24869
"238/220.118mz/2.11min",-0.0043918,0.0029855,0.0028807,-0.0068219,-0.017309,0.10906
"239/184.1697mz/2.16min",-0.025294,0.024916,-9.4304e-05,0.00082683,-0.041494,0.16964
"243/185.0785mz/2.16min",-0.0036797,-0.001687,0.00982,-0.0024101,-0.0154,0.10258
"245/205.0973mz/2.2min",0.0049156,0.0059965,-0.0012106,-0.0010947,-0.017475,-0.046863
"246/188.0706mz/2.2min",0.00047747,0.0069761,0.0022123,-0.0019825,-0.0149,-0.031744
"247/171.1129mz/2.2min",0.0093917,-0.0031006,-0.013725,-0.00050767,-0.015893,0.030715
"249/217.1047mz/2.21min",0.007539,0.0051165,-5.3116e-05,-0.016019,-0.0048923,-0.030992
"250/113.0597mz/2.21min",-0.013068,0.057443,0.0020261,-0.0096498,0.014645,-0.00098608
"252/231.1703mz/2.26min",0.0050766,0.0012091,-0.013334,0.019732,-0.0072461,0.030478
"257/146.1176mz/2.34min",0.0047066,-0.001508,-0.0023469,-0.012471,-0.01566,-0.015598
"258/146.0601mz/2.35min",-0.003681,0.021164,-0.016167,0.012339,-0.0033618,0.01424
"260/116.0706mz/2.35min",-0.00047425,-0.01016,0.0067261,-0.0094399,-0.028601,0.0086721
"261/229.1548mz/2.36min",-0.0025901,-0.0049013,0.014027,-0.010324,-0.021516,0.00043096
"264/114.0914mz/2.4min",-0.013034,0.0057168,0.0060812,-0.018816,-0.017784,0.030901
"266/190.05mz/2.4min",0.0014677,0.014667,-0.018047,0.010191,0.0033303,0.015781
"267/138.0551mz/2.41min",-0.00054882,0.002068,0.0033805,-0.0017855,-0.017604,0.030093
"272/231.1703mz/2.45min",0.00077016,0.0049901,-0.0017049,0.00090314,-0.0096359,0.015088
"273/141.0547mz/2.46min",-0.0077296,0.018241,-0.018626,0.012475,-0.0068112,-0.017503
"275/102.0914mz/2.5min",-0.016605,0.0064894,0.0079494,0.015793,-0.022429,-0.031473
