"","Filename","POS_TJGI15pt3_EV_alcA-Control_1_Run31.mzML","POS_TJGI15pt3_EV_alcA-Control_2_Run114.mzML","POS_TJGI15pt3_EV_alcA-Control_3_Run203.mzML","POS_TJGIp1_1_Run34.mzML","POS_TJGIp1_2_Run99.mzML","POS_TJGIp1_3_Run185.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","235/254.1385mz/2.09min","286896.9","349850.28","457142.88","296280.84","332792.62","287757.03"
"3","236/232.1543mz/2.1min","2754381.0","2901140.5","3614448.0","4852277.5","3760525.0","3450817.2"
"4","237/242.0998mz/2.11min","677451.94","679867.8","832747.56","1217413.6","952291.56","746328.5"
"5","238/220.118mz/2.11min","2242184.8","2411842.5","2951196.8","3186765.2","2923871.8","2514268.5"
"6","239/184.1697mz/2.16min","712975.9","356551.06","556374.6","735705.2","404652.8","199260.95"
"7","240/102.0914mz/2.14min","537449.56","148235.6","496745.84","118573.164","684496.0","173457.02"
"8","243/185.0785mz/2.16min","1107766.2","1033045.75","1262392.4","1466540.2","1451806.4","1398720.4"
"9","244/195.1228mz/2.21min","463643.88","305555.2","170739.58","520585.44","376343.1","222738.2"
"10","245/205.0973mz/2.2min","876230.3","1074487.6","1723674.0","1141502.4","1288450.4","1256440.8"
"11","246/188.0706mz/2.2min","1326572.4","1438303.2","2124009.0","1718116.2","1646846.6","1647648.0"
"12","247/171.1129mz/2.2min","528298.44","970361.6","1228321.2","664668.3","1166104.4","931178.6"
"13","249/217.1047mz/2.21min","554829.8","959562.75","1301841.9","1033960.06","909262.4","1123607.4"
"14","250/113.0597mz/2.21min","893760.75","697203.3","1426653.4","1102874.9","201929.27","398508.6"
"15","251/245.1495mz/2.25min","122205.57","126782.38","200704.08","199060.14","147660.28","105340.02"
"16","252/231.1703mz/2.26min","793100.2","1004926.06","1261099.6","571052.94","1069925.6","946579.44"
"17","254/218.1388mz/2.31min","48757.566","70590.52","117688.516","68651.664","92627.38","97166.43"
"18","255/220.1193mz/2.3min","112269.79","101928.87","124975.46","124767.62","103306.445","73721.74"
"19","256/152.0707mz/2.34min","196566.61","177837.22","283627.88","270427.75","290874.1","224055.11"
"20","257/146.1176mz/2.34min","455557.75","729743.5","909392.75","780021.4","889426.2","805660.44"
"21","258/146.0601mz/2.35min","1554936.9","1747175.2","2389945.0","1200207.2","1138085.5","1054712.9"
"22","259/147.0634mz/2.35min","123318.22","132523.7","160374.4","89744.19","59974.164","67429.875"
"23","260/116.0706mz/2.35min","299333.34","343098.7","413963.75","497956.03","643947.8","472522.6"
"24","261/229.1548mz/2.36min","4147545.2","4032922.0","5123532.0","7003067.0","6658493.0","6217524.0"
"25","262/418.197mz/2.38min","427989.28","235525.22","238514.33","570326.25","325890.44","284619.94"
"26","264/114.0914mz/2.4min","939661.3","955204.2","985268.3","1696222.6","1040456.7","823275.8"
"27","265/162.055mz/2.4min","214215.27","318521.78","369851.12","178257.38","209155.44","199541.17"
"28","266/190.05mz/2.4min","4826462.5","7024433.0","8505826.0","4002377.8","4532916.5","4608385.5"
"29","267/138.0551mz/2.41min","1136841.9","1205271.4","1643294.0","1478686.8","1569187.4","1440406.8"
"30","269/239.1489mz/2.44min","172838.67","65455.27","67211.17","189646.5","75165.03","54835.06"
"31","271/184.1697mz/2.47min","252549.1","153796.47","166605.5","233627.83","173950.58","153826.17"
"32","272/231.1703mz/2.45min","456139.38","541447.56","705270.06","534293.5","571677.7","569662.25"
"33","273/141.0547mz/2.46min","1285189.0","1410855.2","1671693.2","957448.0","967413.2","738968.94"
"34","275/102.0914mz/2.5min","609537.6","317410.4","393401.56","466984.0","439583.9","320069.56"
"35","276/120.0656mz/2.49min","246329.25","279271.22","81279.695","212448.9","103912.234","321287.0"
"36","278/216.1231mz/2.52min","709853.4","926673.5","1145284.0","786085.75","811958.8","794715.25"
"37","279/167.0816mz/2.54min","645235.75","740667.56","1019289.25","987301.8","1225952.5","1047133.5"
"38","280/120.0808mz/2.54min","137758.36","294992.78","218914.14","210783.4","250587.69","209131.53"
"39","282/147.0554mz/2.55min","307169.8","450535.5","639442.5","327737.94","373537.3","384466.7"
"40","283/246.17mz/2.56min","3840730.2","3452522.8","4202818.5","6827382.0","5014738.0","4462106.0"
"41","285/200.0918mz/2.6min","556947.2","556039.9","787405.56","673220.4","678119.7","567871.56"
"42","287/245.186mz/2.61min","639905.5","618269.94","773484.75","764511.75","692726.4","662658.25"
"43","288/197.1286mz/2.61min","161310.06","1028577.1","1167937.6","247905.84","1334504.6","888897.5"
"44","290/190.1438mz/2.64min","316950.56","321837.66","390202.06","470679.06","419387.5","399957.56"
"45","291/283.175mz/2.63min","84885.555","11451.377","24968.97","94191.29","23901.367","14957.633"
"46","292/232.1544mz/2.62min","97806.75","91060.51","114539.04","101761.586","72264.5","71808.4"
"47","293/180.0656mz/2.62min","680984.8","801244.4","1013915.94","809350.1","706431.25","704440.94"
"48","297/183.1017mz/2.64min","461661.9","406624.06","511829.78","554779.8","423789.75","351462.1"
"49","298/130.1591mz/2.64min","9189807.0","4918893.0","5968582.0","8358519.5","4458653.5","4290332.5"
"50","299/217.1547mz/2.66min","89267.59","94449.266","131927.75","129398.49","130830.39","124938.62"
"51","300/202.1802mz/2.67min","179297.47","116203.57","156189.19","179976.47","137274.28","127425.03"
"52","302/152.0707mz/2.69min","265257.6","281138.44","421932.6","343850.97","384327.84","329103.62"
"53","303/263.139mz/2.69min","1719782.5","1522676.6","1995815.4","2718724.8","2334060.0","2305493.2"
"54","305/193.0973mz/2.7min","988187.2","545257.56","635104.6","1051330.6","895457.3","824349.94"
"55","308/245.186mz/2.74min","1098762.2","1127613.6","1481468.8","1181352.5","1121836.0","1176356.2"
"56","309/120.0445mz/2.73min","4230187.5","5004904.0","6845661.0","4409682.5","4395066.0","4565493.0"
"57","310/213.0659mz/2.74min","351538.25","464505.5","524399.7","272555.72","279682.66","255641.53"
"58","311/114.0914mz/2.73min","370253.4","481392.2","754107.2","398552.22","484961.38","306297.38"
"59","312/138.055mz/2.73min","1049736.4","1360685.4","2089686.1","1092228.8","1254721.2","1254320.9"
