row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_pos_20210511_Run212.mzML Peak area,POS_TJGIp1_3_Run179.mzML Peak area,POS_TJGIp1_1_Run49.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_pos_20210511_Run46.mzML Peak area,POS_TJGIp1_2_Run105.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_pos_20210511_Run102.mzML Peak area,
4247,81.52045093792056,10.567069,,,,88,,,,,,,2.3256456E7,2.221201E7,1.6153124E7,1.4914067E7,1.9524964E7,1.8407936E7,
4121,83.06030112874076,10.121171,,,,,,,,,,,285022.12,746856.4,840289.0,478256.22,179231.4,1029817.56,
4067,83.06033831430054,9.76691,,,,,,,,,,,131336.83,20306.852,81506.984,643229.5,1001925.2,148783.42,
59,83.06034168526602,0.37202525,,,,13,,,,,,,2129799.5,2388636.5,1811395.2,1793931.9,2160867.8,1804866.0,
4018,83.06034312205995,9.40916,,,,,,,,,,,8739.83,77735.15,395231.88,84771.15,67700.414,94429.51,
78,84.04438479470467,0.3750037,,,,13,,,,,,,2704379.2,3867782.0,1551015.9,1587660.2,1410552.6,1712146.4,
4255,84.95959350928298,10.591258,,,,,,,,,,,1868236.5,1652820.1,800585.06,846287.25,1199981.6,1213755.5,
5,84.9597043856251,0.24557893,,,,,,,,,,,1280385.5,346379.4,974051.2,943775.56,179917.08,2410796.2,
151,86.0600209571913,0.44679415,,,,,,,,,,,608586.6,3810962.5,280807.2,257662.52,414626.2,327247.1,
186,86.0600643653542,0.5968692,,,,,,,,,,,299692.6,473453.62,903046.6,722519.1,3921095.8,1011073.75,
253,86.06007565242408,0.86396694,,,,,,,,,,,2769480.8,730568.25,868336.4,3033401.5,1181209.8,3793234.5,
1852,86.0963825648458,6.1197834,,,,231,,,,,,,1434622.6,2353230.5,936388.3,726172.6,2893823.5,2083811.2,
1922,86.09638756985125,6.2584057,,,,,,,,,,,585428.9,750361.94,42998.58,5176.9736,95886.9,66598.64,
1776,86.09638994104908,6.078352,,,,,,,,,,,304443.97,1147309.1,2627994.8,2088542.6,1746931.2,1306519.9,
522,86.09642612743158,2.7370932,,,,,,,,,,,601177.3,532908.9,223924.38,500674.3,559890.06,671661.3,
231,86.0964385872082,0.739347,,,,137,,,,,,,5.183108E7,6.7118616E7,5.4740836E7,5.4949988E7,6.105659E7,4.834331E7,
658,86.09645949301198,2.9164622,,,,70,,,,,,,990992.1,2315180.0,1255032.2,1149587.1,3129956.0,1005500.56,
915,86.09645191621155,3.6873405,,,,94,,,,,,,416075.75,933335.56,945887.2,846832.6,908549.4,668935.6,
229,90.05496705503425,0.7251415,,,,,,,,,,,1074598.4,1019090.94,452192.75,1041953.3,1125091.5,995543.9,
4249,90.52578268983866,10.572895,,,,88,,,,,,,4.177711E7,4.4872144E7,3.4794896E7,3.2904928E7,3.43866E7,3.984241E7,
4233,94.04496863631367,10.513057,,,,222,,,,,,,4316760.0,4384568.0,3577851.5,3276854.5,3660782.2,3930966.8,
923,95.08555539772878,3.6940737,,,,94,,,,,,,416866.44,378316.75,406155.44,453466.75,395489.94,377383.44,
3270,97.10109362191304,7.9565907,,,,,,,,,,,486480.1,290284.1,14308.495,74157.17,95649.016,227788.81,
4246,97.99122976594042,10.567021,,,,88,,,,,,,8939918.0,8496414.0,6805014.5,6210436.5,7956591.0,6529427.0,
4217,98.51188261624172,10.417842,,,,286,,,,,,,1265191.0,815392.7,260868.62,355110.4,1293382.0,1080616.4,
4280,98.51195823351668,10.9323,,,,,,,,,,,451018.0,930992.5,6142146.5,5781423.0,4367400.0,907443.6,
4293,98.51198078251605,11.2404375,,,,,,,,,,,724628.2,293795.56,592650.0,1086129.9,554454.75,4543088.0,
1152,99.04403245479737,4.6779146,,,,127,,,,,,,91002.81,80645.09,93716.15,110983.55,107639.12,105407.36,
255,99.04406386588941,0.8602194,,,,,,,,,,,490162.0,698978.5,368082.72,239960.53,168637.11,302846.22,
302,99.04408089704565,1.0640286,,,,,,,,,,,1399930.4,1845996.8,699129.1,1627383.8,436425.75,1286587.1,
4230,99.5121045928421,10.489772,,,,2,,,,,,,2969222.5,2802041.5,2205791.0,2227625.5,2549975.2,2667248.0,
4254,99.53101808423337,10.586655,,,,88,,,,,,,3672297.0,3181388.8,3361039.5,3984445.5,3586294.2,2585951.8,
218,100.07567022391412,0.6884633,,,,,,,,,,,306944.22,955268.06,209377.1,522182.22,473328.2,527246.5,
