"","PC1","PC2","PC3","PC4","PC5","PC6"
"366/215.139mz/2.0min",-0.012609,0.014739,-0.032554,0.0087494,0.011837,0.4245
"372/282.1195mz/2.06min",-0.002012,0.0070582,0.01077,0.0014635,0.01015,-0.45312
"374/209.0921mz/2.07min",-0.018777,0.020168,-0.015995,-0.017537,0.019043,0.11531
"379/227.1026mz/2.09min",-0.015159,0.022494,-0.0016723,0.005695,0.0076746,-0.040319
"382/220.118mz/2.11min",-0.0071699,0.0084021,0.00057027,0.00059845,0.0058519,-0.1694
"383/242.0998mz/2.11min",-0.0099809,0.0087141,0.0032586,0.00093377,0.0038696,0.024931
"384/232.1543mz/2.11min",0.0070493,0.011206,0.014516,-0.0027238,-0.0058671,0.013949
"387/185.0784mz/2.16min",-0.00054523,-0.00097382,0.020211,0.00022028,-0.0032303,0.00079685
"390/100.0757mz/2.15min",-0.0010948,0.015644,-0.030261,0.038597,0.0045351,-0.012946
"393/228.1343mz/2.18min",0.0056684,0.01411,-0.014644,0.0015035,2.4417e-05,-0.00037872
"394/242.1862mz/2.19min",0.00013579,0.010564,-0.0025847,-0.00078945,0.00087967,-0.024679
"397/217.1047mz/2.21min",-0.0076701,0.00090807,0.017919,-0.0036189,0.028211,0.00066585
"398/205.0972mz/2.21min",-0.0013495,0.0088272,-0.024868,0.022343,0.0083038,0.026133
"399/188.0706mz/2.21min",-0.004085,0.0061024,-0.026667,0.019944,0.021866,-0.020019
"400/113.0597mz/2.22min",-0.024623,0.044514,-0.017371,0.040773,0.001789,0.0067047
"405/245.1495mz/2.25min",-0.019852,0.0038666,-0.0018265,0.0034728,0.018494,0.01907
"406/267.1316mz/2.25min",-0.014908,0.015086,-0.0024014,0.016712,0.016389,-0.018707
"408/215.1391mz/2.26min",0.0039796,0.012055,-0.0096568,0.0082895,0.0067646,-0.012427
"409/285.1345mz/2.27min",0.00058085,0.0081497,-0.0076742,-0.0031927,0.0036361,-0.00027268
"410/270.1923mz/2.28min",-0.0037358,0.0060625,-0.0036073,0.00063989,0.0031789,-0.0003992
"413/231.1702mz/2.29min",-0.014672,0.012832,-0.032596,0.0088889,0.0071432,-0.0020882
"414/254.1498mz/2.3min",-0.010281,0.007904,0.001377,0.00056078,0.0075775,0.025275
"420/195.1129mz/2.33min",0.004598,0.0083057,-0.0077044,0.0064325,0.011296,-0.037073
"423/171.1128mz/2.34min",0.0054969,0.010057,-0.0084072,0.0062568,0.0084559,0.01227
"426/116.0706mz/2.34min",-0.014068,0.015727,-0.030671,0.010044,0.0033492,-0.030271
"427/146.1175mz/2.35min",0.0019304,0.016879,-0.00036154,0.0064017,-0.00089738,-0.013106
"428/146.0601mz/2.35min",-0.0078384,-0.0028444,-0.016047,0.0054631,0.0059178,-0.012856
"429/147.0633mz/2.35min",-0.010533,-0.0042045,-0.017475,0.0031803,0.0072481,-0.019689
"430/229.1184mz/2.36min",-0.007858,0.0059508,-0.0030531,-0.00093034,0.007247,0.012002
"431/230.1579mz/2.36min",-0.00093931,0.012411,-0.056549,-0.0064958,0.017126,-0.015236
"434/229.1546mz/2.37min",-0.016513,0.01427,-0.032137,0.004831,0.0074183,0.035062
"437/160.0968mz/2.37min",-0.0023118,0.0082183,-0.0060578,-0.00024201,0.010395,0.012082
"439/200.0554mz/2.38min",0.0076337,0.015444,0.032277,-0.019143,-0.0034404,0.0063173
"441/296.1351mz/2.4min",-0.0097159,0.0047496,0.0060872,-0.0055873,0.0064048,8.2239e-05
"442/114.0914mz/2.4min",-0.002489,0.0014785,0.0073143,0.0036898,0.0047732,0.012813
"444/190.0499mz/2.41min",0.00074101,0.0044571,0.0024718,-0.00057693,0.0044458,0.024883
"446/138.055mz/2.41min",0.00092085,0.0088047,-0.0039632,0.008598,0.003086,-0.012704
"447/261.1443mz/2.41min",-0.0064274,0.0097805,0.0090721,-0.0035051,0.0015719,-0.012242
"448/283.1263mz/2.42min",-0.01112,0.011702,0.0024933,-0.0041128,0.0034167,0.024553
"453/141.0546mz/2.46min",-0.017961,0.017998,-0.0055175,-0.036792,-0.022412,8.808e-05
"456/231.1702mz/2.46min",-0.014783,0.013555,-0.033115,0.0094097,0.0065344,-0.025126
"457/229.1184mz/2.46min",-0.008489,0.0069849,0.00027046,-0.0020641,-0.0043752,-0.012611
"458/185.071mz/2.47min",-0.020915,-0.0021577,-0.020996,-0.0039818,-0.021854,-0.001939
"459/217.0972mz/2.47min",0.0070815,0.02158,0.023704,-0.015536,-0.010267,-0.02416
"464/172.0063mz/2.51min",-0.0056205,0.016518,-0.010449,0.013857,0.0038341,-0.019506
"470/261.1232mz/2.53min",0.00098868,0.012262,-0.022916,0.018461,0.0096037,0.0011503
