"Log2_FoldChange","MetaboAnalyst_ID"
-0.044147,"77/218.1034mz/2.11min"
0.065065,"78/145.0506mz/2.14min"
0.13178,"83/194.0458mz/2.39min"
-0.59403,"84/144.0454mz/2.4min"
-0.58772,"85/188.0353mz/2.41min"
0.075677,"86/136.0404mz/2.41min"
-0.21848,"87/175.0611mz/2.43min"
-0.90023,"88/139.0401mz/2.46min"
-0.082301,"92/228.0878mz/2.57min"
0.22193,"93/121.0295mz/2.57min"
-0.021944,"94/159.0663mz/2.61min"
-0.24331,"95/178.051mz/2.62min"
-0.17894,"96/158.0822mz/2.73min"
-0.44751,"98/107.0503mz/2.76min"
-0.42497,"99/151.04mz/2.76min"
-0.18205,"100/131.0713mz/2.78min"
-0.22214,"104/158.0822mz/2.81min"
0.00034621,"105/159.0663mz/2.87min"
0.11113,"108/172.0979mz/2.91min"
-0.23239,"111/186.1135mz/2.95min"
-0.65803,"112/171.1027mz/2.96min"
-0.25839,"113/189.0768mz/2.96min"
0.15523,"114/426.1897mz/2.97min"
0.12072,"116/165.0556mz/3.02min"
-0.169,"119/173.0819mz/3.05min"
-0.21302,"120/120.0454mz/3.05min"
-0.23617,"122/164.0354mz/3.05min"
0.053819,"127/160.0404mz/3.2min"
-0.29913,"128/245.0931mz/3.21min"
-0.31453,"130/180.0666mz/3.24min"
-0.45908,"132/178.051mz/3.25min"
-0.20168,"134/144.0455mz/3.27min"
0.047323,"136/216.1241mz/3.28min"
-0.15406,"139/138.0197mz/3.32min"
0.78169,"141/193.0506mz/3.35min"
-0.27598,"142/271.1663mz/3.36min"
-0.22992,"143/261.1343mz/3.36min"
0.9244,"144/187.0976mz/3.41min"
-0.55827,"150/257.103mz/3.45min"
-0.22531,"151/209.0794mz/3.45min"
-0.31834,"152/125.0971mz/3.45min"
-0.29727,"153/187.0975mz/3.45min"
-0.91529,"157/313.188mz/3.46min"
0.15721,"158/228.103mz/3.47min"
0.099584,"161/145.087mz/3.54min"
0.12261,"162/222.0772mz/3.57min"
-0.23974,"163/243.1237mz/3.57min"
-0.51977,"165/271.1664mz/3.6min"
-0.21244,"168/191.0748mz/3.61min"
-0.22823,"173/286.1853mz/3.69min"
-0.24578,"174/285.1819mz/3.69min"
-0.082669,"176/155.1077mz/3.69min"
-0.066442,"177/199.0976mz/3.69min"
-0.090248,"178/221.0794mz/3.69min"
0.30281,"179/228.0666mz/3.71min"
-0.41139,"184/171.1027mz/3.76min"
-0.43722,"185/189.1132mz/3.76min"
0.89477,"186/459.2825mz/3.77min"
-0.55106,"191/236.0962mz/3.82min"
0.82365,"192/443.2875mz/3.83min"
-0.06936,"194/201.1133mz/3.83min"
0.20278,"195/185.082mz/3.84min"
0.21744,"196/141.0921mz/3.84min"
1.0876,"199/515.3086mz/3.88min"
0.54017,"200/554.2373mz/3.88min"
-0.17624,"201/179.0715mz/3.92min"
0.28655,"202/596.2845mz/3.92min"
0.15027,"204/213.0154mz/3.93min"
0.16689,"206/141.0922mz/3.95min"
-0.16677,"209/225.1134mz/3.99min"
0.2302,"211/171.1028mz/4.01min"
0.12135,"212/511.195mz/4.03min"
-0.81268,"215/165.0558mz/4.05min"
0.37328,"218/538.2425mz/4.07min"
0.50027,"220/159.1027mz/4.07min"
0.89757,"222/487.2772mz/4.12min"
0.13321,"223/580.2893mz/4.12min"
0.12967,"224/598.2999mz/4.12min"
0.48054,"225/210.0924mz/4.12min"
-1.0344,"228/473.1816mz/4.13min"
-1.0207,"229/519.187mz/4.13min"
-0.8375,"230/509.1582mz/4.13min"
-0.72479,"232/536.1772mz/4.13min"
-0.1865,"240/301.1656mz/4.15min"
0.098114,"244/215.1289mz/4.18min"
0.0026317,"248/495.2002mz/4.26min"
0.38471,"252/314.1034mz/4.33min"
-0.3237,"253/227.1289mz/4.34min"
-0.23437,"254/249.1108mz/4.34min"
-0.34183,"255/183.139mz/4.34min"
0.076322,"257/610.2998mz/4.35min"
0.13894,"258/242.1762mz/4.36min"
0.37955,"260/636.3157mz/4.39min"
0.36368,"263/169.0871mz/4.41min"
-0.60412,"265/359.2189mz/4.44min"
-0.18589,"266/375.2177mz/4.45min"
-0.1296,"267/487.1973mz/4.45min"
-0.09471,"268/477.1685mz/4.45min"
-0.17739,"269/441.1918mz/4.45min"
0.26926,"273/523.2561mz/4.48min"
0.050935,"275/237.0921mz/4.52min"
-0.239,"277/431.2284mz/4.59min"
0.029887,"278/479.2051mz/4.55min"
-0.06915,"281/258.171mz/4.55min"
-0.8975,"286/441.1918mz/4.58min"
0.23747,"289/620.3205mz/4.61min"
-0.30474,"290/211.134mz/4.61min"
-0.0010563,"292/229.9644mz/4.62min"
-1.4573,"298/459.1925mz/4.67min"
-1.2426,"300/493.1633mz/4.67min"
-1.4897,"302/503.1921mz/4.67min"
-1.4716,"303/458.1901mz/4.67min"
-0.062148,"304/367.2153mz/4.67min"
-1.4877,"305/457.1868mz/4.67min"
-1.4683,"306/373.1655mz/4.67min"
-0.56034,"307/278.1396mz/4.67min"
-1.582,"309/355.155mz/4.67min"
-1.644,"310/417.1553mz/4.67min"
-0.071221,"317/257.1394mz/4.7min"
-1.1273,"321/459.2907mz/4.73min"
-1.1015,"322/458.2872mz/4.73min"
