"MetaboAnalyst_ID","Fold.Change","log2.FC.","shared_name"
"3460/366.3728mz/8.61min",0.0035825,-8.1248,"3460"
"969/377.2624mz/5.35min",16.168,4.0151,"969"
"2753/786.595mz/7.68min",0.062008,-4.0114,"2753"
"973/376.259mz/5.36min",15.738,3.9762,"973"
"974/393.2855mz/5.36min",11.209,3.4866,"974"
"2743/808.5765mz/7.69min",0.1232,-3.021,"2743"
"2446/758.5686mz/7.42min",6.403,2.6787,"2446"
"979/398.2408mz/5.36min",5.7132,2.5143,"979"
"2444/782.5687mz/7.41min",5.4332,2.4418,"2444"
"3672/144.9821mz/9.43min",0.21633,-2.2087,"3672"
"4007/113.9636mz/11.05min",0.22815,-2.132,"4007"
"3143/786.5956mz/8.14min",0.22981,-2.1215,"3143"
"3954/110.0199mz/10.78min",0.22981,-2.1215,"3954"
"3136/784.581mz/8.14min",4.2577,2.0901,"3136"
"3591/438.3726mz/8.94min",0.25036,-1.9979,"3591"
"3884/780.5505mz/10.29min",0.25845,-1.952,"3884"
"3671/101.0709mz/9.43min",0.26253,-1.9294,"3671"
"3732/144.982mz/9.8min",3.7638,1.9122,"3732"
"3134/772.5843mz/8.14min",3.7439,1.9045,"3134"
"4006/98.512mz/11.02min",0.27046,-1.8865,"4006"
"3877/758.5685mz/10.24min",0.27121,-1.8825,"3877"
"1486/634.3588mz/6.17min",3.4256,1.7764,"1486"
"3127/758.569mz/8.14min",0.30629,-1.707,"3127"
"553/457.1852mz/4.13min",0.30797,-1.6991,"553"
"1272/395.3304mz/5.9min",0.31185,-1.6811,"1272"
"3955/154.99mz/10.79min",0.3119,-1.6808,"3955"
"659/441.1518mz/4.67min",0.31356,-1.6732,"659"
"3586/395.3306mz/8.92min",0.3155,-1.6643,"3586"
"893/443.2058mz/5.24min",0.31579,-1.6629,"893"
"2426/784.5832mz/7.42min",0.31899,-1.6484,"2426"
"3582/396.3339mz/8.92min",0.32634,-1.6156,"3582"
"2759/782.5686mz/7.68min",3.0482,1.608,"2759"
"1003/965.6497mz/5.4min",0.33256,-1.5883,"1003"
"932/399.2163mz/5.31min",0.34672,-1.5282,"932"
"680/482.2831mz/4.76min",0.34695,-1.5272,"680"
"3128/376.3075mz/8.12min",0.35028,-1.5134,"3128"
"3456/352.3391mz/8.54min",2.8548,1.5134,"3456"
"3206/338.3412mz/8.26min",2.8378,1.5048,"3206"
"2366/497.2659mz/7.38min",0.35334,-1.5009,"2366"
"657/459.201mz/4.67min",0.35994,-1.4742,"657"
"661/460.2042mz/4.67min",0.36725,-1.4452,"661"
"518/188.1646mz/3.96min",2.7189,1.443,"518"
"3150/806.5628mz/8.14min",2.6761,1.4201,"3150"
"736/499.2298mz/4.87min",0.38033,-1.3947,"736"
"1432/279.2315mz/6.09min",0.38215,-1.3878,"1432"
"3960/429.3357mz/10.75min",0.3844,-1.3793,"3960"
"371/194.0814mz/3.13min",2.5784,1.3665,"371"
"947/418.2793mz/5.34min",0.38784,-1.3665,"947"
"1655/500.4305mz/6.51min",0.3938,-1.3445,"1655"
"4020/145.0351mz/11.32min",0.3992,-1.3248,"4020"
"3852/772.584mz/10.24min",2.4998,1.3218,"3852"
"2319/846.5476mz/7.32min",2.4872,1.3145,"2319"
"3974/98.512mz/10.9min",2.4678,1.3032,"3974"
"3553/737.5751mz/8.82min",0.40532,-1.3029,"3553"
"674/460.3009mz/4.73min",0.41733,-1.2607,"674"
"944/370.7672mz/5.27min",2.3942,1.2595,"944"
"991/428.2142mz/5.39min",0.42248,-1.243,"991"
"993/427.2109mz/5.39min",0.42552,-1.2327,"993"
"3698/713.5472mz/9.58min",0.42822,-1.2236,"3698"
"3889/806.5632mz/10.29min",2.3348,1.2233,"3889"
"2423/772.5841mz/7.41min",0.43445,-1.2027,"2423"
"3508/376.3078mz/8.69min",2.2986,1.2008,"3508"
"2373/460.3132mz/7.36min",0.43784,-1.1915,"2373"
"925/742.5428mz/5.33min",2.2688,1.1819,"925"
"960/423.2346mz/5.34min",0.4437,-1.1724,"960"
"3862/760.579mz/10.23min",2.2521,1.1712,"3862"
"3834/606.3392mz/10.21min",2.2245,1.1535,"3834"
"2184/449.3016mz/7.15min",0.45026,-1.1512,"2184"
"3831/690.4331mz/10.2min",2.2185,1.1496,"3831"
"3500/406.3101mz/8.68min",0.45106,-1.1486,"3500"
"503/517.3232mz/3.87min",2.2098,1.1439,"503"
"2754/784.5827mz/7.68min",0.45622,-1.1322,"2754"
"2365/481.2918mz/7.36min",0.46054,-1.1186,"2365"
"1733/652.4639mz/6.6min",2.16,1.111,"1733"
"1002/494.3195mz/5.4min",0.46379,-1.1085,"1002"
"3118/780.5511mz/8.14min",0.46477,-1.1054,"3118"
"497/445.302mz/3.82min",2.1513,1.1052,"497"
"3993/411.3251mz/10.89min",2.1434,1.0999,"3993"
"3472/391.2991mz/8.57min",2.1355,1.0946,"3472"
"465/161.0961mz/3.68min",0.46892,-1.0926,"465"
"2680/475.3277mz/7.66min",0.47036,-1.0882,"2680"
"3507/375.3044mz/8.7min",2.1251,1.0875,"3507"
"715/216.1956mz/4.8min",2.1177,1.0825,"715"
"3687/576.5344mz/9.55min",0.47293,-1.0803,"3687"
"962/415.2108mz/5.35min",0.4802,-1.0583,"962"
"3130/375.3041mz/8.12min",0.48026,-1.0581,"3130"
"3465/101.0709mz/8.6min",0.48097,-1.056,"3465"
"3843/566.308mz/10.21min",2.0665,1.0472,"3843"
"3577/764.5642mz/8.92min",0.48412,-1.0466,"3577"
"1458/346.331mz/6.09min",0.48418,-1.0464,"1458"
"3180/507.3651mz/8.18min",0.4846,-1.0451,"3180"
"551/339.1588mz/4.13min",0.48557,-1.0423,"551"
"764/399.2162mz/4.93min",0.48614,-1.0406,"764"
"614/314.2686mz/4.49min",2.0457,1.0326,"614"
"1011/242.1747mz/5.4min",0.48941,-1.0309,"1011"
"762/457.2191mz/4.93min",0.49014,-1.0287,"762"
"2471/780.5506mz/7.44min",2.0315,1.0225,"2471"
"690/913.3632mz/4.78min",0.49299,-1.0204,"690"
"3686/594.545mz/9.55min",0.49309,-1.0201,"3686"
"1923/550.3019mz/6.83min",2.0221,1.0159,"1923"
"3714/423.2888mz/9.61min",0.49685,-1.0091,"3714"
"2981/500.4667mz/7.96min",2.0107,1.0077,"2981"
"3750/144.982mz/9.86min",2.0093,1.0067,"3750"
"1447/132.1018mz/6.09min",2.0012,1.0009,"1447"
