"","comp 1","comp 2","comp 3","comp 4","comp 5"
"553/375.2178mz/4.45min",-0.75817,0,0,0,0
"1074/578.3546mz/6.33min",-0.40742,0,0,0,0
"384/257.1031mz/3.44min",-0.30029,0,0,0,0
"434/300.1452mz/3.75min",-0.24161,0,0,0,0
"1038/1075.703mz/6.21min",-0.229,0,0,0,0
"336/171.0663mz/3.23min",-0.21056,0,0,0,0
"447/300.1452mz/3.83min",-0.093951,0,0,0,0
"1164/459.3117mz/6.57min",-0.052838,0,0,0,0
"359/193.0506mz/3.35min",-0.04284,0,0,0,0
"453/185.0819mz/3.83min",-0.020044,0,0,0,0
"953/477.2182mz/5.94min",0,0.69262,0,0,0
"1089/297.2433mz/6.39min",0,-0.44448,0,0,0
"866/812.5141mz/5.74min",0,-0.28951,0,0,0
"1751/469.3319mz/7.93min",0,0.28181,0,0,0
"1583/833.5185mz/7.67min",0,-0.26468,0,0,0
"1848/859.5323mz/8.14min",0,-0.20068,0,0,0
"1883/117.9285mz/8.14min",0,-0.15368,0,0,0
"1106/505.2133mz/6.42min",0,0.13385,0,0,0
"1847/833.5185mz/8.14min",0,-0.066052,0,0,0
"1881/114.9341mz/8.14min",0,-0.057121,0,0,0
"170/213.0881mz/2.04min",0,0,0,0,0
"171/225.088mz/2.08min",0,0,0,0,0
"173/218.1033mz/2.11min",0,0,0,0,0
"175/145.0506mz/2.14min",0,0,0,0,0
"176/144.0666mz/2.14min",0,0,0,0,0
"178/215.1038mz/2.19min",0,0,0,0,0
"187/222.0772mz/2.34min",0,0,0,0,0
"188/144.0454mz/2.35min",0,0,0,0,0
"189/227.1038mz/2.35min",0,0,0,0,0
"193/158.0822mz/2.37min",0,0,0,0,0
"195/194.0458mz/2.39min",0,0,0,0,0
"197/136.0404mz/2.41min",0,0,0,0,0
"199/259.1298mz/2.41min",0,0,0,0,0
"200/227.1399mz/2.4min",0,0,0,0,0
"201/175.0611mz/2.43min",0,0,0,0,0
"202/227.1038mz/2.46min",0,0,0,0,0
"208/126.0019mz/2.5min",0,0,0.2992,0,0
"210/287.1248mz/2.54min",0,0,0,0,0
"211/228.0878mz/2.57min",0,0,0,0,0
"218/178.0509mz/2.62min",0,0,0,0,0
"220/229.1193mz/2.63min",0,0,0,0,0
"224/130.0873mz/2.65min",0,0,0,0,0
"225/202.1085mz/2.65min",0,0,0,0,0
"226/215.1037mz/2.65min",0,0,0,0,0
"227/241.1194mz/2.65min",0,0,0,0,0
"229/300.1563mz/2.71min",0,0,0,0,0
"231/339.1535mz/2.72min",0,0,0,0,0
"232/273.1455mz/2.78min",0,0,0,0,0
"233/158.0822mz/2.73min",0,0,0,0,0
"234/226.0697mz/2.75min",0,0,0,0,0
"236/208.0073mz/2.73min",0,0,0,0,0
"237/259.1298mz/2.74min",0,0,0,0,0
"239/168.0301mz/2.76min",0,0,0,0,0
"240/107.0502mz/2.76min",0,0,0,0,0
"241/151.04mz/2.76min",0,0,0,0,0
"243/360.1775mz/2.76min",0,0,0,0,0
"244/229.1192mz/2.76min",0,0,0,0,0
"253/131.0713mz/2.78min",0,0,0,0,0
"254/116.0505mz/2.78min",0,0,0,0,0
"258/158.0822mz/2.81min",0,0,0,0,0
"259/339.1535mz/2.81min",0,0,0,0,0
"260/226.0701mz/2.81min",0,0,0,0,0
"264/273.1455mz/2.83min",0,0,0,0,0
"267/243.1347mz/2.85min",0,0,0,0,0
"269/241.1193mz/2.85min",0,0,0,0,0
"271/293.1142mz/2.86min",0,0,0,0,0
