"Log2_FoldChange","MetaboAnalyst_ID"
0.32073,"375/215.139mz/2.0min"
0.018174,"382/282.1195mz/2.06min"
0.11144,"385/209.0921mz/2.07min"
0.34366,"389/227.1026mz/2.09min"
0.21441,"392/249.0845mz/2.1min"
0.27091,"394/242.0998mz/2.11min"
0.2495,"395/232.1543mz/2.11min"
0.25844,"396/220.118mz/2.11min"
-0.35037,"398/169.0972mz/2.1min"
0.73674,"399/100.0757mz/2.15min"
0.10706,"402/185.0784mz/2.16min"
0.29886,"408/242.1862mz/2.19min"
-0.21002,"411/205.0972mz/2.21min"
-0.42848,"412/188.0706mz/2.21min"
0.013234,"414/217.1047mz/2.21min"
0.19041,"415/113.0597mz/2.22min"
-0.013503,"420/245.1494mz/2.25min"
0.45755,"421/267.1315mz/2.25min"
0.22798,"422/215.139mz/2.25min"
0.47143,"424/285.1344mz/2.27min"
0.22061,"425/231.1702mz/2.28min"
0.27407,"426/270.1923mz/2.29min"
0.13689,"429/254.1498mz/2.3min"
0.15047,"434/195.1129mz/2.33min"
0.33271,"435/171.1128mz/2.33min"
0.34213,"439/116.0706mz/2.34min"
0.55604,"441/146.1175mz/2.35min"
-0.00014153,"442/146.0601mz/2.35min"
-0.013352,"443/147.0633mz/2.35min"
0.17539,"444/229.1184mz/2.35min"
0.82272,"445/230.1579mz/2.35min"
0.39009,"446/229.1546mz/2.37min"
0.27911,"448/160.0968mz/2.37min"
0.44053,"452/200.0554mz/2.38min"
0.26586,"454/267.1315mz/2.41min"
-0.024393,"455/114.0914mz/2.39min"
-0.0091786,"458/296.1351mz/2.4min"
0.17739,"459/190.0499mz/2.41min"
0.18014,"462/138.055mz/2.41min"
0.27059,"463/261.1443mz/2.41min"
0.34875,"464/283.1263mz/2.41min"
1.0621,"470/141.0546mz/2.46min"
0.16614,"472/231.1702mz/2.47min"
0.49469,"473/229.1184mz/2.43min"
0.49941,"474/217.0972mz/2.47min"
0.086718,"475/185.071mz/2.48min"
0.44571,"481/172.0063mz/2.51min"
0.20322,"488/261.1233mz/2.53min"
0.10473,"490/167.0816mz/2.54min"
-0.050955,"495/147.0553mz/2.55min"
-0.049027,"496/180.102mz/2.56min"
0.32006,"499/247.1076mz/2.57min"
0.40916,"500/246.1699mz/2.57min"
0.64262,"501/172.0968mz/2.56min"
1.3938,"507/287.1599mz/2.59min"
0.74841,"508/200.0917mz/2.6min"
0.389,"512/245.1859mz/2.62min"
0.52675,"513/211.1441mz/2.62min"
0.24639,"516/197.1285mz/2.62min"
0.35132,"519/180.0656mz/2.62min"
0.2257,"521/229.1546mz/2.63min"
0.29887,"526/243.1339mz/2.64min"
-0.014481,"527/130.1591mz/2.65min"
0.84045,"530/227.139mz/2.65min"
0.64147,"540/263.1388mz/2.69min"
-1.1782,"544/86.0964mz/2.71min"
0.23316,"545/132.1019mz/2.72min"
0.19848,"549/193.1699mz/2.72min"
-0.34485,"550/241.1546mz/2.68min"
0.31763,"554/185.1285mz/2.71min"
2.9457,"556/193.0972mz/2.71min"
0.69068,"561/114.0914mz/2.73min"
0.62874,"562/160.0969mz/2.73min"
0.67654,"563/120.0444mz/2.73min"
0.63749,"564/138.055mz/2.73min"
0.14972,"565/260.1029mz/2.73min"
0.34622,"566/210.0219mz/2.74min"
0.23216,"568/259.165mz/2.74min"
0.30471,"571/245.1858mz/2.74min"
0.27997,"573/283.1262mz/2.75min"
0.82155,"575/255.1701mz/2.75min"
0.75996,"576/114.1277mz/2.75min"
0.74915,"577/160.1332mz/2.75min"
0.37628,"578/213.0658mz/2.75min"
0.09954,"579/272.1854mz/2.77min"
0.18918,"584/243.1338mz/2.77min"
0.064914,"586/169.0761mz/2.77min"
0.059358,"587/170.0792mz/2.77min"
0.39699,"588/253.1157mz/2.77min"
0.29441,"592/259.1151mz/2.78min"
0.27495,"593/179.0703mz/2.78min"
0.22902,"597/275.1388mz/2.8min"
0.13513,"601/181.0971mz/2.81min"
0.68177,"602/160.0969mz/2.81min"
0.70975,"603/114.0914mz/2.78min"
0.37993,"611/227.139mz/2.84min"
0.1747,"612/245.1858mz/2.83min"
0.32895,"613/287.1711mz/2.84min"
0.97661,"615/295.1287mz/2.85min"
0.57702,"619/209.1285mz/2.85min"
0.22428,"620/243.1339mz/2.86min"
0.67463,"629/428.2041mz/2.88min"
0.15717,"637/132.1019mz/2.92min"
0.53666,"638/196.0945mz/2.91min"
0.53152,"641/174.1125mz/2.91min"
0.48418,"642/128.107mz/2.91min"
0.31272,"648/279.1701mz/2.93min"
0.21841,"649/183.0917mz/2.93min"
0.71155,"655/319.1497mz/2.94min"
0.23639,"657/331.1972mz/2.95min"
0.21424,"660/170.1176mz/2.95min"
0.64297,"663/255.1314mz/2.96min"
0.74265,"664/154.1226mz/2.95min"
0.15022,"665/210.1101mz/2.95min"
0.72422,"667/172.1332mz/2.96min"
0.63644,"668/197.1285mz/2.96min"
0.8259,"669/215.139mz/2.96min"
0.30237,"671/213.1022mz/2.96min"
0.28955,"675/213.0658mz/2.97min"
0.63069,"676/428.204mz/2.97min"
0.3562,"680/180.1019mz/2.97min"
0.56504,"681/86.0965mz/2.91min"
0.40254,"685/196.0944mz/2.98min"
0.033428,"686/120.0808mz/2.98min"
0.17945,"689/174.1125mz/2.97min"
-0.077375,"691/132.1019mz/2.98min"
0.48802,"692/156.102mz/2.91min"
0.16805,"694/195.1128mz/2.99min"
0.16595,"698/277.1181mz/2.99min"
0.49025,"699/412.209mz/2.99min"
0.39665,"704/139.0866mz/3.02min"
0.43101,"705/223.1077mz/3.02min"
0.39774,"706/205.0972mz/3.02min"
0.35826,"707/181.0971mz/3.02min"
0.44366,"709/245.0896mz/3.02min"
1.0508,"713/186.1125mz/3.03min"
-0.10817,"719/251.1364mz/3.05min"
0.56681,"721/148.0393mz/3.05min"
0.22239,"725/211.1441mz/3.06min"
0.028307,"727/257.1493mz/3.09min"
1.093,"728/289.1755mz/3.07min"
0.10044,"729/212.1473mz/3.06min"
0.068419,"731/379.2336mz/3.07min"
-1.2769,"734/223.1539mz/3.09min"
-1.832,"735/245.1357mz/3.08min"
-1.0777,"736/240.1804mz/3.09min"
0.53814,"742/412.2091mz/3.1min"
0.20994,"745/173.1285mz/3.12min"
0.33037,"751/120.0808mz/3.12min"
0.4013,"752/208.0969mz/3.13min"
0.34273,"753/166.0863mz/3.13min"
0.51856,"754/100.1121mz/3.13min"
-0.23313,"756/145.076mz/3.13min"
0.2458,"761/211.1441mz/3.14min"
0.25588,"762/109.1012mz/3.14min"
0.15385,"764/194.1152mz/3.14min"
0.26594,"765/172.1332mz/3.14min"
0.23917,"776/245.1285mz/3.17min"
0.39561,"784/162.055mz/3.2min"
0.46717,"787/247.1077mz/3.21min"
0.31092,"789/116.0706mz/3.22min"
0.34488,"790/293.147mz/3.22min"
0.39983,"792/271.1651mz/3.23min"
0.051123,"794/281.1471mz/3.25min"
0.30775,"795/118.0651mz/3.24min"
0.35138,"796/164.0706mz/3.24min"
0.39041,"798/182.0813mz/3.25min"
0.39292,"800/120.0444mz/3.25min"
0.47239,"804/259.1651mz/3.26min"
0.11677,"807/284.2066mz/3.27min"
0.079016,"811/146.0601mz/3.27min"
-0.14896,"813/289.162mz/3.27min"
0.32755,"818/245.1285mz/3.28min"
0.3755,"820/336.1663mz/3.28min"
0.52513,"822/217.1547mz/3.3min"
0.084491,"827/195.1129mz/3.31min"
0.21027,"830/220.1193mz/3.34min"
0.78592,"834/303.1912mz/3.35min"
0.31937,"837/188.1281mz/3.35min"
0.50796,"840/295.1626mz/3.36min"
