"","FC","log2(FC)","raw.pval","-log10(p)"
"556/193.0972mz/2.71min",7.7047,2.9457,0.00019759,3.7042
"1136/377.2317mz/4.45min",2.1237,1.0866,0.00033441,3.4757
"2248/644.3481mz/6.68min",3.3574,1.7473,0.0015571,2.8077
"3625/785.5836mz/8.13min",54.409,5.7658,0.0023621,2.6267
"2777/572.3266mz/7.31min",3.0517,1.6096,0.003582,2.4459
"2909/588.3213mz/7.43min",2.5014,1.3227,0.0044786,2.3489
"2710/544.3991mz/7.23min",2.5514,1.3513,0.0058711,2.2313
"2916/558.4147mz/7.43min",2.456,1.2963,0.0062319,2.2054
"470/141.0546mz/2.46min",2.088,1.0621,0.0069216,2.1598
"2116/546.3787mz/6.48min",2.1653,1.1146,0.007703,2.1133
"4324/756.5519mz/10.24min",2.9471,1.5593,0.0080761,2.0928
"2109/547.3821mz/6.48min",2.2539,1.1724,0.010038,1.9983
"2906/570.3109mz/7.42min",2.1708,1.1183,0.011607,1.9353
"2033/454.3314mz/6.37min",2.393,1.2588,0.013759,1.8614
"2764/431.3152mz/7.29min",2.5903,1.3731,0.015623,1.8062
"3104/370.3308mz/7.66min",2.0949,1.0669,0.016063,1.7942
"507/287.1599mz/2.59min",2.6278,1.3938,0.016279,1.7884
"3186/756.5531mz/7.68min",5.9943,2.5836,0.016316,1.7874
"2397/544.3633mz/6.85min",2.0881,1.0622,0.018646,1.7294
"3811/468.3467mz/8.41min",2.7149,1.4409,0.027779,1.5563
"2138/454.3314mz/6.51min",2.2061,1.1415,0.031122,1.5069
"713/186.1125mz/3.03min",2.0716,1.0508,0.031639,1.4998
"2520/443.3153mz/6.97min",3.1081,1.636,0.033989,1.4687
"3195/757.5567mz/7.68min",8.2429,3.0432,0.035742,1.4468
"3578/798.5628mz/8.12min",0.18396,-2.4425,0.041818,1.3786
"728/289.1755mz/3.07min",2.1332,1.093,0.047551,1.3228
"3211/806.5629mz/7.69min",0.26476,-1.9172,0.049385,1.3064
