"","FC","log2(FC)","raw.pval","-log10(p)"
"1249/491.3013mz/7.41min",0.45471,-1.137,0.00013294,3.8763
"271/375.2178mz/4.45min",0.36814,-1.4417,0.00023003,3.6382
"394/415.2337mz/4.95min",0.37318,-1.4221,0.00038024,3.4199
"1058/457.2961mz/6.94min",0.40086,-1.3188,0.00053283,3.2734
"286/431.2285mz/4.59min",0.18527,-2.4323,0.0011322,2.9461
"158/187.0976mz/3.45min",0.43101,-1.2142,0.0014172,2.8486
"156/257.103mz/3.45min",0.29409,-1.7656,0.001635,2.7865
"1555/499.3639mz/7.81min",0.30683,-1.7045,0.0016881,2.7726
"190/189.1133mz/3.75min",0.44398,-1.1714,0.0017521,2.7564
"151/261.1344mz/3.36min",0.43078,-1.215,0.0017557,2.7556
"809/569.3331mz/6.19min",0.41195,-1.2794,0.0018016,2.7444
"1812/786.5735mz/8.34min",0.34195,-1.5482,0.0018557,2.7315
"157/125.0971mz/3.45min",0.41073,-1.2838,0.001989,2.7014
"545/601.3229mz/5.41min",0.31584,-1.6627,0.0020812,2.6817
"443/387.25mz/5.11min",0.2835,-1.8186,0.0027772,2.5564
"1771/527.3952mz/8.17min",0.18921,-2.402,0.002834,2.5476
"645/585.3283mz/5.78min",0.3434,-1.5421,0.0029648,2.528
"189/171.1027mz/3.76min",0.44748,-1.1601,0.0033061,2.4807
"854/578.3546mz/6.33min",0.49005,-1.029,0.0034223,2.4657
"1647/539.3953mz/8.1min",0.34157,-1.5497,0.0034448,2.4628
"591/500.3342mz/5.6min",0.37821,-1.4027,0.0035853,2.4455
"783/463.3067mz/6.11min",0.36508,-1.4537,0.0036311,2.44
"335/343.2236mz/4.77min",0.36547,-1.4522,0.0037898,2.4214
"544/941.6539mz/5.4min",0.32572,-1.6183,0.004293,2.3672
"331/458.2871mz/4.73min",0.42125,-1.2473,0.0049037,2.3095
"1656/739.4631mz/8.11min",0.25322,-1.9815,0.0062218,2.2061
"1237/457.2961mz/7.39min",0.20238,-2.3048,0.006361,2.1965
"1499/560.3379mz/7.71min",0.45788,-1.127,0.0065498,2.1838
"519/486.3183mz/5.35min",0.48618,-1.0404,0.0074433,2.1282
"296/211.134mz/4.61min",0.44965,-1.1531,0.0076762,2.1149
"330/459.2906mz/4.73min",0.35956,-1.4757,0.0088099,2.055
"1646/669.4584mz/8.09min",0.14414,-2.7945,0.0090258,2.0445
"414/472.3026mz/5.02min",0.3972,-1.3321,0.009153,2.0384
"163/313.1881mz/3.47min",0.49171,-1.0241,0.0096364,2.0161
"662/477.2181mz/5.83min",0.48128,-1.0551,0.01166,1.9333
"270/359.2189mz/4.44min",0.36914,-1.4378,0.011688,1.9323
"96/228.0878mz/2.57min",0.37501,-1.415,0.013635,1.8654
"1521/612.4116mz/7.75min",0.25302,-1.9827,0.013887,1.8574
"1603/771.3906mz/8.01min",4.2874,2.1001,0.014219,1.8471
"1508/441.3011mz/7.71min",0.42574,-1.232,0.014791,1.83
"1353/399.1842mz/7.63min",0.37109,-1.4302,0.015523,1.809
"218/165.0558mz/4.05min",2.2874,1.1937,0.015821,1.8008
"1321/441.3009mz/7.48min",0.49378,-1.0181,0.016202,1.7904
"441/442.2922mz/5.1min",0.46076,-1.1179,0.018503,1.7328
"1545/433.3319mz/7.8min",0.47037,-1.0881,0.023642,1.6263
"1749/771.3101mz/8.14min",0.38619,-1.3726,0.027545,1.56
"763/658.3966mz/6.07min",2.1998,1.1373,0.027732,1.557
"1440/671.466mz/7.68min",2.5384,1.3439,0.028074,1.5517
"1538/535.3406mz/7.79min",0.3356,-1.5752,0.029648,1.528
"1167/489.322mz/7.26min",0.45948,-1.1219,0.031208,1.5057
"117/171.1027mz/2.95min",0.4371,-1.1939,0.03318,1.4791
"1778/814.5684mz/8.18min",0.43637,-1.1964,0.033409,1.4761
"1655/99.9258mz/8.15min",0.19928,-2.3271,0.033533,1.4745
"1027/542.3486mz/6.85min",0.37671,-1.4085,0.034079,1.4675
"1674/673.4095mz/8.13min",0.4468,-1.1623,0.036214,1.4411
"1396/491.3378mz/7.68min",0.4943,-1.0165,0.036219,1.4411
"1715/769.313mz/8.14min",0.41212,-1.2789,0.036826,1.4338
"1696/767.3162mz/8.14min",0.40458,-1.3055,0.041173,1.3854
"1364/771.3906mz/7.67min",10.374,3.3749,0.043258,1.3639
