row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,POS_TJGIp3_2_Run126.mzML Peak area,POS_TJGIp3_1_Run40.mzML Peak area,POS_TJGI15pt3_EV_alcA-Control_2_Run114.mzML Peak area,POS_TJGIp3_3_Run164.mzML Peak area,POS_TJGI15pt3_EV_alcA-Control_3_Run203.mzML Peak area,POS_TJGI15pt3_EV_alcA-Control_1_Run31.mzML Peak area,
4015,81.5204503040262,10.576055,,,,102,,,,,,,1.9309278E7,1.2873531E7,1.7748316E7,2.1169098E7,2.2064266E7,1.2580607E7,
3875,83.06029080105708,10.105223,,,,,,,,,,,40657.42,75327.39,131278.25,101579.516,124933.695,69653.97,
43,84.04438288620096,0.37307438,,,,140,,,,,,,1071711.8,461917.3,736546.94,1243317.0,1796766.2,230675.75,
121,84.04440140994758,0.4518714,,,,,,,,,,,494883.12,408045.38,811099.06,459393.1,260465.44,370143.28,
180,84.04444122495421,0.97000897,,,,,,,,,,,7945.484,0,235139.45,12460.902,58756.14,0,
4023,84.95959199186089,10.595416,,,,102,,,,,,,1337002.6,762901.25,1205980.9,1882174.6,1755322.9,773113.75,
6,84.95968977367279,0.22677718,,,,,,,,,,,1411434.9,1126140.4,241027.28,1620005.6,3187081.5,328577.72,
110,84.95969434910297,0.5046783,,,,,,,,,,,914443.5,682552.75,637101.7,678037.1,783095.0,609281.56,
1458,86.09636114795495,6.1243877,,,,,,,,,,,320998.78,288539.03,550077.75,197917.55,227906.5,88303.055,
1385,86.09637980623104,6.032582,,,,,,,,,,,61284.95,327767.0,184933.6,145110.67,34439.266,264982.62,
154,86.09642821714135,0.72704893,,,,233,,,,,,,1.651018E7,1.7429168E7,1.5549849E7,2.1173484E7,2.1422614E7,1.1770019E7,
181,86.0964477077167,0.9234945,,,,,,,,,,,424488.6,77203.81,62019.887,170153.58,114552.41,62233.477,
463,86.09645756977244,3.6848395,,,,19,,,,,,,133970.69,324897.88,432462.88,170191.78,435436.62,472915.4,
251,86.09646774215373,2.331854,,,,,,,,,,,211428.34,300215.56,327093.03,349134.12,82993.58,27838.797,
327,86.09648503655616,2.9129753,,,,,,,,,,,66888.21,192123.94,179674.0,113522.2,292852.06,87635.8,
3982,90.50659980269769,10.465386,,,,,,,,,,,682962.1,781950.6,724746.6,710515.56,718849.4,1253365.1,
