"","filter","POS_TJGI15pt3_EV_alcA-Control_1_Run31.mzML","POS_TJGI15pt3_EV_alcA-Control_2_Run114.mzML","POS_TJGI15pt3_EV_alcA-Control_3_Run203.mzML","POS_TJGIp3_1_Run40.mzML","POS_TJGIp3_2_Run126.mzML","POS_TJGIp3_3_Run164.mzML"
"231/254.1385mz/2.08min",363077.17,286896.9,349850.28,457142.88,376304.06,296388.84,416459.47
"232/220.118mz/2.1min",2327013.65,2242184.8,2411842.5,2951196.8,2186027.8,1966891.2,2436027
"233/242.0998mz/2.1min",678659.87,677451.94,679867.8,832747.56,637450.3,413413,693931.9
"234/232.1543mz/2.11min",3430441.5,2754381,2901140.5,3614448,3805562.8,3246435,3961259.8
"235/217.1047mz/2.16min",289071.1,398171.8,581365.44,301467.4,175456.4,271639.53,276674.8
"237/102.0914mz/2.14min",206025.855,537449.56,148235.6,496745.84,44052.39,162345.77,249705.94
"238/184.1697mz/2.16min",473301.66,712975.9,356551.06,556374.6,390228.72,291485.1,793783.25
"239/185.0785mz/2.15min",1371945.25,1107766.2,1033045.75,1262392.4,1527816,1481498.1,1909910.4
"241/205.0972mz/2.2min",1016569.52,876230.3,1074487.6,1723674,946768.9,958651.44,1344688.5
"242/171.1128mz/2.2min",561093.575,533909.75,970361.6,1228321.2,450129.7,516938.4,588277.4
"243/195.1228mz/2.21min",267291.81,463643.88,305555.2,170739.58,328510.6,229028.42,181065.6
"244/188.0706mz/2.2min",1447271.55,1326572.4,1438303.2,2124009,1456239.9,1240149.9,1738987.6
"245/217.1047mz/2.2min",859958.075,554829.8,959562.75,1301841.9,598154.1,760353.4,1039429.9
"246/113.0597mz/2.21min",965473.15,893760.75,697203.3,1426653.4,991029.2,939917.1,1186657.2
"247/245.1495mz/2.24min",102647.19,122205.57,126782.38,200704.08,83088.81,15641.07,23745.982
"248/231.1703mz/2.26min",926334.43,793100.2,1004926.06,1261099.6,847742.8,776872.44,1008415.25
"250/220.1193mz/2.3min",107099.33,112269.79,101928.87,124975.46,115105.664,65943.54,97573.5
"251/86.0965mz/2.33min",255821.95,27838.797,327093.03,82993.58,300215.56,211428.34,349134.12
"252/152.0707mz/2.33min",222497.855,196566.61,177837.22,283627.88,241448.1,203547.61,263779.25
"253/146.0601mz/2.34min",1641555.6,1554936.9,1747175.2,2389945,1715363.6,1314486.2,1567747.6
