"","FC","log2(FC)","raw.pval","-log10(p)"
"2296/431.315mz/7.29min",0.25346,-1.9802,0.00013459,3.871
"412/285.1308mz/3.36min",0.44649,-1.1633,0.00025271,3.5974
"1903/425.3046mz/6.82min",0.27367,-1.8695,0.00026882,3.5705
"1892/431.3042mz/6.81min",0.42594,-1.2313,0.00027271,3.5643
"409/245.1384mz/3.36min",0.43818,-1.1904,0.0010182,2.9922
"1881/487.3531mz/6.78min",0.49905,-1.0027,0.0010802,2.9665
"592/377.2317mz/4.44min",0.31357,-1.6732,0.0013075,2.8836
"1506/593.3288mz/6.18min",0.43524,-1.2001,0.0013276,2.8769
"320/295.1287mz/2.84min",3.2675,1.7082,0.0016834,2.7738
"3519/366.3727mz/8.63min",0.0082679,-6.9183,0.001785,2.7484
"1000/383.2423mz/5.38min",0.36481,-1.4548,0.0020215,2.6943
"1872/450.3476mz/6.8min",0.46286,-1.1113,0.0025739,2.5894
"2886/483.3672mz/7.81min",0.32117,-1.6386,0.003176,2.4981
"1236/587.3421mz/5.77min",0.32765,-1.6098,0.0040793,2.3894
"424/171.1016mz/3.45min",0.41604,-1.2652,0.0050931,2.293
"1779/577.3343mz/6.65min",0.40835,-1.2921,0.0060357,2.2193
"486/147.0623mz/3.75min",0.43906,-1.1875,0.0073663,2.1327
"529/285.1695mz/4.15min",0.39098,-1.3548,0.0088316,2.054
"258/229.1547mz/2.38min",2.1164,1.0816,0.0092003,2.0362
"2377/460.3133mz/7.36min",0.43272,-1.2085,0.0099672,2.0014
"3454/535.3967mz/8.48min",0.44116,-1.1806,0.010587,1.9752
"2599/429.336mz/7.58min",0.33774,-1.566,0.010788,1.967
"784/227.1276mz/4.95min",0.42064,-1.2493,0.011504,1.9391
"2551/443.315mz/7.53min",0.31712,-1.6569,0.011518,1.9386
"3375/677.4593mz/8.38min",0.46058,-1.1185,0.012511,1.9027
"422/125.0961mz/3.45min",0.44924,-1.1544,0.013434,1.8718
"1241/609.3239mz/5.77min",0.28568,-1.8075,0.014603,1.8355
"2555/427.3202mz/7.54min",0.35876,-1.4789,0.015524,1.809
"783/399.2373mz/4.95min",0.35058,-1.5122,0.015838,1.8003
"2148/443.3151mz/7.13min",0.47052,-1.0877,0.016425,1.7845
"1512/399.2373mz/6.19min",0.4141,-1.272,0.01654,1.7815
"2777/428.3238mz/7.69min",0.37345,-1.421,0.016568,1.7807
"1012/494.3194mz/5.4min",0.44768,-1.1595,0.018094,1.7425
"1919/550.302mz/6.83min",2.0571,1.0406,0.019714,1.7052
"1654/149.0233mz/6.51min",2.0323,1.0231,0.019914,1.7008
"2575/740.5218mz/7.54min",42.879,5.4222,0.022003,1.6575
"2818/371.1007mz/7.72min",3.2292,1.6912,0.022719,1.6436
"2371/459.3099mz/7.36min",0.47178,-1.0838,0.02323,1.634
"2773/427.3202mz/7.69min",0.37542,-1.4134,0.023295,1.6327
"3411/702.2132mz/8.43min",9.3326,3.2223,0.024603,1.609
"1019/965.6497mz/5.4min",0.3318,-1.5916,0.025195,1.5987
"2715/374.3128mz/7.67min",0.37251,-1.4246,0.026141,1.5827
"2708/373.3095mz/7.67min",0.37644,-1.4095,0.026391,1.5785
"2374/315.2313mz/7.36min",0.4292,-1.2203,0.026922,1.5699
"1129/388.2884mz/5.6min",0.49017,-1.0287,0.028125,1.5509
"1788/383.2424mz/6.66min",0.43958,-1.1858,0.028643,1.543
"2424/333.2418mz/7.41min",0.42769,-1.2254,0.029091,1.5362
"2641/391.2989mz/7.65min",0.46603,-1.1015,0.033518,1.4747
"2870/245.138mz/7.79min",0.32888,-1.6043,0.035353,1.4516
"2459/425.3044mz/7.44min",0.48142,-1.0546,0.035399,1.451
"1503/634.3589mz/6.18min",2.7604,1.4649,0.037255,1.4288
"2770/409.3096mz/7.69min",0.45047,-1.1505,0.03872,1.4121
"987/423.2347mz/5.34min",0.27883,-1.8425,0.038769,1.4115
"2688/435.3363mz/7.66min",0.4761,-1.0706,0.039807,1.4
"2324/285.1844mz/7.32min",0.46237,-1.1129,0.039974,1.3982
"1011/472.3377mz/5.4min",0.49488,-1.0148,0.043398,1.3625
"2529/393.3147mz/7.5min",0.37938,-1.3983,0.043971,1.3568
"2757/808.5775mz/7.68min",0.27999,-1.8366,0.044484,1.3518
"1504/468.3579mz/6.24min",0.35234,-1.505,0.0445,1.3516
"2530/375.3041mz/7.5min",0.44092,-1.1814,0.044761,1.3491
"678/482.2831mz/4.76min",0.44253,-1.1762,0.046887,1.3289
"2847/441.3352mz/7.77min",0.45622,-1.1322,0.048607,1.3133
"2205/375.3042mz/7.2min",0.49854,-1.0042,0.048878,1.3109
"3950/760.5802mz/10.24min",4.8595,2.2808,0.049025,1.3096
"2786/425.3043mz/7.69min",0.38507,-1.3768,0.049125,1.3087
"2883/227.1275mz/7.8min",0.32702,-1.6125,0.049994,1.3011
