"MetaboAnalyst_ID","Fold.Change","log2.FC.","shared_name"
"1425/634.3723mz/7.4min",11.66,3.5435,"1425"
"1337/634.3727mz/7.29min",7.3862,2.8848,"1337"
"1392/738.5082mz/7.41min",0.16875,-2.5671,"1392"
"1310/826.5606mz/7.18min",5.3864,2.4293,"1310"
"1782/99.9258mz/8.13min",5.3292,2.4139,"1782"
"644/601.1828mz/4.9min",4.4977,2.1692,"644"
"1489/738.508mz/7.64min",0.24241,-2.0445,"1489"
"1451/565.3147mz/7.46min",4.1209,2.043,"1451"
"1762/565.3413mz/8.13min",4.0782,2.0279,"1762"
"876/860.5419mz/5.76min",3.9406,1.9784,"876"
"969/239.0673mz/6.03min",0.25604,-1.9656,"969"
"1770/117.919mz/8.14min",3.7495,1.9067,"1770"
"1343/833.5186mz/7.36min",3.714,1.893,"1343"
"384/257.103mz/3.45min",3.5173,1.8145,"384"
"2034/713.4761mz/10.21min",3.2125,1.6837,"2034"
"438/300.1451mz/3.75min",3.1755,1.667,"438"
"1331/565.3147mz/7.34min",3.0161,1.5927,"1331"
"1845/695.4658mz/8.19min",2.9136,1.5428,"1845"
"1858/459.2784mz/8.28min",2.8259,1.4987,"1858"
"1662/649.3359mz/7.74min",2.7274,1.4475,"1662"
"704/183.139mz/5.18min",2.6805,1.4225,"704"
"1789/758.4977mz/8.14min",0.37322,-1.4219,"1789"
"452/300.1451mz/3.82min",2.6696,1.4166,"452"
"687/227.129mz/5.11min",2.6572,1.4099,"687"
"293/317.1352mz/2.94min",2.6385,1.3997,"293"
"1807/711.4608mz/8.13min",2.6381,1.3995,"1807"
"1291/634.3727mz/7.16min",0.38716,-1.369,"1291"
"1805/714.5087mz/8.14min",0.39204,-1.3509,"1805"
"1923/603.4662mz/8.77min",2.5115,1.3286,"1923"
"1948/603.4666mz/8.96min",2.5115,1.3286,"1948"
"292/273.1456mz/2.94min",2.4711,1.3051,"292"
"572/431.2286mz/4.54min",2.4495,1.2925,"572"
"1351/629.402mz/7.35min",2.4243,1.2776,"1351"
"1320/435.2517mz/7.22min",2.4235,1.2771,"1320"
"1655/570.3728mz/7.81min",2.4018,1.2641,"1655"
"1867/179.0382mz/8.33min",2.4004,1.2633,"1867"
"1904/179.0383mz/8.64min",2.3667,1.2429,"1904"
"343/171.0663mz/3.23min",2.3348,1.2233,"343"
"1693/549.3197mz/7.82min",2.3267,1.2183,"1693"
"1745/563.3354mz/8.11min",2.3158,1.2115,"1745"
"1111/571.2887mz/6.45min",2.3151,1.211,"1111"
"1535/649.3355mz/7.67min",2.3138,1.2103,"1535"
"1308/311.2227mz/7.23min",2.3066,1.2058,"1308"
"1423/381.2315mz/7.44min",2.3035,1.2038,"1423"
"1567/621.3408mz/7.68min",2.3016,1.2027,"1567"
"1701/621.3408mz/7.85min",2.2884,1.1943,"1701"
"474/141.0921mz/3.95min",2.2371,1.1616,"474"
"1510/835.5295mz/7.67min",0.44752,-1.16,"1510"
"1076/548.3439mz/6.41min",2.2224,1.1521,"1076"
"348/157.087mz/3.26min",2.2197,1.1504,"348"
"221/228.0878mz/2.57min",2.208,1.1427,"221"
"1690/569.3694mz/7.81min",2.205,1.1408,"1690"
"1988/579.3305mz/9.83min",0.45422,-1.1385,"1988"
"1863/115.9207mz/8.29min",2.177,1.1223,"1863"
"559/375.2177mz/4.45min",2.1711,1.1185,"559"
"1902/463.3099mz/8.63min",2.169,1.1171,"1902"
"1880/179.0382mz/8.42min",2.1608,1.1116,"1880"
"1532/692.3784mz/7.67min",2.16,1.111,"1532"
"1650/612.4115mz/7.74min",2.1498,1.1042,"1650"
"456/185.0819mz/3.83min",2.1495,1.104,"456"
"363/193.0506mz/3.35min",2.1321,1.0922,"363"
"1422/742.5032mz/7.45min",0.47042,-1.088,"1422"
"1862/113.9262mz/8.27min",2.1218,1.0853,"1862"
"457/141.0921mz/3.83min",2.1111,1.078,"457"
"408/243.1237mz/3.57min",2.107,1.0752,"408"
"1413/435.2517mz/7.38min",2.1048,1.0736,"1413"
"1832/117.9286mz/8.14min",0.47544,-1.0727,"1832"
"515/213.1132mz/4.14min",2.0924,1.0651,"515"
"318/173.0818mz/3.04min",2.0883,1.0623,"318"
"1669/692.3785mz/7.74min",2.087,1.0615,"1669"
"1754/671.466mz/8.12min",0.4805,-1.0574,"1754"
"2029/687.4608mz/10.21min",2.0749,1.053,"2029"
"441/189.1132mz/3.76min",2.0594,1.0423,"441"
"1415/579.3303mz/7.48min",2.0399,1.0285,"1415"
"1889/99.9258mz/8.47min",0.49021,-1.0285,"1889"
"443/459.2824mz/3.78min",2.0317,1.0227,"443"
"933/265.1478mz/5.92min",2.0296,1.0212,"933"
"1206/416.3017mz/6.79min",2.0276,1.0198,"1206"
"2072/162.8391mz/10.43min",0.49452,-1.0159,"2072"
"2025/695.4658mz/10.21min",2.022,1.0158,"2025"
"1727/549.3198mz/7.98min",2.016,1.0115,"1727"
"440/171.1027mz/3.75min",2.0113,1.0081,"440"
"1504/693.3818mz/7.68min",2.0035,1.0025,"1504"
"389/125.0971mz/3.45min",2.0017,1.0012,"389"
"1866/144.9234mz/8.28min",2.0002,1.0002,"1866"
