row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_pos_20210511_Run212.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_pos_20210511_Run102.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_pos_20210511_Run46.mzML Peak area,POS_TJGIp3_3_Run173.mzML Peak area,POS_TJGIp3_2_Run137.mzML Peak area,POS_TJGIp3_1_Run55.mzML Peak area,
4540,81.52047367836855,10.566833,,,,45,,,,,,,2.3256456E7,1.8407936E7,1.4914067E7,2.1033402E7,2.0128282E7,1.7019746E7,
4370,83.0603179052596,9.924976,,,,,,,,,,,46526.863,96651.18,72668.35,86232.586,82690.18,1175002.5,
4405,83.06032350100237,10.12754,,,,,,,,,,,285022.12,1029817.56,478256.22,500886.38,887144.06,101442.305,
56,83.06033240518481,0.37302423,,,,4,,,,,,,2129799.5,1804866.0,1793931.9,1896784.6,1908850.8,1633255.5,
4351,83.06035368096359,9.761204,,,,,,,,,,,131336.83,148783.42,643229.5,62631.664,111659.16,67748.53,
132,84.04437513958455,0.383512,,,,4,,,,,,,2704379.2,1712146.4,1587660.2,2323558.8,3398993.0,2259096.0,
4555,84.95961687525211,10.60662,,,,45,,,,,,,1868236.5,1262315.9,865195.3,1919405.2,1836802.1,437254.22,
6,84.95970254969761,0.2439984,,,,,,,,,,,1435999.4,2410796.2,1223496.9,3090991.0,2693439.0,615430.56,
190,86.0600541933789,0.5802984,,,,,,,,,,,248638.55,1112180.6,492776.03,3049200.2,384823.4,351349.25,
271,86.06006470951623,0.85534304,,,,,,,,,,,2769480.8,3793234.5,3033401.5,108460.7,693988.25,897291.1,
223,86.06009485921929,0.68747616,,,,,,,,,,,116179.16,473413.5,496133.8,519296.3,3648561.0,1028959.94,
1973,86.09639210186458,6.1362033,,,,303,,,,,,,1434622.6,2083811.2,509489.16,2452781.5,2783635.5,406503.84,
1881,86.0963993409061,6.082313,,,,,,,,,,,304443.97,1298269.4,2088542.6,783520.5,1346131.0,3018622.0,
2053,86.09640223680096,6.301537,,,,,,,,,,,585428.9,53667.89,23664.68,1660043.9,316759.9,92981.22,
239,86.09643258005879,0.73537964,,,,240,,,,,,,5.183108E7,4.834331E7,5.4949988E7,7.385458E7,8.469644E7,5.662535E7,
316,86.09643460903668,0.96423644,,,,,,,,,,,247044.61,237024.45,103605.29,478313.2,335501.97,332997.06,
583,86.09643588164772,2.7085273,,,,,,,,,,,601177.3,671661.3,500674.3,1093032.2,672393.94,386874.25,
725,86.0964597760725,2.9155805,,,,158,,,,,,,990992.1,1005500.56,1149587.1,2456540.8,2730455.8,923180.94,
980,86.09645273534528,3.693018,,,,,,,,,,,416075.75,668935.6,846832.6,959553.1,881062.0,305027.97,
177,90.0549400868983,0.5050507,,,,,,,,,,,93768.11,183085.08,95413.43,611205.4,492931.34,67676.414,
236,90.05496230759083,0.721937,,,,,,,,,,,1074598.4,995543.9,1041953.3,1075172.2,1016012.6,852922.56,
4547,90.52580805717868,10.5775385,,,,45,,,,,,,4.177711E7,3.984241E7,3.2904928E7,3.6949452E7,4.3033984E7,3.6031024E7,
4529,94.04499886899055,10.512417,,,,27,,,,,,,4316760.0,3930966.8,3276854.5,3934543.8,4245235.5,3754423.5,
988,95.08555569360283,3.6947277,,,,30,,,,,,,416866.44,377383.44,453466.75,670965.5,548833.3,503545.72,
850,95.08556159972865,3.2585433,,,,,,,,,,,178732.89,139230.23,250781.5,283826.84,324852.4,279902.12,
3518,97.10111333191507,7.9533334,,,,34,,,,,,,486480.1,227788.81,74157.17,124213.46,120831.82,98453.15,
922,97.10121905235106,3.4503253,,,,51,,,,,,,173112.84,223996.44,317458.0,561218.25,435556.78,431962.12,
4546,97.9912571723778,10.574975,,,,45,,,,,,,8939918.0,6529427.0,6210436.5,8524117.0,8464234.0,7169204.0,
4514,98.51191998740035,10.441117,,,,130,,,,,,,1265191.0,1080616.4,373287.5,1277189.1,372731.75,117777.34,
4587,98.51198270949482,10.963319,,,,,,,,,,,451018.0,636821.0,5781423.0,3378145.8,825095.94,5983867.0,
4594,98.51200635996351,11.243286,,,,,,,,,,,724628.2,4543088.0,1086129.9,733685.3,613459.06,742170.9,
1237,99.044050621436,4.6782756,,,,86,,,,,,,91002.81,105407.36,110983.55,95712.89,82122.09,85564.0,
266,99.04405603803419,0.8755174,,,,,,,,,,,490162.0,302846.22,200088.34,1288924.8,989740.06,788169.75,
323,99.04407316773182,1.0547187,,,,,,,,,,,1399930.4,1286587.1,1627383.8,1631053.4,1548423.9,2816748.2,
4528,99.5121348854554,10.495022,,,,19,,,,,,,2969222.5,2667248.0,2227625.5,2764493.5,2410759.2,2085510.2,
4549,99.531044704603,10.583801,,,,45,,,,,,,3672297.0,2585951.8,3984445.5,3712531.8,2843991.0,3088031.2,
230,100.07566875445741,0.6855852,,,,,,,,,,,306944.22,527246.5,522182.22,244223.52,235283.52,306972.44,
366,100.07570548060606,1.4005202,,,,,,,,,,,6559229.5,4120968.0,5019650.5,9409848.0,9959839.0,6477358.0,
465,100.07570816370152,2.351032,,,,,,,,,,,119089.71,367517.8,213745.44,226024.84,340556.84,117116.03,
394,100.0757088779139,1.9459019,,,,218,,,,,,,8346884.0,1.8392856E7,2.1089556E7,1.5891606E7,1.3216621E7,2.8137508E7,
4431,100.11196663729237,10.195203,,,,,,,,,,,734495.6,793573.6,686730.25,683391.7,806189.94,671047.5,
796,100.1120715720433,3.130046,,,,36,,,,,,,577183.25,1112742.9,1088289.5,560860.4,1270891.8,1453514.2,
171,101.02330230256312,0.5480389,,,,,,,,,,,694305.8,270048.12,327383.84,573387.8,529290.44,1079160.1,
215,101.02331680804868,0.63946986,,,,255,,,,,,,4446875.0,2802695.0,3217330.0,5750793.5,7188095.5,3069485.0,
4412,101.07088092669373,10.149019,,,,,,,,,,,2.3440798E7,5766446.0,6171745.0,2.3954934E7,2.8541988E7,4700141.5,
4048,101.07095068503668,8.5594,,,,,,,,,,,1.2885926E7,5290958.5,1.1307881E7,9442193.0,1.2505332E7,6440519.5,
4541,102.03376224421459,10.56691,,,,45,,,,,,,7.819397E7,6.813773E7,6.1029532E7,7.0738456E7,7.353844E7,7.00116E7,
1576,102.0549117096795,5.5659256,,,,40,,,,,,,302521.47,279945.94,301560.4,508206.06,449549.25,485030.2,
49,102.05491509410113,0.36861625,,,,4,,,,,,,2.5556164E7,1.8934334E7,1.6857382E7,2.3220648E7,2.7710106E7,1.9584806E7,
1048,102.0549651157916,3.827589,,,,,,,,,,,0,0,21000.16,3428.6514,0,192691.44,
4543,102.53533947071855,10.567669,,,,45,,,,,,,6830643.0,5902010.5,5303837.5,6111889.0,6393476.5,6078662.5,
780,103.0753461915122,3.0896084,,,,,,,,,,,489334.0,115452.72,143400.95,194292.22,37095.72,354941.38,
859,103.07534826138499,3.268158,,,,,,,,,,,181200.33,19063.535,29449.066,116460.08,13369.384,123112.93,
4539,104.03011457544581,10.566152,,,,45,,,,,,,2038505.6,1741467.0,1564074.5,1821520.2,1864396.2,1791296.9,
