row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGIp4_2_Run109.mzML Peak area,NEG_TJGIp4_3_Run189.mzML Peak area,NEG_TJGIp4_1_Run44.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML Peak area,
51,89.02429746339935,0.49550736,,,,,,,,,,,1351770.8,1912781.0,1050155.1,382581.2,1317736.0,681499.56,
1946,89.02429822381653,10.099727,,,,,,,,,,,121768.77,87573.2,216528.02,155129.98,58891.414,72806.22,
6,92.92794973980459,0.34431508,,,,64,,,,,,,812929.56,902876.4,805686.2,894798.6,1063920.2,1000870.56,
5,94.92502359688227,0.34351614,,,,64,,,,,,,546866.8,608979.06,540541.2,583884.56,697151.94,659705.4,
672,96.96005506276593,5.874823,,,,,,,,,,,431947.38,165240.28,429924.38,308999.5,187033.5,1251070.6,
2050,96.96007371442846,11.0035095,,,,,,,,,,,3830455.2,4039595.0,3626771.5,3910449.2,3948840.0,3078400.2,
3,96.96013058237651,0.32772076,,,,,,,,,,,1859903.0,7478829.5,7526863.0,1.05207E7,3073985.5,1.3735668E7,
35,96.96949617314793,0.39414874,,,,64,,,,,,,5858588.0,5672014.5,7741171.0,8238824.0,5932888.5,7692605.0,
1963,99.92574976816668,10.1986265,,,,,,,,,,,2584653.8,1932521.5,2469560.5,2590366.8,2335280.5,2707960.8,
1516,99.92577258756239,7.755314,,,,,,,,,,,5196976.0,2.352867E7,4185599.2,5231164.5,4983425.0,5018063.0,
1826,99.92578627043265,8.448494,,,,,,,,,,,2.9180936E7,4190782.8,3.171081E7,6086673.5,4864153.0,4.312617E7,
1654,99.92579267895955,8.137048,,,,,,,,,,,5232003.5,4141953.8,5397885.0,3.4104164E7,3.1503694E7,8149373.5,
1814,100.9259555762975,8.449012,,,,,,,,,,,598261.5,354218.97,785524.8,451309.8,545988.06,4942311.0,
1492,100.93359221872383,7.710645,,,,20,,,,,,,8000796.0,7231130.0,4073995.0,3988894.2,4083570.0,5677018.5,
1705,100.93360038283203,8.139087,,,,32,,,,,,,1.1734804E7,2683761.0,5782328.0,1.4243608E7,1.6547613E7,1.1269412E7,
31,103.00367425367627,0.38762486,,,,64,,,,,,,769487.2,1070479.1,518520.03,1058081.2,1361157.9,1063521.4,
1948,106.04103242551435,10.14436,,,,,,,,,,,183384.66,149612.81,4246.5054,2485600.2,51785.945,28653.504,
1929,106.04104943601254,9.696162,,,,,,,,,,,36175.387,75691.39,19518.977,374948.34,32517.996,9931.633,
1937,106.04105857042225,9.916646,,,,,,,,,,,95245.86,93146.85,18306.783,1434502.8,147135.86,28956.605,
1914,106.04106189768702,9.430733,,,,,,,,,,,60341.957,92754.7,20136.117,712484.7,39969.29,27026.906,
1841,106.04106305534991,8.547362,,,,,,,,,,,116833.71,111919.53,4430.879,694467.6,22598.383,21196.8,
1915,106.04107317937019,9.555204,,,,,,,,,,,36175.387,56511.04,17490.273,221833.27,39969.29,8401.852,
1945,106.04107766948727,10.022054,,,,,,,,,,,57825.477,132314.56,18306.783,476928.7,69418.38,28956.605,
