"MetaboAnalyst_ID","Fold.Change","log2.FC.","shared_name"
"507/374.2448mz/5.36min",22.568,4.4962,"507"
"508/420.2504mz/5.36min",22.279,4.4776,"508"
"1552/714.5086mz/7.9min",13.85,3.7918,"1552"
"1377/738.5086mz/7.66min",12.264,3.6164,"1377"
"1181/741.3832mz/7.28min",0.090892,-3.4597,"1181"
"1347/771.3906mz/7.67min",10.739,3.4248,"1347"
"1233/738.5084mz/7.45min",9.7666,3.2879,"1233"
"1768/527.3953mz/8.17min",0.11828,-3.0797,"1768"
"1616/814.4345mz/8.0min",7.9248,2.9864,"1616"
"1727/714.5087mz/8.14min",7.8519,2.973,"1727"
"1646/669.4583mz/8.1min",0.12962,-2.9477,"1646"
"1940/579.3304mz/9.9min",6.9582,2.7987,"1940"
"2005/714.5085mz/10.27min",6.8006,2.7657,"2005"
"178/621.3353mz/3.71min",5.956,2.5743,"178"
"1012/826.5606mz/6.87min",5.786,2.5326,"1012"
"280/431.2286mz/4.6min",0.17992,-2.4746,"280"
"1078/826.5605mz/7.02min",0.18073,-2.4681,"1078"
"1654/99.9258mz/8.14min",0.18488,-2.4353,"1654"
"1603/771.3907mz/8.02min",5.3756,2.4264,"1603"
"712/764.5102mz/5.97min",0.19668,-2.3461,"712"
"1514/612.4116mz/7.76min",0.1996,-2.3248,"1514"
"1222/457.2962mz/7.4min",0.20178,-2.3092,"1222"
"1622/714.5086mz/8.02min",4.8923,2.2905,"1622"
"1647/539.3953mz/8.1min",0.21467,-2.2198,"1647"
"1671/771.3909mz/8.13min",4.65,2.2172,"1671"
"1114/529.3048mz/7.14min",4.5469,2.1849,"1114"
"954/351.221mz/6.59min",0.22031,-2.1824,"954"
"2052/501.1766mz/10.98min",0.22659,-2.1419,"2052"
"1741/144.9234mz/8.14min",0.23042,-2.1176,"1741"
"1702/117.919mz/8.13min",0.24488,-2.0299,"1702"
"155/257.103mz/3.45min",0.24702,-2.0173,"155"
"1602/725.3885mz/8.0min",4.0312,2.0112,"1602"
"1814/100.926mz/8.45min",0.26049,-1.9407,"1814"
"631/265.1478mz/5.84min",3.8176,1.9326,"631"
"1528/425.2576mz/7.72min",3.7905,1.9224,"1528"
"1546/499.3639mz/7.81min",0.26497,-1.9161,"1546"
"1808/697.4813mz/8.37min",3.7459,1.9053,"1808"
"1529/535.3406mz/7.79min",0.26791,-1.9002,"1529"
"1235/393.268mz/7.41min",3.6475,1.8669,"1235"
"1282/339.2mz/7.44min",0.27715,-1.8513,"1282"
"1755/820.5357mz/8.15min",0.27812,-1.8462,"1755"
"1553/579.3303mz/7.77min",0.28131,-1.8298,"1553"
"1759/784.5577mz/8.15min",0.29305,-1.7708,"1759"
"1658/118.9268mz/8.13min",0.29665,-1.7532,"1658"
"1807/786.5736mz/8.34min",0.29981,-1.7379,"1807"
"1207/337.2055mz/7.4min",3.3257,1.7337,"1207"
"1674/114.9341mz/8.14min",0.30163,-1.7292,"1674"
