"","PC1","PC2","PC3","PC4","PC5","PC6"
"81/218.1033mz/2.11min",0.0073498,0.00077348,0.0045631,0.006031,1.0964e-05,0.14158
"82/145.0506mz/2.14min",0.012615,0.0054495,-0.0073027,0.0036294,-0.011092,-0.17977
"87/194.0458mz/2.39min",0.0079394,-0.0010266,-0.00055378,0.0060786,-0.0023852,0.019184
"88/144.0455mz/2.4min",0.002418,0.0052275,0.016103,-0.00012599,0.0036511,0.28864
"89/188.0353mz/2.4min",0.0050382,0.0053809,0.018522,-0.0020778,0.0032204,-0.019237
"90/136.0404mz/2.41min",0.0020381,0.0044638,-0.0093515,0.0058947,0.0030685,0.016944
"91/175.0612mz/2.44min",0.0075781,0.0083524,0.010812,0.00724,0.00026211,0.036101
"92/139.0401mz/2.46min",0.0088683,0.004485,0.0057647,0.0040713,-0.0089713,0.0013249
"94/228.0878mz/2.57min",0.00028444,0.03525,0.029172,0.00093814,-0.013929,0.053446
"95/121.0295mz/2.58min",0.0018006,-0.010636,-0.012124,-0.0025258,0.011882,0.053937
"98/178.051mz/2.63min",0.0042038,0.0019117,0.0011905,0.010816,3.8514e-06,6.9247e-05
"99/158.0823mz/2.73min",0.010389,0.0064564,0.025142,0.0051735,-0.0059829,-0.016729
"101/107.0503mz/2.76min",0.004613,0.0047191,0.013664,0.0041418,0.0048109,0.037899
"102/151.0401mz/2.76min",0.006333,0.0048903,0.014244,0.0040836,0.0024113,0.037264
"103/131.0714mz/2.78min",0.0022302,-0.0039575,-0.022348,0.0016226,0.014166,-0.056626
"107/158.0822mz/2.81min",0.0091786,0.007169,0.0259,0.0016562,-0.0056815,-0.035135
"108/159.0663mz/2.87min",0.0033177,0.0064156,0.0025364,0.011149,0.00040595,0.018377
"112/172.0979mz/2.91min",-0.0031394,-1.4228e-05,-0.014408,0.0062249,-0.01985,-0.037526
"114/186.1135mz/2.95min",0.002864,0.02024,0.021778,0.0026526,-0.0068911,-0.020348
"115/171.1027mz/2.96min",-0.002231,0.029792,0.051716,0.014982,-0.0096287,0.028983
"116/189.0768mz/2.97min",0.0054035,0.0074215,0.0048555,0.012657,0.0013405,-0.05443
"117/426.1898mz/2.97min",0.0086701,0.0049938,0.015977,0.003227,-0.0092823,0.03852
"118/221.0931mz/3.02min",-0.0018115,0.012813,-0.0092956,0.014466,-0.0032666,-0.0016604
"119/165.0557mz/3.03min",0.0053304,0.0023539,-0.0031389,0.0093505,0.002909,0.01813
"122/173.0819mz/3.05min",0.0040812,0.01357,0.0291,0.0031327,-0.0019986,0.018039
"123/120.0455mz/3.05min",0.0017777,0.0065615,0.01962,0.00087291,0.0058927,0.037833
"125/164.0354mz/3.05min",0.0030871,0.0068046,0.020849,0.0015852,0.0039472,-0.00020503
"130/160.0404mz/3.2min",-0.002153,0.0063752,0.0038062,0.0010257,0.0040321,0.054984
"131/245.0932mz/3.21min",0.002074,0.0092757,0.0078843,0.0076196,0.0036445,0.018092
"134/180.0666mz/3.24min",0.0029025,0.0081839,0.0063232,0.0077937,-0.0023494,-0.017985
"135/178.051mz/3.25min",0.0048145,0.0045263,0.01608,0.0026972,0.0022512,-0.053504
"137/144.0455mz/3.28min",-0.0044589,0.0067465,0.0044107,-3.6764e-05,0.010903,-0.054788
"143/138.0197mz/3.32min",-0.00029995,0.016774,0.020351,0.0012765,-0.00027877,0.01756
"145/193.0506mz/3.35min",0.0038414,0.0095994,0.0074307,0.012484,-0.012942,0.017269
"146/271.1664mz/3.36min",-0.0052139,-0.0077038,0.0076789,0.0063883,0.0042067,-0.017056
"148/261.1344mz/3.36min",0.0055488,0.021617,0.055954,0.00013715,-0.0085505,-0.049631
"152/125.0971mz/3.45min",0.00036744,0.026343,0.045787,-0.00056263,-0.0068366,0.057713
"153/209.0795mz/3.45min",0.0045605,0.017457,0.036317,-0.00020532,-0.0098723,-0.014902
"154/187.0976mz/3.45min",0.0013518,0.024089,0.042191,0.0004043,-0.0061524,-0.017604
"155/257.103mz/3.45min",0.0056621,0.03571,0.064562,0.001039,-0.015386,-0.029714
"157/145.087mz/3.45min",-0.0015472,-0.0044761,-0.022672,-0.00075814,0.0096861,0.053008
"159/313.1881mz/3.47min",0.0061656,0.022847,0.046937,0.004096,-0.01098,-0.0088346
"160/228.103mz/3.47min",-0.0032916,0.0040231,0.00062582,-0.0011509,0.0079807,-0.00067285
"163/145.087mz/3.54min",-0.00039202,0.0026269,-0.0038055,0.003565,0.0036598,-0.00044986
"164/222.0773mz/3.57min",0.00055633,0.0080431,0.016782,0.0042624,0.0054306,-0.035599
"165/243.1238mz/3.57min",0.0012599,0.020537,0.046414,0.00031,0.00072426,0.057364
"166/271.1664mz/3.6min",0.0011291,0.020292,0.03767,0.0017389,-0.00206,0.020601
"169/191.0748mz/3.61min",-0.00074268,0.0086592,0.0071022,0.0050105,0.0078255,-0.01777
