"","comp 1","comp 2","comp 3","comp 4","comp 5"
"1768/527.3953mz/8.17min",-0.53544,0,0,0,0
"1244/297.2434mz/7.44min",-0.45849,0,0,0,0
"1230/491.3014mz/7.41min",-0.33618,0,0,0,0
"165/243.1238mz/3.57min",-0.31512,0,0,0,0
"185/189.1133mz/3.76min",-0.31215,0,0,0,0
"1043/457.296mz/6.94min",-0.29859,0,0,0,0
"184/171.1027mz/3.76min",-0.18355,0,0,0,0
"152/125.0971mz/3.45min",-0.18191,0,0,0,0
"242/301.1656mz/4.15min",-0.17585,0,0,0,0
"851/540.3308mz/6.4min",-0.080567,0,0,0,0
"1840/475.3096mz/8.58min",0,-0.62424,0,0,0
"119/165.0557mz/3.03min",0,-0.50889,0,0,0
"856/646.3726mz/6.42min",0,-0.32922,0,0,0
"1848/477.3258mz/8.66min",0,-0.30977,0,0,0
"1513/569.3694mz/7.8min",0,-0.2756,0,0,0
"1698/758.4984mz/8.14min",0,0.24733,0,0,0
"1089/271.2278mz/7.07min",0,-0.06326,0,0,0
"1801/179.0382mz/8.36min",0,-0.059628,0,0,0
"1252/634.3726mz/7.41min",0,0.048173,0,0,0
"1094/285.2434mz/7.1min",0,-0.0031313,0,0,0
"81/218.1033mz/2.11min",0,0,0,0,0
"82/145.0506mz/2.14min",0,0,0,0,0
"87/194.0458mz/2.39min",0,0,0,0,0
"88/144.0455mz/2.4min",0,0,0,0,0
"89/188.0353mz/2.4min",0,0,0,0,0
"90/136.0404mz/2.41min",0,0,0,0,0
"91/175.0612mz/2.44min",0,0,0,0,0
"92/139.0401mz/2.46min",0,0,0,0,0
"94/228.0878mz/2.57min",0,0,0,0,0
"95/121.0295mz/2.58min",0,0,0,0,0
"98/178.051mz/2.63min",0,0,0,0,0
"99/158.0823mz/2.73min",0,0,0,0,0
"101/107.0503mz/2.76min",0,0,0,0,0
"102/151.0401mz/2.76min",0,0,0,0,0
"103/131.0714mz/2.78min",0,0,0,0,0
"107/158.0822mz/2.81min",0,0,0,0,0
"108/159.0663mz/2.87min",0,0,0,0,0
"112/172.0979mz/2.91min",0,0,0,0.14837,0
"114/186.1135mz/2.95min",0,0,0,0,0
"115/171.1027mz/2.96min",0,0,0,0,0
"116/189.0768mz/2.97min",0,0,0,0,0
"117/426.1898mz/2.97min",0,0,0,0,0
"118/221.0931mz/3.02min",0,0,0,0,0
"122/173.0819mz/3.05min",0,0,0,0,0
"123/120.0455mz/3.05min",0,0,0,0,0
"125/164.0354mz/3.05min",0,0,0,0,0
"130/160.0404mz/3.2min",0,0,0,0,0
"131/245.0932mz/3.21min",0,0,0,0,0
"134/180.0666mz/3.24min",0,0,0,0,0
"135/178.051mz/3.25min",0,0,0,0,0
"137/144.0455mz/3.28min",0,0,0,0,0
"143/138.0197mz/3.32min",0,0,0,0,0
"145/193.0506mz/3.35min",0,0,0,0,0
"146/271.1664mz/3.36min",0,0,0,0,0
"148/261.1344mz/3.36min",0,0,0,0,0
