Filename,2024_NEG_Anid-EV-alcA_CTRL_1_Run177.mzML,2024_NEG_Anid-EV-alcA_CTRL_2_Run198.mzML,2024_NEG_Anid-EV-alcA_CTRL_3_Run230.mzML,2024_NEG_Anid-TJGIp4_1_Run183.mzML,2024_NEG_Anid-TJGIp4_2_Run212.mzML,2024_NEG_Anid-TJGIp4_3_Run233.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
157/226.0721mz/2.0min,3582727.0,5107368.5,4815080.5,3939389.0,4294042.0,1827459.4
158/244.0826mz/2.02min,2577503.5,3731052.5,2667412.5,1872317.1,2184584.0,640115.4
159/158.0822mz/2.03min,259831.66,302934.16,7906600.5,1724198.1,388049.3,1224318.5
161/345.13mz/2.05min,362393.1,508853.12,113857.02,191795.19,223779.36,265434.0
163/327.1199mz/2.05min,84226.414,87101.0,610731.5,393685.78,52105.793,24166.123
164/187.1088mz/2.06min,204842.94,316130.84,69243.836,144659.97,184148.47,888438.4
168/224.0564mz/2.1min,600287.5,560446.6,1321528.2,1446659.4,1200098.8,306390.78
169/182.0458mz/2.08min,3298662.2,2149809.8,1064724.5,1204581.1,1053270.5,189972.45
171/283.0606mz/2.1min,731347.7,472526.3,202640.4,231459.23,290072.62,188562.36
172/220.0649mz/2.1min,5975262.5,6207557.0,4215460.0,2439936.5,3551234.2,2216053.2
173/293.1145mz/2.09min,4610.924,20826.977,155723.66,48747.176,4469.176,35243.133
175/231.0986mz/2.1min,40907.02,58407.41,1778936.5,668957.25,241127.69,0.0
176/224.104mz/2.12min,495990.53,650229.2,0.0,287643.97,540245.25,0.0
178/242.067mz/2.11min,1760987.0,1730965.4,1262416.9,1697903.4,2254995.2,939555.2
179/117.0558mz/2.12min,1874189.6,2847821.5,3754308.2,1577387.0,1326814.6,999388.9
180/196.0615mz/2.14min,567791.3,144172.64,525161.4,1026777.3,759945.4,227033.53
182/163.9861mz/2.12min,3313524.0,1915012.8,1821852.6,2909504.2,3062212.5,4375066.5
183/345.1301mz/2.14min,67866.64,487354.97,102869.28,169625.23,108412.74,501988.6
184/240.0514mz/2.14min,1392183.2,1788058.9,2117995.8,3347651.5,3071442.2,839419.8
185/259.1299mz/2.14min,244162.92,436387.5,359874.25,179308.16,118206.15,414823.84
187/212.0565mz/2.17min,434462.8,195140.47,42656.508,414664.84,475430.25,37091.008
189/210.0771mz/2.16min,199763.72,280479.75,108955.484,148767.03,175126.31,244023.27
190/356.1348mz/2.15min,604203.4,248253.66,649078.1,360789.12,265052.6,0.0
192/147.0663mz/2.17min,257736.12,428241.4,51371.625,18973.865,52803.133,66194.695
193/281.099mz/2.18min,1249143.8,1623513.9,5151419.0,1656498.0,1146884.1,794964.3
194/437.214mz/2.18min,306731.12,423089.72,6024131.5,523695.12,258672.12,125229.46
195/225.0881mz/2.13min,411512.94,1166024.5,1180093.8,1051865.2,598875.25,264820.44
198/254.08mz/2.18min,86169.0,258126.75,1199418.5,111492.35,108536.625,74775.38
199/303.0813mz/2.18min,139493.23,70802.51,627304.06,239880.48,151787.84,144998.28
200/459.1966mz/2.18min,12388.076,37927.27,339070.03,39539.254,4262.506,0.0
201/218.1034mz/2.18min,5747325.0,7329235.5,27927002.0,7175889.0,5255680.0,3594111.2
202/219.1067mz/2.18min,538810.4,662591.2,2661463.0,675190.0,483335.25,315869.16
203/240.0877mz/2.18min,479764.03,557589.6,425966.0,337395.88,338810.53,226550.4
205/343.1143mz/2.21min,408258.3,551525.44,174376.47,296555.5,195467.42,45304.742
206/184.0615mz/2.2min,454538.03,570823.5,446777.38,348600.56,368676.03,333986.25
207/175.0611mz/2.2min,146875.45,242438.34,443509.62,310287.0,182255.53,137539.58
208/305.9633mz/2.21min,244507.64,315403.97,0.0,10616.299,73317.2,90266.41
209/197.0454mz/2.21min,53259.95,20910.504,1008331.6,1050352.0,632611.9,150272.53
210/145.0507mz/2.22min,1083696.1,1231053.5,3019616.0,1791187.9,1416751.2,206014.31
211/382.1002mz/2.22min,190503.97,293228.88,534981.6,616765.4,378426.3,656693.4
212/242.067mz/2.17min,212546.14,701040.8,278190.78,224381.05,502950.4,598715.6
214/317.099mz/2.23min,283774.4,382950.2,269606.22,1117953.9,699000.9,71644.11
215/283.0936mz/2.24min,985292.9,1234650.0,1086141.5,1005361.6,873112.6,861903.3
216/190.0545mz/2.25min,250878.48,227393.22,280468.06,85115.71,168946.42,550272.8
219/200.0565mz/2.26min,355136.94,383528.0,451728.62,638605.3,585184.4,144668.75
220/137.0245mz/2.26min,288450.8,81707.58,104156.2,77607.3,174306.64,2671632.8
222/196.0615mz/2.27min,476161.03,902358.0,223876.72,509488.1,435621.5,643199.3
224/446.1778mz/2.27min,333825.84,505922.66,325500.16,277540.38,266511.78,43169.46
225/125.0245mz/2.27min,375410.9,329822.66,370983.66,1320562.9,1518534.6,58085.72
226/181.0508mz/2.27min,726316.0,786359.56,510212.97,457805.0,910325.4,891149.06
230/360.0723mz/2.29min,516178.56,834204.44,0.0,0.0,369428.8,0.0
231/330.0986mz/2.29min,137218.19,90294.87,144354.33,20833.95,74615.54,0.0
232/245.1142mz/2.29min,383257.66,288086.47,960234.3,453120.9,297234.2,3933.2192
236/345.1301mz/2.3min,1654825.5,2511649.2,1428104.9,1514110.2,1353814.9,935269.9
237/226.0721mz/2.3min,4373408.0,3776840.5,4063724.2,4686016.5,3319989.8,3392611.2
238/303.0511mz/2.31min,956468.7,1032834.56,0.0,0.0,198967.0,0.0
240/356.1348mz/2.32min,283373.03,151852.92,862882.44,430412.66,376785.62,70964.61
242/211.0612mz/2.33min,24475.457,34081.33,4688858.5,2455404.2,1442593.5,70832.97
243/175.0612mz/2.35min,91535.48,164619.03,170013.27,358319.3,126270.41,131857.89
245/306.0985mz/2.33min,553248.94,560264.6,100594.28,96471.414,154090.25,22850.863
246/242.0671mz/2.29min,553264.3,395558.06,300676.12,98514.13,259653.5,68010.38
251/343.1144mz/2.35min,754393.06,870228.6,286169.47,480564.25,573524.4,313019.5
253/234.0772mz/2.35min,736638.3,814699.56,701302.0,654188.3,650838.75,691683.7
254/297.0729mz/2.36min,641551.4,676469.56,590204.44,665775.9,623147.94,802643.06
255/180.0666mz/2.36min,84225.37,150631.88,168734.39,71168.09,67420.125,57832.5
258/161.0819mz/2.36min,295933.9,296045.25,665712.6,348540.72,299385.5,0.0
259/309.1093mz/2.37min,99458.336,277785.6,206817.44,217190.0,212883.55,47026.402
260/238.0721mz/2.36min,411191.56,381380.53,261372.73,244759.78,226778.94,70521.81
261/151.0401mz/2.37min,216143.47,273523.56,174830.34,170039.97,182140.8,194235.78
262/153.0194mz/2.37min,1266050.4,2893137.2,862548.9,182533.98,107087.305,0.0
263/212.0565mz/2.38min,1179073.9,2089542.6,1108593.6,1012688.06,1142759.6,585981.94
264/258.0983mz/2.4min,285070.0,443679.25,1923301.2,2041446.0,353930.7,1322013.5
265/214.1085mz/2.38min,4729.5186,9988.089,182870.0,216920.44,8768.494,127985.305
266/240.0878mz/2.38min,1258337.0,1614772.5,1200090.5,1109134.0,1150428.5,1052938.0
267/230.1034mz/2.39min,179667.1,153373.73,388002.44,198499.31,175193.25,19519.174
269/229.1558mz/2.32min,54517.66,77811.61,155522.97,74902.56,69956.74,625130.75
270/259.13mz/2.43min,127323.17,91627.57,152444.69,1236752.8,28921.861,51975.52
271/222.0771mz/2.4min,384012.5,423635.16,227312.05,89410.9,139602.62,72323.96
272/168.0666mz/2.4min,602248.4,997942.2,988115.2,745210.06,774331.3,429217.22
273/286.1409mz/2.44min,0.0,15066.003,441113.1,0.0,0.0,0.0
275/210.0772mz/2.41min,1439765.8,1881631.6,1775077.5,1397275.1,1422554.4,1329114.9
277/180.0302mz/2.43min,288014.2,380781.3,403799.47,400287.4,361851.28,284391.12
278/129.0558mz/2.43min,3927831.0,2888937.5,11154930.0,4017704.0,2903171.5,7534690.0
279/175.0612mz/2.43min,462859.5,722103.25,747209.3,777050.7,368038.1,153271.25
280/479.1787mz/2.43min,428307.34,328918.62,388195.94,456497.66,508200.88,4436.557
281/326.1245mz/2.47min,249053.73,297025.6,13580.582,5092.0254,22404.53,0.0
282/416.1826mz/2.43min,2227031.0,1854750.9,1983088.2,2140991.2,2478237.2,149752.4
283/762.321mz/2.44min,490510.97,523562.5,362991.25,380601.16,420932.1,5909.4746
284/345.1301mz/2.44min,9656169.0,12888154.0,7103777.5,7366411.0,7775695.0,6563906.5
285/346.1336mz/2.44min,1452745.2,1910354.0,1059131.4,1088285.1,1148320.5,999649.0
286/691.2683mz/2.44min,587830.9,937644.6,347672.47,327134.3,350043.12,336600.34
287/160.0405mz/2.44min,91192.68,96726.42,607205.3,262742.5,105219.36,0.0
288/205.0336mz/2.44min,24212.28,52882.06,354424.9,167665.42,45948.914,0.0
290/605.2258mz/2.44min,35525.906,3581.8865,277639.1,162170.83,109496.305,0.0
291/204.0302mz/2.44min,604096.44,592567.6,3783777.8,1783465.8,696917.25,144436.86
293/188.0353mz/2.45min,829771.9,475065.4,5127584.5,2642855.5,1969343.1,258486.11
295/313.0678mz/2.46min,283094.66,263169.88,108010.875,468657.7,601838.56,350299.06
297/282.0984mz/2.46min,835054.7,1185163.9,758517.56,1259747.4,955632.25,1887106.9
298/287.0563mz/2.46min,214267.03,284755.94,0.0,0.0,0.0,0.0
300/158.0822mz/2.45min,63790.074,70977.59,896946.9,692291.3,145141.02,316461.88
