row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_NEG_Anid-TJGIp4_3_Run233.mzML Peak area,2024_NEG_Anid-EV-alcA_CTRL_1_Run177.mzML Peak area,2024_NEG_Anid-EV-alcA_CTRL_2_Run198.mzML Peak area,2024_NEG_Anid-TJGIp4_1_Run183.mzML Peak area,2024_NEG_Anid-TJGIp4_2_Run212.mzML Peak area,2024_NEG_Anid-EV-alcA_CTRL_3_Run230.mzML Peak area,
53,89.02442145523425,0.5300804,,,,,,,,,,,8687194.0,611136.56,443239.88,1655102.4,860052.7,62391.496,
5,92.9280325420779,0.32869974,,,,3,,,,,,,533160.75,1306751.5,834128.7,500926.8,699500.44,631700.44,
49,92.9280398824563,0.50322086,,,,,,,,,,,2069953.1,735379.56,3738490.0,1945594.2,2721088.5,1262455.0,
44,94.9250850021353,0.45997572,,,,,,,,,,,590354.94,541406.44,566097.25,1004690.06,520046.22,344066.22,
4,94.92508710605564,0.32869974,,,,3,,,,,,,1713380.2,448464.47,485336.3,328799.4,1792031.9,419477.3,
58,94.92508899887787,0.5233359,,,,,,,,,,,578903.9,853473.25,1575320.8,482185.88,529243.56,100160.34,
346,95.05025426380553,2.5265899,,,,,,,,,,,0,16159.621,15130.328,262178.22,337032.7,1389158.5,
3103,96.96013762076444,10.629693,,,,,,,,,,,8963555.0,9205235.0,8899826.0,9324875.0,9242160.0,7014259.0,
3,96.96962205063647,0.32198206,,,,,,,,,,,838642.4,73706.17,37036.934,158866.4,77140.01,49609.15,
91,96.96964957041766,0.894436,,,,,,,,,,,7316520.5,23001.764,0,61797.094,23713.49,0,
125,97.02953470915772,1.4154631,,,,100,,,,,,,343982.0,2240212.2,2903618.5,411103.16,668668.75,2238653.2,
2968,100.93365049011753,8.844535,,,,,,,,,,,1577715.9,90299.25,143530.97,535671.2,199405.62,142265.16,
2944,100.93365326229883,8.574303,,,,,,,,,,,210047.38,384227.9,174078.28,101809.57,227980.88,334184.56,
2925,100.93365427278093,8.391551,,,,,,,,,,,237453.98,415760.84,343567.75,431906.22,723033.94,425541.12,
2929,100.93365482853294,8.465966,,,,,,,,,,,266681.16,218593.23,424285.66,273769.72,517917.97,426680.28,
2885,100.93365588353178,8.28085,,,,,,,,,,,307528.6,463948.22,572525.44,533051.06,686818.0,552781.75,
3036,100.93365636589733,10.22668,,,,,,,,,,,1095602.5,493711.25,798354.5,917053.75,684416.9,666024.75,
2761,100.93365717652027,7.8506756,,,,,,,,,,,465054.16,303980.3,664736.6,413409.9,361061.25,555568.6,
2915,100.93365682823764,8.348816,,,,,,,,,,,677669.8,1302055.9,842215.1,688100.94,912448.1,546975.44,
2872,100.93365703792604,8.211229,,,,,,,,,,,348518.44,409862.4,331959.3,422776.16,398556.34,424520.2,
2823,100.9336577661672,7.957241,,,,,,,,,,,754951.06,616718.25,571174.44,175691.12,654447.56,191280.12,
2866,100.93365775127178,8.173496,,,,,,,,,,,272638.75,183834.9,198119.6,182913.3,457066.44,220775.06,
2855,100.93365914396792,8.08508,,,,,,,,,,,355627.5,183834.9,295191.84,207206.73,504150.16,362652.7,
