"","comp 1","comp 2","comp 3","comp 4","comp 5"
"4936/648.373mz/6.19min",0.5636,0,0,0,0
"5132/662.3887mz/6.37min",0.52637,0,0,0,0
"4518/634.3571mz/5.82min",0.34295,0,0,0,0
"4934/610.4171mz/6.19min",0.32777,0,0,0,0
"4952/632.399mz/6.2min",0.31773,0,0,0,0
"4667/618.3833mz/5.96min",0.20383,0,0,0,0
"5122/655.4745mz/6.36min",0.15697,0,0,0,0
"4995/644.3989mz/6.22min",0.10918,0,0,0,0
"4523/613.428mz/5.82min",0.033785,0,0,0,0
"4933/612.423mz/6.19min",0.0065597,0,0,0,0
"3695/443.2061mz/5.13min",0,-0.58088,0,0,0
"833/160.0968mz/2.02min",0,-0.46799,0,0,0
"1662/365.1704mz/2.59min",0,0.41309,0,0,0
"1006/461.2103mz/2.18min",0,-0.32957,0,0,0
"7497/389.1747mz/10.49min",0,-0.30751,0,0,0
"3784/531.2571mz/5.17min",0,0.19099,0,0,0
"7461/110.5218mz/10.39min",0,-0.1619,0,0,0
"1683/170.0811mz/2.62min",0,-0.053177,0,0,0
"1291/244.0534mz/2.38min",0,0.049647,0,0,0
"7433/820.5237mz/10.29min",0,0.041989,0,0,0
"817/233.1495mz/2.01min",0,0,0,0,0
"820/197.1286mz/2.01min",0,0,0,0,0
"821/265.1183mz/2.0min",0,0,0,0,0
"822/200.0918mz/2.0min",0,0,0,0,0
"823/228.0866mz/2.01min",0,0,0,0,0
"825/195.1491mz/2.01min",0,0,0,0,0
"827/282.119mz/2.03min",0,0,0,0,0
"828/182.0786mz/2.01min",0,0,0,0,0
"829/142.0862mz/2.01min",0,0,0,0,0
"830/246.0972mz/2.02min",0,0,0,0,0
"831/311.1236mz/2.02min",0,0,0,0,0
"832/169.0971mz/2.02min",0,0,0,0,0
"834/260.1604mz/2.05min",0,0,0,0,0
"836/262.1648mz/2.02min",0,0,0,0,0
"839/100.0756mz/2.02min",0,0,0,0,0
"841/137.0458mz/2.03min",0,0,0,0,0
"844/218.0811mz/2.04min",0,0,0,0,0
"845/236.0917mz/2.04min",0,0,0,0,0
"847/227.1389mz/2.05min",0,0,0,0,0
"853/181.0971mz/2.05min",0,0,0,0,0
"854/199.1077mz/2.05min",0,0,0,0,0
"855/329.1341mz/2.07min",0,0,0,0,0
"859/220.0968mz/2.05min",0,0,0,0,0
"860/267.1339mz/2.05min",0,0,0,0,0
"864/230.1386mz/2.06min",0,0,0,0,0
"866/189.1233mz/2.06min",0,0,0,0,0
"867/203.139mz/2.06min",0,0,0,0,0
"868/215.139mz/2.06min",0,0,0,0,0
"874/188.0376mz/2.06min",0,0,0,0,0
"884/247.1288mz/2.07min",0,0,0,0,0
"894/192.063mz/2.09min",0,0,0,0,0
"895/295.1288mz/2.13min",0,0,0,0,0
"897/206.0422mz/2.08min",0,0,0,0,0
"898/184.0604mz/2.08min",0,0,0,0,0
"899/185.0636mz/2.08min",0,0,0,0,0
"900/201.087mz/2.08min",0,0,0,0,0
"901/152.0706mz/2.09min",0,0,0,0,0
"907/153.0742mz/2.1min",0,0,0,0,0
"908/226.071mz/2.09min",0,0,0,0,0
"910/222.0797mz/2.1min",0,0,0,0,0
"911/233.1131mz/2.1min",0,0,0,0,0
"915/220.06mz/2.1min",0,0,0,0,0
"916/282.1188mz/2.06min",0,0,0,0,0
"919/229.1546mz/2.08min",0,0,0,0,0
"922/212.0918mz/2.15min",0,0,0,0,0
"924/226.1185mz/2.12min",0,0,0,0,0
"925/227.1217mz/2.12min",0,0,0,0,0
"929/244.1907mz/2.12min",0,0,0,0,0
"930/331.1863mz/2.12min",0,0,0,0,0
"931/262.1186mz/2.12min",0,0,0,0,0
"932/233.1496mz/2.12min",0,0,0,0,0
"933/216.0865mz/2.13min",0,0,0,0,0
"934/370.1602mz/2.13min",0,0,0,0,0
"939/149.0709mz/2.13min",0,0,0,0,0
"940/243.1338mz/2.13min",0,0,0,0,0
"943/261.1444mz/2.13min",0,0,0,0,0
"945/254.1862mz/2.14min",0,0,0,0,0
"947/347.1448mz/2.17min",0,0,-0.049986,0,0
"948/146.1175mz/2.14min",0,0,0,0,0
"949/281.1494mz/2.15min",0,0,0,0,0
"950/179.0814mz/2.15min",0,0,0,0,0
"952/281.1132mz/2.15min",0,0,0,0,0
"955/282.1184mz/2.11min",0,0,0,0,0
"956/254.1386mz/2.14min",0,0,0,0,0
"957/207.1127mz/2.16min",0,0,0,0,0
"958/257.1132mz/2.16min",0,0,0,0,0
"962/284.1239mz/2.14min",0,0,0,0,0
"963/158.0812mz/2.16min",0,0,0,0,0
"966/186.1125mz/2.15min",0,0,0,0,0
"968/324.1917mz/2.15min",0,0,0,0,0
"971/214.0711mz/2.16min",0,0,0,0,0
"979/241.1546mz/2.17min",0,0,0,0,0
"981/168.0655mz/2.17min",0,0,0,0,0
"983/126.0549mz/2.17min",0,0,0,0,0
"985/169.0689mz/2.17min",0,0,0,0,0
"986/190.0474mz/2.17min",0,0,0,0,0
"993/221.1212mz/2.18min",0,0,0,0,0
"994/100.0392mz/2.17min",0,0,0,0,0
"995/220.1179mz/2.18min",0,0,0,0,0
"996/202.1072mz/2.18min",0,0,0,0,0
"997/233.1576mz/2.19min",0,0,0,0,0
"998/342.1658mz/2.18min",0,0,0,0,0
"999/242.1mz/2.18min",0,0,0,0,0
"1001/243.1039mz/2.17min",0,0,0,0,0
"1002/184.0968mz/2.21min",0,0,0,0,0
"1003/169.0971mz/2.18min",0,0,0,0,0
"1005/266.1022mz/2.2min",0,0,0,0,0
"1009/254.1022mz/2.26min",0,0,0,0,0
"1010/221.0922mz/2.19min",0,0,0,0,0
"1012/227.1026mz/2.19min",0,0,0,0,0
"1013/237.1229mz/2.18min",0,0,0,0,0
"1016/299.1236mz/2.17min",0,0,0,0,0
"1017/251.1026mz/2.19min",0,0,0,0,0
"1019/232.1543mz/2.19min",0,0,0,0,0
"1020/345.1291mz/2.19min",0,0,0,0,0
"1023/256.1291mz/2.2min",0,0,0,0,0
"1024/206.0811mz/2.19min",0,0,0,0,0
"1027/234.076mz/2.2min",0,0,0,0,0
"1029/228.1058mz/2.18min",0,0,0,0,0
"1032/295.1288mz/2.17min",0,0,0,0,0
"1036/307.9777mz/2.2min",0,0,0,0,0
"1041/172.0967mz/2.19min",0,0,0,0,0
"1047/250.1186mz/2.21min",0,0,0,0,0
"1050/153.0658mz/2.2min",0,0,0,0,0
"1056/139.123mz/2.21min",0,0,0,0,0
"1057/102.0912mz/2.21min",0,0,0,0,0
"1060/384.1148mz/2.22min",0,0,0,0,0
"1065/358.197mz/2.22min",0,0,0,0,0
"1067/356.2179mz/2.23min",0,0,0,0,0
"1069/184.1695mz/2.23min",0,0,0,0,0
"1071/197.1285mz/2.23min",0,0,0,0,0
"1073/319.1135mz/2.23min",0,0,0,0,0
"1080/213.1234mz/2.23min",0,0,0,0,0
"1081/237.0869mz/2.23min",0,0,0,0,0
"1082/179.0814mz/2.22min",0,0,0,0,0
"1083/224.0915mz/2.19min",0,0,0,0,0
"1084/267.0975mz/2.24min",0,0,0,0,0
"1095/279.1338mz/2.24min",0,0,0,0,0
"1096/300.1078mz/2.24min",0,0,0,0,0
"1099/192.069mz/2.24min",0,0,0,0,0
"1100/214.0508mz/2.24min",0,0,0,0,0
"1102/174.0583mz/2.24min",0,0,0,0,0
"1108/247.1287mz/2.24min",0,0,0,0,0
"1110/189.0738mz/2.26min",0,0,0,0,0
"1112/146.06mz/2.26min",0,0,0,0,0
"1113/241.1182mz/2.25min",0,0,0,0,0
"1116/226.1076mz/2.28min",0,0,0,0,0
"1118/227.0793mz/2.26min",0,0,0,0,0
"1119/205.0971mz/2.26min",0,0,0,0,0
"1120/200.1045mz/2.26min",0,0,0,0,0
"1121/217.1248mz/2.26min",0,0,0,0,0
"1122/188.0705mz/2.26min",0,0,0,0,0
"1123/255.1339mz/2.26min",0,0,0,0,0
"1124/218.1281mz/2.26min",0,0,0,0,0
"1125/409.187mz/2.26min",0,0,0,0,0
"1126/206.1004mz/2.26min",0,0,0,0,0
"1129/127.0389mz/2.25min",0,0,0,0,0
"1132/312.1299mz/2.26min",0,0,0,0,0
"1138/448.1921mz/2.27min",0,0,0,0,0
"1139/263.139mz/2.27min",0,0,0,0,0
"1148/195.1226mz/2.28min",0,0,0,0,0
"1149/292.1655mz/2.28min",0,0,0,0,0
"1155/217.1045mz/2.28min",0,0,0,0,0
"1156/220.0968mz/2.28min",0,0,0,0,0
"1158/332.1128mz/2.29min",0,0,0,0,0
"1159/345.0603mz/2.29min",0,0,0,0,0
"1163/198.0762mz/2.29min",0,0,0,0,0
"1166/261.1443mz/2.26min",0,0,0,0,0
"1167/229.1546mz/2.29min",0,0,0,0,0
"1168/347.1448mz/2.29min",0,0,0,0,0
"1172/219.1128mz/2.3min",0,0,0,0,0
"1174/184.0968mz/2.27min",0,0,0,0,0
"1175/202.1437mz/2.3min",0,0,0,0,0
"1176/218.0811mz/2.31min",0,0,0,0,0
"1177/223.1076mz/2.3min",0,0,0,0,0
"1178/220.1542mz/2.3min",0,0,0,0,0
"1179/203.147mz/2.3min",0,0,0,0,0
"1181/234.0759mz/2.3min",0,0,0,0,0
"1182/158.1175mz/2.3min",0,0,0,0,0
"1183/331.15mz/2.31min",0,0,0,0,0
"1184/292.1179mz/2.32min",0,0,0,0,0
"1185/353.1341mz/2.29min",0,0,0,0,0
"1186/245.1494mz/2.3min",0,0,0,0,0
"1187/257.1131mz/2.28min",0,0,0,0,0
"1189/267.1335mz/2.37min",0,0,0,0,0
"1190/301.1757mz/2.3min",0,0,0,0,0
"1191/307.1288mz/2.32min",0,0,0,0,0
"1198/280.129mz/2.31min",0,0,0,0,0
"1201/358.1494mz/2.32min",0,0,0,0,0
"1203/139.0866mz/2.32min",0,0,0,0,0
"1206/193.1335mz/2.31min",0,0,0,0,0
"1211/113.0596mz/2.32min",0,0,0,0,0
"1212/244.2012mz/2.33min",0,0,0,-0.17871,0
"1214/232.1736mz/2.32min",0,0,0,0,0
"1216/239.1024mz/2.32min",0,0,0,0,0
"1219/166.0862mz/2.32min",0,0,0,0,0
"1220/186.0761mz/2.32min",0,0,0,0,0
"1221/276.1342mz/2.33min",0,0,0,0,0
"1224/197.1285mz/2.29min",0,0,0,0,0
"1227/362.1921mz/2.33min",0,0,0,0,0
"1228/302.1234mz/2.33min",0,0,0,0,0
"1229/308.1128mz/2.33min",0,0,0,0,0
"1231/262.1186mz/2.34min",0,0,0,0,0
"1232/275.1601mz/2.33min",0,0,0,0,0
"1233/244.0816mz/2.31min",0,0,0,0,0
"1237/241.1546mz/2.34min",0,0,0,0,0
"1238/254.1022mz/2.34min",0,0,0,0,0
"1239/363.1663mz/2.34min",0,0,0,0,0
"1244/139.1229mz/2.34min",0,0,0,0,0
"1246/214.1073mz/2.35min",0,0,0,0,0
"1247/284.1128mz/2.39min",0,0,0,0,0
"1248/237.1232mz/2.34min",0,0,0,0,0
"1251/164.0706mz/2.35min",0,0,0,0,0
"1255/210.076mz/2.33min",0,0,0,0,0
"1257/252.0865mz/2.35min",0,0,0,0,0
"1258/281.0992mz/2.35min",0,0,0,0,0
"1259/190.0861mz/2.32min",0,0,0,0,0
"1260/261.1443mz/2.31min",0,0,0,0,0
"1265/213.1233mz/2.36min",0,0,0,0,0
"1266/345.1291mz/2.35min",0,0,0,0,0
"1267/254.1498mz/2.36min",0,0,0,0,0
"1268/237.0951mz/2.36min",0,0,0,0,0
"1269/403.207mz/2.35min",0,0,0,0,0
"1271/236.0916mz/2.36min",0,0,0,0,0
"1272/220.118mz/2.31min",0,0,0,0,0
"1274/240.0864mz/2.36min",0,0,0,0,0
"1279/257.1131mz/2.34min",0,0,0,0,0
"1285/287.1026mz/2.37min",0,0,0,0,0
"1287/330.2387mz/2.37min",0,0,0,0,0
"1289/302.1961mz/2.34min",0,0,0,0,0
"1290/306.0972mz/2.38min",0,0,0,0,0
"1295/214.071mz/2.38min",0,0,0,0,0
"1296/443.0731mz/2.38min",0,0,0,0,0
"1297/187.1076mz/2.38min",0,0,0,0,0
"1299/206.081mz/2.36min",0,0,0,0,0
"1300/242.1023mz/2.38min",0,0,0,0,0
"1305/220.1081mz/2.38min",0,0,0,0,0
"1312/244.2012mz/2.39min",0,0,0,0,0
"1313/170.0811mz/2.39min",0,0,0,0,0
"1314/195.1128mz/2.39min",0,0,0,0,0
"1319/295.1288mz/2.39min",0,0,0,0,0
"1320/197.0922mz/2.39min",0,0,0,0,0
"1323/260.1128mz/2.4min",0,0,0,0,0
"1324/146.06mz/2.39min",0,0,0,0,0
"1325/300.1441mz/2.39min",0,0,0,0,0
"1326/231.1703mz/2.32min",0,0,0,0,0
"1328/258.097mz/2.41min",0,0,0,0,0
"1329/226.1185mz/2.38min",0,0,0,0,0
"1330/295.1651mz/2.39min",0,0,0,0,0
"1331/140.1434mz/2.4min",0,0,0,0,0
"1333/292.118mz/2.4min",0,0,0,0,0
"1337/337.1392mz/2.4min",0,0,0,0,0
"1339/255.1339mz/2.4min",0,0,0,0,0
"1344/336.1917mz/2.41min",0,0,0,0,0
"1347/224.0916mz/2.41min",0,0,0,0,0
"1348/229.1546mz/2.41min",0,0,0,0,0
"1351/334.1759mz/2.41min",0,0,0,0,0
"1354/194.0812mz/2.41min",0,0,0,0,0
"1356/212.0917mz/2.41min",0,0,0,0,0
"1358/249.1234mz/2.41min",0,0,0,0,0
"1362/183.1127mz/2.42min",0,0,0,0,0
"1366/152.0706mz/2.42min",0,0,0,0,0
"1368/256.1178mz/2.48min",0,0,0,0,0
"1375/146.1175mz/2.42min",0,0,0,0,0
"1378/229.1183mz/2.43min",0,0,0,0,0
"1379/241.1182mz/2.42min",0,0,0,0,0
"1381/268.1655mz/2.43min",0,0,0,0,0
"1382/418.197mz/2.43min",0,0,0,0,0
"1383/420.2029mz/2.43min",0,0,0,0,0
"1388/348.1482mz/2.44min",0,0,0,0,0
"1394/347.1447mz/2.44min",0,0,0,0,0
"1395/298.097mz/2.44min",0,0,0,0,0
"1396/369.1269mz/2.44min",0,0,0,0,0
"1402/206.0447mz/2.45min",0,0,0,0,0
"1403/180.0655mz/2.45min",0,0,0,0,0
