Filename,Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML,Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML,Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML,NEG_TJGIp4_1_Run59.mzML,NEG_TJGIp4_2_Run88.mzML,NEG_TJGIp4_3_Run183.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
184/117.0557mz/2.03min,484198.75,399097.06,358505.22,796698.8,213056.9,465177.75
185/229.1193mz/2.04min,25836.178,0.0,11552.524,39050.703,36791.777,35756.656
186/213.0881mz/2.05min,1091048.2,514003.97,510449.16,1279399.6,1072546.1,1185685.6
187/231.1349mz/2.06min,3652.4658,17903.43,0.0,45003.18,43025.676,54853.324
188/259.1298mz/2.07min,19048.47,3515.23,24645.182,48442.477,35827.81,40676.562
189/225.0881mz/2.09min,6004520.5,4990119.5,4938899.0,7017096.0,5816437.5,6445846.5
190/218.1034mz/2.11min,4320134.0,3436624.8,3550657.0,5906236.5,4457022.5,4848010.0
191/188.0928mz/2.13min,176442.84,154817.62,152205.61,249324.56,221155.9,213445.02
192/144.0666mz/2.14min,5394218.5,4937351.0,4786195.0,4748745.5,5679834.0,5100172.5
193/145.0506mz/2.14min,1459906.6,947109.44,1365864.5,2102616.8,2014698.6,1779122.9
195/156.0666mz/2.12min,182484.94,212364.72,254973.14,321059.28,292978.53,266381.62
196/116.0354mz/2.19min,0.0,0.0,0.0,0.0,49618.254,0.0
199/118.051mz/2.24min,18882.148,649110.5,90557.43,865815.2,1067187.4,118521.336
200/117.0193mz/2.24min,0.0,18134.8,4761.6846,161033.7,547924.25,0.0
201/200.0929mz/2.21min,56982.645,44631.227,38872.867,81200.66,70324.04,57256.68
203/111.02mz/2.22min,0.0,42644.79,91616.734,253792.47,499451.3,145537.72
204/128.0354mz/2.21min,0.0,76845.91,10085.252,140337.95,316980.75,167342.73
205/181.0718mz/2.22min,0.0,88382.33,7849.6255,464707.12,92868.0,5731.8193
206/243.1349mz/2.25min,311795.7,263653.3,207391.83,507695.84,311071.78,354957.56
207/151.0401mz/2.28min,112174.46,114893.83,118775.25,144949.66,118499.945,115683.64
208/222.0772mz/2.34min,818667.06,649239.7,706508.5,1028182.2,957289.5,940081.5
209/144.0455mz/2.35min,1134322.8,1529922.9,914013.1,996317.1,1030267.4,888150.0
210/227.1038mz/2.35min,3848231.8,3287584.5,3230047.2,4529011.5,3922402.5,4004439.0
212/158.0822mz/2.37min,1828318.2,1765233.9,1912167.6,2247775.5,2478217.8,2017511.4
213/116.0717mz/2.37min,237953.25,262732.8,227124.1,290129.2,331202.53,288706.5
214/226.0697mz/2.37min,57712.727,65718.34,70620.15,58646.97,60469.562,72856.375
215/230.0669mz/2.38min,281491.9,146582.28,569162.7,474388.1,746994.9,535190.75
216/194.0458mz/2.39min,1008394.7,880258.56,931751.8,1349855.5,1222059.2,1277166.0
218/227.1399mz/2.4min,703846.9,1044382.94,364868.78,1078261.4,848043.1,783036.8
219/188.0353mz/2.4min,262610.22,228752.94,278123.0,317917.7,309605.7,302812.4
220/136.0404mz/2.41min,472529.47,462486.0,399410.94,531565.6,554119.7,474838.06
222/259.1298mz/2.41min,1285481.5,911272.06,1139344.6,1829587.4,1549146.2,1558965.1
223/457.1869mz/2.41min,0.0,0.0,36945.47,0.0,504740.62,0.0
224/175.0612mz/2.44min,1118792.1,636195.44,1110509.6,2097221.5,1611842.6,1374857.5
225/118.051mz/2.43min,0.0,260649.62,43292.113,314233.34,261975.19,49930.51
227/227.1038mz/2.47min,2508676.2,2110531.8,2159141.2,3036565.0,2677574.2,2684844.5
228/192.0667mz/2.47min,163705.55,170025.83,131128.92,184685.38,219639.16,200290.81
229/117.0194mz/2.51min,0.0,4698.158,6212.1357,16491.25,92193.89,17589.588
230/111.02mz/2.5min,0.0,23186.646,77343.69,46941.207,316271.44,44286.574
232/213.0881mz/2.5min,75845.19,65390.56,64601.875,95974.98,79112.21,86593.39
233/118.051mz/2.52min,0.0,70373.91,63809.93,203918.45,193238.7,119841.91
234/181.0718mz/2.51min,0.0,0.0,5535.595,276410.44,386574.8,22095.668
235/126.0019mz/2.5min,526087.6,498238.84,656017.5,702628.44,739492.25,651888.7
236/169.9918mz/2.5min,414287.28,355276.5,489161.56,557184.1,598626.4,502542.8
237/214.1085mz/2.53min,179606.6,150680.62,121577.18,190012.64,194559.19,174478.64
238/287.1248mz/2.54min,706222.3,396277.1,714045.06,624960.56,580602.06,563316.0
240/228.0878mz/2.57min,756341.0,664314.9,404302.22,369045.34,823875.2,832851.7
241/245.0931mz/2.57min,81417.99,100174.03,57272.156,102223.86,94475.01,102389.7
243/131.0713mz/2.61min,48298.773,63421.98,33981.957,64718.984,31325.479,47380.97
244/243.1713mz/2.62min,335589.7,419121.4,136899.42,468242.47,391821.34,329889.5
246/178.051mz/2.62min,597586.7,491990.5,472134.47,696506.44,669548.0,663050.8
247/238.0756mz/2.62min,357451.22,682753.06,314668.56,394155.7,519129.72,418129.47
248/360.1776mz/2.63min,41165.62,7090.4233,41698.816,64104.477,43017.695,57560.86
249/229.1193mz/2.63min,460689.97,353183.6,297997.9,481355.6,494458.5,452405.3
250/236.0929mz/2.64min,80319.44,65900.336,64573.55,96607.95,84792.07,81426.3
251/202.1085mz/2.65min,459944.16,472625.3,413619.75,700902.75,509505.62,524350.5
252/181.0718mz/2.61min,183037.02,0.0,5535.595,59587.164,74400.97,15201.383
253/457.1868mz/2.67min,0.0,0.0,17128.979,0.0,633377.6,0.0
254/130.0873mz/2.66min,2964133.0,2402479.8,2596846.0,3372772.8,3263963.0,3091886.2
255/241.1194mz/2.66min,3031254.2,2654453.0,2715671.8,3664443.0,3021277.5,3135312.0
256/173.0931mz/2.66min,578107.0,493154.12,548014.2,775243.1,709060.56,678508.8
257/275.1037mz/2.68min,259420.53,210319.55,238605.03,335660.94,271748.88,285219.97
258/300.1563mz/2.71min,703999.8,485325.3,548870.06,834255.9,970657.1,864875.1
259/243.0597mz/2.75min,163934.34,90389.24,121319.11,89124.84,109453.23,89935.03
260/273.1456mz/2.77min,617942.3,343253.8,134917.94,431123.8,229943.9,207296.53
261/339.1536mz/2.74min,292753.78,452634.53,452869.9,208763.69,309578.38,384083.75
263/158.0822mz/2.73min,10356726.0,8738520.0,9436480.0,8324480.5,11028184.0,9589888.0
264/226.0698mz/2.81min,343167.8,486590.28,522175.97,273314.16,307262.03,615088.5
265/208.0073mz/2.74min,586219.6,474160.2,395234.97,782361.5,667721.7,716119.7
267/243.1712mz/2.73min,330586.03,352127.7,80205.23,374341.38,331941.28,318537.4
268/259.1298mz/2.74min,2037500.6,1541911.8,1492008.9,2270291.0,1991572.4,1988114.9
270/257.1506mz/2.76min,135746.03,95735.49,116602.83,187491.4,152659.52,150432.75
271/107.0502mz/2.76min,552512.7,500641.3,457783.1,736142.1,576741.8,568576.44
272/168.0302mz/2.76min,413154.28,297372.06,479714.5,460993.9,518312.25,467368.4
273/360.1775mz/2.76min,574933.06,385329.5,401196.12,709652.06,787771.56,727859.56
275/151.0401mz/2.77min,379430.2,361607.84,289071.16,525477.6,424283.66,414732.75
276/483.2457mz/2.8min,57600.29,122353.74,91236.125,77063.46,49338.246,56758.168
277/229.1193mz/2.77min,1071317.9,816333.94,771753.1,1117381.2,1124140.4,1056357.1
280/192.0666mz/2.78min,198011.17,173240.45,160429.67,183448.45,250793.34,207794.05
282/243.0597mz/2.8min,173242.53,152619.64,225416.16,159518.9,95496.66,83512.695
283/131.0713mz/2.78min,2635607.2,2287156.5,2581735.0,3149727.5,1783592.5,2614587.2
284/116.0506mz/2.79min,579471.06,533882.6,503076.97,584678.2,582744.9,571467.5
285/188.0353mz/2.79min,255086.11,240752.45,258941.02,269240.3,268137.16,261265.16
286/172.0979mz/2.8min,274846.53,253183.5,247923.86,295046.12,265741.12,268052.94
287/158.0822mz/2.81min,16140113.0,13992656.0,14843354.0,13215311.0,15087323.0,14986698.0
288/339.1536mz/2.81min,340754.22,526496.2,422900.0,262472.84,366086.4,440122.53
291/243.1712mz/2.78min,90005.06,230432.89,118117.74,139635.88,249797.61,257546.47
292/384.1427mz/2.84min,119126.79,111526.87,86832.59,100875.23,115020.24,110045.5
293/273.1456mz/2.83min,971221.3,548493.9,561010.4,1072138.8,934393.4,829150.0
295/118.051mz/2.84min,308257.38,21806.055,70652.54,37394.203,49543.33,35917.312
297/243.1348mz/2.86min,939040.3,753862.44,511201.06,917518.94,811915.0,812657.25
298/483.2457mz/2.86min,251351.03,169377.56,160470.47,338647.34,253008.7,264310.2
299/241.1194mz/2.86min,8719396.0,6975125.0,7035724.5,9562330.0,8222950.0,8491050.0
300/293.1143mz/2.86min,668926.0,452183.38,491722.7,658181.75,747812.7,706277.7
301/255.1349mz/2.87min,214599.08,167421.02,183979.55,240002.92,226726.31,210398.53
302/159.0662mz/2.87min,359835.75,272527.34,274901.0,376464.25,379408.84,366961.66
303/426.1897mz/2.88min,481859.12,500399.06,275540.94,343441.56,422275.75,369653.4
304/341.1004mz/2.91min,336308.22,302784.1,258234.2,299237.62,375033.94,291318.94
306/227.1037mz/2.9min,151110.27,115161.68,143404.52,161943.31,176360.39,156044.44
307/384.1427mz/2.92min,363994.97,333187.22,214100.08,330816.53,361926.56,330003.8
308/130.0873mz/2.91min,1443396.0,1059819.4,1174779.0,1452720.1,1477839.1,1386468.1
309/172.0979mz/2.92min,12052883.0,9004134.0,22610090.0,12815879.0,12943574.0,12120980.0
310/240.0853mz/2.92min,364629.56,384759.4,923733.6,817009.44,417321.1,428543.28
311/367.1848mz/2.91min,236999.95,285713.66,298677.2,432292.56,311334.25,530238.75
312/167.035mz/2.93min,111170.18,51169.57,104944.2,151636.7,153731.28,175646.7
313/317.1352mz/2.94min,560385.1,338924.8,410191.97,179564.12,374804.44,473814.47
314/273.1456mz/2.94min,445769.12,270704.25,283284.5,170413.31,290189.6,351548.2
315/224.0927mz/2.94min,451546.28,356370.4,420767.97,514325.6,398683.12,457411.3
316/202.1086mz/2.95min,250384.5,202386.33,208566.38,258222.05,234870.95,234574.69
317/230.1033mz/2.95min,306783.0,211518.81,257048.77,341812.0,330417.12,338913.8
318/171.1027mz/2.95min,2545849.0,1939913.2,1185213.0,1261563.5,1859525.1,1769202.0
319/231.1349mz/2.95min,861525.9,652832.3,415493.56,425836.97,648109.94,610594.1
320/186.1135mz/2.95min,1463137.9,929137.5,864202.25,526982.56,1102663.1,787522.56
322/236.0927mz/2.97min,420392.6,347860.5,329455.66,539268.3,441407.62,447801.94
323/426.1897mz/2.97min,960306.9,904498.7,516713.6,710097.25,896363.25,720409.7
324/192.0666mz/2.97min,3597811.0,3683569.2,1980855.2,2471320.8,2686214.8,2910353.2
325/130.0873mz/2.98min,1686441.1,1438083.1,1397472.9,1844855.5,1693262.1,1681424.1
329/341.1004mz/2.98min,535352.56,436911.0,357194.9,435595.78,581231.6,402158.56
330/257.1506mz/2.99min,308501.44,198640.16,176727.12,321479.44,282135.2,297254.62
332/275.1037mz/2.99min,2230337.0,1806815.2,1816401.9,2575775.5,2177704.5,2317874.8
333/456.2002mz/3.0min,260081.7,276441.44,157817.78,222828.08,253308.06,205417.34
334/221.0931mz/3.02min,10599535.0,9855014.0,9658485.0,12423120.0,13628482.0,12043923.0
335/255.135mz/3.02min,214713.61,204101.84,133167.28,185536.1,176936.89,174088.66
336/165.0556mz/3.02min,707749.1,654854.56,458807.0,804786.8,703530.94,695871.8
337/325.1057mz/3.06min,398071.12,362127.06,218717.19,393029.75,465671.62,295626.72
341/173.0819mz/3.05min,1234346.2,958028.1,760568.7,668648.0,1056138.1,1076411.6
342/136.0404mz/3.05min,156666.95,137920.12,132560.6,152133.8,147408.58,166306.97
343/164.0354mz/3.05min,2494853.0,2246296.0,2127112.2,2410499.0,2332002.2,2553617.0
345/120.0455mz/3.05min,564099.25,490137.9,452741.12,529820.1,492165.97,556649.0
347/456.2003mz/3.1min,501392.44,495692.7,277598.06,458516.6,533991.5,403153.28
348/202.1086mz/3.11min,103164.734,78513.29,70552.03,102804.42,95257.4,98146.95
349/255.135mz/3.12min,918105.6,849189.7,584235.2,836206.5,779278.0,834214.5
350/206.0823mz/3.13min,4162824.8,3843150.2,2898816.8,4253647.0,3996392.5,4062105.5
351/325.1057mz/3.13min,520027.38,440642.16,364767.78,461229.34,591640.56,442305.03
352/188.0354mz/3.14min,656840.5,757300.0,462862.12,653690.6,588208.7,580949.25
353/159.1027mz/3.15min,57385.95,44134.027,23788.766,17935.207,48252.75,50840.074
354/188.0928mz/3.16min,297596.2,506230.62,230750.12,266514.88,409042.72,311808.16
355/271.1664mz/3.17min,126537.39,86871.086,76804.08,139504.66,128975.67,117024.86
356/294.0984mz/3.18min,244901.16,99172.734,155696.81,199846.31,337780.4,301442.56
358/160.0405mz/3.19min,1481933.2,1587384.2,940915.6,1326546.6,1210964.4,1257207.4
359/116.0506mz/3.2min,455444.06,478284.97,134629.98,397440.56,364047.0,360625.03
360/245.0932mz/3.2min,1778629.1,1366942.9,1411114.8,2366532.8,2159819.5,2154350.8
361/250.0721mz/3.21min,371545.78,336745.34,315371.03,491675.88,401636.97,387445.75
363/269.1508mz/3.22min,1367598.6,1050853.1,971392.94,1328651.1,1279741.1,1232336.9
364/171.0664mz/3.23min,309607.75,231234.52,220412.53,387414.25,551844.7,586577.56
365/257.1508mz/3.24min,2793321.5,1344707.4,810444.4,1507997.0,2312131.8,1227473.9
369/178.051mz/3.25min,2701724.8,2309202.0,2390689.8,3382301.2,2827959.0,3076048.0
370/261.1343mz/3.27min,227510.0,300229.16,150345.62,111950.76,135964.14,193642.6
371/144.0455mz/3.27min,619315.8,671242.5,411905.53,522386.8,499904.8,504633.47
372/214.1086mz/3.27min,260309.75,161427.7,176439.47,238535.42,215303.08,223033.97
373/202.1087mz/3.28min,89652.41,174263.14,85065.62,112670.28,117298.23,101193.59
375/380.1576mz/3.28min,93363.9,90670.234,74798.016,121447.86,93549.42,103809.95
376/164.0354mz/3.29min,176618.58,119252.94,145517.1,202434.83,185444.77,186007.84
377/172.098mz/3.25min,94241.914,70028.99,78567.375,121082.18,237074.55,44549.0
378/229.1194mz/3.29min,31863.89,34794.36,20143.033,6998.9673,37593.332,37966.977
379/305.1507mz/3.3min,23923.438,20804.318,16144.218,31558.53,27970.5,29228.783
381/138.0197mz/3.33min,1110769.4,885026.25,935043.1,852671.56,1345980.6,1037138.56
383/218.1048mz/3.33min,70508.5,59418.21,46274.86,70584.19,84749.15,87630.836
384/193.0506mz/3.35min,306427.62,179436.86,249730.14,499470.06,497666.56,441171.16
385/130.0874mz/3.36min,105596.37,206066.44,91241.06,126506.12,224407.5,209463.56
386/241.1195mz/3.35min,245805.0,85687.484,233238.67,257325.38,302050.44,235467.27
387/186.1136mz/3.36min,2884688.2,2474596.5,2059337.4,3017145.0,2541954.0,2623830.8
389/339.1538mz/3.36min,31814.828,40168.145,39409.496,34934.375,47118.69,48443.375
390/261.1344mz/3.36min,1268114.6,1528485.4,881181.44,695034.56,822132.0,1065975.0
392/314.1036mz/3.37min,122834.98,113825.68,80359.11,88401.516,95920.51,99483.445
393/245.0456mz/3.38min,41530.723,24153.201,41907.35,64637.633,55335.445,48645.715
394/287.1248mz/3.39min,96071.71,142402.62,34005.805,19301.639,39021.76,11652.91
395/441.1911mz/3.41min,35646.793,0.0,23365.781,69583.7,64470.1,3478.5317
397/380.0446mz/3.4min,123249.13,92675.766,113095.97,163146.89,154005.67,154427.53
