row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML Peak area,NEG_TJGIp4_3_Run183.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML Peak area,NEG_TJGIp4_2_Run88.mzML Peak area,NEG_TJGIp4_1_Run59.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML Peak area,
101,88.0402795377862,0.5247301,,,,,,,,,,,338619.9,835576.4,91295.27,172700.55,518685.94,90010.97,
130,88.04030425541039,0.71936244,,,,81,,,,,,,989112.2,1992773.9,456383.2,1477369.8,1299646.4,585715.7,
1975,89.02427186164533,10.107031,,,,,,,,,,,149071.67,0,163013.06,175945.69,0,182463.03,
100,89.02430319122186,0.51008886,,,,,,,,,,,830452.7,1840028.8,1660261.8,224124.25,1232707.5,1366710.8,
86,89.02430902306993,0.45120037,,,,178,,,,,,,866953.44,1003612.8,1174496.8,460953.72,719762.06,355789.0,
77,96.96007569812531,0.39628163,,,,13,,,,,,,2650324.5,2423286.5,2541781.2,5005056.5,2825422.5,3260733.2,
2074,96.96007503434515,11.009742,,,,,,,,,,,4104334.0,4032935.0,4050748.8,3804134.2,3807555.8,3889300.5,
32,96.9695538741283,0.3706398,,,,13,,,,,,,4728973.5,3619673.5,1625291.4,3755396.8,3126820.5,2893399.2,
79,99.00873482989401,0.42046484,,,,,,,,,,,40211.63,572386.9,109571.92,109932.016,155542.3,125312.55,
119,99.008755226321,0.649175,,,,,,,,,,,175951.55,1019799.8,329095.25,186290.53,205209.31,437197.9,
1989,99.92573797712566,10.208608,,,,,,,,,,,2710582.2,2382979.5,1649868.4,3108270.2,2741869.5,2433098.2,
1820,99.92576357383683,8.133945,,,,,,,,,,,6474376.5,3.0580846E7,4715713.0,7018356.0,5587419.0,4688848.0,
1881,99.92576629402178,8.447772,,,,,,,,,,,3.5411612E7,5027134.5,2.9042012E7,3.5489484E7,3.1334398E7,3.24225E7,
105,102.01966277454714,0.4796172,,,,,,,,,,,370650.84,2502010.0,1193524.8,1165182.6,1228315.8,1204904.2,
59,102.01966621475135,0.3826401,,,,13,,,,,,,2772828.2,3084591.0,1873820.6,1726299.6,2314895.8,1789286.1,
72,103.00368448410948,0.3894626,,,,13,,,,,,,2716860.8,3878378.0,2939115.0,2979665.8,3024874.0,2961933.8,
120,103.04010005054549,0.7419681,,,,,,,,,,,150474.89,1001670.8,217561.81,36704.023,1219587.2,328715.12,
47,104.03532326465385,0.374344,,,,13,,,,,,,1636392.5,1773618.1,150388.44,822725.06,240082.03,378608.88,
1979,106.04101061975466,10.154992,,,,,,,,,,,742379.5,133729.28,106008.625,404018.75,12130.422,45287.03,
1875,106.04102165155983,8.429146,,,,,,,,,,,237947.67,27075.082,108235.11,59322.68,0,0,
1974,106.04102519495946,10.016674,,,,,,,,,,,593398.25,12328.597,114440.38,35798.6,7728.158,17473.604,
1888,106.04103696751575,8.546997,,,,,,,,,,,33491.09,67832.11,57854.9,550812.1,0,0,
1954,106.04105174687292,9.464901,,,,,,,,,,,414620.0,30604.904,39555.54,37815.99,9674.727,29295.402,
1962,106.04106038058353,9.779158,,,,,,,,,,,567960.06,37632.95,55972.906,19494.842,6762.7725,5405.612,
271,107.05024732320011,2.7628765,,,,30,,,,,,,457783.1,568576.44,500641.3,576741.8,736142.1,552512.7,
98,111.01998266461908,0.4369338,,,,,,,,,,,1271950.8,4333944.5,2124405.0,5460254.5,4852221.0,4645060.5,
64,111.0199838083999,0.3849043,,,,13,,,,,,,1.7275846E7,2.8733116E7,5517305.5,7890156.5,1.014528E7,5733625.0,
230,111.02002998725902,2.5021985,,,,,,,,,,,77343.69,44286.574,23186.646,316271.44,46941.207,0,
203,111.02003125768731,2.2224648,,,,,,,,,,,91616.734,145537.72,42644.79,499451.3,253792.47,0,
167,111.02003887519473,1.1376157,,,,,,,,,,,203613.23,352703.62,58131.332,144221.9,182924.1,0,
162,111.02004649096735,1.0519037,,,,106,,,,,,,160359.77,110631.375,398535.03,100559.59,92009.02,0,
2020,112.98558348698593,10.24063,,,,,,,,,,,7635184.5,5998793.5,6945334.0,8090528.5,5828786.0,7058290.5,
2050,112.98560932732642,10.462702,,,,,,,,,,,5078801.0,3795285.5,4320333.0,4040794.2,5686472.5,4717210.0,
1994,113.92617656747395,10.209478,,,,,,,,,,,508610.88,466353.25,492191.2,578878.0,480761.0,367509.0,
1650,113.92620118688937,7.7293262,,,,42,,,,,,,1341043.2,7880618.5,1775670.1,1536185.1,1833262.9,1181205.2,
1821,113.92622194500093,8.142643,,,,49,,,,,,,8885451.0,1123897.1,861133.06,9335823.0,1259535.4,5631155.0,
1858,113.92624212179403,8.293602,,,,,,,,,,,1479178.6,1251656.9,1163229.9,1686159.5,5782143.0,1230492.8,
