"","PC1","PC2","PC3","PC4","PC5","PC6"
"184/117.0557mz/2.03min",-0.0051939,0.040948,-0.0072149,-0.015696,-0.025179,-0.030815
"186/213.0881mz/2.05min",-0.009657,0.0075285,-0.010234,-0.057608,0.02701,0.26254
"189/225.0881mz/2.09min",-0.0025069,0.0051317,-0.0033479,-0.020537,0.0030351,-0.13258
"190/218.1034mz/2.11min",-0.0038832,0.0054733,-0.0075558,-0.029081,-0.0013126,-0.012639
"192/144.0666mz/2.14min",-0.0011542,-0.0044821,0.0026959,-0.0040957,0.010662,0.43505
"193/145.0506mz/2.14min",-0.0037211,-0.0054103,-0.02196,-0.038974,0.0058397,-0.034837
"199/118.051mz/2.24min",-0.0043189,-0.08518,0.06972,-0.11087,-0.19861,0.018625
"208/222.0772mz/2.34min",-0.0027029,-0.00079955,-0.0078292,-0.027934,0.0044296,0.01649
"209/144.0455mz/2.35min",-0.0037852,2.4738e-06,0.023965,0.010746,-0.0053059,0.034187
"210/227.1038mz/2.35min",-0.003159,0.0026789,-0.0028435,-0.019252,0.0014856,-2.3143e-05
"212/158.0822mz/2.37min",-0.0015226,-0.0085196,-0.0047859,-0.016488,-0.0017939,0.033309
"215/230.0669mz/2.38min",0.0065447,-0.028429,-0.060031,-0.046154,0.013503,-0.035889
"216/194.0458mz/2.39min",-0.00082675,-0.00023969,-0.0062918,-0.028792,0.00088567,0.032324
"218/227.1399mz/2.4min",-0.0091677,0.0046726,0.037617,-0.038692,-0.014958,0.032737
"220/136.0404mz/2.41min",-0.0036305,-0.0039318,0.0043291,-0.015974,0.00081691,0.049516
"222/259.1298mz/2.41min",-0.0032627,0.00025515,-0.015871,-0.035762,0.0028945,-0.00050236
"224/175.0612mz/2.44min",-0.0064653,-0.003698,-0.034346,-0.048847,-0.0034123,-0.00073494
"227/227.1038mz/2.47min",-0.0029819,0.0014504,-0.0047341,-0.021325,0.0015441,2.7648e-05
"235/126.0019mz/2.5min",0.0012607,-0.0083119,-0.01291,-0.017012,-0.0042502,-0.016539
"236/169.9918mz/2.5min",-0.00018244,-0.009404,-0.01582,-0.021642,-0.0013186,0.032985
"238/287.1248mz/2.54min",-0.0030179,0.0016262,-0.026655,-0.00020462,0.013769,-0.016751
"240/228.0878mz/2.57min",0.002762,-0.0092927,0.028571,-0.013402,0.052319,0.053718
"244/243.1713mz/2.62min",-0.013166,0.0041298,0.038983,-0.044861,-0.0060352,0.016207
"246/178.051mz/2.62min",-0.0030832,-4.3582e-05,-0.0018922,-0.026313,0.0068355,0.016375
"247/238.0756mz/2.62min",0.00046335,-0.0099908,0.036213,-0.0069678,-0.0098677,0.051426
"249/229.1193mz/2.63min",-0.0061399,-0.00044096,0.0031229,-0.027807,0.01311,0.00069583
"251/202.1085mz/2.65min",-0.0035748,0.0042433,3.6066e-05,-0.024514,-0.013402,-0.016006
"254/130.0873mz/2.66min",-0.0028623,-0.0012339,-0.0062288,-0.019426,0.0049885,-0.015872
"255/241.1194mz/2.66min",-0.0027177,0.0035095,-0.0044858,-0.016204,-0.0018971,0.00022236
"256/173.0931mz/2.66min",-0.002129,-0.0019373,-0.0085499,-0.026075,-0.00085968,-0.033853
"258/300.1563mz/2.71min",-0.0031011,-0.0068919,-0.0094482,-0.03919,0.016519,-0.00054648
"263/158.0822mz/2.73min",-0.00054321,-0.0068515,-0.0008193,-0.0017947,0.016438,-0.033378
"264/226.0698mz/2.81min",0.01939,0.0065193,0.0073287,0.012917,0.010909,0.016311
"265/208.0073mz/2.74min",-0.0045433,0.0036041,0.0012309,-0.040694,0.005938,-0.047158
"268/259.1298mz/2.74min",-0.0052377,0.0033595,-0.0031848,-0.023004,0.0071091,-0.033416
"271/107.0502mz/2.76min",-0.0048426,0.0035727,-0.0014261,-0.02218,-0.0058815,0.016596
"272/168.0302mz/2.76min",0.00070981,-0.0076078,-0.021286,-0.015767,0.0088959,0.032313
"273/360.1775mz/2.76min",-0.0041638,-0.0049607,-0.0073471,-0.046407,0.017679,0.0020602
"275/151.0401mz/2.77min",-0.0052397,0.002824,0.0037653,-0.028873,-0.0053236,0.049465
"277/229.1193mz/2.77min",-0.0048424,-0.00020109,-0.001067,-0.023279,0.01158,-0.016612
"283/131.0713mz/2.78min",-0.00039318,0.017702,-0.0089298,-0.003355,-0.0086836,0.0010749
"284/116.0506mz/2.79min",-0.001836,0.0001022,0.0017356,-0.009392,0.004754,-0.032913
"287/158.0822mz/2.81min",0.00017386,-0.0013382,-0.00040802,0.0011932,0.013024,-0.048857
"288/339.1536mz/2.81min",0.010835,-0.0043507,0.018752,0.015146,0.0067697,-0.016306
"293/273.1456mz/2.83min",-0.010732,0.0031068,-0.008971,-0.034492,0.015114,0.033755
"297/243.1348mz/2.86min",-0.0082151,0.0066661,0.011751,-0.023018,0.011365,-6.5499e-05
"299/241.1194mz/2.86min",-0.0037692,0.0039948,-0.0038623,-0.016522,0.00442,0.00076168
"300/293.1143mz/2.86min",-0.0033806,-0.0029667,-0.0063216,-0.027167,0.020011,0.017858
"302/159.0662mz/2.87min",-0.0036943,-0.00027095,-0.003418,-0.022393,0.011704,-1.2076e-05
"303/426.1897mz/2.88min",-0.00585,-0.00012499,0.026846,-0.0016044,0.015854,-0.032569
"308/130.0873mz/2.91min",-0.0036587,-0.00093692,-0.0068418,-0.016857,0.011463,-0.032775
"309/172.0979mz/2.92min",0.0048762,-0.0067116,-0.036769,0.012805,-0.0021119,-0.050335
"310/240.0853mz/2.92min",0.0031632,0.0024769,-0.041832,0.0042844,-0.046765,0.036217
"313/317.1352mz/2.94min",0.007337,-0.0021372,0.003889,0.021387,0.0644,-0.039789
"315/224.0927mz/2.94min",-0.0016699,0.0067986,-0.010316,-0.012229,0.0010215,-0.00027301
"318/171.1027mz/2.95min",-0.0056033,0.0013069,0.024272,0.00056898,0.039679,0.00029569
"319/231.1349mz/2.95min",-0.005024,0.00012365,0.02289,0.00067407,0.040353,0.031442
"320/186.1135mz/2.95min",-0.0050581,-0.0099557,0.011111,0.023178,0.049971,0.049523
"322/236.0927mz/2.97min",-0.0046219,0.0034734,-0.0030844,-0.02673,0.00022707,0.033925
"323/426.1897mz/2.97min",-0.0078938,-0.0021719,0.023859,-0.0080163,0.017837,-0.015268
"324/192.0666mz/2.97min",-0.0040135,0.0066994,0.027909,-0.00091517,0.017889,-0.015184
"325/130.0873mz/2.98min",-0.0031999,0.0016941,-0.0015088,-0.015884,0.003897,-0.016341
"329/341.1004mz/2.98min",-0.0079358,-0.0083811,0.0080688,-0.0088221,0.015942,0.033558
"332/275.1037mz/2.99min",-0.0031912,0.004219,-0.0041143,-0.02027,0.0036684,0.034013
"334/221.0931mz/3.02min",-0.0016676,-0.0058834,-0.00091731,-0.021394,0.0036562,-0.032777
