"","FC","log2(FC)","raw.pval","-log10(p)"
"615/715.2399mz/4.79min",2.4951,1.3191,0.0019741,2.7046
"494/261.0769mz/3.96min",2.6802,1.4223,0.0021581,2.6659
"621/560.1561mz/4.8min",2.7394,1.4538,0.0024499,2.6108
"661/715.4865mz/4.95min",2.3182,1.213,0.0058475,2.233
"617/259.0611mz/4.79min",2.2565,1.1741,0.010191,1.9918
"929/796.5191mz/5.9min",2.1855,1.128,0.011132,1.9534
"472/261.0769mz/3.83min",2.5925,1.3744,0.013303,1.8761
"364/171.0664mz/3.23min",2.0477,1.034,0.015456,1.8109
"1109/571.2888mz/6.45min",2.8697,1.5209,0.015541,1.8085
"1176/884.5349mz/6.64min",2.6449,1.4032,0.030435,1.5166
"541/273.0405mz/4.26min",2.2209,1.1511,0.034589,1.4611
"1327/998.6391mz/7.22min",3.6482,1.8672,0.036598,1.4365
"459/459.2825mz/3.78min",2.3535,1.2348,0.044553,1.3511
