"MetaboAnalyst_ID","Fold.Change","log2.FC.","shared_name"
"2904/740.5221mz/7.41min",0.038774,-4.6888,"2904"
"3023/740.522mz/7.5min",0.051467,-4.2802,"3023"
"3874/602.5976mz/8.27min",0.072729,-3.7813,"3874"
"3927/628.6131mz/8.32min",0.1045,-3.2585,"3927"
"4018/312.3256mz/8.38min",9.4468,3.2398,"4018"
"4162/628.6135mz/8.49min",9.3295,3.2218,"4162"
"3847/614.5977mz/8.25min",0.11297,-3.1459,"3847"
"3005/428.4093mz/7.4min",8.5439,3.0949,"3005"
"2972/437.8067mz/7.34min",7.6148,2.9288,"2972"
"2999/816.573mz/7.43min",0.13932,-2.8436,"2999"
"3037/599.503mz/7.44min",0.14831,-2.7533,"3037"
"3515/284.2944mz/7.92min",6.6384,2.7308,"3515"
"3786/756.5533mz/8.14min",5.7451,2.5223,"3786"
"3299/757.557mz/7.68min",5.6925,2.5091,"3299"
"2551/380.1853mz/6.96min",5.5958,2.4844,"2551"
"1268/225.196mz/4.92min",0.17899,-2.482,"1268"
"3622/574.5665mz/8.02min",5.5055,2.4609,"3622"
"4423/832.2398mz/9.54min",0.18944,-2.4002,"4423"
"3734/600.5819mz/8.1min",5.2286,2.3864,"3734"
"3891/626.5977mz/8.2min",5.1625,2.3681,"3891"
"564/193.0972mz/2.71min",5.0212,2.328,"564"
"4036/602.5977mz/8.39min",4.7879,2.2594,"4036"
"4070/614.5977mz/8.41min",4.4334,2.1484,"4070"
"4201/340.3572mz/8.66min",4.3011,2.1047,"4201"
"3536/600.5819mz/7.99min",0.24078,-2.0542,"3536"
"3793/784.5809mz/8.14min",0.24117,-2.0519,"3793"
"3203/740.522mz/7.63min",4.1221,2.0434,"3203"
"4072/628.6133mz/8.44min",4.0914,2.0326,"4072"
"4604/744.5526mz/10.24min",4.0288,2.0104,"4604"
"2705/780.5514mz/7.15min",0.25138,-1.9921,"2705"
"4706/154.99mz/10.86min",3.8276,1.9365,"4706"
"1307/330.6826mz/5.04min",3.8047,1.9278,"1307"
"3054/458.83mz/7.43min",3.7752,1.9165,"3054"
"3335/599.503mz/7.68min",3.7331,1.9004,"3335"
"3468/574.5664mz/7.92min",0.27559,-1.8594,"3468"
"2728/806.5643mz/7.14min",0.28368,-1.8177,"2728"
"3427/614.3734mz/7.8min",3.4518,1.7874,"3427"
"3306/756.5533mz/7.68min",3.3593,1.7482,"3306"
"3944/614.5976mz/8.3min",0.30314,-1.7219,"3944"
"4598/756.552mz/10.25min",3.1514,1.656,"4598"
"2894/467.312mz/7.33min",3.1448,1.653,"2894"
"1446/322.1834mz/5.34min",3.1444,1.6528,"1446"
"980/377.2544mz/3.77min",3.1394,1.6505,"980"
"4702/379.3353mz/10.77min",3.0972,1.631,"4702"
"3928/312.3255mz/8.27min",3.096,1.6304,"3928"
"1640/412.3197mz/5.69min",0.32454,-1.6235,"1640"
"3509/612.3578mz/7.91min",3.0037,1.5868,"3509"
"4451/373.2886mz/9.62min",2.9891,1.5797,"4451"
"1155/575.2974mz/4.52min",2.985,1.5778,"1155"
"1313/330.1809mz/5.04min",2.967,1.569,"1313"
"3341/475.3277mz/7.7min",2.9421,1.5569,"3341"
"3021/804.5493mz/7.44min",2.9341,1.5529,"3021"
"2926/774.5632mz/7.42min",0.34243,-1.5461,"2926"
"3310/425.3044mz/7.68min",2.8661,1.5191,"3310"
"2821/563.2648mz/7.25min",2.8621,1.5171,"2821"
"4448/391.2991mz/9.62min",2.8542,1.5131,"4448"
"4054/407.3304mz/8.42min",2.8176,1.4945,"4054"
"2116/756.4917mz/6.4min",2.7791,1.4746,"2116"
"3794/575.5027mz/8.14min",2.7704,1.4701,"3794"
"1559/553.233mz/5.56min",2.7586,1.4639,"1559"
"2846/437.8067mz/7.28min",2.7495,1.4591,"2846"
"3760/782.5687mz/8.14min",2.7366,1.4524,"3760"
"2869/572.3267mz/7.31min",2.7327,1.4504,"2869"
"3189/391.2991mz/7.68min",2.7107,1.4386,"3189"
"738/379.2336mz/3.07min",2.6679,1.4157,"738"
"2908/469.3423mz/7.35min",2.6062,1.382,"2908"
"1083/296.1498mz/4.18min",2.5916,1.3738,"1083"
"4452/423.2888mz/9.62min",2.587,1.3713,"4452"
"1214/295.1601mz/4.7min",2.5865,1.371,"1214"
"3506/410.313mz/7.91min",2.5604,1.3564,"3506"
"4071/914.5453mz/8.45min",2.5511,1.3511,"4071"
"4307/605.417mz/8.91min",0.39259,-1.3489,"4307"
"2072/564.285mz/6.32min",2.521,1.334,"2072"
"1165/288.1523mz/4.51min",2.5075,1.3263,"1165"
"3379/448.3205mz/7.74min",2.5062,1.3255,"3379"
"2308/395.3307mz/6.63min",2.4891,1.3156,"2308"
"1394/213.1386mz/5.25min",2.4821,1.3115,"1394"
