"","comp 1","comp 2","comp 3","comp 4","comp 5"
"574/138.055mz/2.73min",-0.50506,0,0,0,0
"3013/558.4149mz/7.44min",-0.5037,0,0,0,0
"1310/329.113mz/5.01min",-0.37932,0,0,0,0
"2998/570.311mz/7.42min",-0.34808,0,0,0,0
"3000/588.3214mz/7.43min",-0.32059,0,0,0,0
"564/193.0972mz/2.71min",-0.22036,0,0,0,0
"1206/573.2515mz/4.68min",0.1997,0,0,0,0
"434/285.1345mz/2.27min",-0.13774,0,0,0,0
"869/176.0707mz/3.41min",-0.094989,0,0,0,0
"2869/572.3267mz/7.31min",-0.083318,0,0,0,0
"1649/634.3566mz/5.7min",0,-0.50048,0,0,0
"509/147.0553mz/2.55min",0,-0.48829,0,0,0
"802/252.1593mz/3.22min",0,0.35615,0,0,0
"3023/740.522mz/7.5min",0,-0.27756,0,0,0
"3064/355.3202mz/7.45min",0,0.26372,0,0,0
"1648/618.3828mz/5.7min",0,-0.26348,0,0,0
"1881/507.2277mz/6.03min",0,-0.2582,0,0,0
"695/132.1019mz/2.98min",0,-0.20457,0,0,0
"2035/662.388mz/6.26min",0,-0.20035,0,0,0
"453/146.0601mz/2.35min",0,-0.13995,0,0,0
"389/215.139mz/2.0min",0,0,0,0,0
"396/282.1195mz/2.06min",0,0,0,0,0
"401/209.0922mz/2.07min",0,0,0,0,0
"403/227.1026mz/2.09min",0,0,0,0,0
"405/249.0845mz/2.09min",0,0,-0.33569,0,0
"406/220.118mz/2.11min",0,0,0,0,0
"407/242.0998mz/2.11min",0,0,0,0,0
"409/232.1543mz/2.11min",0,0,0,0,0
"414/185.0784mz/2.16min",0,0,0,0,0
"417/228.1343mz/2.18min",0,0,0,0,0
"418/242.1862mz/2.19min",0,0,0,0,0
"421/188.0706mz/2.21min",0,0,0,0,0
"422/205.0972mz/2.21min",0,0,0,0,0
"423/113.0597mz/2.22min",0,0,0,0,0
"424/217.1047mz/2.21min",0,0,0,0,0
"429/245.1495mz/2.25min",0,0,0,0,0
"430/267.1316mz/2.25min",0,0,0,0,0
"432/215.1391mz/2.26min",0,0,0,0,0
"435/270.1923mz/2.28min",0,0,0,0,0
"436/231.1702mz/2.29min",0,0,0,0,0
"438/276.1317mz/2.3min",0,0,0,0,0
"439/254.1498mz/2.3min",0,0,0,0,0
"445/195.1129mz/2.33min",0,0,0,0,0
"448/171.1128mz/2.34min",0,0,0,0,0
"451/116.0706mz/2.34min",0,0,0,0,0
"452/86.0965mz/2.35min",0,0,0,0,0
"454/146.1175mz/2.35min",0,0,0,0,0
"456/147.0633mz/2.35min",0,0,0,0,0
"457/229.1185mz/2.36min",0,0,0,0,0
"459/229.1546mz/2.36min",0,0,0,0,0
"461/160.0968mz/2.37min",0,0,0,0,0
"463/200.0554mz/2.38min",0,0,0,0,0
"466/114.0914mz/2.4min",0,0,0,0,-0.24553
"468/296.1351mz/2.4min",0,0,0,0,0
"470/190.0499mz/2.41min",0,0,0,0,0
"472/138.055mz/2.41min",0,0,0,0,0
"473/261.1443mz/2.41min",0,0,0,0,0
"474/283.1263mz/2.41min",0,0,0,0,0
"480/320.1813mz/2.46min",0,0,0,0,0
"482/141.0546mz/2.46min",0,0,0,0,0
"483/231.1702mz/2.46min",0,0,0,0,0
"484/229.1184mz/2.45min",0,0,0,0,0
"485/144.0808mz/2.47min",0,0,0,0,0
"486/185.071mz/2.47min",0,0,0,0,0
"487/217.0972mz/2.47min",0,0,0,0,0
"494/172.0063mz/2.51min",0,0,0,0,0
"500/261.1233mz/2.53min",0,0,0,0,0
"503/167.0816mz/2.54min",0,0,0,0,0
"511/180.102mz/2.56min",0,0,0,0,0
"514/246.17mz/2.57min",0,0,0,0,0
"515/247.1076mz/2.57min",0,0,0,0,0
"518/287.1599mz/2.59min",0,0,0,0,0
"523/211.1441mz/2.62min",0,0,0,0,0
"524/245.1859mz/2.62min",0,0,0,0,0
"526/197.1285mz/2.62min",0,0,0,0,0
"529/180.0656mz/2.63min",0,0,0,0,0
"531/229.1546mz/2.63min",0,0,0,0,0
"536/243.1339mz/2.65min",0,0,0,0,0
"540/130.1591mz/2.66min",0,0,0,0,0
"541/225.1233mz/2.66min",0,0,0,0,0
"542/175.1078mz/2.66min",0,0,0,0,0
"549/241.1546mz/2.69min",0,0,0,0,0
"550/263.1388mz/2.69min",0,0,0,0,0
