"MetaboAnalyst_ID","Fold.Change","log2.FC.","shared_name"
"1084/860.5421mz/5.75min",14.966,3.9036,"1084"
"1591/506.2886mz/7.19min",6.2927,2.6537,"1591"
"1121/265.1478mz/5.86min",5.1996,2.3784,"1121"
"1908/433.2358mz/7.68min",3.9748,1.9909,"1908"
"1600/435.2518mz/7.2min",3.7063,1.89,"1600"
"2238/671.4656mz/8.14min",0.27278,-1.8742,"2238"
"2691/455.1712mz/10.93min",3.6428,1.865,"2691"
"1927/758.497mz/7.68min",0.27975,-1.8378,"1927"
"1289/571.2889mz/6.32min",3.2742,1.7111,"1289"
"1750/579.3302mz/7.47min",3.1603,1.66,"1750"
"1447/518.2886mz/6.76min",3.0308,1.5997,"1447"
"2385/99.9258mz/8.43min",2.9688,1.5699,"2385"
"1679/833.5186mz/7.37min",0.35337,-1.5007,"1679"
"1074/684.4196mz/5.69min",0.36604,-1.4499,"1074"
"1939/695.4656mz/7.69min",2.6821,1.4234,"1939"
"2202/713.4763mz/8.13min",2.6593,1.411,"2202"
"2574/135.9709mz/10.17min",0.38417,-1.3802,"2574"
"1430/597.3045mz/6.66min",2.552,1.3516,"1430"
"1757/473.2823mz/7.51min",2.5435,1.3468,"1757"
"1564/741.3833mz/7.11min",2.4117,1.2701,"1564"
"2093/132.9002mz/7.83min",2.365,1.2419,"2093"
"1206/595.289mz/6.07min",2.3235,1.2163,"1206"
"2135/134.8946mz/7.95min",0.43059,-1.2156,"2135"
"1077/553.2848mz/5.73min",2.3107,1.2084,"1077"
"1780/571.2892mz/7.5min",2.3076,1.2064,"1780"
"1364/522.2835mz/6.52min",2.2994,1.2012,"1364"
"541/492.1514mz/4.83min",2.2963,1.1993,"541"
"1931/857.5179mz/7.69min",2.2717,1.1838,"1931"
"1731/506.2885mz/7.39min",2.2038,1.14,"1731"
"2269/701.3908mz/8.17min",2.1951,1.1343,"2269"
"184/228.1605mz/4.03min",0.45701,-1.1297,"184"
"600/431.2071mz/4.94min",0.45718,-1.1292,"600"
"1518/480.2731mz/7.02min",2.1434,1.0999,"1518"
"1975/422.2298mz/7.68min",0.46897,-1.0924,"1975"
"1311/496.2682mz/6.33min",2.088,1.0621,"1311"
"1866/421.2264mz/7.68min",0.48457,-1.0452,"1866"
"423/401.1607mz/4.63min",2.0484,1.0345,"423"
"2283/699.394mz/8.19min",2.0283,1.0203,"2283"
"848/471.202mz/5.32min",0.49368,-1.0184,"848"
"414/525.1736mz/4.66min",0.49489,-1.0148,"414"
"1669/507.2944mz/7.34min",2.0074,1.0053,"1669"
