"","comp 1","comp 2","comp 3","comp 4","comp 5"
"1523/690.4352mz/7.01min",-0.72124,0,0,0,0
"1579/728.4512mz/7.15min",-0.37529,0,0,0,0
"1429/688.4199mz/6.68min",-0.3253,0,0,0,0
"1397/506.3239mz/6.59min",-0.31803,0,0,0,0
"136/292.1192mz/3.69min",-0.23994,0,0,0,0
"95/186.0772mz/3.05min",-0.21334,0,0,0,0
"247/503.1571mz/4.26min",0.14761,0,0,0,0
"1287/668.4242mz/6.26min",0.081725,0,0,0,0
"184/228.1605mz/4.03min",0.018882,0,0,0,0
"396/620.3204mz/4.61min",-0.0099865,0,0,0,0
"2682/455.1713mz/10.88min",0,0.73782,0,0,0
"1976/144.9234mz/7.7min",0,-0.38967,0,0,0
"1149/594.3872mz/5.92min",0,-0.30106,0,0,0
"1931/857.5179mz/7.69min",0,0.2407,0,0,0
"337/517.1711mz/4.54min",0,-0.22024,0,0,0
"1940/114.9341mz/7.69min",0,0.20844,0,0,0
"1196/638.4135mz/6.04min",0,-0.20273,0,0,0
"2295/311.1686mz/8.17min",0,-0.12371,0,0,0
"471/431.207mz/4.73min",0,0.079062,0,0,0
"480/492.1514mz/4.78min",0,-0.024511,0,0,0
"70/196.0108mz/2.26min",0,0,0,0,0
"71/144.0455mz/2.34min",0,0,0,0,0
"73/188.0353mz/2.4min",0,0,0,0,0
"74/139.0401mz/2.45min",0,0,0,0,0
"75/769.234mz/2.57min",0,0,0,0,0
"76/815.2397mz/2.57min",0,0,0,0,0
"79/158.0823mz/2.72min",0,0,-0.77319,0,0
"82/158.0823mz/2.81min",0,0,0,0,0
"83/131.0714mz/2.81min",0,0,0,-0.3461,0
"87/186.1136mz/2.95min",0,0,0,0,0
"88/426.19mz/2.97min",0,0,0,0,0
"89/192.0667mz/2.97min",0,0,0,0,0
"90/153.0558mz/2.98min",0,0,0,0,0
"92/165.0557mz/3.02min",0,0,0,0,0
"93/173.082mz/3.04min",0,0,0,0,0
"94/164.0354mz/3.05min",0,0,0,0,0
"96/456.2006mz/3.1min",0,0,0,0,0
"99/245.0932mz/3.2min",0,0,0,0,0
"102/178.051mz/3.25min",0,0,0,0,0
"104/144.0455mz/3.27min",0,0,0,0,0
"105/261.1344mz/3.27min",0,0,0,0,0
"109/138.0197mz/3.32min",0,0,0,0,0
"111/261.1344mz/3.36min",0,0,0,0,0
"112/262.1377mz/3.36min",0,0,0,0,0
"118/187.0977mz/3.45min",0,0,0,0,0
"119/209.0796mz/3.45min",0,0,0,0,0
"120/145.0871mz/3.45min",0,0,0,0,0
