row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML Peak area,POS_TJGIp7_3_Run155.mzML Peak area,POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML Peak area,POS_TJGIp7_2_Run140.mzML Peak area,POS_TJGIp7_1_Run16.mzML Peak area,POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML Peak area,
6806,81.52048540161675,10.575217,,,,234,,,,,,,2.0330492E7,2.0933318E7,1.932696E7,1.9749466E7,1.1182018E7,1.0930083E7,
42,83.0215525492008,0.3685064,,,,33,,,,,,,695760.1,788301.44,443049.25,915062.6,419145.6,925369.25,
97,83.0491164703313,0.41065922,,,,,,,,,,,193496.98,146135.23,95195.48,1019382.0,226616.94,1276522.5,
6816,84.9596261558598,10.601867,,,,,,,,,,,911196.7,1521181.1,1062033.0,1364993.2,770133.5,806767.6,
114,84.95972020390093,0.50731725,,,,,,,,,,,935086.5,875138.6,1007818.94,919747.0,562979.9,329141.2,
158,86.06009653837505,0.7611678,,,,,,,,,,,288769.25,225445.38,164002.6,347160.47,364649.7,1558851.8,
6752,86.09634494957402,10.305593,,,,,,,,,,,18367.115,15749.398,16918.752,99289.31,238582.6,120400.73,
25,86.0963968520229,0.3529131,,,,33,,,,,,,682207.2,722166.7,541312.7,690714.44,431688.06,539260.94,
106,86.09641541484073,0.4799341,,,,,,,,,,,224805.0,342816.9,348697.5,284350.78,175846.19,96101.31,
112,86.09643495063052,0.5160734,,,,,,,,,,,271063.38,574512.5,363237.25,284350.78,268152.94,253938.94,
153,86.09644769664317,0.7744587,,,,,,,,,,,2311470.8,2961036.2,1747173.1,1011707.9,255291.0,140926.78,
211,86.09647012037156,0.9870472,,,,,,,,,,,366759.28,394546.66,245333.12,1373223.5,180924.4,112737.56,
