"","filter","POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML","POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML","POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML","POS_TJGIp7_1_Run16.mzML","POS_TJGIp7_2_Run140.mzML","POS_TJGIp7_3_Run155.mzML"
"298/144.1019mz/2.05min",37223.4845,49199.188,20743.158,113513.625,20332.227,25247.781,57042.92
"300/146.1176mz/2.07min",345369.46,390600.94,258922.44,330650.62,284623.5,360088.3,384780.62
"302/254.1385mz/2.08min",413560.47,492422.66,234368.27,367548.34,354292.22,459572.6,482722.84
"304/170.0812mz/2.09min",286824.17,243944.94,232905.72,329703.4,158144.23,440560.75,398365.03
"305/217.1047mz/2.21min",2214102.25,1846940.1,2563310.8,2898801.2,2040098,1925067.9,2388106.5
"306/102.0914mz/2.13min",669246.8,410428.34,638013.6,950261.06,382039.6,898716.2,700480
"307/232.1543mz/2.1min",1644055.45,1597093.2,1726145.9,1607168.4,410562.53,2009524,1680942.5
"308/184.1697mz/2.16min",177525.94,33341.29,114198.85,240853.03,54551.723,543595,1038924.06
"309/195.1228mz/2.2min",592872.25,1317170.1,572778.3,580296.6,1248452.6,605447.9,504579
"311/157.0835mz/2.21min",928080.5,974588.06,870005.56,1089472.5,888169.7,966449.5,889711.5
"312/113.0597mz/2.22min",1981785.15,2503632,1780983.4,2031160,1762494.4,1990548.2,1973022.1
"314/146.1176mz/2.29min",46160.767,124545.61,53709.03,10639.266,170539.95,38612.504,15970.111
"315/116.0528mz/2.25min",73765.789,14489.091,145005.38,98870.98,2897.8182,309170,48660.598
"320/231.1703mz/2.33min",407313.28,385684.44,161518.61,454397.8,533844.06,261184.52,428942.12
"321/146.0601mz/2.34min",1740065.65,2204377.5,1482783.8,1723027.8,1655398,2078427.6,1757103.5
"322/187.0941mz/2.33min",246981.79,200853.92,737196.5,323563.44,67380.38,166075.64,293109.66
"323/146.1175mz/2.34min",192588,4313.3726,157340.03,227835.97,13861.031,275816.75,245922.72
"324/157.0835mz/2.38min",2404687.85,923798.56,2504576.2,3144559.5,704205.94,2603642,2304799.5
"328/114.0914mz/2.4min",1219823.95,1993567.9,1236144.5,1077517.9,1313610,1203503.4,977289.44
"329/190.0499mz/2.41min",2563330.65,1661454.1,2473106.5,2694924.8,1908190.9,2894657.2,2653554.8
"332/239.1488mz/2.44min",190216.015,581280.1,188410.78,176440.69,416328.6,192021.25,145627.81
"333/141.0546mz/2.45min",1698263.55,795470.8,1788941.6,2038452.1,1588497.9,2170135.5,1607585.5
"334/201.1597mz/2.46min",371033.75,409427.22,393281.3,348786.2,194325.98,978486.5,318712.3
"335/184.1696mz/2.45min",107013.808,65354.688,136735.1,169272.45,60694.977,77292.516,204476.6
"336/103.0947mz/2.48min",257829.64,460195.47,246678.53,268980.75,168559.02,575929.2,199565.83
"337/102.0914mz/2.48min",5125563,8724145,4972333.5,5278792.5,3487381.5,10869066,4097338.2
"338/231.1702mz/2.46min",404081.75,53577.383,829159,407211.16,101133.8,842666.1,400952.34
"339/246.1699mz/2.55min",1250864.2,1438341,1138450,1080934.9,1422388.2,1363278.4,1105391
"340/216.123mz/2.52min",502755.075,277727.47,545191,510619.03,413800.16,519498.88,494891.12
"341/245.1858mz/2.57min",52889.927,109859.61,53720.004,10411.97,153527.05,52059.85,10411.97
"342/130.1591mz/2.52min",462880.8,3744633,462880.8,462880.8,2314404,462880.8,462880.8
"345/225.1097mz/2.55min",525323.23,606755.8,443890.66,284980.9,655801.9,813180.44,437250.2
"346/167.1067mz/2.57min",151685.08,250235.83,93345.26,87482.92,365017.9,210024.9,78490.35
"348/202.1801mz/2.61min",20594.5275,165587.67,15003.237,3000.6474,135847.55,26185.818,3000.6474
"349/771.248mz/2.57min",1292217.65,1069498.8,1085545.5,1194581.8,1389853.5,1491381.9,1416238.1
"350/405.1007mz/2.57min",1202357.3,307666.97,1128920.8,1275793.8,449463.7,1329916.5,1364731.1
"351/793.23mz/2.57min",1922844.75,1574340.8,1778483.9,1933804,1911885.5,2113710.2,2048958
"352/386.1273mz/2.58min",369776.275,135564.78,405028.8,712930.1,334523.75,295988.97,758932.2
"354/231.1202mz/2.6min",346701.42,96936.07,402516.62,450779.06,116745.75,290886.22,522601.6
"357/283.1749mz/2.62min",126476.22,291131.97,126411.66,126540.78,208999.48,120499.49,91999.414
