"","comp 1","comp 2","comp 3","comp 4","comp 5"
"1621/389.2682mz/5.09min",-0.74063,0,0,0,0
"6567/377.3198mz/9.88min",-0.40991,0,0,0,0
"391/428.2042mz/2.97min",-0.3708,0,0,0,0
"4451/676.4542mz/7.67min",-0.237,0,0,0,0
"1765/497.2141mz/5.22min",0.22537,0,0,0,0
"757/638.3295mz/4.39min",-0.17566,0,0,0,0
"967/548.2978mz/4.64min",-0.067955,0,0,0,0
"3161/399.3255mz/6.6min",-0.055794,0,0,0,0
"2260/439.1743mz/5.56min",0.019764,0,0,0,0
"2329/650.4094mz/5.6min",-0.0031425,0,0,0,0
"548/179.1066mz/3.68min",0,-0.78411,0,0,0
"5567/454.3305mz/8.33min",0,-0.38864,0,0,0
"352/386.1273mz/2.58min",0,0.27484,0,0,0
"3710/407.185mz/7.12min",0,-0.24992,0,0,0
"3690/459.3103mz/7.1min",0,-0.18206,0,0,0
"5600/409.3098mz/8.37min",0,-0.16417,0,0,0
"2194/461.2536mz/5.44min",0,-0.11824,0,0,0
"4615/389.1744mz/7.7min",0,-0.1133,0,0,0
"541/163.0753mz/3.67min",0,-0.074176,0,0,0
"3167/297.2421mz/6.6min",0,-0.060949,0,0,0
"302/254.1385mz/2.08min",0,0,0,0,0
"305/217.1047mz/2.21min",0,0,0,0,0
"306/102.0914mz/2.13min",0,0,0,0,0
"307/232.1543mz/2.1min",0,0,0,0,0
"309/195.1228mz/2.2min",0,0,0,0,0
"311/157.0835mz/2.21min",0,0,0,0,0
"312/113.0597mz/2.22min",0,0,0,0,0
"320/231.1703mz/2.33min",0,0,0,0,0
"321/146.0601mz/2.34min",0,0,0,0,0
"324/157.0835mz/2.38min",0,0,0,0,0
"328/114.0914mz/2.4min",0,0,0,0,0
"329/190.0499mz/2.41min",0,0,0,0,0
"333/141.0546mz/2.45min",0,0,0,0,0
"334/201.1597mz/2.46min",0,0,0,0,0
"337/102.0914mz/2.48min",0,0,0,0,0
"338/231.1702mz/2.46min",0,0,0,0,0
"339/246.1699mz/2.55min",0,0,0,0,0
"340/216.123mz/2.52min",0,0,0,0,0
"342/130.1591mz/2.52min",0,0,0,0,0
"345/225.1097mz/2.55min",0,0,0,0,0
"349/771.248mz/2.57min",0,0,0,0,0
"350/405.1007mz/2.57min",0,0,0,0,0
"351/793.23mz/2.57min",0,0,0,0,0
"359/316.2116mz/2.67min",0,0,0,0,0
"361/130.1591mz/2.65min",0,0,0,0,0
"366/138.055mz/2.72min",0,0,0,0,0
"367/120.0445mz/2.72min",0,0,0,0,0
"368/245.1859mz/2.76min",0,0,0,0,0
"374/317.1706mz/2.85min",0,0,0,0,0
"375/339.1525mz/2.85min",0,0,0,0,0
"379/215.1255mz/2.89min",0,0,0,0,0
"380/251.1026mz/2.91min",0,0,0,0,0
"381/215.1755mz/2.89min",0,0,0,0,0
"387/170.1176mz/2.95min",0,0,0,0,0
"389/210.1101mz/2.95min",0,0,0,0,0
"394/155.0703mz/2.98min",0,0,0,0,0
"401/303.1413mz/3.03min",0,0,0,0,0
"402/231.1703mz/3.01min",0,0,0,0,0
"406/210.0737mz/3.05min",0,0,0,0,0
"408/142.0863mz/3.06min",0,0,0,0,0
"409/114.055mz/3.06min",0,0,0,0,0
"411/219.1129mz/3.06min",0,0,0,0,0
"412/188.0918mz/3.06min",0,0,0,0,0
"414/223.154mz/3.08min",0,0,0,0,0
"415/240.1806mz/3.08min",0,0,0,0,0
"417/103.0754mz/3.08min",0,0,0,0,0
"418/147.1016mz/3.08min",0,0,0,0,0
"419/268.2116mz/3.09min",0,0,0,0,0
"420/245.1358mz/3.09min",0,0,0,0,0
"421/271.115mz/3.1min",0,0,0,0,0
"423/186.1125mz/3.09min",0,0,0,0,0
"426/412.2091mz/3.1min",0,0,0,0,0
"430/261.1097mz/3.09min",0,0,0,0,0
"433/109.1012mz/3.14min",0,0,0,0,0
"434/194.1152mz/3.14min",0,0,0,0,0
"435/172.1332mz/3.14min",0,0,0,0,0
"440/247.1077mz/3.2min",0,0,0,0,0
"445/182.0813mz/3.24min",0,0,0,0,0
"450/267.1801mz/3.27min",0,0,0,0,0
"451/284.2067mz/3.27min",0,0,0,0,0
"452/289.1619mz/3.27min",0,0,0,0,0
"454/146.0601mz/3.27min",0,0,0,0,0
"457/245.1374mz/3.32min",0,0,0,0,0
"459/245.1858mz/3.27min",0,0,0,0,0
"460/177.1122mz/3.3min",0,0,0,0,0
"461/200.0974mz/3.3min",0,0,0,0,0
"462/87.0441mz/3.3min",0,0,0,0,0
"463/199.0942mz/3.3min",0,0,0,0,0
"469/227.1278mz/3.36min",0,0,0,0,0
"470/285.1308mz/3.36min",0,0,0,0,0
"476/462.6739mz/3.42min",0,0,0,0,0
"484/164.1071mz/3.45min",0,0,0,0,0
"485/105.0699mz/3.45min",0,0,0,0,0
"486/273.1671mz/3.45min",0,0,0,0,0
"491/207.0629mz/3.48min",0,0,0,0,0
"493/185.0809mz/3.49min",0,0,0,0,0
"497/229.1427mz/3.52min",0,0,0,0,0
"502/439.1919mz/3.52min",0,0,0,0,0
"503/899.359mz/3.52min",0,0,0,0,0
"506/185.1148mz/3.53min",0,0,0,0,0
"507/179.0703mz/3.53min",0,0,0,0,0
"509/267.1569mz/3.53min",0,0,0,0,0
"516/469.6817mz/3.6min",0,0,0,0,0
"517/960.3385mz/3.6min",0,0,0,0,0
"518/229.1434mz/3.6min",0,0,0,0,0
"519/269.1358mz/3.61min",0,0,0,0,0
"521/207.0992mz/3.62min",0,0,0,0,0
"522/167.1067mz/3.62min",0,0,0,0,0
"525/453.6685mz/3.64min",0,0,0,0,0
"526/928.3123mz/3.64min",0,0,0,0,0
"529/159.1169mz/3.65min",0,0,0,0,0
"530/177.1274mz/3.65min",0,0,0,0,0
"536/468.2355mz/3.67min",0,0,0,0,0
"537/142.0414mz/3.67min",0,0,0,0,0
"543/150.0571mz/3.68min",0,0,0,0,0
"544/161.565mz/3.68min",0,0,0,0,0
"546/161.0962mz/3.68min",0,0,0,0,0
