"","PC1","PC2","PC3","PC4","PC5","PC6"
"85/196.0108mz/2.26min",0.01536,-0.045886,-0.0021955,0.0095841,-0.0074301,-0.23863
"87/144.0455mz/2.34min",-0.001978,-0.010455,-0.020439,0.013622,0.00090774,-0.2064
"89/188.0353mz/2.4min",0.0026586,-0.0043334,-0.013915,0.0094906,0.0029176,-0.22807
"90/139.0401mz/2.45min",0.019231,-0.0026421,0.022065,0.0046827,0.00011564,-0.07724
"93/769.2339mz/2.57min",0.0031726,-0.0088362,0.026885,-0.00027767,-0.013491,-0.17786
"94/815.2396mz/2.57min",0.0030466,-0.002848,0.035098,-0.0069015,-0.018664,-0.014774
"96/158.0823mz/2.72min",-0.0045302,-0.0032425,0.0062238,0.0065957,-0.0035665,-0.031003
"100/158.0823mz/2.81min",-0.0057171,-0.0079717,0.005824,0.01251,0.0016533,-0.0471
"101/131.0714mz/2.81min",0.0044904,-0.0089532,-0.012058,-0.0048267,0.011156,-0.016197
"107/186.1135mz/2.95min",-0.01466,0.0010036,-0.050243,-0.094919,-0.030655,0.035012
"108/426.1899mz/2.97min",0.0064787,0.001677,0.0044365,-0.015901,0.0032202,-0.03104
"109/192.0666mz/2.97min",-0.0075521,-0.011234,0.0075668,0.015973,-0.006341,-0.031251
"110/153.0557mz/2.98min",0.027997,-0.0055055,0.018328,0.012564,0.0030244,-0.0005255
"112/165.0557mz/3.02min",0.0058025,-0.0078462,-0.010026,0.0013871,0.0081845,0.01542
"113/173.0819mz/3.04min",-0.0071537,-0.00063283,0.00092556,0.0046581,-0.0065152,-0.031123
"114/164.0354mz/3.05min",0.0015809,-0.015119,-0.013258,0.0048264,0.00024792,0.00033618
"115/186.0772mz/3.06min",-4.2701e-05,-0.009326,0.017134,0.010409,-0.0015194,-0.030798
"116/456.2005mz/3.1min",0.0041392,-0.0035518,-0.0013779,-0.0085941,0.0044691,0.031615
"119/245.0932mz/3.2min",0.0055247,-0.007254,0.0031051,0.0032461,0.0066536,0.046793
"122/178.051mz/3.25min",0.0032506,-0.012254,-0.02155,0.01323,0.0063513,-0.016664
"124/144.0455mz/3.27min",-0.0099122,-0.012015,-0.011293,0.014238,-0.0043003,-0.015559
"125/261.1344mz/3.27min",0.00046971,-0.0010881,0.0097672,-0.00014694,0.0061892,0.046991
"129/138.0197mz/3.32min",-0.012355,-0.010367,0.0090681,0.002293,0.0030763,0.030953
"130/261.1344mz/3.36min",-0.00042517,0.00070295,0.0097395,0.0013485,0.006247,0.030809
"139/187.0976mz/3.45min",-0.0094373,-0.0023631,0.018865,0.012051,-0.0022591,0.015441
"140/209.0795mz/3.45min",-0.004386,-0.0012828,0.017247,0.012063,0.0022168,-0.030949
"141/145.087mz/3.45min",0.0087554,-0.00711,-0.01112,-0.015975,0.012518,0.014986
"147/177.0557mz/3.53min",0.0011993,0.00091907,0.014121,0.010488,-0.013823,0.032107
"148/269.1031mz/3.53min",0.0011098,0.0011258,0.013747,0.011577,-0.011802,0.047437
"150/145.087mz/3.54min",0.00045953,-0.0068337,-0.003711,-0.0049576,0.0025703,0.032089
"153/191.0749mz/3.59min",0.034105,-0.037604,0.0010858,0.025272,-0.0045061,0.016264
"154/144.0455mz/3.59min",-0.0099102,-0.011525,-0.015605,0.027084,-0.011633,0.015008
"155/466.2211mz/3.66min",0.0088907,0.0058758,-0.00076881,-0.017351,0.0050771,-0.030851
"156/292.1192mz/3.69min",-0.0036371,-0.025104,0.0029829,-0.0025018,-0.031316,-0.01166
"161/191.0749mz/3.67min",-0.017669,-0.025694,-0.048564,0.0031694,-0.025212,-0.0071507
"164/171.1027mz/3.75min",-0.0067704,-0.0075722,0.015378,0.017362,-0.0015647,0.048136
"165/195.0663mz/3.76min",0.00082719,0.003768,0.045164,0.0060144,-0.014799,0.0016733
"168/159.1027mz/3.79min",0.0022278,-0.0026583,0.0032749,-0.011817,-0.0092676,0.00068007
"169/471.166mz/3.79min",-0.0063495,-0.0027731,0.0045972,0.011312,-0.014951,-0.030427
"170/507.1427mz/3.79min",-0.021239,-0.0086068,0.0094988,0.0019202,-0.013668,-0.014119
"171/534.1616mz/3.79min",-0.021566,-0.012169,0.013259,-0.00098203,-0.011208,-0.046409
"172/517.1715mz/3.79min",0.00020363,-0.0030055,0.010774,0.014966,-0.018039,-0.015312
"173/518.1748mz/3.79min",-0.00065028,-0.003123,0.0090737,0.011016,-0.013777,-0.00012973
"176/236.0962mz/3.8min",0.14567,-0.09834,-0.026082,0.063043,0.042775,0.031455
"179/489.1768mz/3.87min",0.0040035,-0.0071133,0.019832,0.0013398,-0.020665,-0.01565
"180/525.1533mz/3.87min",-0.022766,-0.016262,0.016646,-0.007978,-0.021377,0.032363
"181/535.1824mz/3.87min",0.0022535,-0.011415,0.017372,0.0064427,-0.020431,0.049816
"182/317.0303mz/3.87min",-0.029491,0.0065358,-0.11299,-0.095859,-0.059113,0.022282
"185/596.2844mz/3.92min",-0.0014215,-0.0042098,0.0053902,-0.0075499,-0.0097137,-0.015357
"187/473.1819mz/3.92min",0.0019914,-0.020787,-0.016752,0.02826,-0.010507,0.048211
"188/213.0154mz/3.94min",0.011504,-0.0091601,0.02856,0.015504,-0.0039878,0.032593
"190/459.2028mz/3.94min",-0.0052721,-0.027837,-0.0162,0.027859,0.0036085,0.032955
"191/236.0962mz/3.94min",-0.045569,0.010013,-0.033561,0.0048956,-0.0060855,0.0023823
"200/171.1028mz/4.01min",-0.0064499,-0.0045604,-0.02197,0.0077405,-0.0046948,-0.015944
"206/228.1605mz/4.03min",-0.018469,0.0037196,-0.118,-0.10726,-0.060226,-0.019253
"208/489.177mz/4.03min",0.017579,-0.011702,0.0061078,0.018165,-0.0013685,-0.00043402
"209/225.1134mz/4.05min",0.01138,-0.00028565,0.029166,-0.015463,-0.00053636,0.017142
"211/159.1027mz/4.07min",0.0017818,-0.0051559,-0.014066,-0.031162,0.021112,-0.016763
"214/580.2891mz/4.12min",-0.0017277,-0.009179,-0.0010519,-0.0057127,-0.0066674,0.031569
"215/517.1716mz/4.13min",-0.0037781,-0.0088317,-0.00017594,0.00057975,-0.010332,-0.030462
"218/947.3704mz/4.13min",0.0018158,-0.0051081,0.00959,0.0086536,-0.011728,-0.015078
"219/329.1758mz/4.13min",0.00086165,-0.0042288,0.0038682,0.0042515,-0.0074778,0.016565
"220/117.0191mz/4.13min",0.0011559,-0.0080034,0.0059824,0.0032463,-0.0038345,0.047907
"221/519.187mz/4.13min",-0.0015691,-0.0047033,0.0079858,0.0022701,-0.0090416,-0.031576
"222/541.1678mz/4.13min",0.0083976,-0.0038119,0.003467,0.0097025,-0.0013897,-0.015383
"223/536.1779mz/4.14min",-0.030111,-0.030755,0.013096,-0.019652,0.020845,-0.00012801
"224/473.1816mz/4.13min",0.0011126,-0.0067162,0.0079532,0.0057646,-0.0091721,-0.030569
"225/509.1583mz/4.13min",-0.02262,-0.0067809,0.0015735,-0.00047414,-0.0035526,0.0014519
"234/252.0733mz/4.14min",0.045537,-0.034038,0.0073353,-0.0049522,-0.0091547,0.010739
"235/401.1605mz/4.14min",0.00050859,-0.0056921,-0.0061559,0.0048345,-0.0020032,0.00048542
"237/195.0662mz/4.14min",0.0034582,-0.00752,-0.0028465,0.0022986,0.0014727,-0.047078
"238/441.1918mz/4.15min",0.0048321,-0.0020611,-0.0055485,0.0018714,0.0042553,0.031068
"239/487.1972mz/4.15min",0.0026807,-0.0014094,-0.0059141,-0.00017911,0.0030461,0.015749
"240/301.1655mz/4.15min",0.0033641,-0.0016561,0.0045213,-0.0024627,0.0063602,0.031133
"242/477.1683mz/4.15min",-0.024213,-0.016244,-0.015684,-0.020202,-0.011802,0.049809
"246/535.1819mz/4.16min",0.0063211,-0.015103,-0.0095116,0.012524,6.8416e-05,0.047747
"248/525.153mz/4.16min",-0.028939,-0.018707,-0.016169,0.011589,0.0013981,0.0017523
"249/551.2136mz/4.17min",0.0053067,0.0041616,0.015488,-0.0015535,-0.0011273,-0.015237
"250/471.166mz/4.24min",-0.00032436,-0.0037206,-0.0044974,0.0090687,-0.0073985,-0.015801
"254/215.1288mz/4.18min",-0.0068793,-0.0077958,0.0099928,0.0013681,0.0048147,0.031379
"255/503.1924mz/4.18min",-0.00072625,-0.0039916,0.01257,0.0033371,-0.0093339,0.047691
"256/549.1977mz/4.19min",-0.0040207,-0.0021251,0.0085368,0.0017559,-0.0088017,0.01591
"260/269.1758mz/4.2min",0.0068542,0.0018384,0.019247,0.016156,-0.0030123,0.00066273
"264/472.1696mz/4.24min",-0.0014683,-0.0011994,-0.003007,0.0074951,-0.011349,0.016203
"265/489.177mz/4.25min",-0.013208,0.012411,-0.060874,0.00085185,-0.013317,0.0092575
"266/493.2442mz/4.25min",0.00036475,-0.0050434,0.01922,0.0055265,-0.012481,0.03231
"267/441.1919mz/4.25min",-0.001162,-0.0061981,0.0030278,0.0078432,-0.012708,0.047645
"270/503.1573mz/4.26min",0.0024213,-0.0078723,-0.002434,0.0036917,-0.00015975,0.047522
"274/357.1708mz/4.27min",-0.010802,-0.010354,0.0064094,0.021565,-0.018147,0.00048866
"276/117.0193mz/4.28min",0.0094442,0.00076392,0.039293,0.00086168,-0.016224,-0.039878
"277/503.1924mz/4.27min",-0.0037542,-0.0054636,0.044386,-0.0070791,-0.025746,-0.01708
"280/539.1692mz/4.29min",-0.016459,-0.004209,0.0082095,0.0016644,-0.0081026,0.00056363
"281/549.1978mz/4.29min",0.00058181,-0.0022504,0.0090059,0.0077153,-0.012417,0.00033164
"282/566.1878mz/4.29min",-0.019034,-0.0092742,0.015235,-8.7399e-05,0.0057859,0.039277
"285/487.1612mz/4.3min",-0.0034261,-0.00814,0.0064596,0.010832,-0.0079903,0.00024769
"288/417.1556mz/4.32min",-0.0094946,-0.007738,0.022269,-0.014343,-0.010139,-0.00035586
"289/227.129mz/4.34min",-0.011323,0.0032679,0.02264,0.017523,0.00098626,0.03132
"290/183.139mz/4.34min",-0.01258,0.004737,0.023512,0.017515,0.0016045,0.014721
"294/395.1863mz/4.35min",0.0040027,-0.0024762,0.0046413,0.00050812,-0.0029324,-0.03133
"296/242.1762mz/4.35min",-0.021691,0.0072975,-0.077703,-0.11441,-0.051737,0.033444
"298/447.2025mz/4.37min",0.02858,0.013412,-0.012897,-0.01744,0.013574,0.0022988
"301/636.3156mz/4.39min",0.0037864,-0.0051748,-0.0031422,-0.018842,-0.0081484,-0.030472
"302/459.203mz/4.36min",0.11906,-0.058038,0.065489,0.036833,0.019107,0.01052
"306/169.087mz/4.41min",-0.0088886,-0.0079806,-0.0083815,0.0031348,-0.0099334,0.047438
"309/391.1764mz/4.42min",-0.00016171,-0.010748,0.0040399,0.011445,0.0013172,-0.00038077
"312/458.1903mz/4.44min",-0.0045807,-0.015213,0.013405,-0.0043996,-0.011971,-0.030306
"315/457.1869mz/4.44min",-0.0052615,-0.0074255,0.013647,0.0077835,-0.0052242,0.03198
"319/375.2177mz/4.44min",-0.00051773,-0.0025911,0.01325,0.00035544,0.0023757,0.030798
"324/883.3912mz/4.45min",0.0088218,-0.0025364,0.0076946,0.0084585,-0.0079349,0.030903
"326/441.1918mz/4.45min",0.00088906,-0.003441,0.0039123,0.0061004,-0.0084397,-0.046854
"327/487.1973mz/4.45min",-0.00090326,-0.0045083,0.0042719,0.0068957,-0.0062421,0.031459
