"Log2_FoldChange","MetaboAnalyst_ID"
0.3929,"278/254.1385mz/2.08min"
0.35662,"281/102.0914mz/2.13min"
-0.6994,"282/232.1543mz/2.1min"
-0.23378,"285/217.1047mz/2.2min"
-0.13537,"286/195.1227mz/2.21min"
0.005991,"287/157.0835mz/2.21min"
-0.46909,"288/113.0597mz/2.22min"
0.53307,"292/231.1702mz/2.32min"
-0.42588,"293/146.06mz/2.34min"
-0.33288,"296/157.0835mz/2.38min"
-0.1274,"300/114.0914mz/2.4min"
-0.13693,"301/190.0499mz/2.41min"
0.35778,"306/141.0546mz/2.45min"
0.0024733,"307/201.1597mz/2.46min"
-0.23215,"309/102.0914mz/2.49min"
-0.44958,"311/231.1702mz/2.47min"
-0.013568,"313/216.123mz/2.52min"
-0.43902,"314/246.1699mz/2.55min"
-0.28511,"316/130.1591mz/2.53min"
0.3757,"323/771.2479mz/2.57min"
0.19066,"324/793.23mz/2.57min"
0.24595,"326/405.1007mz/2.57min"
0.6256,"331/197.1285mz/2.61min"
-0.011157,"335/316.2117mz/2.67min"
0.25797,"337/130.1591mz/2.64min"
0.15862,"342/120.0445mz/2.73min"
0.20731,"343/138.055mz/2.73min"
0.47427,"344/245.1859mz/2.76min"
0.3535,"351/317.1705mz/2.85min"
0.24119,"352/339.1525mz/2.85min"
-0.35145,"355/215.1255mz/2.89min"
-0.48537,"357/215.1755mz/2.89min"
-0.77077,"361/170.1176mz/2.95min"
-0.75091,"363/210.1101mz/2.96min"
0.030835,"365/428.2042mz/2.97min"
0.27372,"368/155.0703mz/2.98min"
0.19033,"373/231.1703mz/2.99min"
0.30886,"378/210.0737mz/3.05min"
0.31296,"380/114.055mz/3.06min"
0.31773,"381/142.0863mz/3.06min"
0.29087,"382/188.0917mz/3.06min"
-0.034514,"383/219.1128mz/3.06min"
0.83421,"384/211.1441mz/3.07min"
-0.065314,"387/245.1358mz/3.08min"
-0.020169,"388/240.1805mz/3.08min"
-0.012429,"390/103.0753mz/3.08min"
-0.02125,"391/147.1015mz/3.08min"
-0.027396,"392/223.154mz/3.08min"
0.19987,"394/261.1096mz/3.09min"
0.27641,"395/271.115mz/3.1min"
-0.012623,"397/186.1125mz/3.09min"
-0.080667,"398/412.2091mz/3.11min"
-0.17933,"402/109.1012mz/3.14min"
-0.95905,"404/172.1332mz/3.15min"
-0.83224,"405/194.1152mz/3.14min"
0.028109,"412/247.1077mz/3.2min"
-0.14755,"416/182.0812mz/3.24min"
-0.015979,"420/284.2066mz/3.27min"
-0.023732,"423/267.18mz/3.27min"
-0.3357,"424/289.1619mz/3.27min"
-1.1724,"425/245.137mz/3.26min"
-0.087334,"426/146.06mz/3.27min"
-0.27748,"432/177.1121mz/3.3min"
0.29099,"433/245.1858mz/3.26min"
-0.27889,"434/87.0441mz/3.3min"
-0.3991,"435/199.0941mz/3.3min"
0.78393,"439/448.197mz/3.34min"
0.43421,"444/245.1382mz/3.36min"
0.25513,"445/227.1277mz/3.36min"
0.26024,"446/285.1307mz/3.36min"
0.15885,"453/462.6738mz/3.42min"
0.14538,"459/105.0699mz/3.45min"
0.12625,"460/164.1071mz/3.45min"
-0.19529,"461/273.1671mz/3.45min"
0.037439,"464/267.157mz/3.54min"
0.17564,"467/185.0809mz/3.48min"
0.023723,"468/207.0628mz/3.48min"
0.95909,"471/229.1428mz/3.52min"
0.27079,"475/877.3769mz/3.52min"
0.2231,"476/439.1918mz/3.51min"
0.188,"479/899.3588mz/3.52min"
0.28918,"482/179.0703mz/3.53min"
0.1703,"483/185.1148mz/3.53min"
0.22137,"494/960.3383mz/3.6min"
0.088373,"495/469.6816mz/3.6min"
0.041411,"496/229.1433mz/3.6min"
-0.027611,"497/269.1358mz/3.6min"
-0.12342,"500/207.0991mz/3.62min"
-0.021381,"501/167.1066mz/3.62min"
0.14875,"503/928.3121mz/3.64min"
0.14384,"504/453.6684mz/3.64min"
0.16708,"505/177.1274mz/3.65min"
-0.092503,"513/468.2353mz/3.67min"
-0.077906,"514/142.0414mz/3.67min"
-0.052285,"516/163.0752mz/3.68min"
0.0039338,"520/150.057mz/3.68min"
0.037446,"521/161.0961mz/3.68min"
0.055158,"524/162.0993mz/3.68min"
0.11219,"525/179.1066mz/3.68min"
-0.040125,"526/161.5649mz/3.68min"
0.032065,"528/294.1333mz/3.69min"
-0.081772,"530/218.028mz/3.69min"
-0.11435,"531/116.0528mz/3.7min"
0.35724,"534/461.2966mz/3.75min"
-0.057867,"538/233.0783mz/3.72min"
0.026137,"539/149.0597mz/3.72min"
0.30295,"547/473.1804mz/3.79min"
1.3787,"549/367.2377mz/3.8min"
0.27181,"559/473.1805mz/3.87min"
0.13366,"560/519.241mz/3.87min"
0.090235,"567/598.2986mz/3.92min"
-0.21857,"580/191.1042mz/3.97min"
0.062233,"598/201.1598mz/4.02min"
-0.21835,"601/203.1179mz/4.04min"
0.31029,"607/359.2213mz/4.08min"
0.55621,"610/489.3894mz/4.16min"
0.16473,"616/604.2851mz/4.12min"
0.084177,"618/277.5882mz/4.12min"
0.027681,"619/582.3032mz/4.12min"
0.43907,"620/298.1014mz/4.13min"
0.089408,"624/357.1692mz/4.13min"
0.11359,"625/971.3663mz/4.13min"
0.17634,"627/297.1482mz/4.13min"
0.14682,"628/369.1692mz/4.13min"
0.13875,"629/397.1641mz/4.13min"
0.088823,"631/538.2043mz/4.13min"
0.16247,"632/949.3843mz/4.13min"
0.127,"634/339.1588mz/4.13min"
0.15595,"635/439.1747mz/4.13min"
0.13687,"637/497.1774mz/4.13min"
0.16295,"638/415.1745mz/4.13min"
0.16835,"640/387.1798mz/4.13min"
0.19673,"641/457.1852mz/4.13min"
0.13828,"642/475.1958mz/4.13min"
-0.13114,"648/443.206mz/4.14min"
