"","PC1","PC2","PC3","PC4","PC5","PC6"
"152/244.0826mz/2.02min",-0.0041296,0.010273,0.0019961,-0.015875,0.020149,-0.72036
"153/158.0822mz/2.03min",0.038204,0.023117,-0.055476,0.046903,-0.019858,0.018773
"155/345.13mz/2.04min",-0.013822,-0.0026508,-0.017355,-0.0054225,0.0020631,-0.30223
"162/182.0458mz/2.08min",-0.015256,0.011687,0.016116,-0.0028349,-0.016726,0.39065
"163/224.0564mz/2.08min",0.01106,0.011694,0.011493,-0.01572,-0.021162,0.066877
"165/283.0606mz/2.1min",-0.018309,0.015404,0.013788,-0.008388,-0.040145,0.0087791
"167/220.0649mz/2.1min",-0.010201,0.017377,-0.012237,-9.5229e-05,-0.025355,0.010515
"168/231.0986mz/2.1min",0.043028,0.021522,-0.032883,0.022257,0.0037241,-0.0055377
"170/224.1041mz/2.11min",-0.023979,-0.024394,0.013235,-0.041179,-0.0036684,-0.0079242
"171/242.067mz/2.11min",-0.00029479,-1.8536e-05,0.007497,-0.011015,-0.0016138,0.022048
"172/117.0558mz/2.12min",0.00054142,0.020162,-0.0051981,-0.016781,-0.0021345,0.020023
"173/196.0615mz/2.14min",0.013876,-0.0028882,0.036935,0.024968,-0.019884,-0.013217
"174/163.9861mz/2.12min",0.00047784,-0.0043506,0.0075288,0.018712,0.0048508,0.012229
"177/240.0514mz/2.14min",0.011668,-0.0047966,0.0031208,-0.019354,0.0011944,-0.02167
"178/259.1299mz/2.14min",-0.003033,0.016205,-0.034775,-0.001812,-0.015986,-0.014903
"182/356.1345mz/2.16min",-0.0058037,0.036447,0.046641,-0.018886,-0.059313,0.00095128
"183/212.0565mz/2.17min",-0.0027128,-0.0057245,0.029668,-0.0064785,-0.035698,-0.011809
"185/225.0881mz/2.15min",0.0078601,0.0081871,-0.021475,-0.028484,0.020966,0.032884
"187/240.0877mz/2.17min",-0.0063284,0.017681,0.017114,-0.034633,-0.023246,-0.0082601
"188/281.0991mz/2.18min",0.012579,0.01722,-0.030147,0.015471,-0.0080025,0.023591
"191/303.0813mz/2.18min",0.019731,0.019476,-0.0066939,0.032167,-0.03623,-0.0056109
"193/254.08mz/2.18min",0.016633,0.03225,-0.066167,0.0077426,-0.018427,0.010421
