"","FC","log2(FC)","raw.pval","-log10(p)"
"2297/685.4145mz/6.37min",0.0006365,-10.618,1.06e-05,4.9747
"2206/671.399mz/6.19min",0.0094607,-6.7238,1.3142e-05,4.8813
"1673/251.1289mz/5.43min",20717,14.339,3.4573e-05,4.4613
"1914/657.3832mz/5.8min",0.0010051,-9.9585,3.5545e-05,4.4492
"259/375.1042mz/2.4min",17.637,4.1406,8.8566e-05,4.0527
"1112/241.1446mz/4.51min",610.13,9.253,0.00017698,3.7521
"1667/992.6654mz/5.43min",5.1731,2.371,0.00019043,3.7203
"1917/640.3934mz/5.78min",0.00013692,-12.834,0.00019628,3.7071
"2713/421.1655mz/7.66min",0.1558,-2.6822,0.00022589,3.6461
"426/196.0615mz/2.73min",2.0753,1.0534,0.00023182,3.6349
"1685/525.2486mz/5.44min",5.7622,2.5266,0.00023862,3.6223
"2135/350.2181mz/6.08min",366.65,8.5182,0.00024405,3.6125
"1701/336.1066mz/5.47min",5.7533,2.5244,0.00030448,3.5164
"1294/564.115mz/4.87min",0.11754,-3.0887,0.00031862,3.4967
"2209/673.4045mz/6.2min",0.16662,-2.5853,0.000327,3.4855
"2308/287.2228mz/6.37min",5.7497,2.5235,0.00034303,3.4647
"208/317.0991mz/2.23min",7.5875,2.9236,0.00036022,3.4434
"1780/211.134mz/5.57min",5.447,2.4455,0.00037005,3.4317
"1222/213.1132mz/4.74min",5.3101,2.4088,0.00038833,3.4108
"2203/654.4088mz/6.2min",0.0016994,-9.2008,0.00041718,3.3797
"2603/271.2279mz/7.22min",7.3613,2.88,0.00049679,3.3038
"1822/626.3773mz/5.62min",0.02907,-5.1043,0.00051953,3.2844
"1749/308.1504mz/5.51min",5.9539,2.5738,0.00052792,3.2774
"1826/643.3676mz/5.63min",0.043187,-4.5333,0.00055043,3.2593
"2337/279.1238mz/6.42min",5.9801,2.5802,0.0005572,3.254
"1309/215.1289mz/4.9min",6.0273,2.5915,0.00057261,3.2421
"1670/505.2711mz/5.43min",6.0112,2.5877,0.00058316,3.2342
"1890/295.1188mz/5.74min",5.6907,2.5086,0.00059641,3.2245
"1586/623.4527mz/5.34min",0.0017408,-9.1661,0.00061419,3.2117
"505/195.0299mz/2.94min",0.079824,-3.647,0.00062337,3.2053
"2595/447.0639mz/7.2min",5.7369,2.5203,0.0006334,3.1983
"1656/213.1496mz/5.41min",6.5423,2.7098,0.00069168,3.1601
"1999/669.3832mz/5.91min",0.13643,-2.8737,0.00069249,3.1596
"1520/321.1344mz/5.24min",5.5969,2.4846,0.00074369,3.1286
"2241/683.3987mz/6.23min",0.1425,-2.8109,0.00074996,3.125
"1166/259.1551mz/4.69min",6.3145,2.6587,0.00075757,3.1206
"1188/322.1508mz/4.69min",6.3081,2.6572,0.00076038,3.119
"355/611.2572mz/2.57min",0.33599,-1.5735,0.00081293,3.0899
"1676/253.1345mz/5.43min",5.9277,2.5675,0.00081416,3.0893
"1585/1068.7547mz/5.33min",0.11739,-3.0906,0.00081842,3.087
"1838/313.2386mz/5.65min",0.095738,-3.3848,0.00092266,3.035
"1588/311.2228mz/5.34min",0.082842,-3.5935,0.0009325,3.0304
"2204/644.3799mz/6.2min",0.0063877,-7.2905,0.00099405,3.0026
"1662/1008.66mz/5.42min",6.6139,2.7255,0.0010289,2.9876
"1312/671.3077mz/4.9min",6.7009,2.7443,0.0010369,2.9843
"2134/287.2228mz/6.08min",56.808,5.828,0.0010657,2.9724
"1058/309.1345mz/4.44min",6.6266,2.7283,0.001095,2.9606
"1055/299.0198mz/4.43min",0.20799,-2.2654,0.0011256,2.9486
"1680/208.1423mz/5.43min",6.7162,2.7477,0.0012053,2.9189
"1507/805.5041mz/5.21min",2.0801,1.0566,0.0012055,2.9188
"1672/207.139mz/5.43min",6.4855,2.6972,0.001206,2.9186
"2317/389.1597mz/6.37min",103.79,6.6975,0.0012449,2.9049
"1167/325.1294mz/4.63min",5.8763,2.5549,0.001279,2.8931
"2316/390.1638mz/6.39min",7.0846,2.8247,0.0013901,2.857
"821/324.1454mz/3.88min",6.1277,2.6154,0.001448,2.8392
"260/222.0771mz/2.4min",0.29789,-1.7471,0.00167,2.7773
"1713/293.1395mz/5.47min",7.1047,2.8288,0.0017019,2.7691
"354/301.1406mz/2.57min",0.3971,-1.3324,0.0017289,2.7622
"316/146.0611mz/2.5min",0.020947,-5.5771,0.0017593,2.7547
"1915/660.3918mz/5.78min",0.13117,-2.9305,0.0017798,2.7496
"1474/389.1604mz/5.17min",7.3436,2.8765,0.0018205,2.7398
"2298/669.4277mz/6.37min",0.11084,-3.1735,0.0018703,2.7281
"2202/608.4019mz/6.19min",0.12855,-2.9596,0.0019534,2.7092
"2029/657.3833mz/5.96min",0.13114,-2.9308,0.0019694,2.7057
"422/241.0547mz/2.72min",5.2838,2.4016,0.0021517,2.6672
"421/240.0514mz/2.73min",4.9424,2.3052,0.0021753,2.6625
"1711/294.1429mz/5.47min",7.4998,2.9068,0.0022058,2.6564
"1661/674.3337mz/5.42min",7.858,2.9742,0.0022291,2.6519
"609/585.2779mz/3.25min",0.39273,-1.3484,0.0023569,2.6277
"1839/314.2419mz/5.65min",0.084995,-3.5565,0.0024502,2.6108
"1675/503.2651mz/5.43min",7.7477,2.9538,0.0024579,2.6094
"2146/683.3987mz/6.1min",0.12196,-3.0356,0.002579,2.5885
"1506/399.1083mz/5.22min",0.054943,-4.1859,0.0027566,2.5596
"799/342.0464mz/3.8min",8.4483,3.0787,0.0027696,2.5576
"635/246.0965mz/3.3min",0.4355,-1.1993,0.0027732,2.557
"2321/712.4144mz/6.38min",0.096723,-3.37,0.0027845,2.5553
"856/267.1238mz/3.95min",7.9237,2.9862,0.0029754,2.5265
"1595/374.2181mz/5.34min",0.080741,-3.6306,0.0030073,2.5218
"2306/668.4245mz/6.37min",0.1174,-3.0905,0.0030509,2.5156
"1959/860.5425mz/5.82min",0.0060837,-7.3608,0.003097,2.5091
"882/265.1081mz/4.01min",7.5928,2.9246,0.0032497,2.4882
"791/280.0545mz/3.8min",12.484,3.642,0.0033406,2.4762
"1496/313.1082mz/5.2min",0.073733,-3.7615,0.0033554,2.4743
"472/151.0401mz/2.85min",0.16348,-2.6128,0.0033645,2.4731
"1114/304.1402mz/4.55min",8.2816,3.0499,0.0034136,2.4668
"1445/592.2779mz/5.11min",0.43558,-1.199,0.0034559,2.4614
"470/107.0503mz/2.85min",0.14183,-2.8178,0.0034575,2.4612
"2312/622.4175mz/6.38min",0.11798,-3.0833,0.0034735,2.4592
"636/245.0932mz/3.3min",0.44609,-1.1646,0.0035366,2.4514
"1615/629.3519mz/5.37min",0.12643,-2.9836,0.0035786,2.4463
"858/356.041mz/3.96min",0.056385,-4.1485,0.0039272,2.4059
"2556/271.2279mz/7.01min",16.985,4.0862,0.0039341,2.4051
"2395/682.44mz/6.56min",0.11102,-3.1711,0.0041167,2.3854
"1200/223.0975mz/4.71min",7.8626,2.975,0.0042195,2.3747
"300/260.114mz/2.48min",0.27081,-1.8846,0.0042624,2.3703
"798/279.0511mz/3.8min",8.5417,3.0945,0.0043014,2.3664
"941/314.0307mz/4.19min",0.098317,-3.3464,0.0043049,2.366
"252/153.0194mz/2.37min",0.077268,-3.694,0.0045554,2.3415
"1913/659.3889mz/5.78min",0.090319,-3.4688,0.0045834,2.3388
"1671/305.1032mz/5.43min",11.317,3.5004,0.0046853,2.3293
"1537/249.1132mz/5.27min",7.1333,2.8346,0.0047348,2.3247
"2396/699.4303mz/6.57min",0.12375,-3.0145,0.0047857,2.3201
"955/382.1869mz/4.23min",8.5347,3.0933,0.0048339,2.3157
"1442/323.1501mz/5.1min",10.846,3.4391,0.0049869,2.3022
"2260/353.1028mz/6.26min",0.089658,-3.4794,0.0051924,2.2846
"1158/287.0826mz/4.6min",0.049538,-4.3353,0.0051939,2.2845
"603/206.0822mz/3.23min",0.13854,-2.8516,0.0054039,2.2673
"1922/658.3864mz/5.78min",0.085281,-3.5516,0.0054187,2.2661
"2599/493.0695mz/7.21min",3.3081,1.726,0.0055859,2.2529
"616/293.0668mz/3.26min",33.077,5.0478,0.005719,2.2427
"1449/249.1132mz/5.12min",9.5673,3.2581,0.0057652,2.2392
"796/559.1095mz/3.8min",8.7617,3.1312,0.0058021,2.2364
"797/261.0403mz/3.8min",11.066,3.4681,0.005836,2.2339
"731/165.0556mz/3.6min",0.1639,-2.6091,0.0062261,2.2058
"2660/343.2851mz/7.59min",13.613,3.7669,0.0062839,2.2018
"1825/616.3484mz/5.63min",0.030074,-5.0554,0.0063625,2.1964
"2917/693.4502mz/9.29min",27.719,4.7928,0.0064252,2.1921
"1916/594.3865mz/5.78min",0.095399,-3.3899,0.0069232,2.1597
"1707/294.171mz/5.47min",11.112,3.474,0.0069698,2.1568
"2072/671.399mz/6.0min",0.10154,-3.2999,0.0074371,2.1286
"2201/647.3804mz/6.2min",0.068216,-3.8738,0.0074577,2.1274
"2012/377.0253mz/5.93min",9.1442,3.1929,0.0079804,2.098
"450/273.1456mz/2.8min",0.40233,-1.3135,0.0085334,2.0689
"574/188.0353mz/3.18min",0.20772,-2.2673,0.0089572,2.0478
"1841/349.2148mz/5.65min",0.055589,-4.1691,0.0090388,2.0439
"1808/964.5827mz/5.6min",14.356,3.8436,0.0090649,2.0426
"2323/658.3957mz/6.4min",0.066887,-3.9021,0.0090934,2.0413
"2115/657.3831mz/6.06min",0.075013,-3.7367,0.0091905,2.0367
"1573/269.1758mz/5.31min",12.993,3.6997,0.0095412,2.0204
"2388/297.2436mz/6.55min",0.25611,-1.9652,0.01048,1.9796
"218/181.0508mz/2.28min",0.48892,-1.0323,0.010733,1.9693
"745/144.0455mz/3.67min",0.095078,-3.3947,0.011125,1.9537
"2070/654.4087mz/6.0min",0.093595,-3.4174,0.011466,1.9406
"1939/630.3642mz/5.81min",0.055406,-4.1738,0.011658,1.9334
"205/235.0724mz/2.23min",4.5556,2.1877,0.011776,1.929
"868/246.9261mz/3.98min",3.3954,1.7636,0.011844,1.9265
"1902/474.2625mz/5.76min",5.947,2.5722,0.012017,1.9202
"310/190.0509mz/2.52min",0.17293,-2.5318,0.012117,1.9166
"468/241.1193mz/2.88min",0.40884,-1.2904,0.012175,1.9145
"2194/485.1815mz/6.17min",0.08306,-3.5897,0.012455,1.9047
"2133/279.1602mz/6.08min",11.298,3.498,0.012562,1.901
"491/313.1505mz/2.89min",0.29592,-1.7567,0.012599,1.8997
"1899/285.09mz/5.75min",14.235,3.8313,0.012776,1.8936
"546/275.1038mz/3.07min",0.45002,-1.1519,0.012797,1.8929
"249/238.0721mz/2.37min",0.40161,-1.3161,0.01298,1.8867
"743/301.0354mz/3.66min",0.034724,-4.8479,0.013186,1.8799
"1199/237.0921mz/4.7min",0.22135,-2.1756,0.013484,1.8702
"1501/521.2288mz/5.22min",9.1449,3.193,0.013578,1.8672
"2069/608.4023mz/6.0min",0.090535,-3.4654,0.013825,1.8593
"2726/299.0264mz/7.81min",3.1899,1.6735,0.013831,1.8591
"167/220.0649mz/2.1min",0.41995,-1.2517,0.014136,1.8497
"915/261.0404mz/4.11min",7.3332,2.8744,0.015242,1.817
"1197/281.0818mz/4.7min",0.21362,-2.2269,0.015748,1.8028
"2255/995.5677mz/6.26min",8.4921,3.0861,0.015957,1.797
"2400/672.4113mz/6.57min",0.054486,-4.198,0.016161,1.7915
"2935/638.5367mz/9.65min",3.2393,1.6957,0.017639,1.7535
"775/292.1191mz/3.78min",7.5413,2.9148,0.017941,1.7461
"1906/377.0253mz/5.76min",10.647,3.4123,0.018404,1.7351
"891/300.0514mz/4.04min",0.026827,-5.2202,0.018689,1.7284
"751/317.0668mz/3.69min",0.23606,-2.0828,0.01891,1.7233
"1978/269.1184mz/5.88min",0.054919,-4.1866,0.019209,1.7165
"697/315.1562mz/3.51min",0.4148,-1.2695,0.019803,1.7033
"2071/644.3799mz/6.0min",0.043127,-4.5353,0.019816,1.703
"1697/524.2291mz/5.46min",15.558,3.9596,0.020077,1.6973
"1003/245.0455mz/4.34min",0.2482,-2.0104,0.020602,1.6861
"403/359.1094mz/2.69min",6.0136,2.5882,0.020769,1.6826
"554/301.1405mz/3.09min",0.34927,-1.5176,0.020774,1.6825
"1935/562.3152mz/5.81min",5.5907,2.483,0.021525,1.667
"2334/802.4929mz/6.42min",3.0035,1.5866,0.02155,1.6666
"1115/454.1732mz/4.54min",87.412,6.4498,0.02189,1.6598
"1051/331.0845mz/4.46min",6.7373,2.7522,0.022643,1.6451
"1967/311.2229mz/5.83min",0.24303,-2.0408,0.02307,1.6369
"1874/530.2772mz/5.72min",0.49626,-1.0108,0.023303,1.6326
"1590/347.1991mz/5.34min",0.044411,-4.4929,0.023921,1.6212
"779/191.035mz/3.78min",2.8467,1.5093,0.02416,1.6169
"2225/295.2279mz/6.22min",0.25677,-1.9615,0.024432,1.612
"207/273.1092mz/2.24min",4.8606,2.2811,0.024555,1.6099
"753/287.1434mz/3.7min",8.1033,3.0185,0.024688,1.6075
"1698/803.5281mz/5.43min",0.28481,-1.8119,0.024755,1.6063
"294/264.0514mz/2.47min",0.29527,-1.7599,0.024829,1.605
"1001/207.0299mz/4.32min",7.8022,2.9639,0.024852,1.6046
"1863/562.3152mz/5.72min",5.6084,2.4876,0.024906,1.6037
"951/299.0197mz/4.22min",0.1091,-3.1963,0.025235,1.598
"1847/474.2626mz/5.7min",3.439,1.782,0.025324,1.5965
"1911/371.0656mz/5.77min",2.7822,1.4762,0.026166,1.5823
"1049/309.9714mz/4.42min",0.44563,-1.1661,0.026235,1.5811
"2254/932.5724mz/6.26min",10.434,3.3833,0.026307,1.5799
"1533/293.1759mz/5.26min",0.47739,-1.0668,0.026963,1.5692
"1529/587.3591mz/5.26min",0.43297,-1.2077,0.027018,1.5683
"551/356.1825mz/3.09min",2.8731,1.5226,0.027288,1.564
"623/380.0621mz/3.28min",0.13464,-2.8928,0.027678,1.5579
"875/205.0505mz/4.01min",0.16132,-2.632,0.028429,1.5462
"930/454.1871mz/4.23min",5.9163,2.5647,0.028812,1.5404
"162/182.0458mz/2.08min",0.37394,-1.4191,0.029112,1.5359
"1528/236.1054mz/5.26min",0.43386,-1.2047,0.029865,1.5248
"768/315.0148mz/3.75min",0.1215,-3.041,0.029928,1.5239
"1492/221.0972mz/5.19min",0.10628,-3.234,0.030037,1.5223
"2883/444.3329mz/8.63min",0.47525,-1.0732,0.031704,1.4989
"1508/524.229mz/5.28min",7.9859,2.9975,0.031843,1.497
"1176/258.1711mz/4.66min",0.045636,-4.4537,0.03188,1.4965
"663/271.0612mz/3.42min",0.0031126,-8.3277,0.032696,1.4855
"1209/523.2447mz/4.73min",12.496,3.6434,0.03292,1.4825
"1791/478.2235mz/5.58min",22.152,4.4694,0.033411,1.4761
"2437/423.1813mz/6.67min",0.035893,-4.8002,0.033654,1.473
"466/223.0612mz/2.84min",0.15216,-2.7163,0.033991,1.4686
"709/206.0458mz/3.55min",5.4025,2.4336,0.034166,1.4664
"1410/311.2229mz/5.04min",0.18481,-2.4359,0.035471,1.4501
"617/231.0774mz/3.27min",3.1009,1.6327,0.039425,1.4042
"2207/431.2203mz/6.2min",7.9716,2.9949,0.04047,1.3929
"2329/803.4948mz/6.42min",3.62,1.856,0.040872,1.3886
"873/206.0539mz/3.99min",0.090045,-3.4732,0.042386,1.3728
"2803/736.493mz/8.07min",4.3973,2.1366,0.043712,1.3594
"165/283.0606mz/2.1min",0.31136,-1.6833,0.043818,1.3583
"1941/471.166mz/5.82min",0.061061,-4.0336,0.044829,1.3484
"508/195.0662mz/2.96min",0.1268,-2.9794,0.045775,1.3394
"361/272.0235mz/2.58min",4.8145,2.2674,0.046563,1.332
"1527/356.1712mz/5.25min",0.48712,-1.0377,0.046818,1.3296
"369/199.0612mz/2.6min",7.7296,2.9504,0.047425,1.324
"655/238.0873mz/3.39min",0.11819,-3.0808,0.047971,1.319
"1210/454.1737mz/4.72min",14.507,3.8586,0.049368,1.3066
"934/165.0557mz/4.17min",0.32827,-1.6071,0.049404,1.3062
"1437/551.2878mz/5.1min",4.8109,2.2663,0.049537,1.3051
