"MetaboAnalyst_ID","Fold.Change","log2.FC.","shared_name"
"5076/624.433mz/6.38min",0.00026007,-11.909,"5076"
"4349/596.4016mz/5.8min",0.00046185,-11.08,"4349"
"4847/627.4438mz/6.19min",0.00094821,-10.043,"4847"
"4400/634.3563mz/5.83min",0.0031096,-8.329,"4400"
"4846/610.4171mz/6.19min",0.0041825,-7.9014,"4846"
"4865/632.3989mz/6.2min",0.0049362,-7.6624,"4865"
"1003/499.1488mz/2.21min",163.75,7.3554,"1003"
"2349/219.1128mz/3.4min",162.58,7.345,"2349"
"7001/759.5712mz/8.31min",0.0076803,-7.0246,"7001"
"1091/277.1546mz/2.29min",101.24,6.6617,"1091"
"804/139.0502mz/2.04min",96.222,6.5883,"804"
"7000/758.5676mz/8.32min",0.010541,-6.5679,"7000"
"4186/599.412mz/5.62min",0.011644,-6.4242,"4186"
"3335/523.2909mz/4.84min",0.013347,-6.2273,"3335"
"1190/190.0861mz/2.34min",0.013705,-6.1892,"1190"
"2740/302.0658mz/4.04min",0.017977,-5.7977,"2740"
"2691/451.2337mz/3.96min",0.020006,-5.6434,"2691"
"1093/332.1127mz/2.29min",0.022983,-5.4433,"1093"
"2312/162.0549mz/3.35min",0.024316,-5.362,"2312"
"4193/604.3679mz/5.63min",0.024408,-5.3565,"4193"
"4097/582.3858mz/5.62min",0.024458,-5.3536,"4097"
"1720/249.0393mz/2.72min",36.096,5.1738,"1720"
"1804/292.1179mz/2.79min",0.028581,-5.1288,"1804"
"3651/266.1175mz/5.18min",0.029964,-5.0606,"3651"
"1251/377.119mz/2.4min",32.952,5.0423,"1251"
"3281/470.1806mz/4.78min",31.484,4.9765,"3281"
"3336/455.2287mz/4.85min",0.03413,-4.8728,"3336"
"3650/221.0961mz/5.18min",0.03429,-4.8661,"3650"
"4207/261.2212mz/5.64min",0.034691,-4.8493,"4207"
"3647/249.091mz/5.18min",0.035333,-4.8228,"3647"
"3240/271.0601mz/4.73min",0.036752,-4.766,"3240"
"3966/458.1809mz/5.46min",26.227,4.713,"3966"
"904/281.1132mz/2.15min",25.708,4.6841,"904"
"2750/265.1434mz/4.05min",25.266,4.6591,"2750"
"5106/506.2433mz/6.41min",24.176,4.5955,"5106"
"827/188.0376mz/2.06min",0.041541,-4.5893,"827"
"3162/470.1806mz/4.59min",22.896,4.517,"3162"
"4950/287.055mz/6.25min",0.044162,-4.5011,"4950"
