"","filter","2024_POS_Anid-EV-alcA_CTRL_1_Run176.mzML","2024_POS_Anid-EV-alcA_CTRL_2_Run197.mzML","2024_POS_Anid-EV-alcA_CTRL_3_Run229.mzML","2024_POS_Anid-p2_1_Run179.mzML","2024_POS_Anid-p2_1_Run220.mzML","2024_POS_Anid-p2_1_Run241.mzML"
"774/233.1495mz/2.02min",678329.77,558063.1,820749.7,931288.8,122447.4,209740.11,798596.44
"776/197.1285mz/2.01min",114951.6265,362481.66,961479.94,7237.022,46449.973,183453.28,9918.299
"777/265.1183mz/2.01min",473011.38,376916.03,618106.3,424003.84,476276.66,561776,469746.1
"778/200.0918mz/2.01min",4411095.25,5175927.5,5699434.5,1169180.2,3317626,5273544.5,3646263
"780/228.0866mz/2.01min",2573759.65,3097417.5,3148843.5,2302288.5,2505456.5,2642062.8,1966634.1
"782/195.1491mz/2.01min",1082838.29,2574346.5,3259581.5,8093.6455,204033.4,1703102.2,462574.38
"785/142.0863mz/2.02min",269059.88,62518.637,154769.48,2661923,383350.28,140850.27,1517716
"787/169.0972mz/2.02min",1189578.45,1544962,2028615.8,1163385.1,1162219.4,1107192.4,1215771.8
"788/182.0786mz/2.02min",1767811.665,50551.766,50551.766,4821479.5,3282864.5,252758.83,3959296
"789/311.1237mz/2.02min",459709.56,517539.88,523802.03,450303.56,417024.8,425761.6,469115.56
"790/100.0756mz/2.02min",5221741.85,1172939.1,1672093,19696074,7614248.5,2829235.2,10617924
"791/319.1862mz/2.02min",62419.5303,1608.92812,1608.92812,1698294.4,116794.42,8044.6406,256601.27
"792/246.0972mz/2.02min",1128459,2035385.1,2463657.2,1027583.1,1146801.5,1110116.5,1018322.94
"793/160.0968mz/2.02min",6115392.6,630692.9,2228387.5,22868074,8591727,3639058.2,11999727
"794/262.1648mz/2.03min",874785.92,3317.5854,3202.323,1487996.5,1406714.4,342857.44,1841531.6
"797/137.0458mz/2.03min",191642.565,472195.16,748609.1,251200.47,63049.6,132084.66,27918.22
"800/236.0917mz/2.04min",1917067.35,1872417.8,2564804.8,2119092.8,1105741.9,1887825.1,1946309.6
