"","PC1","PC2","PC3","PC4","PC5","PC6"
"774/233.1495mz/2.02min",-0.0015543,0.025549,0.0023901,0.022232,-0.029475,-0.58528
"777/265.1183mz/2.01min",-0.00015124,0.0004425,-0.0015954,-0.0060047,-0.011628,-0.25788
"778/200.0918mz/2.01min",-0.008497,-0.0089975,0.011183,-0.00033012,-0.011333,-0.029677
"780/228.0866mz/2.01min",-0.0028606,0.0031836,0.00048594,-0.0050211,0.0014165,-0.41878
"782/195.1491mz/2.01min",-0.035929,-0.032206,0.049689,0.0012312,-0.042564,-0.1119
"785/142.0863mz/2.02min",0.025163,0.017596,-0.031476,0.026544,-0.024991,-0.0054637
"787/169.0972mz/2.02min",-0.0040348,0.0048118,-0.0026484,0.00043032,-0.007019,-9.602e-05
"788/182.0786mz/2.02min",0.040761,-0.002745,-0.04855,0.034986,0.010159,0.0059958
"789/311.1237mz/2.02min",-0.0011847,0.0040789,-1.985e-05,0.0023513,-0.0028938,0.0094959
"790/100.0756mz/2.02min",0.021247,0.0080652,-0.025054,0.012688,-0.0035809,0.024247
"792/246.0972mz/2.02min",-0.0075327,0.0053072,-0.0010939,-0.0017137,-0.0037548,-0.020946
"793/160.0968mz/2.02min",0.024358,0.0060668,-0.031171,0.0028157,-0.021313,-0.015906
"794/262.1648mz/2.03min",0.061485,-0.02235,-0.032748,0.017777,0.0044722,-0.019526
"797/137.0458mz/2.03min",-0.01719,0.028076,0.0038771,-0.034121,0.004462,0.0010239
"800/236.0917mz/2.04min",-0.0010521,0.0088612,0.0045349,-0.00028745,-0.01485,0.00042619
"801/227.1389mz/2.04min",-0.009556,0.038087,-0.020036,0.011271,-0.02637,-0.00093736
"803/218.0811mz/2.04min",-0.005456,0.010268,0.0035107,-0.016788,-0.0036826,-0.0066114
"804/139.0502mz/2.04min",0.038062,-0.065412,0.027837,-0.015031,-0.016224,0.017057
"809/329.1342mz/2.07min",0.0095486,0.011931,0.01036,-0.022646,0.034939,0.0030852
"813/203.139mz/2.06min",0.0026923,-0.010264,-0.004179,0.0094257,-0.013472,-0.0052806
"816/181.0971mz/2.06min",-0.0057786,-0.010156,0.0047847,0.0009333,-0.0035886,-0.030742
"820/220.0968mz/2.06min",6.0499e-07,0.0061369,-0.00086631,-0.0030284,-0.0056253,-0.010172
"821/189.1233mz/2.06min",-0.0029576,0.0041749,-0.0015421,0.0077107,-0.016862,-0.030486
"822/199.1077mz/2.06min",-0.0059474,-0.013051,0.006052,0.0028724,-0.008303,-0.010371
"826/215.139mz/2.06min",0.006641,0.007862,-0.0017307,-0.002264,-0.0057473,0.03011
"827/188.0376mz/2.06min",-0.025463,0.056215,0.029318,-0.033124,-0.0048805,-0.012813
"828/230.1386mz/2.06min",0.049205,-0.01985,-0.048007,0.021998,-0.014762,-0.012575
"834/200.1111mz/2.05min",-0.0059946,-0.024694,0.01057,0.0078814,0.0070588,-0.0056745
"839/295.1288mz/2.11min",-0.0016159,0.017258,0.0034237,0.012238,-0.013411,0.02643
"842/247.1288mz/2.08min",-0.0016942,0.015276,-0.0031236,0.012102,-0.014217,-0.0044275
"849/206.0422mz/2.08min",-0.001645,0.0060232,0.00055164,0.0051313,0.0050897,0.011235
"850/184.0604mz/2.09min",-0.0050984,0.012628,-0.0018354,-0.0027981,-0.011403,0.019568
"851/185.0637mz/2.08min",-0.0053414,0.024163,0.0077916,-0.0042962,0.0051734,-0.00064899
"852/201.087mz/2.09min",-0.00040755,0.019146,0.0087864,0.0019643,-0.015883,0.00078621
"854/226.071mz/2.09min",0.005851,-0.010287,0.00024338,-0.015403,-0.0032784,0.0085281
"859/152.0706mz/2.09min",-0.023495,0.023361,0.011867,-0.0075311,-0.012432,0.010778
"862/222.0798mz/2.1min",-0.0059791,0.01846,-0.0098613,0.020805,-0.0050338,0.0097428
"863/233.1131mz/2.1min",0.029466,0.0034015,-0.007571,0.0079118,0.015187,-6.6256e-05
"866/220.0601mz/2.11min",0.0013631,0.012211,-0.0058191,-0.0028415,-0.012425,-0.014601
"867/282.1195mz/2.01min",0.031475,-0.0061628,-0.020716,0.0017862,-0.0062722,-0.023924
"868/255.0963mz/2.12min",0.025428,0.0053713,-0.020818,-0.0021695,-0.011769,-0.001606
"872/227.1217mz/2.12min",-0.018248,-0.027919,0.013943,-0.00071368,-0.013832,-0.021888
"877/226.1185mz/2.12min",-0.018525,-0.018485,0.011172,-0.0021775,-0.011187,-0.00036873
"879/244.1907mz/2.12min",0.0018967,-0.0023362,-0.0038156,-0.0039777,0.0037684,0.010786
"880/331.1863mz/2.12min",-0.019631,0.023983,0.024674,0.0077637,-0.047645,0.0022892
"882/216.0865mz/2.13min",-0.013171,-0.0073715,-0.0028512,0.0044537,-0.018013,0.015565
"883/370.1602mz/2.13min",-0.010444,0.020919,-0.00052425,-0.026963,-0.03204,-0.006686
"884/233.1497mz/2.13min",0.0045627,-0.0079563,-0.0063805,-0.00048161,-0.0089264,0.0004575
"886/262.1186mz/2.13min",-0.02826,0.00025087,0.014558,-0.03702,0.0033275,0.0075404
"888/243.1338mz/2.13min",0.0025249,0.015318,0.0044557,0.0037536,-0.011917,-0.012625
"891/149.0709mz/2.13min",-0.0053618,0.0010543,-0.0005315,-0.013198,-0.013137,0.020011
"894/254.1861mz/2.13min",-0.0051497,0.034566,-0.045327,0.014248,-0.02039,-0.0069306
"895/146.1175mz/2.12min",-0.023681,0.021429,0.0089457,0.014739,-0.019155,0.0060513
"898/261.1444mz/2.14min",-0.002642,0.015435,-0.0007241,0.01307,-0.014719,-0.0022726
"902/254.1386mz/2.14min",0.03457,0.0079637,-0.010569,-0.0045816,-0.0020124,-0.015126
"903/179.0814mz/2.16min",0.011147,-0.042135,0.0031955,-0.01929,-0.015124,0.015017
"904/281.1132mz/2.15min",0.011008,-0.064717,0.0039941,-0.0095005,-0.035357,-0.0029824
"907/257.1132mz/2.15min",-0.0044569,0.0072952,0.0043149,-0.0009336,-0.0080342,0.02127
"911/284.1239mz/2.14min",-0.022612,-0.0068236,0.016014,0.0014655,-0.016004,8.7413e-07
"912/158.0812mz/2.16min",-0.0011835,0.023503,-0.0039157,-0.0036564,-0.01381,0.011157
"914/186.1125mz/2.15min",0.0097567,-0.0041042,-0.011594,0.0067531,-0.006943,0.0053201
"916/324.1917mz/2.15min",-0.0057984,0.034958,0.022878,-0.015617,-0.01397,0.0086903
"918/214.0711mz/2.16min",-0.008589,-0.0011646,0.0059191,-0.0027326,-0.0097094,0.019978
"929/241.1546mz/2.17min",-0.0076742,0.021543,-0.0031762,-0.016086,-0.0090605,-0.02448
"931/168.0655mz/2.17min",-0.037939,-0.024692,0.028005,0.010542,-0.034122,0.014574
"932/126.0549mz/2.17min",-0.039367,-0.017572,0.029532,-0.0067485,-0.022589,-0.00073103
"937/242.1mz/2.18min",0.010342,0.0059237,-0.01676,0.012898,0.0028238,-0.029462
"938/254.1022mz/2.23min",-0.0016483,0.016264,0.0024708,0.012418,-0.014729,-0.0085985
"939/233.1576mz/2.19min",0.031585,-0.012769,-0.023219,0.019731,-0.00070514,0.0079744
"943/221.1212mz/2.18min",0.012097,0.010118,-0.019462,0.012503,-0.002918,0.011595
"944/202.1072mz/2.18min",0.011242,0.003362,-0.011713,-0.0010952,-0.012892,0.0093919
"945/220.1179mz/2.18min",0.011967,0.0098404,-0.019534,0.012384,-0.002682,-0.00203
"946/342.1658mz/2.18min",-0.0088641,-0.0075831,2.2966e-05,-0.0068529,-0.020287,0.00020794
"947/461.2103mz/2.18min",0.027672,0.0063156,-0.039099,0.011237,-0.017567,0.0021379
"950/184.0968mz/2.19min",0.00014124,0.012395,-0.013737,0.0070252,-0.0094189,0.0030693
"951/243.1038mz/2.18min",0.018005,0.0062766,-0.02,0.01799,-7.2142e-05,0.0025374
"952/90.0549mz/2.17min",0.011588,0.0089213,-0.023797,0.023653,0.014183,-0.012721
"955/169.0971mz/2.19min",0.0037084,-0.0030531,0.0014657,-0.0015439,0.00022323,0.020372
"956/266.1022mz/2.2min",-0.0031433,0.012866,0.020597,-0.007202,-0.016862,-0.01148
"960/299.1235mz/2.16min",-0.028105,0.0029572,0.0091484,-0.024105,0.0061863,-0.0020502
"963/232.1543mz/2.19min",0.027041,-0.010742,-0.024692,0.016517,-0.008491,-0.011493
"965/251.1026mz/2.19min",-0.012663,-0.023923,0.011282,-0.0016728,-0.017448,0.029836
"968/227.1026mz/2.19min",-0.0057461,0.0019269,-0.00050962,-0.0086911,-0.011106,-0.010898
"973/345.1291mz/2.2min",-0.0050909,0.00033452,0.0027522,-0.0050761,-0.0072557,-0.010131
"976/256.1291mz/2.2min",-0.018747,-0.0040715,0.017207,-0.018453,0.023717,0.0031987
"978/206.0811mz/2.2min",-0.0080643,-0.0086419,0.013723,-0.0056644,-0.0056273,-0.016
"979/228.1058mz/2.19min",-0.017091,0.020202,-0.025229,-0.012091,-0.027744,0.0053408
"983/307.9777mz/2.21min",-0.031874,0.0030505,0.026495,0.0078741,-0.031187,0.0026235
"985/295.1288mz/2.19min",-0.022466,-0.019253,0.013482,-0.023322,0.0034494,0.01855
"989/172.0967mz/2.21min",-0.020567,0.019116,0.028397,-0.016638,-0.031571,0.00335
"993/153.0658mz/2.2min",0.014511,-0.0049044,-0.00094575,-0.0013377,-0.0031075,-0.0098302
"995/234.076mz/2.21min",0.00020087,0.0099725,-0.00015471,-0.004843,-0.006909,0.0048134
"997/250.1186mz/2.21min",-0.016854,0.002733,-0.0073533,-0.029415,-0.015581,0.012234
"1003/499.1488mz/2.21min",0.042082,-0.079231,0.0023556,0.011167,-0.016047,0.0079817
"1004/139.1229mz/2.22min",-0.0026356,0.033289,-0.010564,-0.024896,-0.0076576,-0.0056729
"1005/384.1148mz/2.22min",0.010021,-0.0083264,-0.015046,0.0090376,-0.016884,-0.025929
"1010/247.1287mz/2.23min",-0.002671,0.012355,0.0041079,0.0025245,0.0032373,0.022624
"1012/184.1695mz/2.23min",0.0031411,-0.0021289,-0.0054212,-0.004881,0.0030995,-0.020083
"1017/197.1285mz/2.25min",0.0014816,0.027072,-0.00060224,-0.016004,-0.0050871,0.010984
"1018/356.2179mz/2.23min",-0.0040188,0.013678,-0.02142,0.0057263,-0.033022,-0.0063422
"1020/358.1971mz/2.23min",0.015812,0.021102,-0.02893,0.0096845,-0.020833,0.015004
"1025/237.0869mz/2.23min",0.0087975,-0.015339,0.0027352,-0.00051437,-0.01289,-0.019581
"1026/319.1135mz/2.23min",0.015182,-0.039941,-0.010007,0.0043321,-0.024041,0.024954
"1027/213.1234mz/2.24min",0.00074635,0.0051873,0.0078511,-0.0025029,-0.0061227,-0.025651
"1028/179.0815mz/2.24min",0.012553,-0.014788,-0.00014101,-0.0082328,-0.012361,0.031339
"1029/300.1078mz/2.24min",0.012224,-0.0082432,0.02255,0.0079941,0.01681,0.02558
"1031/267.0975mz/2.24min",-0.00093221,0.0031117,0.0049688,-0.0083596,-0.005552,0.0097955
"1039/279.1339mz/2.24min",0.0096197,0.0056849,-0.0041591,0.00094833,0.0016026,-0.031143
"1040/192.069mz/2.25min",0.00144,0.013098,-0.0035974,0.012712,-0.0025295,0.015985
"1043/247.111mz/2.25min",0.037523,-0.0008401,-0.037464,0.032992,0.0025427,-0.010628
"1044/214.0508mz/2.25min",7.9807e-05,0.011913,0.002176,0.015788,-0.00028621,0.011157
"1045/280.1375mz/2.24min",0.014077,0.0039779,-0.0082926,0.0015526,0.0026558,0.0010952
"1048/174.0583mz/2.24min",0.0047196,0.01154,-0.0079696,0.0092501,-0.014243,0.00033011
"1056/241.1182mz/2.26min",-0.0054092,0.0099921,-0.0010145,-0.0050909,-0.0075129,-0.011068
"1057/255.1339mz/2.26min",-0.00028838,0.0046282,-0.0023585,-0.0059547,-0.00023791,0.0051247
"1062/200.1045mz/2.26min",0.00042269,-0.0014341,-0.00052152,0.0015338,0.0059535,-0.00065159
"1063/188.0705mz/2.26min",-0.0066658,0.014635,-0.0028865,0.001422,-0.015013,-0.00071031
"1064/205.0971mz/2.26min",-0.0062562,0.015027,-0.0027535,0.00014867,-0.01631,-0.0094722
