"","comp 1","comp 2","comp 3","comp 4","comp 5"
"4848/648.373mz/6.19min",-0.44832,0,0,0,0
"4193/604.3679mz/5.63min",-0.43741,0,0,0,0
"5059/662.3887mz/6.37min",-0.41815,0,0,0,0
"4846/610.4171mz/6.19min",-0.3462,0,0,0,0
"4865/632.3989mz/6.2min",-0.33598,0,0,0,0
"4373/618.3833mz/5.8min",-0.33123,0,0,0,0
"5076/624.433mz/6.38min",-0.23013,0,0,0,0
"5028/646.4147mz/6.34min",-0.17647,0,0,0,0
"4911/644.3989mz/6.22min",-0.067949,0,0,0,0
"5304/643.3599mz/6.59min",-0.040852,0,0,0,0
"1670/245.1859mz/2.68min",0,-0.49795,0,0,0
"6977/756.5532mz/8.28min",0,0.46156,0,0,0
"7376/820.5233mz/10.29min",0,0.38224,0,0,0
"785/142.0863mz/2.02min",0,-0.32987,0,0,0
"2005/357.2019mz/2.96min",0,-0.32141,0,0,0
"2590/201.1121mz/3.78min",0,-0.27032,0,0,0
"2166/271.1288mz/3.14min",0,0.23887,0,0,0
"1119/220.1542mz/2.3min",0,-0.18624,0,0,0
"6128/690.5056mz/7.59min",0,0.106,0,0,0
"1118/158.1175mz/2.3min",0,-0.068782,0,0,0
"774/233.1495mz/2.02min",0,0,0,0,0
"777/265.1183mz/2.01min",0,0,0,0,0
"778/200.0918mz/2.01min",0,0,0,0,0
"780/228.0866mz/2.01min",0,0,0,0,0
"782/195.1491mz/2.01min",0,0,0,0,0
"787/169.0972mz/2.02min",0,0,0,0,0
"788/182.0786mz/2.02min",0,0,0,0,0
"789/311.1237mz/2.02min",0,0,0,0,0
"790/100.0756mz/2.02min",0,0,0,0,0
"792/246.0972mz/2.02min",0,0,0,0,0
"793/160.0968mz/2.02min",0,0,0,0,0
"794/262.1648mz/2.03min",0,0,0,0,0
"797/137.0458mz/2.03min",0,0,0,0,0
"800/236.0917mz/2.04min",0,0,0,0,0
"801/227.1389mz/2.04min",0,0,0,0,0
"803/218.0811mz/2.04min",0,0,0,0,0
"804/139.0502mz/2.04min",0,0,0,0,0
"809/329.1342mz/2.07min",0,0,0,0,0
"813/203.139mz/2.06min",0,0,0,0,0
"816/181.0971mz/2.06min",0,0,0,0,0
"820/220.0968mz/2.06min",0,0,0,0,0
"821/189.1233mz/2.06min",0,0,0,0,0
"822/199.1077mz/2.06min",0,0,0,0,0
"826/215.139mz/2.06min",0,0,0,0,0
"827/188.0376mz/2.06min",0,0,0,0,0
"828/230.1386mz/2.06min",0,0,0,0,0
"834/200.1111mz/2.05min",0,0,0,0,0
"839/295.1288mz/2.11min",0,0,0,0,0
"842/247.1288mz/2.08min",0,0,0,0,0
"849/206.0422mz/2.08min",0,0,0,0,0
"850/184.0604mz/2.09min",0,0,0,0,0
"851/185.0637mz/2.08min",0,0,0,0,0
"852/201.087mz/2.09min",0,0,0,0,0
"854/226.071mz/2.09min",0,0,0,0,0
"859/152.0706mz/2.09min",0,0,0,0,0
"862/222.0798mz/2.1min",0,0,0,0,0
"863/233.1131mz/2.1min",0,0,0,0,0
"866/220.0601mz/2.11min",0,0,0,0,0
"867/282.1195mz/2.01min",0,0,0,0,0
"868/255.0963mz/2.12min",0,0,0,0,0
"872/227.1217mz/2.12min",0,0,0,0,0
"877/226.1185mz/2.12min",0,0,0,0,0
"879/244.1907mz/2.12min",0,0,0,0,0
"880/331.1863mz/2.12min",0,0,0,0,0
"882/216.0865mz/2.13min",0,0,0,0,0
"883/370.1602mz/2.13min",0,0,0,0,0
"884/233.1497mz/2.13min",0,0,0,0,0
