"","FC","log2(FC)","raw.pval","-log10(p)"
"4848/648.373mz/6.19min",0.16548,-2.5952,5.1123e-07,6.2914
"4193/604.3679mz/5.63min",0.024408,-5.3565,1.0397e-06,5.9831
"5059/662.3887mz/6.37min",0.17756,-2.4936,2.4244e-06,5.6154
"4846/610.4171mz/6.19min",0.0041825,-7.9014,1.2704e-05,4.8961
"4865/632.3989mz/6.2min",0.0049362,-7.6624,1.4817e-05,4.8293
"4373/618.3833mz/5.8min",0.17612,-2.5054,1.5854e-05,4.7999
"5076/624.433mz/6.38min",0.00026007,-11.909,4.6238e-05,4.335
"5028/646.4147mz/6.34min",0.16711,-2.5811,6.8798e-05,4.1624
"4911/644.3989mz/6.22min",0.15805,-2.6615,0.00012805,3.8926
"5304/643.3599mz/6.59min",0.28448,-1.8136,0.00014568,3.8366
"2570/527.2866mz/3.76min",0.11825,-3.0801,0.00017441,3.7584
"2967/380.2065mz/4.36min",5.4314,2.4413,0.00027961,3.5534
"3944/235.1328mz/5.43min",5.5234,2.4655,0.00035229,3.4531
"4400/634.3563mz/5.83min",0.0031096,-8.329,0.00042038,3.3764
"4583/316.0637mz/5.97min",6.0632,2.6001,0.00042323,3.3734
"1190/190.0861mz/2.34min",0.013705,-6.1892,0.00043512,3.3614
"5055/627.4412mz/6.38min",0.13565,-2.882,0.00043526,3.3613
"2312/162.0549mz/3.35min",0.024316,-5.362,0.00045956,3.3377
"3817/335.2197mz/5.32min",0.059411,-4.0731,0.0004785,3.3201
"4845/612.423mz/6.19min",0.13571,-2.8814,0.0005029,3.2985
"3945/253.1434mz/5.43min",5.4989,2.4591,0.00050301,3.2984
"4847/627.4438mz/6.19min",0.00094821,-10.043,0.00051253,3.2903
"3207/243.159mz/4.68min",6.3381,2.6641,0.00053642,3.2705
"1251/377.119mz/2.4min",32.952,5.0423,0.00056434,3.2485
"2750/265.1434mz/4.05min",25.266,4.6591,0.00062864,3.2016
"2754/247.1328mz/4.07min",6.5049,2.7015,0.00062923,3.2012
"4097/582.3858mz/5.62min",0.024458,-5.3536,0.0006435,3.1915
"4349/596.4016mz/5.8min",0.00046185,-11.08,0.00065373,3.1846
"3078/305.0654mz/4.5min",5.6894,2.5083,0.00068202,3.1662
"1003/499.1488mz/2.21min",163.75,7.3554,0.00074175,3.1297
"3021/293.1383mz/4.44min",6.5714,2.7162,0.00080808,3.0925
"1723/242.0659mz/2.72min",5.6048,2.4867,0.00085958,3.0657
"4901/622.417mz/6.22min",0.12407,-3.0108,0.00094011,3.0268
"4646/277.2162mz/6.01min",0.10808,-3.2098,0.0009524,3.0212
"4488/608.4015mz/5.9min",0.11991,-3.0599,0.0010388,2.9835
"1518/303.155mz/2.57min",0.40176,-1.3156,0.0010631,2.9734
"4209/297.2424mz/5.65min",0.076634,-3.7059,0.0011134,2.9533
"5064/576.3176mz/6.38min",0.32223,-1.6338,0.0011348,2.9451
"5074/372.3471mz/6.39min",7.0259,2.8127,0.0011905,2.9243
"3582/548.2867mz/5.11min",0.36614,-1.4495,0.0012435,2.9054
"1288/152.0706mz/2.42min",0.28351,-1.8185,0.0012608,2.8993
"4910/623.4204mz/6.22min",0.12045,-3.0535,0.001264,2.8983
"4614/632.3989mz/5.99min",0.11411,-3.1315,0.001304,2.8847
"3985/277.1434mz/5.47min",6.9102,2.7887,0.0013339,2.8749
"1026/319.1135mz/2.23min",11.66,3.5434,0.0013508,2.8694
"5273/280.1365mz/6.56min",7.3538,2.8785,0.0013611,2.8661
"4204/279.2318mz/5.65min",0.071865,-3.7986,0.0013809,2.8598
"3816/295.2267mz/5.33min",0.071776,-3.8004,0.0014539,2.8375
"3987/295.154mz/5.47min",6.9845,2.8042,0.0014754,2.8311
"4463/374.3263mz/5.88min",6.7806,2.7614,0.0015394,2.8127
"5339/330.0794mz/6.63min",6.6753,2.7388,0.0015507,2.8095
"4526/256.0968mz/5.93min",6.8896,2.7844,0.0015911,2.7983
"4649/312.2533mz/6.02min",0.059865,-4.0621,0.0016186,2.7908
"3820/277.2161mz/5.34min",0.075497,-3.7274,0.0016325,2.7871
"5323/540.4254mz/6.62min",0.3332,-1.5855,0.0016354,2.7864
"4186/599.412mz/5.62min",0.011644,-6.4242,0.0016545,2.7813
"2642/326.1597mz/3.87min",6.372,2.6718,0.0017075,2.7677
"4737/300.1594mz/6.08min",8.1703,3.0304,0.0017083,2.7674
"4826/332.3311mz/6.17min",0.28349,-1.8186,0.0018608,2.7303
"1093/332.1127mz/2.29min",0.022983,-5.4433,0.0018713,2.7278
"5180/576.3177mz/6.48min",0.24184,-2.0479,0.0019278,2.7149
"2245/587.2919mz/3.24min",0.37311,-1.4223,0.001952,2.7095
"5069/402.3577mz/6.38min",15.255,3.9312,0.001971,2.7053
"1726/224.0553mz/2.72min",6.8146,2.7686,0.001971,2.7053
"4479/427.3205mz/5.89min",0.32508,-1.6211,0.0020915,2.6795
"5077/641.4593mz/6.39min",0.10495,-3.2522,0.0021005,2.6777
"4210/280.2352mz/5.65min",0.063084,-3.9866,0.0022231,2.653
"1091/277.1546mz/2.29min",101.24,6.6617,0.0023743,2.6245
"4950/287.055mz/6.25min",0.044162,-4.5011,0.0024059,2.6187
"1509/325.1373mz/2.56min",0.43287,-1.208,0.0024205,2.6161
"2283/229.0971mz/3.3min",0.43869,-1.1887,0.0025052,2.6012
"3813/278.2195mz/5.34min",0.070687,-3.8224,0.0026408,2.5783
"1720/249.0393mz/2.72min",36.096,5.1738,0.00267,2.5735
"5272/660.4304mz/6.56min",0.10896,-3.1982,0.0028119,2.551
"5058/626.4387mz/6.38min",0.10603,-3.2374,0.002868,2.5424
"1025/237.0869mz/2.23min",2.975,1.5729,0.0029103,2.5361
"4561/596.4015mz/5.96min",0.10403,-3.2649,0.0030393,2.5172
"3366/564.2813mz/4.89min",0.1177,-3.0868,0.0030874,2.5104
"4040/575.2974mz/5.5min",0.29902,-1.7417,0.0031286,2.5047
"4408/613.4279mz/5.83min",0.09777,-3.3545,0.0032859,2.4833
"2349/219.1128mz/3.4min",162.58,7.345,0.0032979,2.4818
"851/185.0637mz/2.08min",0.26991,-1.8895,0.0034865,2.4576
"804/139.0502mz/2.04min",96.222,6.5883,0.0034888,2.4573
"904/281.1132mz/2.15min",25.708,4.6841,0.0035045,2.4554
"5275/655.475mz/6.57min",0.10168,-3.2979,0.0036277,2.4404
"2936/252.1594mz/4.32min",9.6403,3.2691,0.0037181,2.4297
"903/179.0814mz/2.16min",11.394,3.5101,0.0037215,2.4293
"4250/304.2998mz/5.69min",0.33216,-1.5901,0.0037646,2.4243
"2279/201.1022mz/3.3min",0.42552,-1.2327,0.0037835,2.4221
"3827/259.2055mz/5.33min",0.065007,-3.9433,0.003812,2.4189
"4207/261.2212mz/5.64min",0.034691,-4.8493,0.0039999,2.3979
"2850/384.2015mz/4.22min",8.6675,3.1156,0.0041456,2.3824
"1823/433.8742mz/2.8min",0.26874,-1.8957,0.0043953,2.357
"5489/297.2423mz/6.84min",0.30607,-1.7081,0.0044197,2.3546
"3335/523.2909mz/4.84min",0.013347,-6.2273,0.0044297,2.3536
"2606/281.0655mz/3.8min",9.4516,3.2406,0.004514,2.3454
"2691/451.2337mz/3.96min",0.020006,-5.6434,0.0045204,2.3448
"3661/508.2549mz/5.19min",0.22705,-2.1389,0.0046045,2.3368
"5274/638.4485mz/6.57min",0.10787,-3.2127,0.00464,2.3335
"4708/622.4166mz/6.06min",0.098989,-3.3366,0.0046831,2.3295
"5241/590.3333mz/6.54min",0.49174,-1.024,0.0047875,2.3199
"1125/292.1179mz/2.34min",0.42951,-1.2192,0.0050356,2.2979
"2951/511.2913mz/4.34min",0.053874,-4.2143,0.0050759,2.2945
"4680/596.4015mz/6.04min",0.11035,-3.1798,0.0051222,2.2905
"4211/298.2458mz/5.65min",0.049571,-4.3343,0.005226,2.2818
"1978/279.0974mz/2.92min",3.0958,1.6303,0.0052451,2.2802
"4188/454.3505mz/5.65min",0.25133,-1.9924,0.0053708,2.27
"2282/248.1111mz/3.3min",0.43971,-1.1854,0.0054156,2.2664
"1373/262.1284mz/2.48min",0.27506,-1.8622,0.0054998,2.2597
"3949/462.1673mz/5.42min",12.925,3.6921,0.0054999,2.2596
"1128/307.1288mz/2.32min",0.068723,-3.8631,0.0055263,2.2576
"3829/181.1223mz/5.34min",0.073096,-3.7741,0.0055723,2.254
"929/241.1546mz/2.17min",0.259,-1.949,0.0058341,2.234
"2163/299.1389mz/3.14min",0.43135,-1.2131,0.0059653,2.2244
"2284/188.0705mz/3.3min",0.43997,-1.1845,0.0060171,2.2206
"2285/247.1077mz/3.3min",0.45389,-1.1396,0.0060884,2.2155
"1519/190.0861mz/2.57min",0.057901,-4.1103,0.0065198,2.1858
"4623/627.4435mz/6.0min",0.097572,-3.3574,0.0066668,2.1761
"4620/610.417mz/6.0min",0.10505,-3.2509,0.0067716,2.1693
"4622/628.4466mz/6.0min",0.099395,-3.3307,0.0067971,2.1677
"6639/379.336mz/8.0min",6.1847,2.6287,0.0070577,2.1513
"4615/612.423mz/6.0min",0.10312,-3.2777,0.0071193,2.1476
"5670/600.3543mz/7.07min",0.073733,-3.7616,0.0072098,2.1421
"3818/296.2301mz/5.34min",0.067177,-3.8959,0.0073925,2.1312
"2363/224.0012mz/3.41min",0.20246,-2.3043,0.0074436,2.1282
"4123/323.1465mz/5.57min",3.4274,1.7771,0.0074603,2.1272
"1897/225.0757mz/2.85min",0.12192,-3.0361,0.0075589,2.1215
"6665/796.5475mz/8.04min",16.903,4.0792,0.007973,2.0984
"4351/599.41mz/5.78min",0.075573,-3.726,0.0080944,2.0918
"4888/279.2318mz/6.22min",0.2421,-2.0463,0.008147,2.089
"4213/453.3474mz/5.65min",0.23851,-2.0679,0.0083065,2.0806
"3261/568.2759mz/4.76min",0.25235,-1.9865,0.0083693,2.0773
"4345/597.4047mz/5.78min",0.057709,-4.1151,0.0086015,2.0654
