"MetaboAnalyst_ID","Fold.Change","log2.FC.","shared_name"
"535/421.1365mz/2.87min",232.03,7.8582,"535"
"538/438.1266mz/2.88min",60.949,5.9295,"538"
"3078/695.4659mz/8.22min",48.107,5.5882,"3078"
"541/507.2096mz/2.88min",29.483,4.8818,"541"
"537/411.1074mz/2.89min",22.662,4.5022,"537"
"1603/288.0878mz/5.15min",22.559,4.4957,"1603"
"2772/740.5239mz/6.94min",19.848,4.3109,"2772"
"1697/524.229mz/5.28min",19.204,4.2633,"1697"
"1604/242.0823mz/5.14min",18.722,4.2266,"1604"
"2715/421.2261mz/6.77min",0.059985,-4.0593,"2715"
"1215/523.245mz/4.47min",15.829,3.9845,"1215"
"1854/524.2292mz/5.46min",14.842,3.8916,"1854"
"2409/669.4273mz/6.21min",14.468,3.8548,"2409"
"1952/437.1504mz/5.59min",13.635,3.7692,"1952"
"1347/523.245mz/4.73min",13.158,3.7178,"1347"
"2706/696.4552mz/6.74min",13.108,3.7124,"2706"
"2405/668.4242mz/6.2min",13.055,3.7065,"2405"
"2703/714.4495mz/6.74min",12.327,3.6238,"2703"
"2702/713.4459mz/6.74min",10.84,3.4383,"2702"
"829/376.1036mz/3.63min",10.015,3.3241,"829"
"833/332.1141mz/3.63min",9.9026,3.3078,"833"
"1276/256.0615mz/4.61min",9.8508,3.3002,"1276"
"253/215.0674mz/2.31min",9.7519,3.2857,"253"
"1127/548.092mz/4.35min",9.5577,3.2567,"1127"
"1116/502.0005mz/4.31min",9.321,3.2205,"1116"
"2403/686.4176mz/6.2min",9.3011,3.2174,"2403"
"2088/299.1089mz/5.75min",9.2673,3.2122,"2088"
"1284/468.1664mz/4.6min",9.024,3.1738,"1284"
"1133/547.0884mz/4.34min",9.0011,3.1701,"1133"
"1606/305.078mz/5.15min",8.9154,3.1563,"1606"
"536/375.1308mz/2.88min",8.8433,3.1446,"536"
"2686/545.0945mz/6.71min",8.5961,3.1037,"2686"
"2420/572.1199mz/6.22min",0.11731,-3.0915,"2420"
"2106/860.5425mz/5.83min",8.4475,3.0785,"2106"
"1527/453.1666mz/4.91min",8.3954,3.0696,"1527"
"1380/468.1664mz/4.8min",8.3019,3.0534,"1380"
"2607/979.4443mz/6.56min",8.2569,3.0456,"2607"
"2404/685.4142mz/6.2min",8.2104,3.0375,"2404"
"3033/857.5184mz/8.0min",8.1382,3.0247,"3033"
"1424/564.115mz/4.86min",0.12368,-3.0153,"1424"
"1047/454.1871mz/4.21min",8.0667,3.012,"1047"
"1620/284.0565mz/5.17min",0.12473,-3.0031,"1620"
"812/853.4203mz/3.59min",7.8671,2.9758,"812"
"1473/454.17mz/4.91min",7.6194,2.9297,"1473"
"2095/553.2557mz/5.81min",7.4899,2.9049,"2095"
"2094/819.4113mz/5.81min",7.4365,2.8946,"2094"
"379/285.1457mz/2.56min",7.3291,2.8736,"379"
"1817/447.1925mz/5.41min",7.309,2.8697,"1817"
"1785/1179.7279mz/5.39min",7.2912,2.8662,"1785"
"2145/812.5142mz/5.87min",7.1848,2.845,"2145"
"2908/829.5792mz/7.57min",7.0082,2.8091,"2908"
"2412/658.3954mz/6.21min",6.9354,2.794,"2412"
"2099/471.1659mz/5.8min",0.14492,-2.7866,"2099"
"2785/802.5615mz/6.99min",6.7094,2.7462,"2785"
"2456/932.5725mz/6.26min",6.5354,2.7083,"2456"
"2716/827.5641mz/6.79min",6.5275,2.7065,"2716"
"2284/572.1201mz/6.03min",0.15601,-2.6803,"2284"
"1836/284.0565mz/5.45min",0.15813,-2.6608,"1836"
"2583/714.5081mz/6.53min",6.3202,2.66,"2583"
"2645/685.4146mz/6.63min",6.2855,2.652,"2645"
"1875/333.07mz/5.48min",6.248,2.6434,"1875"
"1394/496.1977mz/4.82min",6.2279,2.6387,"1394"
"1916/532.2342mz/5.54min",6.1139,2.6121,"1916"
"813/869.4153mz/3.59min",6.0967,2.608,"813"
"2014/285.0405mz/5.69min",0.16445,-2.6043,"2014"
"2804/826.5607mz/7.02min",6.0592,2.5991,"2804"
"2938/379.158mz/7.6min",0.16669,-2.5847,"2938"
"226/317.099mz/2.23min",5.9135,2.564,"226"
"1502/336.0645mz/4.93min",5.837,2.5452,"1502"
"2130/548.0942mz/5.85min",5.8299,2.5435,"2130"
"984/291.0511mz/4.0min",5.8023,2.5366,"984"
"1496/429.1298mz/4.93min",0.17478,-2.5164,"1496"
"3060/695.4659mz/8.12min",5.6733,2.5042,"3060"
"2704/686.425mz/6.74min",5.5407,2.4701,"2704"
"1565/601.183mz/5.05min",5.5266,2.4664,"1565"
"897/279.0511mz/3.8min",5.5234,2.4656,"897"
"2553/492.2374mz/6.46min",5.4868,2.456,"2553"
"1583/441.1915mz/5.13min",5.4819,2.4547,"1583"
"1607/278.059mz/5.15min",5.4589,2.4486,"1607"
"2282/510.1277mz/6.03min",0.18324,-2.4482,"2282"
"447/359.1094mz/2.69min",5.4562,2.4479,"447"
"1961/436.2128mz/5.6min",5.406,2.4346,"1961"
"3157/587.1349mz/8.96min",0.18617,-2.4253,"3157"
"1504/363.0832mz/4.94min",5.3507,2.4197,"1504"
"900/342.0464mz/3.8min",5.3263,2.4131,"900"
"1721/301.0983mz/5.31min",0.18798,-2.4113,"1721"
"2332/666.4087mz/6.09min",5.2943,2.4044,"2332"
"2557/491.234mz/6.45min",5.2856,2.4021,"2557"
"964/356.041mz/3.96min",0.18984,-2.3972,"964"
"2612/489.2184mz/6.56min",5.2625,2.3958,"2612"
"2418/509.1243mz/6.21min",0.19065,-2.391,"2418"
"1027/261.0404mz/4.11min",5.2025,2.3792,"1027"
"2970/828.5755mz/7.76min",5.197,2.3777,"2970"
"1503/300.0878mz/4.93min",5.1614,2.3678,"1503"
"405/246.0983mz/2.59min",5.1354,2.3605,"405"
"2281/509.1243mz/6.03min",0.19472,-2.3605,"2281"
"2606/491.2247mz/6.56min",5.1252,2.3576,"2606"
"1491/756.2663mz/4.92min",5.0834,2.3458,"1491"
"743/413.1926mz/3.41min",5.0729,2.3428,"743"
"2375/505.2135mz/6.16min",5.0009,2.3222,"2375"
"2929/279.233mz/7.6min",0.2049,-2.287,"2929"
"2379/506.2167mz/6.16min",4.872,2.2845,"2379"
"1040/396.9576mz/4.14min",0.20694,-2.2727,"1040"
"2061/301.0979mz/5.76min",0.21065,-2.2471,"2061"
"1386/538.8496mz/4.8min",0.21109,-2.2441,"1386"
"2611/726.4301mz/6.56min",4.7271,2.2409,"2611"
"1867/367.0308mz/5.47min",4.7083,2.2352,"1867"
"1001/180.0747mz/4.04min",4.6718,2.224,"1001"
"1489/278.155mz/4.93min",0.21479,-2.219,"1489"
"2252/608.4023mz/6.0min",4.628,2.2104,"2252"
"2719/716.5233mz/6.85min",0.21641,-2.2081,"2719"
"2939/384.3118mz/7.61min",0.21708,-2.2037,"2939"
"2906/802.5612mz/7.46min",4.5951,2.2001,"2906"
"683/569.283mz/3.25min",4.5896,2.1984,"683"
"1917/269.0456mz/5.55min",0.22042,-2.1817,"1917"
"1688/480.2027mz/5.26min",4.5068,2.1721,"1688"
"1495/366.1345mz/4.93min",0.22283,-2.166,"1495"
"2253/654.4088mz/6.0min",4.4803,2.1636,"2253"
"1566/637.1597mz/5.05min",4.4633,2.1581,"1566"
"2558/554.2299mz/6.46min",4.4534,2.1549,"2558"
"2962/421.1655mz/7.66min",0.22499,-2.1521,"2962"
"2523/671.4329mz/6.38min",4.4296,2.1472,"2523"
"1819/1163.7336mz/5.42min",4.3814,2.1314,"1819"
"3199/694.4536mz/10.22min",4.3788,2.1305,"3199"
"2522/670.4303mz/6.38min",4.3279,2.1137,"2522"
"2509/537.0828mz/6.36min",0.23164,-2.11,"2509"
"520/107.0503mz/2.85min",0.23193,-2.1083,"520"
"1777/269.0456mz/5.38min",0.232,-2.1078,"1777"
"629/195.0662mz/3.13min",4.3097,2.1076,"629"
"230/273.1092mz/2.24min",4.2971,2.1033,"230"
"2575/489.2184mz/6.52min",4.2701,2.0943,"2575"
"3205/671.4661mz/10.22min",4.2595,2.0907,"3205"
"817/341.0328mz/3.6min",4.2583,2.0903,"817"
"2837/802.5614mz/7.16min",0.23499,-2.0893,"2837"
"2634/489.3066mz/6.62min",0.23593,-2.0836,"2634"
"1781/293.1759mz/5.38min",4.215,2.0755,"1781"
"2602/636.433mz/6.55min",4.2068,2.0727,"2602"
"3206/693.4503mz/10.22min",4.1862,2.0656,"3206"
"888/835.4099mz/3.79min",4.1682,2.0594,"888"
"1588/271.0612mz/5.11min",0.24225,-2.0454,"1588"
"1783/659.3625mz/5.37min",4.1215,2.0432,"1783"
"614/222.1248mz/3.08min",4.0882,2.0315,"614"
"1003/179.0713mz/4.04min",4.069,2.0247,"1003"
"3170/695.4658mz/9.3min",4.0517,2.0185,"3170"
"3143/503.0773mz/8.68min",0.25084,-1.9952,"3143"
"2423/510.1275mz/6.21min",0.25129,-1.9926,"2423"
"1782/333.07mz/5.43min",3.9792,1.9925,"1782"
"1561/346.0929mz/5.05min",3.9588,1.9851,"1561"
"1153/405.1917mz/4.38min",3.9579,1.9847,"1153"
"2638/506.2971mz/6.62min",0.25395,-1.9774,"2638"
"1071/991.4345mz/4.23min",3.9303,1.9746,"1071"
"2526/736.4117mz/6.39min",3.8681,1.9516,"2526"
"1910/451.1955mz/5.54min",3.8654,1.9506,"1910"
"1907/452.198mz/5.54min",3.8612,1.9491,"1907"
"1908/450.1922mz/5.54min",3.8591,1.9483,"1908"
"695/380.0621mz/3.28min",0.25918,-1.948,"695"
"1418/283.0248mz/4.86min",0.25976,-1.9447,"1418"
"2935/833.519mz/7.57min",0.2598,-1.9445,"2935"
"521/151.0401mz/2.85min",0.25989,-1.944,"521"
"1959/645.3733mz/5.62min",3.8469,1.9437,"1959"
"656/244.0686mz/3.21min",0.26159,-1.9346,"656"
"796/206.0458mz/3.55min",3.8203,1.9337,"796"
"2999/239.0597mz/7.88min",3.8129,1.9309,"2999"
"1862/369.0276mz/5.47min",3.8061,1.9283,"1862"
"2298/658.3863mz/6.06min",3.7977,1.9251,"2298"
"1009/261.0768mz/4.06min",3.7915,1.9228,"1009"
"824/430.1142mz/3.61min",3.7574,1.9097,"824"
"2292/640.393mz/6.03min",3.7265,1.8978,"2292"
"2739/380.2804mz/6.85min",0.2684,-1.8975,"2739"
"1618/684.2818mz/5.16min",3.7154,1.8935,"1618"
"3147/100.9336mz/8.72min",3.7078,1.8905,"3147"
"2794/339.1996mz/7.07min",3.6953,1.8857,"2794"
"3126/115.9208mz/8.52min",0.2716,-1.8805,"3126"
"3144/505.0828mz/8.67min",0.27254,-1.8755,"3144"
"1113/465.2394mz/4.3min",3.6552,1.8699,"1113"
"2564/556.3175mz/6.48min",0.27371,-1.8693,"2564"
"2613/552.2144mz/6.56min",3.6482,1.8672,"2613"
"1129/274.0439mz/4.35min",3.6437,1.8654,"1129"
"404/254.1034mz/2.59min",0.27447,-1.8653,"404"
"697/317.0668mz/3.28min",0.27467,-1.8642,"697"
"1564/301.0911mz/5.05min",3.6268,1.8587,"1564"
"912/414.0912mz/3.84min",3.6251,1.858,"912"
"1490/322.1449mz/4.93min",0.27621,-1.8562,"1490"
"3254/162.839mz/10.52min",0.27644,-1.855,"3254"
"1160/553.2557mz/4.38min",3.6122,1.8529,"1160"
"251/303.0511mz/2.3min",0.27718,-1.8511,"251"
"660/575.1197mz/3.2min",0.2781,-1.8463,"660"
"2289/625.1354mz/6.05min",0.27854,-1.8441,"2289"
"1130/273.0405mz/4.34min",3.5836,1.8414,"1130"
"886/871.3866mz/3.79min",3.5389,1.8233,"886"
"2052/265.1479mz/5.82min",3.528,1.8189,"2052"
"1900/533.3193mz/5.52min",3.5266,1.8183,"1900"
"2350/701.4093mz/6.13min",3.5266,1.8183,"2350"
