"","Filename","2024_NEG_CC_1_Run21.mzML","2024_NEG_CC_2_Run48.mzML","2024_NEG_CC_3_Run62.mzML","2024_NEG_CC-AZA_1_Run24.mzML","2024_NEG_CC-AZA_2_Run39.mzML","2024_NEG_CC-AZA_3_Run71.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","35/328.9796mz/2.13min","1595063.4","1454756.1","1189924.5","1499955.2","1310277.0","1513403.1"
"3","36/312.9847mz/2.35min","218778.83","561715.5","418454.12","580004.7","553584.25","437972.34"
"4","37/312.9847mz/2.45min","634447.7","670231.4","611823.4","753471.06","704221.75","598033.9"
"5","38/373.0055mz/2.71min","2257010.2","2072115.2","2000419.6","2261907.5","2117403.2","2038214.5"
"6","39/370.9898mz/2.8min","919898.0","805295.6","803970.94","883595.7","822651.94","829210.56"
"7","40/265.0176mz/2.84min","1947526.1","1788778.2","1767804.5","1898654.8","1804213.6","1756093.1"
"8","41/397.0055mz/3.14min","328452.97","283622.03","286838.56","308673.44","277513.25","267538.84"
"9","42/265.0176mz/3.18min","3461896.0","3243903.8","3214153.5","3506202.0","3361603.5","3229426.2"
"10","43/212.0353mz/3.3min","2627980.0","3421620.8","8122291.5","2624181.0","4276375.0","3748170.8"
"11","44/421.0056mz/3.31min","92237.8","91984.9","75894.35","98081.66","70437.49","90758.24"
"12","45/421.0056mz/3.41min","3235767.2","2830852.0","2806243.8","3007057.0","3124854.5","2951293.8"
"13","46/249.0227mz/3.49min","6057187.0","5698965.0","5614002.0","7138089.0","6511280.5","5813781.5"
"14","48/582.981mz/3.54min","787449.2","682728.9","655657.0","768116.5","724830.4","685775.4"
"15","51/560.999mz/3.54min","4224123.0","3811020.2","3745378.5","4338360.5","3915987.2","3742111.2"
"16","52/213.0386mz/3.54min","2748449.2","2243994.8","1611549.4","2016352.9","2072192.2","2206466.5"
"17","53/212.0353mz/3.54min","21804692.0","17830688.0","13307568.0","21412570.0","23904922.0","17555554.0"
"18","55/405.0107mz/3.62min","18889106.0","17732686.0","17837680.0","19822306.0","18434394.0","18451498.0"
"19","56/407.0044mz/3.62min","1335789.1","1193888.5","1229078.0","1322946.8","1281137.4","1242179.9"
"20","57/811.0292mz/3.62min","370601.94","313384.12","323123.25","354744.1","347358.1","347168.9"
"21","58/406.0138mz/3.62min","3620992.2","3264432.2","3651887.2","3475198.2","3389216.0","3477415.8"
"22","60/421.0056mz/3.86min","512986.97","480279.0","452269.94","611304.6","443327.6","540589.8"
"23","61/309.1014mz/4.02min","441297.62","404056.2","392178.34","455709.44","418910.75","433316.62"
"24","62/605.0258mz/4.07min","890392.4","653391.7","738648.9","923490.8","714230.1","670156.0"
"25","64/421.1867mz/4.15min","1159734.9","804098.2","977752.5","1082717.2","1119469.9","827446.75"
"26","65/603.01mz/4.18min","387478.75","308302.4","342897.6","374486.5","319339.06","311549.4"
"27","66/447.0213mz/4.21min","339719.78","316512.9","332371.66","354109.1","333403.84","337806.3"
"28","67/263.0383mz/4.27min","347975.78","334334.7","330672.06","334074.97","338962.12","336773.84"
"29","69/282.9837mz/4.4min","397801.0","375756.44","353557.5","380487.2","370305.62","343759.22"
"30","70/242.1762mz/4.43min","504428.47","480038.28","483300.25","522375.4","511507.38","454237.94"
"31","71/497.0371mz/4.44min","1045720.06","917589.7","1010404.8","1068284.2","904235.6","874969.2"
"32","74/793.0186mz/4.49min","598263.5","643447.2","961622.25","655930.56","600085.1","838664.9"
"33","76/341.0486mz/4.56min","816816.8","701846.44","743425.94","792894.0","722180.4","670896.1"
"34","77/404.0444mz/4.56min","483724.84","442972.72","416306.72","455719.66","424463.94","439266.12"
"35","78/422.9768mz/4.56min","861216.7","751914.5","766555.3","806322.4","758518.5","734784.56"
"36","81/653.0255mz/4.57min","551684.56","624998.6","842026.56","614778.2","588190.8","735203.1"
"37","82/497.0371mz/4.67min","1315325.6","1395156.0","1874843.0","1477630.8","1380441.1","1577413.2"
"38","83/227.9666mz/4.74min","6061078.0","5891523.0","5632661.0","6005341.0","5813231.5","6017943.5"
"39","84/229.9645mz/4.74min","6014812.0","5972596.0","5573851.0","5848943.0","5722285.0","5781962.5"
"40","85/228.9699mz/4.74min","494201.06","455355.97","457055.28","475169.6","481393.84","466552.6"
"41","86/230.9678mz/4.74min","476722.94","474965.25","443309.94","483858.34","453921.75","470160.25"
"42","87/266.9888mz/4.76min","1691425.6","1532154.0","1368003.4","1564100.5","1564325.8","1433375.8"
"43","88/268.9857mz/4.76min","568111.9","515641.25","455835.0","503915.84","501102.9","468511.84"
"44","90/637.0305mz/4.78min","4013649.8","4042159.5","5572367.5","3994443.0","4204211.0","4852025.0"
"45","91/639.0284mz/4.78min","570079.25","626447.44","828259.56","562140.9","595478.3","715325.06"
"46","92/481.0421mz/4.92min","3987698.8","4070791.8","5142831.0","4208500.0","4091226.5","4373730.5"
"47","93/544.0379mz/4.92min","1574437.8","1655809.9","2149699.5","1786177.2","1654113.5","1909511.9"
"48","94/426.9678mz/4.97min","10754062.0","10561936.0","9637257.0","6838806.0","7325502.0","7965541.0"
"49","95/428.9624mz/4.97min","403793.75","396905.7","366830.4","255801.28","277538.94","301377.62"
"50","96/396.2154mz/4.99min","909457.56","536284.44","775604.8","740217.94","860017.2","536196.6"
"51","97/397.219mz/4.99min","152305.28","94906.47","131348.61","129222.67","154899.89","87854.71"
"52","98/484.2681mz/5.03min","1311657.5","797769.3","1249536.9","1248343.0","1241264.9","899877.25"
"53","99/501.2582mz/5.03min","270422.0","156216.22","254273.72","246983.97","252569.16","188552.06"
"54","100/653.0254mz/5.04min","54784.625","58481.97","78698.12","65015.004","55230.35","64062.164"
"55","101/396.2154mz/5.1min","2768363.8","1713910.9","2769893.5","2503025.2","2664107.2","2022226.1"
"56","102/397.2189mz/5.1min","515677.44","307468.3","516834.34","467414.12","487880.6","378384.84"
"57","103/424.2468mz/5.15min","162407.5","75855.96","57278.75","136443.75","140379.11","97692.4"
"58","104/484.2681mz/5.14min","3616339.8","2537889.0","3780737.5","3554549.2","3600304.0","3098252.2"
"59","105/501.2583mz/5.14min","690669.44","487320.1","743505.94","692787.9","665297.0","583268.75"
"60","106/424.2468mz/5.21min","174595.0","83637.05","161953.9","166561.53","167982.31","105727.13"
"61","107/779.3652mz/5.29min","772023.94","432716.03","565327.4","622897.4","661350.3","414837.5"
"62","108/187.8609mz/5.33min","111107.55","47199.15","212259.11","115704.12","78145.79","165115.81"
"63","109/424.2468mz/5.56min","804076.6","500993.0","756293.56","677006.1","747729.56","550030.4"
"64","110/512.2994mz/5.6min","128773.26","76161.95","122300.74","109805.46","116988.516","96392.56"
"65","111/705.3284mz/5.63min","489167.97","264946.7","327699.4","361584.1","369602.12","259014.66"
"66","112/424.2469mz/5.66min","3059949.2","2058347.2","3118588.8","2755784.8","3030540.5","2297666.8"
"67","113/187.861mz/5.7min","0.0","0.0","0.0","0.0","0.0","234095.2"
"68","114/214.8799mz/5.67min","29718.564","59253.156","62085.44","46066.035","160118.14","1096270.8"
"69","115/241.8989mz/5.71min","27388.023","312662.28","58162.074","86545.78","284041.6","2123651.5"
"70","116/512.2994mz/5.71min","519598.2","375007.28","535724.9","484447.25","531685.44","461895.1"
"71","118/315.2541mz/5.8min","116824.41","66822.36","104149.8","110068.73","113872.086","73704.15"
"72","119/562.0038mz/5.83min","59231.617","56904.168","71395.22","62455.63","50305.94","54740.78"
"73","120/195.906mz/6.01min","0.0","198852.66","0.0","0.0","0.0","0.0"
"74","121/214.8799mz/5.97min","16127.288","777054.6","216166.8","34254.535","104647.12","18351.092"
"75","122/241.8989mz/5.97min","262851.7","1409367.0","287083.3","166189.6","361964.4","383250.94"
"76","123/187.8609mz/6.02min","0.0","172636.62","0.0","0.0","0.0","0.0"
"77","124/315.2542mz/6.02min","115011.51","74739.94","107926.07","109997.96","105349.055","78217.82"
"78","125/265.1479mz/6.02min","580032.0","215177.77","434567.06","374269.12","267299.5","334637.03"
"79","126/271.2279mz/6.06min","326082.88","179300.84","254945.56","277827.47","279240.7","184062.06"
"80","127/452.2782mz/6.13min","930154.94","628842.3","912900.4","804992.2","879089.5","693850.94"
"81","128/315.2541mz/6.14min","427414.44","236347.86","343795.9","373300.53","361821.16","236993.67"
"82","129/540.3308mz/6.19min","141203.97","98026.41","145578.94","126961.33","137045.12","128376.08"
"83","130/452.2782mz/6.24min","5552533.5","3698379.8","5394294.0","4650945.5","4780195.5","4007478.8"
"84","131/540.3309mz/6.3min","962392.06","768470.1","1034304.5","894589.44","928539.4","909469.9"
"85","132/478.2939mz/6.3min","3028820.2","1575212.0","2638266.0","2605057.5","2569132.0","1673460.9"
"86","133/480.299mz/6.3min","110371.08","53516.062","92865.33","89133.51","81753.53","56553.15"
"87","134/566.3465mz/6.37min","405563.7","244704.3","382524.7","338637.4","361125.25","262649.22"
"88","136/271.2279mz/6.39min","311101.3","202246.3","241514.03","263794.22","264274.88","184839.61"
"89","137/480.2991mz/6.41min","410062.38","241661.5","375621.4","351394.16","362223.28","241417.25"
"90","138/957.5953mz/6.41min","480843.44","162516.58","467697.62","386971.12","389316.47","192066.78"
"91","139/478.2939mz/6.41min","11101540.0","6233555.0","10607851.0","9797800.0","9545502.0","6556251.5"
"92","141/566.3466mz/6.47min","2011159.4","1302038.1","2015869.9","1762473.0","1728990.0","1476509.4"
"93","142/297.2436mz/6.48min","184996.92","104478.22","140608.97","160622.97","149994.95","93903.914"
"94","143/573.1294mz/6.5min","354637.03","294492.62","291222.03","416032.44","457567.53","322386.6"
"95","144/590.1196mz/6.5min","698235.94","581986.1","543353.6","633792.94","544033.5","563145.7"
"96","145/311.1687mz/6.53min","1737269.8","996377.56","1040250.3","1003052.06","995405.9","1255999.0"
"97","146/506.3252mz/6.56min","93383.7","42075.996","93380.98","76195.9","79617.305","45665.566"
"98","147/297.2436mz/6.61min","705437.75","385062.38","588924.56","600157.56","553358.75","363034.72"
"99","148/654.1321mz/6.62min","581853.06","503467.03","456634.3","445781.9","378528.22","432421.28"
"100","149/634.4456mz/6.64min","255797.17","1579137.0","377268.1","1815813.8","299312.25","1204325.0"
