"","PC1","PC2","PC3","PC4","PC5","PC6"
"102/244.1907mz/2.1min",-0.0011409,0.0020161,-0.0043481,-0.0025236,0.0012595,-0.55735
"103/99.5121mz/2.11min",0.0055235,0.00069001,-0.00080095,-0.034344,0.064414,0.10975
"104/181.0971mz/2.12min",-0.0010082,0.0035375,0.001826,-0.00035944,-0.0062267,-0.038569
"105/245.0954mz/2.12min",-0.00064953,0.0032243,0.00091405,-0.00078158,-0.0062502,0.39921
"107/184.1695mz/2.21min",-0.0010781,0.0032202,-0.0039866,0.00099227,-0.00067686,-0.020507
"108/218.1281mz/2.25min",-0.00039242,-0.00075968,-0.0020283,0.0060229,-0.0024684,-0.02091
"109/217.1247mz/2.25min",-0.00078475,-0.0011344,-0.0021439,0.0046893,-0.0013652,-0.01029
"110/200.1046mz/2.25min",-0.00040215,-0.001179,-0.0012816,0.0060159,-0.0015539,-0.021378
"111/199.1012mz/2.25min",-0.00023674,-0.00071548,-0.0044003,0.0059245,-0.0032724,0.020926
"113/195.1227mz/2.28min",-0.00042062,-0.0061224,0.00165,0.0028706,-0.0067518,0.010865
"114/244.2012mz/2.36min",0.0020829,0.0055714,0.022694,0.0017574,-0.039662,0.065041
"116/302.1961mz/2.37min",-0.0036393,0.003707,0.019046,-0.0060114,0.016588,0.020404
"117/244.2012mz/2.5min",-0.00098709,4.8955e-05,0.0040769,0.0020057,0.0041027,0.00010413
"119/316.2117mz/2.58min",-0.0094283,-0.015663,-0.0068476,0.012157,0.021707,-0.021253
"120/261.1234mz/2.6min",-0.00049569,0.0020131,0.0055951,0.0022696,4.2703e-05,0.02124
"121/259.2202mz/2.66min",-0.00035743,-0.000759,0.00093679,0.0034952,-0.0019476,-0.00013416
"122/130.159mz/2.69min",-0.0016518,-0.0021489,0.0012473,0.0047923,0.0030673,0.021759
"123/185.0855mz/2.7min",-0.0094355,-0.025358,0.057013,-0.047119,0.059068,-0.00099712
"124/197.1285mz/2.71min",-0.00014059,0.0033929,0.0022831,-0.002568,0.00078763,6.2739e-05
