"","FC","log2(FC)","raw.pval","-log10(p)"
"350/689.9991mz/7.01min",5.0264,2.3295,3.4284e-06,5.4649
"343/700.4883mz/6.95min",5.7319,2.519,0.00015599,3.8069
"502/707.5315mz/7.56min",242.12,7.9196,0.00077498,3.1107
"337/716.4612mz/6.95min",6.3075,2.6571,0.00088359,3.0537
"471/706.5282mz/7.5min",364.83,8.5111,0.0009565,3.0193
"351/689.4973mz/7.01min",7.1286,2.8336,0.0010022,2.999
"473/726.5036mz/7.47min",77.344,6.2732,0.0013623,2.8657
"1541/714.5037mz/10.3min",19.646,4.2962,0.0043921,2.3573
"403/689.4972mz/7.27min",13.126,3.7144,0.0058076,2.236
"517/706.5282mz/7.57min",18.603,4.2175,0.0072925,2.1371
"470/704.522mz/7.5min",253.2,7.9841,0.0083399,2.0788
"371/589.2774mz/7.07min",0.3477,-1.5241,0.0086284,2.0641
"641/686.4724mz/7.84min",11.776,3.5578,0.0089358,2.0489
"455/563.2648mz/7.39min",0.4566,-1.131,0.010207,1.9911
"457/564.2683mz/7.39min",0.45765,-1.1277,0.0111,1.9547
"510/726.5038mz/7.58min",7.6185,2.9295,0.012138,1.9159
"583/659.2867mz/7.7min",0.1736,-2.5261,0.012305,1.9099
"1391/556.5084mz/9.36min",0.47581,-1.0715,0.013486,1.8701
"566/742.478mz/7.68min",8.1111,3.0199,0.013938,1.8558
"1389/574.5191mz/9.36min",0.45408,-1.139,0.014016,1.8534
"460/386.3263mz/7.43min",0.42023,-1.2507,0.014232,1.8467
"462/387.3298mz/7.46min",0.38218,-1.3877,0.01454,1.8374
"1574/716.521mz/10.32min",7.4775,2.9026,0.016226,1.7898
"582/654.3317mz/7.7min",0.24861,-2.008,0.017346,1.7608
"924/629.4942mz/8.25min",0.28572,-1.8073,0.017538,1.756
"584/637.3049mz/7.7min",0.24678,-2.0187,0.023995,1.6199
"977/645.5423mz/8.29min",5.7855,2.5325,0.024244,1.6154
"867/690.5064mz/8.12min",5.0219,2.3282,0.024474,1.6113
"565/726.5039mz/7.68min",4.5231,2.1773,0.028413,1.5465
"1447/656.6311mz/9.73min",5.7612,2.5264,0.028464,1.5457
"1444/634.6494mz/9.72min",4.4166,2.1429,0.030617,1.514
"326/567.2599mz/6.86min",0.4793,-1.061,0.032079,1.4938
"346/692.5217mz/6.98min",19.332,4.273,0.032207,1.492
"1445/635.6528mz/9.73min",4.3461,2.1197,0.033648,1.473
"527/462.3551mz/7.59min",0.19969,-2.3242,0.034136,1.4668
"969/686.4718mz/8.28min",4.6379,2.2135,0.035638,1.4481
"1584/692.5215mz/10.35min",20.572,4.3626,0.036615,1.4363
"880/692.5141mz/8.11min",8.6751,3.1169,0.042941,1.3671
"834/524.3943mz/8.05min",0.45769,-1.1276,0.044432,1.3523
"1567/742.4779mz/10.3min",3.6016,1.8487,0.046914,1.3287
"1392/596.5011mz/9.37min",0.2976,-1.7486,0.047033,1.3276
