"Log2_FoldChange","MetaboAnalyst_ID"
-0.041496,"37/328.9796mz/2.13min"
0.23923,"38/312.9847mz/2.35min"
0.02384,"39/312.9847mz/2.45min"
0.0287,"40/373.0055mz/2.71min"
0.0063633,"41/370.9898mz/2.8min"
-0.014382,"42/265.0176mz/2.84min"
0.010562,"44/265.0176mz/3.18min"
-0.69629,"45/212.0353mz/3.31min"
0.044925,"47/421.0056mz/3.41min"
0.16521,"49/249.0227mz/3.49min"
0.034341,"50/582.981mz/3.53min"
-0.0067089,"53/560.999mz/3.54min"
-0.34259,"54/213.0386mz/3.54min"
-0.018012,"55/212.0353mz/3.54min"
0.027967,"57/407.0044mz/3.62min"
0.046231,"58/405.0107mz/3.62min"
0.020496,"60/406.0138mz/3.62min"
0.075834,"62/421.0055mz/3.86min"
0.055601,"63/309.1014mz/4.02min"
-0.02834,"64/605.0258mz/4.07min"
-0.16595,"66/421.1867mz/4.15min"
-0.031028,"67/603.01mz/4.17min"
-0.001452,"69/263.0383mz/4.27min"
-0.057948,"71/282.9837mz/4.4min"
-0.028504,"72/242.1762mz/4.43min"
-0.059427,"73/497.0371mz/4.44min"
0.0079227,"77/793.0186mz/4.49min"
-0.049598,"79/341.0486mz/4.56min"
-0.06014,"80/422.9768mz/4.56min"
-0.01145,"81/404.0444mz/4.56min"
-0.043981,"84/653.0255mz/4.57min"
0.013178,"85/497.0371mz/4.67min"
0.00016135,"86/228.9699mz/4.74min"
-0.013347,"88/229.9645mz/4.74min"
-0.021311,"89/230.9678mz/4.74min"
-0.061109,"90/266.9888mz/4.76min"
-0.11719,"91/268.9857mz/4.76min"
-0.054664,"92/637.0305mz/4.78min"
0.025639,"95/481.0421mz/4.92min"
0.02929,"96/544.0379mz/4.92min"
-0.12858,"97/426.9678mz/4.97min"
-0.12975,"98/428.9624mz/4.97min"
-0.71872,"99/396.2154mz/4.99min"
-0.33254,"101/484.2681mz/5.03min"
-0.54035,"107/396.2154mz/5.1min"
-0.54565,"108/397.2189mz/5.1min"
-0.078583,"110/484.2681mz/5.14min"
