"MetaboAnalyst_ID","Fold.Change","log2.FC.","shared_name"
"227/716.5239mz/7.3min",21.072,4.3972,"227"
"323/742.5395mz/8.06min",9.6373,3.2686,"323"
"472/662.4769mz/10.24min",0.21164,-2.2403,"472"
"172/634.4456mz/6.77min",0.31781,-1.6538,"172"
"254/711.457mz/7.44min",0.39571,-1.3375,"254"
"450/711.6259mz/9.47min",2.5263,1.337,"450"
"316/100.9337mz/7.95min",0.40642,-1.299,"316"
"397/717.5791mz/8.72min",0.42412,-1.2375,"397"
"491/606.4144mz/10.29min",0.44558,-1.1662,"491"
"210/325.1844mz/7.12min",0.44595,-1.165,"210"
