"","PC1","PC2","PC3","PC4","PC5","PC6"
"37/328.9796mz/2.13min",0.0033015,-0.018888,0.0056398,-0.0092398,0.057563,0.43749
"38/312.9847mz/2.35min",0.03998,0.070594,-0.059089,0.0027006,-0.12406,-0.10226
"39/312.9847mz/2.45min",0.0021604,0.0097908,0.00043655,-0.02134,-0.021639,-0.035433
"40/373.0055mz/2.71min",-0.0011766,0.00099403,0.0086528,0.0041112,0.0088978,-0.0027318
"41/370.9898mz/2.8min",-0.0022396,-0.0060515,0.012617,0.0055253,0.0065099,-0.06552
"42/265.0176mz/2.84min",-0.0017527,-0.0052131,0.0039136,0.0044082,0.002957,0.11818
"44/265.0176mz/3.18min",-0.0028271,0.0032513,-0.001813,0.014417,0.010601,-0.03894
"45/212.0353mz/3.31min",-0.02966,-0.0064643,-0.16273,0.1489,-0.16377,-0.010099
"47/421.0056mz/3.41min",-0.00069177,-0.0038538,0.015773,0.012382,0.013109,0.038323
"49/249.0227mz/3.49min",-0.0012972,0.023318,0.0032375,0.044414,0.036483,0.11837
"50/582.981mz/3.53min",-0.0023334,-0.0010583,0.01753,0.00042219,0.015996,0.037226
"53/560.999mz/3.54min",-0.0031611,-0.0017745,0.0089586,-0.0041254,-0.00052253,-0.07984
"54/213.0386mz/3.54min",-0.0014462,-0.068407,-0.022393,-0.016678,0.13807,0.064877
"55/212.0353mz/3.54min",-0.004464,-0.0018468,0.020373,-0.029654,0.093994,0.10676
"57/407.0044mz/3.62min",-0.0033547,0.0014678,0.0068443,0.01753,0.0054567,0.079437
"58/405.0107mz/3.62min",-0.0022959,0.0074991,0.00079873,0.020336,0.0085398,-0.11799
"60/406.0138mz/3.62min",-0.0083812,0.010553,-0.00099742,0.029057,-0.010852,0.042493
"62/421.0055mz/3.86min",-0.0016919,0.013512,0.027514,-0.040994,-0.036199,-0.039477
"63/309.1014mz/4.02min",-0.00030821,0.0029948,0.014278,0.0022001,0.0024762,-0.0011116
"64/605.0258mz/4.07min",-0.017592,0.0075982,0.011803,0.013073,0.019366,-0.039166
"66/421.1867mz/4.15min",-0.015494,-0.029335,0.021051,0.0030178,-0.015309,0.038119
"67/603.01mz/4.17min",-0.011575,-0.0015387,0.011428,0.014551,0.0017739,-0.019835
"69/263.0383mz/4.27min",-0.0017696,0.0015221,-0.0049543,0.013248,0.0056838,0.00075299
"71/282.9837mz/4.4min",-0.0031522,-0.0046115,-0.0065886,-0.001638,0.015602,-0.040584
"72/242.1762mz/4.43min",0.00060679,-0.010723,-0.003869,0.015749,0.001162,-0.039548
"73/497.0371mz/4.44min",-0.0089254,-0.0022499,-0.0041854,0.017023,-0.0071784,0.080961
"77/793.0186mz/4.49min",-0.0065692,0.024519,-0.019124,0.050907,-0.12599,0.072428
"79/341.0486mz/4.56min",-0.0075709,-0.0051141,0.0042035,0.0070766,-0.0025098,0.00033459
"80/422.9768mz/4.56min",-0.0070717,-0.0050881,0.0048666,-0.0054306,-0.003905,-0.078967
"81/404.0444mz/4.56min",-0.0032754,0.00044809,0.0053943,-0.0072094,0.01186,0.038416
